section_id,subpart_id,part_id,section_number,section_title,section_text,source_document
SEC-201.301,SUBPART-201.3,PART-201,201.301,Policy.,,KB 2/USA/DFARS.pdf
SEC-201.303,SUBPART-201.3,PART-201,201.303,Publication and codification.,,KB 2/USA/DFARS.pdf
SEC-201.304,SUBPART-201.3,PART-201,201.304,Agency control and compliance procedures.,Departments and agencies and their component organizations may issue acquisition regulations as necessary to implement or supplement the FAR or DFARS.,KB 2/USA/DFARS.pdf
SEC-201.402,SUBPART-201.4,PART-201,201.402,Policy.,,KB 2/USA/DFARS.pdf
SEC-201.403,SUBPART-201.4,PART-201,201.403,Individual deviations.,,KB 2/USA/DFARS.pdf
SEC-201.404,SUBPART-201.4,PART-201,201.404,Class deviations.,,KB 2/USA/DFARS.pdf
SEC-201.602,SUBPART-201.6,PART-201,201.602,Contracting officers.,,KB 2/USA/DFARS.pdf
SEC-201.602-2,SUBPART-201.6,PART-201,201.602-2,Responsibilities.,,KB 2/USA/DFARS.pdf
SEC-201.602-70,SUBPART-201.6,PART-201,201.602-70,Contract clause.,"Use the clause at 252.201-7000 , Contracting Officer's Representative, in solicitations and contracts when appointment of a contracting officer's representative is anticipated.",KB 2/USA/DFARS.pdf
SEC-201.603,SUBPART-201.6,PART-201,201.603,"Selection, appointment, and termination of appointment for contracting officers.",,KB 2/USA/DFARS.pdf
SEC-201.603-2,SUBPART-201.6,PART-201,201.603-2,Selection.,,KB 2/USA/DFARS.pdf
SEC-201.603-3,SUBPART-201.6,PART-201,201.603-3,Appointment.,,KB 2/USA/DFARS.pdf
SEC-201.670,SUBPART-201.6,PART-201,201.670,Appointment of property administrators and plant clearance officers.,,KB 2/USA/DFARS.pdf
SEC-202.101,SUBPART-202.1,PART-202,202.101,Definitions.,,KB 2/USA/DFARS.pdf
SEC-203.070,,PART-203,203.070,Reporting of violations and suspected violations.,"Report violations and suspected violations of the following requirements in accordance with 209.406-3 or 209.407-3 and DoDD 7050.5, Coordination of Remedies for Fraud and Corruption Related to Procurement Activities:",KB 2/USA/DFARS.pdf
SEC-203.104,SUBPART-203.1,PART-203,203.104,Procurement integrity.,,KB 2/USA/DFARS.pdf
SEC-203.104-1,SUBPART-203.1,PART-203,203.104-1,Definitions.,"Federal agency procurement, defined at FAR 3.104-1, also includes commercial solutions openings.",KB 2/USA/DFARS.pdf
SEC-203.104-4,SUBPART-203.1,PART-203,203.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection",information.,KB 2/USA/DFARS.pdf
SEC-203.170,SUBPART-203.1,PART-203,203.170,Business practices.,"To ensure the separation of functions for oversight, source selection, contract negotiation, and contract award, departments and agencies shall adhere to the following best practice policies:",KB 2/USA/DFARS.pdf
SEC-203.171,SUBPART-203.1,PART-203,203.171,Senior DoD officials seeking employment with defense contractors.,,KB 2/USA/DFARS.pdf
SEC-203.171-1,SUBPART-203.1,PART-203,203.171-1,Scope.,This section implements section 847 of the National Defense Authorization Act for Fiscal Year 2008 (Pub. L. 110-181).,KB 2/USA/DFARS.pdf
SEC-203.171-2,SUBPART-203.1,PART-203,203.171-2,Definition.,,KB 2/USA/DFARS.pdf
SEC-203.171-3,SUBPART-203.1,PART-203,203.171-3,Policy.,,KB 2/USA/DFARS.pdf
SEC-203.171-4,SUBPART-203.1,PART-203,203.171-4,Solicitation provision and contract clause.,,KB 2/USA/DFARS.pdf
SEC-203.502-2,SUBPART-203.5,PART-203,203.502-2,Subcontractor kickbacks.,,KB 2/USA/DFARS.pdf
SEC-203.570,SUBPART-203.5,PART-203,203.570,Prohibition on persons convicted of fraud or other defense-contract-related felonies.,,KB 2/USA/DFARS.pdf
SEC-203.570-1,SUBPART-203.5,PART-203,203.570-1,Scope.,"This subpart implements 10 U.S.C.4656. For information on 10 U.S.C. 4656, see PGI 203.570-1 .",KB 2/USA/DFARS.pdf
SEC-203.570-2,SUBPART-203.5,PART-203,203.570-2,Prohibition period.,"DoD has sole responsibility for determining the period of the prohibition described in paragraph (b) of the clause at 252.203-7001 , Prohibition on Persons Convicted of Fraud or Other Defense-Contract-Related Felonies. The prohibition period—",KB 2/USA/DFARS.pdf
SEC-203.570-3,SUBPART-203.5,PART-203,203.570-3,Contract clause.,"Use the clause at 252.203-7001 , Prohibition on Persons Convicted of Fraud or Other Defense-Contract-Related Felonies, in all solicitations and contracts exceeding the simplified acquisition threshold, except solicitations and contracts for commercial products and commercial services.",KB 2/USA/DFARS.pdf
SEC-203.703,SUBPART-203.7,PART-203,203.703,Authority.,"The authority to act for the agency head under this subpart is limited to a level no lower than an official who is appointed by and with the advice of the Senate, without power of re-delegation. For the defense agencies, for purposes of this subpart, the agency head designee is the Under Secretary of Defense (Acquisition and Sustainment).",KB 2/USA/DFARS.pdf
SEC-203.806,SUBPART-203.8,PART-203,203.806,Processing suspected violations.,Report suspected violations to the address at PGI 203.806(a).,KB 2/USA/DFARS.pdf
SEC-203.900,SUBPART-203.9,PART-203,203.900,Scope of subpart.,This subpart implements 10 U.S.C. 4701 and section 883 of the National Defense Authorization Act for Fiscal Year 2021 (Pub. L. 116-283).,KB 2/USA/DFARS.pdf
SEC-203.901,SUBPART-203.9,PART-203,203.901,Definitions.,,KB 2/USA/DFARS.pdf
SEC-203.903,SUBPART-203.9,PART-203,203.903,Policy.,,KB 2/USA/DFARS.pdf
SEC-203.904,SUBPART-203.9,PART-203,203.904,Procedures for filing complaints.,,KB 2/USA/DFARS.pdf
SEC-203.905,SUBPART-203.9,PART-203,203.905,Procedures for investigating complaints.,,KB 2/USA/DFARS.pdf
SEC-203.906,SUBPART-203.9,PART-203,203.906,Remedies.,,KB 2/USA/DFARS.pdf
SEC-203.909,SUBPART-203.9,PART-203,203.909,Prohibition on providing funds to an entity that requires certain internal confidentiality agreements or,statements.,KB 2/USA/DFARS.pdf
SEC-203.909-3,SUBPART-203.9,PART-203,203.909-3,Solicitation provision and contract clause.,"Use the provision at FAR 52.203-18, Prohibition on Contracting with Entities That Require Certain Internal Confidentiality Agreements or Statements—Representation, and the clause at FAR 52.203-19, Prohibition on Requiring Certain Internal Confidentiality Agreements or Statements, prescribed at FAR 3.909-3 to implement section 883 of the National Defense Authorization Act for Fiscal Year 2021.",KB 2/USA/DFARS.pdf
SEC-203.970,SUBPART-203.9,PART-203,203.970,Contract clause.,"Use the clause at 252.203-7002 , Requirement to Inform Employees of Whistleblower Rights, in all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services.",KB 2/USA/DFARS.pdf
SEC-203.1003,SUBPART-203.10,PART-203,203.1003,Requirements.,,KB 2/USA/DFARS.pdf
SEC-203.1004,SUBPART-203.10,PART-203,203.1004,Contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.101,SUBPART-204.1,PART-204,204.101,Contracting officer's signature.,Follow the procedures at PGI 204.101 for signature of contract documents.,KB 2/USA/DFARS.pdf
SEC-204.201,SUBPART-204.2,PART-204,204.201,Procedures.,Follow the procedures at PGI 204.201 for the distribution of contracts and modifications.,KB 2/USA/DFARS.pdf
SEC-204.203,SUBPART-204.2,PART-204,204.203,Taxpayer identification information.,,KB 2/USA/DFARS.pdf
SEC-204.270,SUBPART-204.2,PART-204,204.270,Electronic Data Access.,,KB 2/USA/DFARS.pdf
SEC-204.270-1,SUBPART-204.2,PART-204,204.270-1,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.270-2,SUBPART-204.2,PART-204,204.270-2,Procedures.,,KB 2/USA/DFARS.pdf
SEC-204.402,SUBPART-204.4,PART-204,204.402,General.,"DoD employees or members of the Armed Forces who are assigned to or visiting a contractor facility and are engaged in oversight of an acquisition program will retain control of their work products, both classified and unclassified (see PGI 204.402 ).",KB 2/USA/DFARS.pdf
SEC-204.403,SUBPART-204.4,PART-204,204.403,Responsibilities of contracting officers.,,KB 2/USA/DFARS.pdf
SEC-204.404,SUBPART-204.4,PART-204,204.404,Contract clause.,,KB 2/USA/DFARS.pdf
SEC-204.404-70,SUBPART-204.4,PART-204,204.404-70,Additional contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.470,SUBPART-204.4,PART-204,204.470,U.S.-International Atomic Energy Agency Additional Protocol.,,KB 2/USA/DFARS.pdf
SEC-204.470-1,SUBPART-204.4,PART-204,204.470-1,General.,"Under the U.S.-International Atomic Energy Agency Additional Protocol (U.S.-IAEA AP), the United States is required to declare a wide range of public and private nuclear-related activities to the IAEA and potentially provide access to IAEA inspectors for verification purposes.",KB 2/USA/DFARS.pdf
SEC-204.470-2,SUBPART-204.4,PART-204,204.470-2,National security exclusion.,,KB 2/USA/DFARS.pdf
SEC-204.470-3,SUBPART-204.4,PART-204,204.470-3,Contract clause.,"Use the clause at 252.204-7010 , Requirement for Contractor to Notify DoD if the Contractor’s Activities are Subject to Reporting Under the U.S.-International Atomic Energy Agency Additional Protocol, in solicitations and contracts for research and development or major defense acquisition programs involving—",KB 2/USA/DFARS.pdf
SEC-204.602,SUBPART-204.6,PART-204,204.602,General.,See PGI 204.602 for additional information on the Federal Procurement Data System (FPDS) and procedures for resolving technical or policy issues relating to FPDS.,KB 2/USA/DFARS.pdf
SEC-204.604,SUBPART-204.6,PART-204,204.604,Responsibilities.,,KB 2/USA/DFARS.pdf
SEC-204.606,SUBPART-204.6,PART-204,204.606,Reporting data.,"In addition to FAR 4.606, follow the procedures at PGI 204.606 for reporting data to FPDS.",KB 2/USA/DFARS.pdf
SEC-204.802,SUBPART-204.8,PART-204,204.802,Contract files.,,KB 2/USA/DFARS.pdf
SEC-204.804,SUBPART-204.8,PART-204,204.804,Closeout of contract files.,,KB 2/USA/DFARS.pdf
SEC-204.804-70,SUBPART-204.8,PART-204,204.804-70,Contract clause.,"Use the clause at 252.204-7022, Expediting Contract Closeout, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, when the contracting officer intends to expedite contract closeout through the mutual waiver of entitlement to a residual dollar amount of $1,000 or less determined at the time of contract closeout.",KB 2/USA/DFARS.pdf
SEC-204.805,SUBPART-204.8,PART-204,204.805,Disposal of contract files.,,KB 2/USA/DFARS.pdf
SEC-204.902,SUBPART-204.9,PART-204,204.902,General.,,KB 2/USA/DFARS.pdf
SEC-204.1103,SUBPART-204.11,PART-204,204.1103,Procedures.,See PGI 204.1103 for helpful information on navigation and data entry in the System for Award Management (SAM) database.,KB 2/USA/DFARS.pdf
SEC-204.1202,SUBPART-204.12,PART-204,204.1202,Solicitation provision and contract clause.,"When using the provision at FAR 52.204-8, Annual Representations and Certifications—",KB 2/USA/DFARS.pdf
SEC-204.1601,SUBPART-204.16,PART-204,204.1601,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.1603,SUBPART-204.16,PART-204,204.1603,Procedures.,,KB 2/USA/DFARS.pdf
SEC-204.1670,SUBPART-204.16,PART-204,204.1670,Cross reference to Federal Procurement Data System.,Detailed guidance on mapping PIID and supplementary PIID numbers stored in the Electronic Data Access system to data elements reported in the Federal Procurement Data System can be found in PGI 204.1670.,KB 2/USA/DFARS.pdf
SEC-204.1671,SUBPART-204.16,PART-204,204.1671,Order of application for modifications.,,KB 2/USA/DFARS.pdf
SEC-204.1700,SUBPART-204.17,PART-204,204.1700,Scope of subpart.,This subpart prescribes the requirement to report certain contracted services in accordance with 10 U.S.C. 4505 .,KB 2/USA/DFARS.pdf
SEC-204.1701,SUBPART-204.17,PART-204,204.1701,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.1703,SUBPART-204.17,PART-204,204.1703,Reporting requirements.,,KB 2/USA/DFARS.pdf
SEC-204.1705,SUBPART-204.17,PART-204,204.1705,Contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.1870,SUBPART-204.18,PART-204,204.1870,Procedures.,Follow the procedures and guidance at PGI 204.1870 concerning Commercial and Government Entity (CAGE) codes and CAGE file maintenance.,KB 2/USA/DFARS.pdf
SEC-204.2100,SUBPART-204.21,PART-204,204.2100,Scope of subpart.,This subpart implements section 1656 of the National Defense Authorization Act for Fiscal Year 2018 (Pub. L. 115-91) and section 889(a)(1)(A) of the National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).,KB 2/USA/DFARS.pdf
SEC-204.2101,SUBPART-204.21,PART-204,204.2101,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.2102,SUBPART-204.21,PART-204,204.2102,Prohibition.,,KB 2/USA/DFARS.pdf
SEC-204.2103,SUBPART-204.21,PART-204,204.2103,Procedures.,,KB 2/USA/DFARS.pdf
SEC-204.2104,SUBPART-204.21,PART-204,204.2104,Waivers.,"The Secretary of Defense may waive the prohibition in 204.2102 (a) on a case-by-case basis for a single, one-year period, if the Secretary—",KB 2/USA/DFARS.pdf
SEC-204.2105,SUBPART-204.21,PART-204,204.2105,Solicitation provisions and contract clause.,,KB 2/USA/DFARS.pdf
SEC-204.7100,SUBPART-204.71,PART-204,204.7100,Scope.,This subpart prescribes policies and procedures for assigning contract line item numbers.,KB 2/USA/DFARS.pdf
SEC-204.7101,SUBPART-204.71,PART-204,204.7101,Definitions.,,KB 2/USA/DFARS.pdf
SEC-204.7102,SUBPART-204.71,PART-204,204.7102,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.7103,SUBPART-204.71,PART-204,204.7103,Contract line items.,Follow the procedures at PGI 204.7103 for establishing contract line items.,KB 2/USA/DFARS.pdf
SEC-204.7103-1,SUBPART-204.71,PART-204,204.7103-1,Criteria for establishing.,Contracts shall identify the items or services to be acquired as separate contract line items unless it is not feasible to do so.,KB 2/USA/DFARS.pdf
SEC-204.7103-2,SUBPART-204.71,PART-204,204.7103-2,Numbering procedures.,Follow the procedures at PGI 204.7103-2 for numbering contract line items.,KB 2/USA/DFARS.pdf
SEC-204.7104,SUBPART-204.71,PART-204,204.7104,Contract subline items.,,KB 2/USA/DFARS.pdf
SEC-204.7104-1,SUBPART-204.71,PART-204,204.7104-1,Criteria for establishing.,Contract subline items provide flexibility to further identify elements within a contract line item for tracking performance or simplifying administration. There are only two kinds of subline items: those which are informational in nature and those which consist of more than one item that requires separate identification.,KB 2/USA/DFARS.pdf
SEC-204.7104-2,SUBPART-204.71,PART-204,204.7104-2,Numbering procedures.,Follow the procedures at PGI 204.7104-2 for numbering contract subline items.,KB 2/USA/DFARS.pdf
SEC-204.7105,SUBPART-204.71,PART-204,204.7105,Contract exhibits and attachments.,Follow the procedures at PGI 204.7105 for use and numbering of contract exhibits and attachments.,KB 2/USA/DFARS.pdf
SEC-204.7106,SUBPART-204.71,PART-204,204.7106,Contract modifications.,,KB 2/USA/DFARS.pdf
SEC-204.7107,SUBPART-204.71,PART-204,204.7107,Contract accounting classification reference number (ACRN) and agency accounting identifier (AAI).,Traceability of funds from accounting systems to contract actions is accomplished using ACRNs and AAIs. Follow the procedures at PGI 204.7107 for use of ACRNs and AAIs.,KB 2/USA/DFARS.pdf
SEC-204.7108,SUBPART-204.71,PART-204,204.7108,Payment instructions.,Follow the procedures at PGI 204.7108 for inclusion of payment instructions in contracts.,KB 2/USA/DFARS.pdf
SEC-204.7109,SUBPART-204.71,PART-204,204.7109,Contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.7200,SUBPART-204.72,PART-204,204.7200,Scope of subpart.,This subpart provides policy and guidance related to antiterrorism awareness training for contractor personnel who require routine physical access to a Federally-controlled facility or military installation.,KB 2/USA/DFARS.pdf
SEC-204.7201,SUBPART-204.72,PART-204,204.7201,Definition.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.7202,SUBPART-204.72,PART-204,204.7202,Policy.,It is DoD policy that—,KB 2/USA/DFARS.pdf
SEC-204.7203,SUBPART-204.72,PART-204,204.7203,Contract clause.,"Include the clause at 252.204-7004 , DoD Antiterrorism Awareness Training for Contractors, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, when contractor personnel require routine physical access to a Federally-controlled facility or military installation.",KB 2/USA/DFARS.pdf
SEC-204.7300,SUBPART-204.73,PART-204,204.7300,Scope.,,KB 2/USA/DFARS.pdf
SEC-204.7301,SUBPART-204.73,PART-204,204.7301,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.7302,SUBPART-204.73,PART-204,204.7302,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.7303,SUBPART-204.73,PART-204,204.7303,Procedures.,,KB 2/USA/DFARS.pdf
SEC-204.7304,SUBPART-204.73,PART-204,204.7304,Solicitation provision and contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.7400,SUBPART-204.74,PART-204,204.7400,Scope of subpart.,This subpart prescribes policies and procedures for the release and safeguarding of information to litigation support contractors. It implements the requirements at 10 U.S.C. 129d.,KB 2/USA/DFARS.pdf
SEC-204.7401,SUBPART-204.74,PART-204,204.7401,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.7402,SUBPART-204.74,PART-204,204.7402,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.7403,SUBPART-204.74,PART-204,204.7403,Contract clauses.,,KB 2/USA/DFARS.pdf
SEC-204.7500,SUBPART-204.75,PART-204,204.7500,Scope of subpart.,,KB 2/USA/DFARS.pdf
SEC-204.7501,SUBPART-204.75,PART-204,204.7501,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.7502,SUBPART-204.75,PART-204,204.7502,Policy.,,KB 2/USA/DFARS.pdf
SEC-204.7503,SUBPART-204.75,PART-204,204.7503,Procedures.,,KB 2/USA/DFARS.pdf
SEC-204.7504,SUBPART-204.75,PART-204,204.7504,Solicitation provision and contract clause.,,KB 2/USA/DFARS.pdf
SEC-204.7600,SUBPART-204.76,PART-204,204.7600,Scope of subpart.,This subpart provides policies and procedures for use of the Supplier Performance Risk System (SPRS) risk assessments in the evaluation of a quotation or offer.,KB 2/USA/DFARS.pdf
SEC-204.7601,SUBPART-204.76,PART-204,204.7601,Definitions.,As used in this subpart—,KB 2/USA/DFARS.pdf
SEC-204.7602,SUBPART-204.76,PART-204,204.7602,Applicability.,"Use of SPRS risk assessments is required for the evaluation of quotations or offers in response to solicitations for supplies and services, including solicitations using FAR part 12 procedures for the acquisition of commercial products and commercial services, excluding solicitations for the procurement of supplies or services exempted by the Department of Defense Instruction (DoDI) 5000.79, Defense-wide Sharing and Use of Supplier and Product Performance Information. SPRS retrieves item, price, quality, delivery, and contractor information from contracts in Government reporting systems in order to develop risk assessments of contractors. SPRS is available at https://piee.eb.mil/, and the SPRS user’s guides are available at https://www.sprs.csd.disa.mil/reference.htm.",KB 2/USA/DFARS.pdf
SEC-204.7603,SUBPART-204.76,PART-204,204.7603,Procedures.,"The contracting officer shall consider price risk and supplier risk, if available in SPRS, as a part of the award decision. For procurement of an end product identified by a material identifier that is available as described at 204.7603, the contracting officer shall also consider assessments of item risk, if available, as a part of the award decision. Offerors or quoters without a risk assessment in SPRS shall not be considered favorably or unfavorably. Contracting officers shall use their discretion in considering the information available in SPRS on item risk, price risk, and supplier risk as follows:",KB 2/USA/DFARS.pdf
SEC-204.7604,SUBPART-204.76,PART-204,204.7604,Solicitation provision.,"Except for supplies or services exempted by DoDI 5000.79, use the provision at 252.204-7024, Notice on the Use of the Supplier Performance Risk System, in solicitations for supplies and services, including solicitations using FAR part 12 procedures for the acquisition of commercial products and commercial services.",KB 2/USA/DFARS.pdf
SEC-205.102,SUBPART-205.1,PART-205,205.102,Availability of solicitations.,,KB 2/USA/DFARS.pdf
SEC-205.102-70,SUBPART-205.1,PART-205,205.102-70,Availability of DoD solicitations.,See PGI 205.102-70 for policy and procedures related to the Solicitation Module within the Procurement Integrated Enterprise Environment.,KB 2/USA/DFARS.pdf
SEC-205.203,SUBPART-205.2,PART-205,205.203,Publicizing and response time.,,KB 2/USA/DFARS.pdf
SEC-205.205,SUBPART-205.2,PART-205,205.205,Special situations.,See PGI 205.205 for instructions on the solicitation notice regarding timely definitization of equitable adjustments for change orders under construction contracts.,KB 2/USA/DFARS.pdf
SEC-205.205-70,SUBPART-205.2,PART-205,205.205-70,Notification of bundling of DoD contracts.,,KB 2/USA/DFARS.pdf
SEC-205.205-71,SUBPART-205.2,PART-205,205.205-71,Only one responsible source.,Follow the procedures at PGI 206.302-1 (d) prior to soliciting a proposal without providing for full and open competition under the authority at FAR 6.302-1.,KB 2/USA/DFARS.pdf
SEC-205.207,SUBPART-205.2,PART-205,205.207,Preparation and transmittal of synopses.,,KB 2/USA/DFARS.pdf
SEC-205.301,SUBPART-205.3,PART-205,205.301,General.,,KB 2/USA/DFARS.pdf
SEC-205.303,SUBPART-205.3,PART-205,205.303,Announcement of contract awards.,,KB 2/USA/DFARS.pdf
SEC-205.470,SUBPART-205.4,PART-205,205.470,Contract clause.,"Use the clause at 252.205-7000 , Provision of Information to Cooperative Agreement Holders, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial products and commercial services, except for solicitations and contracts solely for the acquisition of commercially available off-the-shelf items, that are expected to exceed $1.5 million. This clause implements 10 U.S.C. 4957.",KB 2/USA/DFARS.pdf
SEC-205.502,SUBPART-205.5,PART-205,205.502,Authority.,,KB 2/USA/DFARS.pdf
SEC-206.000,,PART-206,206.000,Scope of part.,"For information on the various approaches that may be used to competitively fulfill DoD requirements, see PGI 206.000 .",KB 2/USA/DFARS.pdf
SEC-206.001,,PART-206,206.001,Applicability.,,KB 2/USA/DFARS.pdf
SEC-206.001-70,,PART-206,206.001-70,Exception for prototype projects for follow-on production contracts.,,KB 2/USA/DFARS.pdf
SEC-206.102,SUBPART-206.1,PART-206,206.102,Use of competitive procedures.,,KB 2/USA/DFARS.pdf
SEC-206.102-70,SUBPART-206.1,PART-206,206.102-70,Other competitive procedures.,,KB 2/USA/DFARS.pdf
SEC-206.202,SUBPART-206.2,PART-206,206.202,Establishing or maintaining alternative sources.,,KB 2/USA/DFARS.pdf
SEC-206.302,SUBPART-206.3,PART-206,206.302,Circumstances permitting other than full and open competition.,,KB 2/USA/DFARS.pdf
SEC-206.302-1,SUBPART-206.3,PART-206,206.302-1,Only one responsible source and no other supplies or services will satisfy agency requirements.,,KB 2/USA/DFARS.pdf
SEC-206.302-2,SUBPART-206.3,PART-206,206.302-2,Unusual and compelling urgency.,,KB 2/USA/DFARS.pdf
SEC-206.302-3,SUBPART-206.3,PART-206,206.302-3,"Industrial mobilization, engineering, developmental, or research capability, or expert services.",,KB 2/USA/DFARS.pdf
SEC-206.302-3-70,SUBPART-206.3,PART-206,206.302-3-70,Solicitation provision.,"Use the provision at 252.206-7000 , Domestic Source Restriction, in all solicitations that are restricted to domestic sources under the authority of FAR 6.302-3.",KB 2/USA/DFARS.pdf
SEC-206.302-4,SUBPART-206.3,PART-206,206.302-4,International agreement.,,KB 2/USA/DFARS.pdf
SEC-206.302-5,SUBPART-206.3,PART-206,206.302-5,Authorized or required by statute.,,KB 2/USA/DFARS.pdf
SEC-206.302-7,SUBPART-206.3,PART-206,206.302-7,Public interest.,,KB 2/USA/DFARS.pdf
SEC-206.303,SUBPART-206.3,PART-206,206.303,Justifications.,,KB 2/USA/DFARS.pdf
SEC-206.303-1,SUBPART-206.3,PART-206,206.303-1,Requirements.,,KB 2/USA/DFARS.pdf
SEC-206.303-2,SUBPART-206.3,PART-206,206.303-2,Content.,,KB 2/USA/DFARS.pdf
SEC-206.303-70,SUBPART-206.3,PART-206,206.303-70,Acquisitions in support of operations in Afghanistan.,The justification and approval addressed in FAR 6.303 is not required for acquisitions conducted using a procedure specified in 225.7703-1 (a).,KB 2/USA/DFARS.pdf
SEC-206.304,SUBPART-206.3,PART-206,206.304,Approval of the justification.,,KB 2/USA/DFARS.pdf
SEC-206.305,SUBPART-206.3,PART-206,206.305,Availability of the justification.,"See PGI 206.305 for further guidance on the requirements for preparing, obtaining approval, and posting justification and approval documents for contracts awarded using the authority of FAR 6.302-2.",KB 2/USA/DFARS.pdf
SEC-207.102,SUBPART-207.1,PART-207,207.102,Policy.,,KB 2/USA/DFARS.pdf
SEC-207.103,SUBPART-207.1,PART-207,207.103,Agency-head responsibilities.,,KB 2/USA/DFARS.pdf
SEC-207.104,SUBPART-207.1,PART-207,207.104,General procedures.,"In developing an acquisition plan, agency officials shall take into account the requirement for scheduling and conducting a Peer Review in accordance with 201.170 .",KB 2/USA/DFARS.pdf
SEC-207.105,SUBPART-207.1,PART-207,207.105,Contents of written acquisition plans.,"In addition to the requirements of FAR 7.105, planners shall follow the procedures at PGI 207.105 .",KB 2/USA/DFARS.pdf
SEC-207.106,SUBPART-207.1,PART-207,207.106,Additional requirements for major systems.,,KB 2/USA/DFARS.pdf
SEC-207.108,SUBPART-207.1,PART-207,207.108,Additional requirements for telecommuting.,See PGI 207.108 for additional guidance concerning places of performance.,KB 2/USA/DFARS.pdf
SEC-207.170,SUBPART-207.1,PART-207,207.170,Reserved.,,KB 2/USA/DFARS.pdf
SEC-207.171,SUBPART-207.1,PART-207,207.171,Component breakout.,,KB 2/USA/DFARS.pdf
SEC-207.171-1,SUBPART-207.1,PART-207,207.171-1,Scope.,,KB 2/USA/DFARS.pdf
SEC-207.171-2,SUBPART-207.1,PART-207,207.171-2,Definition.,,KB 2/USA/DFARS.pdf
SEC-207.171-3,SUBPART-207.1,PART-207,207.171-3,Policy.,DoD policy is to break out components of weapons systems or other major end items under certain circumstances.,KB 2/USA/DFARS.pdf
SEC-207.171-4,SUBPART-207.1,PART-207,207.171-4,Procedures.,Agencies shall follow the procedures at PGI 207.171-4 for component breakout.,KB 2/USA/DFARS.pdf
SEC-207.172,SUBPART-207.1,PART-207,207.172,Human research.,Any DoD component sponsoring research involving human subjects—,KB 2/USA/DFARS.pdf
