part_id,part_number,part_title,source_document
DFARS-P231,231,CONTRACT COST PRINCIPLES AND PROCEDURES,KB 2/USA/DFARS.pdf
DFARS-P232,232,CONTRACT FINANCING,KB 2/USA/DFARS.pdf
DFARS-P233,233,"PROTESTS, DISPUTES, AND APPEALS",KB 2/USA/DFARS.pdf
DFARS-P234,234,MAJOR SYSTEM ACQUISITION,KB 2/USA/DFARS.pdf
DFARS-P235,235,RESEARCH AND DEVELOPMENT CONTRACTING,KB 2/USA/DFARS.pdf
DFARS-P236,236,CONSTRUCTION AND ARCHITECT — ENGINEER CONTRACTS,KB 2/USA/DFARS.pdf
DFARS-P237,237,SERVICE CONTRACTING,KB 2/USA/DFARS.pdf
DFARS-PART-238,238,RESERVED,KB 2/USA/DFARS.pdf
DFARS-PART-239,239,ACQUISITION OF INFORMATION TECHNOLOGY,KB 2/USA/DFARS.pdf
DFARS-PART-240,240,RESERVED,KB 2/USA/DFARS.pdf
DFARS-PART-241,241,ACQUISITION OF UTILITY SERVICES,KB 2/USA/DFARS.pdf
DFARS-PART-242,242,CONTRACT ADMINISTRATION,KB 2/USA/DFARS.pdf
DFARS-PART-243,243,CONTRACT MODIFICATIONS,KB 2/USA/DFARS.pdf
DFARS-PART-244,244,SUBCONTRACTING POLICIES AND PROCEDURES,KB 2/USA/DFARS.pdf
DFARS-PART-245,245,GOVERNMENT PROPERTY,KB 2/USA/DFARS.pdf
DFARS-PART-246,246,QUALITY ASSURANCE,KB 2/USA/DFARS.pdf
DFARS-PART-247,247,TRANSPORTATION,KB 2/USA/DFARS.pdf
DFARS-PART-248,248,RESERVED,KB 2/USA/DFARS.pdf
DFARS-PART-249,249,TERMINATION OF CONTRACTS,KB 2/USA/DFARS.pdf
DFARS-PART-250,250,EXTRAORDINARY CONTRACTUAL ACTIONS,KB 2/USA/DFARS.pdf
DFARS-PART-251,251,USE OF GOVERNMENT SOURCES BY CONTRACTORS,KB 2/USA/DFARS.pdf
DFARS-P252,252,SOLICITATION PROVISIONS AND CONTRACT CLAUSES,KB 2/USA/DFARS.pdf
PART-252,252,,KB 2/USA/DFARS.pdf
DFARS-PART-252,252,SOLICITATION PROVISIONS AND CONTRACT CLAUSES,KB 2/USA/DFARS.pdf
PART_253,253,FORMS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
PART_270,270,DEFENSE CONTRACTING PROGRAMS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_A,Appendix A,ARMED SERVICES BOARD OF CONTRACT APPEALS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_B,Appendix B,RESERVED TABLE OF CONTENTS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_C,Appendix C,RESERVED TABLE OF CONTENTS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_D,Appendix D,RESERVED TABLE OF CONTENTS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_E,Appendix E,RESERVED TABLE OF CONTENTS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_F,Appendix F,MATERIAL INSPECTION AND RECEIVING REPORT,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_G,Appendix G,RESERVED TABLE OF CONTENTS,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_H,Appendix H,DEBARMENT AND SUSPENSION PROCEDURES,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
APP_I,Appendix I,POLICY AND PROCEDURES FOR THE DOD PILOT MENTOR-PROTEGE PROGRAM,"DFARS.pdf (KB 2/USA/DFARS.pdf) - PART 253, PART 270, Appendices A-I"
