clause_id,section_id,parent_clause_id,citation,label,level,text,source_document
CL-11.1(k),SEC-11.1,,21 CFR 11.1(k),(k),1,"This part does not apply to records required to be established or maintained by part 112 of this chapter. Records that satisfy the requirements of part 112 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(l),SEC-11.1,,21 CFR 11.1(l),(l),1,"This part does not apply to records required to be established or maintained by subpart L of part 1 of this chapter. Records that satisfy the requirements of subpart L of part 1 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(m),SEC-11.1,,21 CFR 11.1(m),(m),1,"This part does not apply to records required to be established or maintained by subpart M of part 1 of this chapter. Records that satisfy the requirements of subpart M of part 1 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(n),SEC-11.1,,21 CFR 11.1(n),(n),1,"This part does not apply to records required to be established or maintained by subpart O of part 1 of this chapter. Records that satisfy the requirements of subpart O of part 1 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(o),SEC-11.1,,21 CFR 11.1(o),(o),1,"This part does not apply to records required to be established or maintained by part 121 of this chapter. Records that satisfy the requirements of part 121 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(p),SEC-11.1,,21 CFR 11.1(p),(p),1,"This part does not apply to records required to be established or maintained by subpart R of part 1 of this chapter. Records that satisfy the requirements of subpart R of part 1 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(a),SEC-11.2,,21 CFR 11.2(a),(a),1,"For records required to be maintained but not submitted to the agency, persons may use electronic records in lieu of paper records or electronic signatures in lieu of traditional signatures, in whole or in part, provided that the requirements of this part are met.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b),SEC-11.2,,21 CFR 11.2(b),(b),1,"For records submitted to the agency, persons may use electronic records in lieu of paper records or electronic signatures in lieu of traditional signatures, in whole or in part, provided that:","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b)(1),SEC-11.2,CL-11.2(b),21 CFR 11.2(b)(1),(1),2,The requirements of this part are met; and,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b)(2),SEC-11.2,CL-11.2(b),21 CFR 11.2(b)(2),(2),2,"The document or parts of a document to be submitted have been identified in public docket No. 92S-0251 as being the type of submission the agency accepts in electronic form. This docket will identify specifically what types of documents or parts of documents are acceptable for submission in electronic form without paper records and the agency receiving unit(s) (e.g., specific center, office, division, branch) to which such submissions may be made. Documents to agency receiving unit(s) not specified in the public docket will not be considered as official if they are submitted in electronic form; paper forms of such documents will be considered as official and must accompany any electronic records. Persons are expected to consult with the intended agency receiving unit for details on how (e.g., method of transmission, media, file formats, and technical protocols) and whether to proceed with the electronic submission.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(a),SEC-11.3,,21 CFR 11.3(a),(a),1,The definitions and interpretations of terms contained in section 201 of the act apply to those terms when used in this part.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b),SEC-11.3,,21 CFR 11.3(b),(b),1,The following definitions of terms also apply to this part:,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(1),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(1),(1),2,"Act means the Federal Food, Drug, and Cosmetic Act (secs. 201-903 (21 U.S.C. 321-393)).","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(2),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(2),(2),2,Agency means the Food and Drug Administration.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(3),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(3),(3),2,Biometrics means a method of verifying an individual's identity based on measurement of the individual's physical feature(s) or repeatable action(s) where those features and/or actions are both unique to that individual and measurable.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(4),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(4),(4),2,Closed system means an environment in which system access is controlled by persons who are responsible for the content of electronic records that are on the system.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(5),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(5),(5),2,"Digital signature means an electronic signature based upon cryptographic methods of originator authentication, computed by using a set of rules and a set of parameters such that the identity of the signer and the integrity of the data can be verified.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(6),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(6),(6),2,"Electronic record means any combination of text, graphics, data, audio, pictorial, or other information representation in digital form that is created, modified, maintained, archived, retrieved, or distributed by a computer system.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(7),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(7),(7),2,"Electronic signature means a computer data compilation of any symbol or series of symbols executed, adopted, or authorized by an individual to be the legally binding equivalent of the individual's handwritten signature.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(8),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(8),(8),2,"Handwritten signature means the scripted name or legal mark of an individual handwritten by that individual and executed or adopted with the present intention to authenticate a writing in a permanent form. The act of signing with a writing or marking instrument such as a pen or stylus is preserved. The scripted name or legal mark, while conventionally applied to paper, may also be applied to other devices that capture the name or mark.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b)(9),SEC-11.3,CL-11.3(b),21 CFR 11.3(b)(9),(9),2,Open system means an environment in which system access is not controlled by persons who are responsible for the content of electronic records that are on the system.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(a),SEC-11.10,,21 CFR 11.10(a),(a),1,"Validation of systems to ensure accuracy, reliability, consistent intended performance, and the ability to discern invalid or altered records.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(b),SEC-11.10,,21 CFR 11.10(b),(b),1,"The ability to generate accurate and complete copies of records in both human readable and electronic form suitable for inspection, review, and copying by the agency. Persons should contact the agency if there are any questions regarding the ability of the agency to perform such review and copying of the electronic records.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(c),SEC-11.10,,21 CFR 11.10(c),(c),1,Protection of records to enable their accurate and ready retrieval throughout the records retention period.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(d),SEC-11.10,,21 CFR 11.10(d),(d),1,Limiting system access to authorized individuals.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(e),SEC-11.10,,21 CFR 11.10(e),(e),1,"Use of secure, computer-generated, time-stamped audit trails to independently record the date and time of operator entries and actions that create, modify, or delete electronic records. Record changes shall not obscure previously recorded information. Such audit trail documentation shall be retained for a period at least as long as that required for the subject electronic records and shall be available for agency review and copying.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(f),SEC-11.10,,21 CFR 11.10(f),(f),1,"Use of operational system checks to enforce permitted sequencing of steps and events, as appropriate.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(g),SEC-11.10,,21 CFR 11.10(g),(g),1,"Use of authority checks to ensure that only authorized individuals can use the system, electronically sign a record, access the operation or computer system input or output device, alter a record, or perform the operation at hand.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(h),SEC-11.10,,21 CFR 11.10(h),(h),1,"Use of device (e.g., terminal) checks to determine, as appropriate, the validity of the source of data input or operational instruction.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(i),SEC-11.10,,21 CFR 11.10(i),(i),1,"Determination that persons who develop, maintain, or use electronic record/electronic signature systems have the education, training, and experience to perform their assigned tasks.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(j),SEC-11.10,,21 CFR 11.10(j),(j),1,"The establishment of, and adherence to, written policies that hold individuals accountable and responsible for actions initiated under their electronic signatures, in order to deter record and signature falsification.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(k),SEC-11.10,,21 CFR 11.10(k),(k),1,Use of appropriate controls over systems documentation including:,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(k)(1),SEC-11.10,CL-11.10(k),21 CFR 11.10(k)(1),(1),2,"Adequate controls over the distribution of, access to, and use of documentation for system operation and maintenance.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.10(k)(2),SEC-11.10,CL-11.10(k),21 CFR 11.10(k)(2),(2),2,Revision and change control procedures to maintain an audit trail that documents time-sequenced development and modification of systems documentation.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.50(a),SEC-11.50,,21 CFR 11.50(a),(a),1,Signed electronic records shall contain information associated with the signing that clearly indicates all of the following:,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.50(a)(1),SEC-11.50,CL-11.50(a),21 CFR 11.50(a)(1),(1),2,The printed name of the signer;,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.50(a)(2),SEC-11.50,CL-11.50(a),21 CFR 11.50(a)(2),(2),2,The date and time when the signature was executed; and,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.50(a)(3),SEC-11.50,CL-11.50(a),21 CFR 11.50(a)(3),(3),2,"The meaning (such as review, approval, responsibility, or authorship) associated with the signature.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.50(b),SEC-11.50,,21 CFR 11.50(b),(b),1,"The items identified in paragraphs (a)(1), (a)(2), and (a)(3) of this section shall be subject to the same controls as for electronic records and shall be included as part of any human readable form of the electronic record (such as electronic display or printout).","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.100(a),SEC-11.100,,21 CFR 11.100(a),(a),1,"Each electronic signature shall be unique to one individual and shall not be reused by, or reassigned to, anyone else.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.100(b),SEC-11.100,,21 CFR 11.100(b),(b),1,"Before an organization establishes, assigns, certifies, or otherwise sanctions an individual's electronic signature, or any element of such electronic signature, the organization shall verify the identity of the individual.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.100(c),SEC-11.100,,21 CFR 11.100(c),(c),1,"Persons using electronic signatures shall, prior to or at the time of such use, certify to the agency that the electronic signatures in their system, used on or after August 20, 1997, are intended to be the legally binding equivalent of traditional handwritten signatures.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.100(c)(1),SEC-11.100,CL-11.100(c),21 CFR 11.100(c)(1),(1),2,The certification shall be signed with a traditional handwritten signature and submitted in electronic or paper form. Information on where to submit the certification can be found on FDA's web page on Letters of Non-Repudiation Agreement.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.100(c)(2),SEC-11.100,CL-11.100(c),21 CFR 11.100(c)(2),(2),2,"Persons using electronic signatures shall, upon agency request, provide additional certification or testimony that a specific electronic signature is the legally binding equivalent of the signer's handwritten signature.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a),SEC-11.200,,21 CFR 11.200(a),(a),1,Electronic signatures that are not based upon biometrics shall:,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a)(1),SEC-11.200,CL-11.200(a),21 CFR 11.200(a)(1),(1),2,Employ at least two distinct identification components such as an identification code and password.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a)(1)(i),SEC-11.200,CL-11.200(a)(1),21 CFR 11.200(a)(1)(i),(i),3,"When an individual executes a series of signings during a single, continuous period of controlled system access, the first signing shall be executed using all electronic signature components; subsequent signings shall be executed using at least one electronic signature component that is only executable by, and designed to be used only by, the individual.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a)(1)(ii),SEC-11.200,CL-11.200(a)(1),21 CFR 11.200(a)(1)(ii),(ii),3,"When an individual executes one or more signings not performed during a single, continuous period of controlled system access, each signing shall be executed using all of the electronic signature components.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a)(2),SEC-11.200,CL-11.200(a),21 CFR 11.200(a)(2),(2),2,Be used only by their genuine owners; and,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(a)(3),SEC-11.200,CL-11.200(a),21 CFR 11.200(a)(3),(3),2,Be administered and executed to ensure that attempted use of an individual's electronic signature by anyone other than its genuine owner requires collaboration of two or more individuals.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.200(b),SEC-11.200,,21 CFR 11.200(b),(b),1,Electronic signatures based upon biometrics shall be designed to ensure that they cannot be used by anyone other than their genuine owners.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.300(a),SEC-11.300,,21 CFR 11.300(a),(a),1,"Maintaining the uniqueness of each combined identification code and password, such that no two individuals have the same combination of identification code and password.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.300(b),SEC-11.300,,21 CFR 11.300(b),(b),1,"Ensuring that identification code and password issuances are periodically checked, recalled, or revised (e.g., to cover such events as password aging).","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.300(c),SEC-11.300,,21 CFR 11.300(c),(c),1,"Following loss management procedures to electronically deauthorize lost, stolen, missing, or otherwise potentially compromised tokens, cards, and other devices that bear or generate identification code or password information, and to issue temporary or permanent replacements using suitable, rigorous controls.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.300(d),SEC-11.300,,21 CFR 11.300(d),(d),1,"Use of transaction safeguards to prevent unauthorized use of passwords and/or identification codes, and to detect and report in an immediate and urgent manner any attempts at their unauthorized use to the system security unit, and, as appropriate, to organizational management.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.300(e),SEC-11.300,,21 CFR 11.300(e),(e),1,"Initial and periodic testing of devices, such as tokens or cards, that bear or generate identification code or password information to ensure that they function properly and have not been altered in an unauthorized manner.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
