source_id,target_id,rel_type,source_document
G-IV,REF-FDA-1,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-FDA-2,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-FDA-3,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-FDA-4,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-IND-1,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-IND-2,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-IV,REF-IND-3,CITES_REFERENCE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.1,EP-VALIDATION,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.2,EP-AUDIT-TRAIL,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.3,EP-LEGACY,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.4,EP-COPIES,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.5,EP-RETENTION,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.1,EP-NARROW-SCOPE,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,EP-CONTINUED-ENFORCEMENT,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,EP-PART11-IN-EFFECT,ANNOUNCES,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
