sourcecontrol_id,control_identifier,control_name,sp800_53_family,catalog,source_document
AC-05,AC-05,Separation of Duties,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06,AC-06,Least Privilege,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(01),AC-06(01),Least Privilege | Authorize Access to Security Functions,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(02),AC-06(02),Least Privilege | Non-Privileged Access for Non-Security Functions,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(05),AC-06(05),Least Privilege | Privileged Accounts,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(07),AC-06(07),Least Privilege | Review of User Privileges,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(09),AC-06(09),Least Privilege | Log Use of Privileged Functions,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-06(10),AC-06(10),Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-07,AC-07,Unsuccessful Logon Attempts,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-08,AC-08,System Use Notification,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-11,AC-11,Device Lock,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-11(01),AC-11(01),Device Lock | Pattern-Hiding Displays,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-12,AC-12,Session Termination,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-14,AC-14,Permitted Actions Without Identification or Authentication,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-17,AC-17,Remote Access,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-17(01),AC-17(01),Remote Access | Monitoring and Control,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-17(02),AC-17(02),Remote Access | Protection of Confidentiality and Integrity Using Encryption,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-17(03),AC-17(03),Remote Access | Managed Access Control Points,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-17(04),AC-17(04),Remote Access | Privileged Commands and Access,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-18,AC-18,Wireless Access,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-18(01),AC-18(01),Wireless Access | Authentication and Encryption,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-18(03),AC-18(03),Wireless Access | Disable Wireless Networking,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-19,AC-19,Access Control for Mobile Devices,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-19(05),AC-19(05),Access Control for Mobile Devices | Full Device or Container- Based Encryption,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-20,AC-20,Use of External Systems,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-20(01),AC-20(01),Use of External Systems | Limits on Authorized Use,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-20(02),AC-20(02),Use of External Systems | Portable Storage Devices – Restricted Use,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-21,AC-21,Information Sharing,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-22,AC-22,Publicly Accessible Content,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-01,AT-01,Policy and Procedures,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-02,AT-02,Literacy Training and Awareness,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-02(02),AT-02(02),Literacy Training and Awareness | Insider Threat,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-02(03),AT-02(03),Literacy Training and Awareness | Social Engineering and Mining,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-03,AT-03,Role-Based Training,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AT-04,AT-04,Training Records,AT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-01,AU-01,Policy and Procedures,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-02,AU-02,Event Logging,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-03,AU-03,Content of Audit Records,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-03(01),AU-03(01),Additional Audit Information,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-04,AU-04,Audit Log Storage Capacity,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-05,AU-05,Response to Audit Logging Process Failures,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-06,AU-06,"Audit Record Review, Analysis, and Reporting",AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-06(01),AU-06(01),"Audit Record Review, Analysis, and Reporting | Automated Process Integration",AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-06(03),AU-06(03),"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-07,AU-07,Audit Record Reduction and Report Generation,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-07(01),AU-07(01),Audit Record Reduction and Report Generation | Automatic Processing,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-08,AU-08,Time Stamps,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-09,AU-09,Protection of Audit Information,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-09(04),AU-09(04),Protection of Audit Information | Access by Subset of Privileged Users,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-11,AU-11,Audit Record Retention,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AU-12,AU-12,Audit Record Generation,AU,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-01,CA-01,Policy and Procedures,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-02,CA-02,Control Assessments,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-02(01),CA-02(01),Control Assessments | Independent Assessors,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-03,CA-03,Information Exchange,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-05,CA-05,Plan of Action and Milestones,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-06,CA-06,Authorization,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-07,CA-07,Continuous Monitoring,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-07(01),CA-07(01),Continuous Monitoring | Independent Assessment,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-07(04),CA-07(04),Continuous Monitoring | Risk Monitoring,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CA-09,CA-09,Internal System Connections,CA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-01,CM-01,Policy and Procedures,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-02,CM-02,Baseline Configuration,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-02(02),CM-02(02),Baseline Configuration | Automation Support for Accuracy and Currency,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-02(03),CM-02(03),Baseline Configuration | Retention of Previous Configurations,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-02(07),CM-02(07),Baseline Configuration | Configure Systems and Components for High-Risk Areas,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-03,CM-03,Configuration Change Control,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-03(02),CM-03(02),"Configuration Change Control | Testing, Validation, and Documentation of Changes",CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-03(04),CM-03(04),Configuration Change Control | Security and Privacy Representatives,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-04,CM-04,Impact Analyses,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-04(02),CM-04(02),Impact Analyses | Verification of Controls,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-05,CM-05,Access Restrictions for Change,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-06,CM-06,Configuration Settings,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-07,CM-07,Least Functionality,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-07(01),CM-07(01),Least Functionality | Periodic Review,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-07(02),CM-07(02),Least Functionality | Prevent Program Execution,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-07(05),CM-07(05),Least Functionality | Authorized Software – Allow by Exception,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-08,CM-08,System Component Inventory,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-08(01),CM-08(01),System Component Inventory | Updates During Installation and Removal,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-08(03),CM-08(03),System Component Inventory | Automated Unauthorized Component Detection,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-09,CM-09,Configuration Management Plan,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-10,CM-10,Software Usage Restrictions,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-11,CM-11,User-Installed Software,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-12,CM-12,Information Location,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CM-12(01),CM-12(01),Information Location | Automated Tools to Support Information Location,CM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-01,CP-01,Policy and Procedures,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-02,CP-02,Contingency Plan,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-02(01),CP-02(01),Contingency Plan | Coordinate With Related Plans,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-02(03),CP-02(03),Contingency Plan | Resume Mission and Business Functions,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-02(08),CP-02(08),Contingency Plan | Identify Critical Assets,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-03,CP-03,Contingency Training,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
