node_id,payment_brand_name,official_full_name,headquarters_location,founded_year,market_coverage,accepted_merchants_worldwide,transaction_volume_annual,network_type,card_types_supported,geographic_focus,regional_dominance,pci_dss_compliance,security_standards,data_protection_requirements,fraud_prevention
pb_012,Nets,Nets A/S,"Copenhagen, Denmark",1974,"Regional - Nordic/Baltic focus, EU","Millions of merchant terminals (Nordic focus)","Billions of transactions annually","Domestic/Regional debit and payment network (Nordic countries)","Nets Debit; Nets Credit; Regional co-branded cards","Regional - Nordic countries (Norway, Sweden, Denmark, Finland), Baltics","Nordic debit standard; Strong in Nordic region; Limited EU expansion","PCI DSS compliance; Nordic payment standards; EU regulations compliance","Nordic banking security standards; Chip technology; Real-time verification","256-bit encryption; EU data residency; GDPR compliance; Real-time monitoring","Real-time fraud detection; Nordic banking security integration; Transaction verification"
pb_013,Diners Club,Discover Global Network (Diners Club International),"Riverwoods, Illinois, USA / United Kingdom",1950,"Regional - International presence, premium","2+ million merchants worldwide (premium focus)","Millions of premium transactions annually","Quasi-four-party network (primarily charge card model)","Diners Club Charge Card; Diners Club Credit; Diners Club Prepaid","Worldwide - Premium and business customers globally","Premium card market; International business traveler focus; Growing in Asia Pacific","PCI DSS compliance; Diners Club security standards; International compliance","Premium security features; International fraud prevention; Real-time monitoring","Strong encryption; TLS 1.2+; International data security; Real-time monitoring","Advanced fraud detection; International security protocols; Premium account monitoring"
pb_014,KNET,Kuwait National Bank,"Kuwait City, Kuwait",1982,"Regional - Middle East/GCC","Thousands of merchants (Kuwait and GCC)","Millions of transactions annually (regional)","Domestic/Regional debit network (GCC)","KNET Debit; KNET co-branded cards","Regional - Kuwait and GCC countries","Dominant Kuwaiti debit network; GCC regional payments platform","KNET security standards; GCC payment regulations; PCI DSS compliance for international processors","GCC banking security standards; PIN-based security; Real-time verification","Encryption standards (country-specific); GCC data residency; Real-time monitoring","Real-time fraud detection; GCC banking security protocols; Secure PIN handling"
pb_015,Shetab,CBI (Central Bank of Iran),"Tehran, Iran",2004,"Regional - Iran domestic","Extensive merchant network (Iran domestic)","Billions of transactions annually (domestic)","Domestic debit network (Iran only, sanctions-impacted)","Shetab Debit; Shetab co-branded cards","Regional - Iran (domestic only due to international sanctions)","Iranian domestic standard; No international connectivity due to SWIFT restrictions","Iranian banking standards; Limited international compliance; Domestic-focused security","Iranian banking security protocols; PIN verification; Domestic encryption","Domestic encryption; Iran CBI standards; Limited international data transfer","Real-time fraud detection; Iranian banking system integration; Domestic security"
pb_016,Elo,Elo Participações S.A.,"Barueri, São Paulo, Brazil",1994,"Regional - Latin America (Brazil-focused)","2+ million merchants (Brazil-centric)","Billions of transactions annually (Brazil)","Domestic debit and credit network (Brazil)","Elo Debit; Elo Credit; Elo Prepaid; Elo Redecard co-branded","Regional - Brazil and select Latin America","Largest Brazilian domestic card network; Joint venture with Visa/Mastercard; Growing regional presence","PCI DSS compliance for international processing; Brazil BACEN standards; LatAm regulations","Brazilian banking security standards; Chip technology; Real-time verification; Contactless support","256-bit encryption; Brazilian data residency; PCI DSS compliance; Real-time monitoring","Real-time fraud detection; Brazilian banking integration; Transaction verification; Risk scoring"
pb_017,PROSA,Prosa Sociedad Anónima,"Mexico City, Mexico",2006,"Regional - Mexico and Latin America","500,000+ merchants (Mexico-focused)","Millions of transactions annually (Mexico)","Domestic debit and credit network (Mexico)","PROSA Debit; PROSA Credit; PROSA co-branded cards","Regional - Mexico and select Central America","Prominent Mexican payment network; Focus on financial inclusion; Growing regional presence","PCI DSS compliance for international processing; Mexican banking standards; LatAm regulations","Mexican banking security protocols; Chip technology; Real-time verification; Mobile integration","256-bit encryption; Mexican data residency; Real-time monitoring; Mobile security","Real-time fraud detection; Mexican banking partnerships; Transaction verification"
pb_018,BC Card,BC Global Co. Ltd.,"Seoul, South Korea",1984,"Regional - Asia Pacific","2+ million merchants (South Korea-focused)","Billions of transactions annually (Korea)","Domestic credit and debit network (South Korea)","BC Card Debit; BC Card Credit; BC Card Prepaid; Co-branded cards","Regional - South Korea and select Asia Pacific","Dominant South Korean card network; Growing regional expansion; International partnerships","PCI DSS compliance for international processing; Korean banking standards; Asia-Pacific regulations","South Korean banking security standards; Chip technology; Real-time verification; EMV compliance","256-bit encryption; South Korean data residency; Real-time monitoring; Mobile security","Real-time fraud detection; Korean banking integration; Transaction verification; Mobile payments"
pb_019,NETS (eftpos),National Electronic Funds Transfer Pty Ltd.,"Sydney, Australia",1987,"Regional - Australia and New Zealand","Millions of merchant terminals (Australia/NZ)","Billions of transactions annually (regional)","Domestic debit and EFTPOS network (Australia/NZ)","eftpos Australia Debit; eftpos NZ Debit; Co-branded cards","Regional - Australia and New Zealand","Dominant EFTPOS network in Australia/NZ; Strong regional presence; International connections","PCI DSS compliance; Australia ASIC standards; NZ financial regulations","Australian banking security standards; PIN-based security; Chip technology; Real-time verification","256-bit encryption; AU/NZ data residency; Real-time monitoring; EFTPOS security","Real-time fraud detection; Australian banking partnerships; Transaction verification; EFTPOS security"
pb_020,ReCOL,RedCompra,"Santiago, Chile",2003,"Regional - Chile and South America","1+ million merchants (Chile-focused)","Hundreds of millions transactions annually (regional)","Domestic debit and credit network (Chile)","RedCompra Debit; RedCompra Credit; Co-branded cards","Regional - Chile and select South America","Leading Chilean payment network; Growing regional expansion; Latin American presence","PCI DSS compliance for international processing; Chilean banking standards; LatAm regulations","Chilean banking security protocols; Chip technology; Real-time verification","256-bit encryption; Chilean data residency; Real-time monitoring; Mobile integration","Real-time fraud detection; Chilean banking partnerships; Transaction verification"
pb_021,BLIK,BLIK Association,"Warsaw, Poland",2015,"Regional - Poland and Europe","Millions of merchants (Poland-focused)","Millions of mobile payment transactions (Poland/EU)","Mobile payment and digital wallet network (emerging)","BLIK Mobile Payment; BLIK-enabled cards; Digital integration","Regional - Poland, expanding EU","Popular Polish mobile payment system; Growing EU expansion; Innovation-focused","PCI DSS compliance for payment processors; Poland NBP standards; EU regulations","Polish banking security protocols; Mobile app security; API security; Real-time verification","256-bit encryption; EU data residency; GDPR compliance; Real-time monitoring; Mobile security","Real-time fraud detection; Banking app integration; Transaction verification; Mobile security"
pb_022,MB Way,Multibanco,"Lisbon, Portugal",2010,"Regional - Portugal and EU","Millions of merchants (Portugal-focused)","Millions of mobile payment transactions (Portugal)","Mobile payment and digital wallet network (Portugal)","MB Way Mobile Payment; NFC payments; Digital integration","Regional - Portugal and select EU countries","Popular Portuguese mobile payment; NFC and QR code payments; Growing EU adoption","PCI DSS compliance for processors; Portuguese banking standards; EU regulations","Portuguese banking security; NFC security; Mobile app security; Real-time verification","256-bit encryption; EU data residency; GDPR compliance; Real-time monitoring; NFC security","Real-time fraud detection; Banking integration; Mobile security; Transaction verification"
pb_023,Smartlink,Smartlink (Vietnam),"Ho Chi Minh City, Vietnam",2007,"Regional - Vietnam","1+ million merchants (Vietnam)","Millions of transactions annually (Vietnam)","Domestic debit and payment network (Vietnam)","Smartlink Debit; Smartlink co-branded cards; Mobile payments","Regional - Vietnam and select Southeast Asia","Vietnamese debit standard; Growing mobile payment adoption; Regional expansion","PCI DSS compliance for international processors; Vietnam banking standards; ASEAN regulations","Vietnamese banking security protocols; PIN verification; Mobile integration; Real-time monitoring","Encryption standards (Vietnam-specific); Vietnamese data residency; Real-time monitoring","Real-time fraud detection; Vietnamese banking integration; Transaction verification; Mobile payments"
pb_024,Bancnet,Bancnet Phils Inc.,"Manila, Philippines",1981,"Regional - Philippines","Thousands of merchants (Philippines)","Millions of transactions annually (Philippines)","Domestic debit and ATM network (Philippines)","Bancnet Debit; Bancnet ATM cards; Co-branded cards","Regional - Philippines and select ASEAN","Philippine domestic ATM network; Banking system integration; Growing mobile expansion","PCI DSS compliance for international processing; Philippine banking standards; ASEAN regulations","Philippine banking security protocols; PIN verification; Mobile integration; Real-time monitoring","Encryption standards (PH-specific); Philippine data residency; Real-time monitoring","Real-time fraud detection; Philippine banking integration; ATM security; Mobile payments"
pb_025,Interswitch Verve,Interswitch Group,"Lagos, Nigeria",1997,"Regional - Africa","1+ million merchants (Africa)","Millions of transactions annually (Africa)","Pan-African payment network and digital payments","Verve Debit; Verve Credit; Verve Prepaid; Mobile payments; Digital wallets","Regional - Africa (Nigeria-headquartered, expanding continent)","Pan-African payment innovator; Strong in West Africa; Growing across Africa","Central Bank of Nigeria standards; PCI DSS for international processors; African banking standards","African banking security protocols; Mobile integration; Real-time verification; API security","256-bit encryption; Data residency (Africa); Real-time monitoring; Mobile app security","Real-time fraud detection; Mobile payment security; Banking integration; Transaction verification"
pb_026,S3,Sama Sama Service,"Singapore","2000s","Regional - Southeast Asia","Millions of merchants (SEA)","Millions of transactions annually (SEA)","Regional debit and mobile payment network","S3 Debit; S3 Mobile payments; Digital wallet integration","Regional - Southeast Asia","Southeast Asian payment infrastructure; Regional connectivity; Growing mobile focus","PCI DSS compliance for international processors; Singapore MAS standards; SEA regulations","Southeast Asian banking security; Mobile app security; Real-time verification; API security","256-bit encryption; Regional data standards; Real-time monitoring; Mobile security","Real-time fraud detection; Mobile payment security; Regional banking integration; Transaction verification"
