node_id,node_name,entity_type,definition,pci_dss_definition,compliance_level,transaction_threshold,assessment_type,compliance_requirements,applicable_standards,criticality
entity_011,Cloud Service Provider (Hosting CHD),Service Provider,"Cloud infrastructure, platform, or software service providers that host, store, or process cardholder data on behalf of merchants or service providers. Includes Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS), and Software-as-a-Service (SaaS) providers supporting payment applications or cardholder data environments.","Per PCI DSS: Service provider offering cloud computing services (IaaS, PaaS, SaaS) that stores, processes, or transmits cardholder data or provides infrastructure for cardholder data environments. Responsible for infrastructure security, network segmentation, encryption, access controls, and shared responsibility model documentation. Must maintain PCI DSS compliance for services in scope.",Level 1 or 2 (Service Provider),"Varies by volume; Level 1 if critical or high transaction volume","Annual QSA Assessment (Level 1) or SAQ D-Service Provider (Level 2); Attestation of Compliance; Quarterly scans; Third-party audit reports (SOC 2)","All 12 PCI DSS requirements for in-scope systems; Shared responsibility matrix clearly defined; Infrastructure security controls; Network virtualization security; Multi-tenancy controls; Container security; Encryption at rest and in transit; Key management; Access control and identity management; Logging and monitoring; Backup and recovery; Physical data center security; Compliance inheritance documentation; Customer responsibility documentation; Security configuration baselines; Vulnerability scanning; Penetration testing; Incident response; Breach notification; Service provider registration","PCI DSS v4.0.1 (mandatory); ISO 27001; SOC 2 Type II; CSA STAR Certification; GDPR; HIPAA (if applicable); FedRAMP (for government clients); Regional data sovereignty laws; Cloud security frameworks; Payment brand requirements",CRITICAL
entity_012,Managed Security Service Provider (MSSP),Service Provider,"Organizations providing managed security services for entities handling cardholder data. Services include managed firewall, intrusion detection/prevention, SIEM monitoring, vulnerability scanning, log management, incident response, and security operations center (SOC) services for payment environments.","Per PCI DSS: Service provider offering managed security services that monitor, manage, or have access to cardholder data environments or security controls protecting cardholder data. MSSPs must maintain PCI DSS compliance for their infrastructure and demonstrate secure practices for accessing client environments. Responsible for security control effectiveness and monitoring.",Level 1 or 2 (Service Provider),"Varies; typically Level 1 if managing critical infrastructure for Level 1 entities","Annual QSA Assessment or SAQ D-Service Provider; Attestation of Compliance; Quarterly ASV scans; Client audit rights","All 12 PCI DSS requirements for MSSP infrastructure; Secure remote access (MFA required); Network segmentation between clients; Least privilege access; Monitoring and logging of administrative access; Incident response procedures; Security operations center (SOC) security; SIEM platform security; Vulnerability management; Threat intelligence; Client data segregation; Secure communication channels; Personnel background checks; Security awareness training; Non-disclosure agreements; Service level agreements; Right-to-audit clauses; Third-party risk management; Annual security assessments","PCI DSS v4.0.1 (mandatory); ISO 27001; SOC 2 Type II; ISO 27017 (cloud security); ISO 27018 (cloud privacy); GDPR; Regional data protection laws; NIST Cybersecurity Framework; Industry-specific standards",HIGH
entity_013,E-commerce Merchant (Card Not Present),Merchant,"Merchants conducting business primarily or exclusively through online channels where payment cards are not physically present. Includes online retailers, subscription services, digital goods providers, software-as-a-service (SaaS) vendors, and marketplace platforms. Higher fraud risk due to card-not-present transactions.","Per PCI DSS: Merchant that accepts payment cards through e-commerce channels (websites, mobile apps, APIs) where the cardholder and payment card are not physically present at the point of sale. Subject to all PCI DSS requirements with specific focus on web application security, transmission security, tokenization, fraud prevention, and secure payment pages. Compliance level varies by transaction volume.",Varies (Level 1-4 based on transaction volume),"Compliance level determined by annual e-commerce transaction volume (see Level 1-4 thresholds)","Varies by level: QSA audit (Level 1-2) or SAQ (Level 3-4); Typically SAQ A or A-EP for hosted payment pages, SAQ D for direct processing","All 12 PCI DSS requirements; Web application firewall (WAF); Secure coding practices; Input validation; Output encoding; SQL injection prevention; Cross-site scripting (XSS) prevention; Authentication and session management; TLS 1.2+ for all transmission; Tokenization (recommended); Hosted payment page (recommended); PCI DSS SAQ A or A-EP scoping; fraud detection; 3D Secure authentication; Address Verification Service (AVS); Card Verification Value (CVV) validation; Velocity checks; IP geolocation; Device fingerprinting; Security awareness training; Quarterly ASV scans; Annual penetration testing","PCI DSS v4.0.1 (mandatory); PA-DSS (for payment applications); OWASP Top 10; Web application security standards; GDPR (if EU customers); CCPA (if California customers); Consumer protection laws; E-commerce platform security; Payment gateway security; Regional data protection laws",HIGH
entity_014,Retail Merchant (Card Present),Merchant,"Merchants conducting business in physical locations where payment cards are physically presented for transactions. Includes brick-and-mortar stores, restaurants, gas stations, hotels, and face-to-face service providers. Uses point-of-sale (POS) terminals, card readers, and EMV chip card technology.","Per PCI DSS: Merchant accepting payment cards through face-to-face channels where the cardholder presents the physical card at point-of-sale. Includes magnetic stripe swipe, EMV chip card insertion, and contactless/NFC payments. Subject to all PCI DSS requirements with focus on physical security, POS security, and card reader protection. Compliance level varies by transaction volume.",Varies (Level 1-4 based on transaction volume),"Compliance level determined by annual transaction volume across all channels (see Level 1-4 thresholds)","Varies by level: QSA audit (Level 1-2) or SAQ (Level 3-4); Typically SAQ B or C for EMV terminals, SAQ D for integrated systems","All 12 PCI DSS requirements; Secure POS terminals; EMV chip card acceptance; P2PE (Point-to-Point Encryption) recommended; Physical security of POS devices; Tamper-evident seals; POS terminal inspection procedures; Network segmentation (isolate payment network); Secure remote access to POS; POS software security patches; Anti-malware on POS systems; Contactless payment security; Mobile POS security; Card reader security; Receipt security (mask PAN); Employee training on card handling; Physical access controls to back-office; Video surveillance; SAQ validation; Quarterly scans; Penetration testing (Level 1-2)","PCI DSS v4.0.1 (mandatory); PA-DSS/PTS for POS applications; P2PE standards (if applicable); EMV specifications; ISO 27001 (optional); Regional retail security standards; Consumer protection laws; Labor regulations; Payment brand requirements",MEDIUM
entity_015,Omnichannel Merchant,Merchant,"Merchants accepting payment cards through multiple channels including physical stores, e-commerce websites, mobile applications, call centers (mail order/telephone order), and social commerce. Complex compliance requirements due to multiple payment acceptance methods and integrated customer data across channels.","Per PCI DSS: Merchant processing payment card transactions through multiple acceptance channels (in-store, online, mobile, phone, etc.) requiring comprehensive security controls across all environments. Must scope all channels, implement consistent security controls, and coordinate compliance across different processing methods. Compliance level typically Level 1 or 2 due to volume and complexity.",Typically Level 1 or 2 (occasionally Level 3),"Varies; typically high volume due to multiple channels; Often exceeds 6 million transactions/year","Annual QSA Assessment (typically required due to complexity); Report on Compliance covering all channels; Quarterly ASV scans; Annual penetration testing; SAQ may be possible for smaller omnichannel merchants","All 12 PCI DSS requirements across all channels; Network segmentation per channel; E-commerce security (TLS, WAF, secure coding); POS security (EMV, P2PE); Call center security (prohibit recording CVV, secure IVR); Mobile app security; API security; Tokenization across channels; Centralized logging and monitoring; Unified incident response; Cross-channel fraud detection; Consistent access controls; Employee training for all channels; Third-party vendor management; Compliance program management; Comprehensive security policies; Quarterly scans for all external IPs; Annual penetration testing (all channels); Network diagrams documenting all environments; Data flow diagrams; Cardholder data inventory","PCI DSS v4.0.1 (mandatory); PA-DSS/PTS; P2PE; ISO 27001 (recommended); SOC 2 (if SaaS components); GDPR; CCPA; Consumer protection laws; Channel-specific regulations; E-commerce platform security; POS security; Payment brand requirements; Industry-specific standards",CRITICAL
entity_016,Payment Facilitator (PayFac),Service Provider,"Third-party service providers that enable sub-merchants (often small businesses) to accept payment cards without establishing their own direct merchant accounts. PayFacs assume liability and compliance responsibility for sub-merchants, performing underwriting, onboarding, and compliance monitoring. Also called aggregators or master merchants.","Per PCI DSS: Service provider that facilitates payment card acceptance for multiple sub-merchants under a master merchant account. PayFacs are responsible for sub-merchant compliance with PCI DSS, must maintain their own compliance, validate sub-merchant security, and report to payment brands. Subject to enhanced oversight due to sub-merchant liability.",Level 1 (Service Provider),"Aggregates transactions for potentially thousands of sub-merchants; typically processes over 300,000 transactions annually","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance (AOC); Quarterly ASV scans; Payment brand registration and ongoing reporting","All 12 PCI DSS requirements for PayFac infrastructure; Sub-merchant onboarding security validation; Risk-based sub-merchant compliance monitoring; Sub-merchant compliance level assignment; Attestation of sub-merchant compliance; Sub-merchant SAQ validation; Quarterly scan coordination for sub-merchants; Incident response for sub-merchant breaches; Sub-merchant agreement security clauses; Fraud monitoring across sub-merchant portfolio; Know Your Customer (KYC) for sub-merchants; Reserve account management; Chargeback management; Regulatory compliance (money transmitter licenses); Payment brand registration; Payment brand reporting; Penalty management for sub-merchant non-compliance","PCI DSS v4.0.1 (mandatory); ISO 27001; SOC 2 Type II; Payment brand operating rules; Money transmitter regulations; Anti-Money Laundering (AML); Know Your Customer (KYC); GDPR; CCPA; Regional payment facilitator regulations; Payment gateway security standards",CRITICAL
entity_017,Independent Software Vendor (ISV),Service Provider,"Software developers and vendors that create payment applications, point-of-sale software, shopping carts, payment modules, mobile payment apps, or other software that processes, stores, or transmits cardholder data. ISVs must ensure applications are developed securely and validated against PA-DSS or PCI SSC standards.","Per PCI DSS: Third-party software vendor developing payment applications used by merchants or service providers to process, store, or transmit cardholder data. ISVs are responsible for secure software development lifecycle, security testing, vulnerability remediation, and ongoing security support. Applications may require PA-DSS validation or adherence to PCI Secure Software Standard.",Level 1 or 2 (Service Provider),"Varies by deployment scale; Level 1 if software widely deployed or processing for Level 1 merchants","Annual QSA Assessment or SAQ D-Service Provider; PA-DSS validation (if applicable); Attestation of Compliance; Security testing results","All 12 PCI DSS requirements for development environment and infrastructure; Secure Software Development Lifecycle (SDLC); Threat modeling; Secure coding standards (OWASP); Code review (manual and automated); Static Application Security Testing (SAST); Dynamic Application Security Testing (DAST); Penetration testing; Vulnerability remediation; PA-DSS validation (if storing, processing, or transmitting CHD); PCI Secure Software Standard compliance; Software composition analysis (third-party libraries); Security patch management; Customer security guidance; Application hardening documentation; Secure default configurations; Customer implementation validation; Developer security training","PCI DSS v4.0.1 (mandatory); PA-DSS/PCI Secure Software Standard; ISO 27001; OWASP; Secure coding standards; GDPR; CCPA; Software supply chain security; DevSecOps frameworks; Application security standards; Payment brand requirements",HIGH
entity_018,Third-Party Service Organization (TPSP),Service Provider,"Any external organization providing services that impact the security of cardholder data environments but may not directly process cardholder data. Includes IT consulting firms, system integrators, network engineers, database administrators, auditors, and support providers with access to systems or networks containing cardholder data.","Per PCI DSS: Service provider that has access to, or could impact the security of, cardholder data or the cardholder data environment but does not store, process, or transmit cardholder data as part of service delivery. TPSPs must maintain security controls appropriate to their access level and scope of services. Subject to PCI DSS requirements for systems they manage or access.",Level 2 (Service Provider),"Not determined by transaction volume; based on scope of access and criticality","SAQ D-Service Provider; Attestation of Compliance; May require QSA audit based on client requirements or scope","PCI DSS requirements based on scope of services provided; Secure remote access (VPN with MFA); Least privilege access; Access control management; Authentication requirements; Activity logging and monitoring; Background checks for personnel; Non-disclosure agreements; Security awareness training; Incident response coordination; Vulnerability management for systems accessed; Secure disposal of client data; Service level agreements with security clauses; Right-to-audit provisions; Third-party risk assessments; Insurance (E&O, cyber liability); Compliance monitoring and reporting; Quarterly reviews of access; Annual compliance validation","PCI DSS v4.0.1 (mandatory for scope); ISO 27001 (recommended); SOC 2 Type II (recommended); GDPR (if applicable); Industry-specific regulations; Professional standards (consulting); Regional data protection laws; Payment brand requirements; Client-specific security requirements",MEDIUM
entity_019,Mobile Payment Provider,Service Provider,"Service providers offering mobile payment solutions including mobile wallets, person-to-person (P2P) payment apps, in-app payment processing, mobile point-of-sale (mPOS) solutions, contactless payment services (NFC), and QR code payment systems. Handles payment data on mobile devices.","Per PCI DSS: Service provider offering payment acceptance through mobile devices (smartphones, tablets) or mobile applications. Includes mobile wallet providers, mPOS vendors, and in-app payment processors. Responsible for mobile application security, device security, secure data storage on mobile devices, and protection of cardholder data in mobile environments. Subject to PCI Mobile Payment Acceptance Security Guidelines.",Level 1 or 2 (Service Provider),"Varies by transaction volume and deployment scale; Level 1 if exceeding 300,000 transactions/year","Annual QSA Assessment (Level 1) or SAQ D-Service Provider (Level 2); Attestation of Compliance; Quarterly ASV scans; Mobile application security testing","All 12 PCI DSS requirements; PCI Mobile Payment Guidelines compliance; Mobile application security testing; Secure coding for mobile apps; Encryption of data at rest on mobile devices; Secure data transmission (TLS 1.2+); Mobile device security (jailbreak/root detection); Biometric authentication support; Tokenization (recommended); EMV/NFC security (contactless payments); Bluetooth security (card readers); Mobile SDK security; API security; Multi-factor authentication; Device attestation; Remote wipe capabilities; Secure key storage (Keychain/Keystore); Certificate pinning; Obfuscation; App store security review; Penetration testing; Quarterly vulnerability scanning; Incident response","PCI DSS v4.0.1 (mandatory); PCI Mobile Payment Acceptance Guidelines; PA-DSS (if applicable); EMV specifications; ISO 27001; SOC 2 Type II; GDPR; CCPA; Mobile platform security guidelines (Apple, Google); OWASP Mobile Top 10; Payment brand requirements; Regional mobile payment regulations",HIGH
entity_020,Telecommunications Provider,Service Provider,"Telecommunications companies providing network connectivity, voice services, or infrastructure supporting payment card transactions. Includes internet service providers (ISPs), telecom carriers, network service providers, and companies offering point-of-sale dial-up or broadband connectivity for payment processing.","Per PCI DSS: Service provider offering telecommunications or network services used to transmit cardholder data between merchants, processors, and payment networks. Responsible for network security, transmission encryption, access controls, and protection of cardholder data in transit. Scope limited to network segments handling payment data.",Level 1 or 2 (Service Provider),"Varies by scope; Level 1 if providing critical network infrastructure for payment processing","Annual QSA Assessment or SAQ D-Service Provider based on volume and criticality; Attestation of Compliance; Quarterly ASV scans","PCI DSS requirements applicable to network infrastructure in scope; Network segmentation; Encryption of cardholder data in transit (TLS 1.2+); Network access controls; Firewall configurations; Intrusion detection/prevention systems; Network monitoring and logging; Physical security of network infrastructure; Secure remote access (MFA); Change control for network configurations; Vendor management (hardware, software); Vulnerability management; Penetration testing of network infrastructure; Incident response; Business continuity; Disaster recovery; DDoS protection; Network availability SLAs; Documentation of network architecture","PCI DSS v4.0.1 (scope-dependent); ISO 27001; SOC 2 Type II; Telecommunications regulations (FCC, regional telecom authorities); Network security standards; GDPR; Regional data protection laws; Payment brand requirements",MEDIUM
entity_021,Software-as-a-Service (SaaS) Provider,Service Provider,"Cloud-based software providers offering applications that process, store, or transmit cardholder data. Includes subscription management platforms, billing systems, customer relationship management (CRM) systems with payment processing, accounting software with payment features, and vertical-specific SaaS platforms (e.g., restaurant, retail, healthcare).","Per PCI DSS: SaaS provider offering cloud-based applications that handle cardholder data on behalf of customers. Responsible for application security, infrastructure security, multi-tenant security, data isolation, secure APIs, and shared responsibility model. Customers and SaaS provider share PCI DSS compliance responsibilities based on service delivery model.",Level 1 or 2 (Service Provider),"Varies by transaction volume and customer base; Level 1 if exceeding 300,000 transactions/year or serving Level 1 merchants","Annual QSA Assessment (Level 1) or SAQ D-Service Provider (Level 2); Attestation of Compliance; Quarterly ASV scans; SOC 2 Type II audit recommended","All 12 PCI DSS requirements for SaaS infrastructure and application; Multi-tenant security controls; Data segregation between customers; Role-based access control; API security (authentication, authorization, rate limiting); Secure software development lifecycle; Web application firewall (WAF); Database security; Encryption at rest and in transit; Tokenization (if applicable); Secure configuration management; Patch management; Vulnerability scanning; Penetration testing; Logging and monitoring; Incident response; Shared responsibility matrix documentation; Customer compliance guidance; Customer security settings; Backup and recovery; Business continuity; Disaster recovery; Service level agreements (SLAs)","PCI DSS v4.0.1 (mandatory); PA-DSS/PCI Secure Software Standard (if applicable); ISO 27001; SOC 2 Type II (highly recommended); CSA STAR; GDPR; CCPA; HIPAA (if healthcare); Industry-specific regulations; Cloud security frameworks; OWASP; Secure coding standards; Payment brand requirements",HIGH
