control_id,control_name,source_framework,source_framework_version,source_framework_full_name,control_text,control_type
2,HIPAA Control 2,HIPAA,HICP Medium Practice,HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,Control 2 from HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,External
3,HIPAA Control 3,HIPAA,HICP Medium Practice,HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,Control 3 from HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,External
1,HIPAA Control 1,HIPAA,HICP Small Practice,HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,Control 1 from HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,External
2,HIPAA Control 2,HIPAA,HICP Small Practice,HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,Control 2 from HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,External
3,HIPAA Control 3,HIPAA,HICP Small Practice,HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,Control 3 from HIPAA Healthcare Industry Cybersecurity Practices - Small Practice,External
1,HIPAA Control 1,HIPAA,Security Rule / NIST SP 800-66 R2,HIPAA Security Rule / NIST SP 800-66 R2,Control 1 from HIPAA Security Rule / NIST SP 800-66 R2,External
2,HIPAA Control 2,HIPAA,Security Rule / NIST SP 800-66 R2,HIPAA Security Rule / NIST SP 800-66 R2,Control 2 from HIPAA Security Rule / NIST SP 800-66 R2,External
3,HIPAA Control 3,HIPAA,Security Rule / NIST SP 800-66 R2,HIPAA Security Rule / NIST SP 800-66 R2,Control 3 from HIPAA Security Rule / NIST SP 800-66 R2,External
1,ISO 27001 Control 1,ISO 27001,v2013,ISO/IEC 27001:2013 Information Security Management,Control 1 from ISO/IEC 27001:2013 Information Security Management,External
2,ISO 27001 Control 2,ISO 27001,v2013,ISO/IEC 27001:2013 Information Security Management,Control 2 from ISO/IEC 27001:2013 Information Security Management,External
3,ISO 27001 Control 3,ISO 27001,v2013,ISO/IEC 27001:2013 Information Security Management,Control 3 from ISO/IEC 27001:2013 Information Security Management,External
1,ISO 27001 Control 1,ISO 27001,v2022,ISO/IEC 27001:2022 Information Security Management,Control 1 from ISO/IEC 27001:2022 Information Security Management,External
2,ISO 27001 Control 2,ISO 27001,v2022,ISO/IEC 27001:2022 Information Security Management,Control 2 from ISO/IEC 27001:2022 Information Security Management,External
3,ISO 27001 Control 3,ISO 27001,v2022,ISO/IEC 27001:2022 Information Security Management,Control 3 from ISO/IEC 27001:2022 Information Security Management,External
1,ISO 27002 Control 1,ISO 27002,v2013,ISO/IEC 27002:2013 Information Security Controls,Control 1 from ISO/IEC 27002:2013 Information Security Controls,External
2,ISO 27002 Control 2,ISO 27002,v2013,ISO/IEC 27002:2013 Information Security Controls,Control 2 from ISO/IEC 27002:2013 Information Security Controls,External
3,ISO 27002 Control 3,ISO 27002,v2013,ISO/IEC 27002:2013 Information Security Controls,Control 3 from ISO/IEC 27002:2013 Information Security Controls,External
1,ISO 27002 Control 1,ISO 27002,v2022,ISO/IEC 27002:2022 Information Security Controls,Control 1 from ISO/IEC 27002:2022 Information Security Controls,External
2,ISO 27002 Control 2,ISO 27002,v2022,ISO/IEC 27002:2022 Information Security Controls,Control 2 from ISO/IEC 27002:2022 Information Security Controls,External
3,ISO 27002 Control 3,ISO 27002,v2022,ISO/IEC 27002:2022 Information Security Controls,Control 3 from ISO/IEC 27002:2022 Information Security Controls,External
1,NIST AI RMF Control 1,NIST AI RMF,AI 100-1 v1.0,NIST AI Risk Management Framework v1.0,Control 1 from NIST AI Risk Management Framework v1.0,External
2,NIST AI RMF Control 2,NIST AI RMF,AI 100-1 v1.0,NIST AI Risk Management Framework v1.0,Control 2 from NIST AI Risk Management Framework v1.0,External
3,NIST AI RMF Control 3,NIST AI RMF,AI 100-1 v1.0,NIST AI Risk Management Framework v1.0,Control 3 from NIST AI Risk Management Framework v1.0,External
1,NIST CSF Control 1,NIST CSF,v1.1,NIST Cybersecurity Framework v1.1,Control 1 from NIST Cybersecurity Framework v1.1,External
2,NIST CSF Control 2,NIST CSF,v1.1,NIST Cybersecurity Framework v1.1,Control 2 from NIST Cybersecurity Framework v1.1,External
3,NIST CSF Control 3,NIST CSF,v1.1,NIST Cybersecurity Framework v1.1,Control 3 from NIST Cybersecurity Framework v1.1,External
1,NIST CSF Control 1,NIST CSF,v2.0,NIST Cybersecurity Framework v2.0,Control 1 from NIST Cybersecurity Framework v2.0,External
2,NIST CSF Control 2,NIST CSF,v2.0,NIST Cybersecurity Framework v2.0,Control 2 from NIST Cybersecurity Framework v2.0,External
3,NIST CSF Control 3,NIST CSF,v2.0,NIST Cybersecurity Framework v2.0,Control 3 from NIST Cybersecurity Framework v2.0,External
1,NIST Privacy Framework Control 1,NIST Privacy Framework,v1.0,NIST Privacy Framework v1.0,Control 1 from NIST Privacy Framework v1.0,External
2,NIST Privacy Framework Control 2,NIST Privacy Framework,v1.0,NIST Privacy Framework v1.0,Control 2 from NIST Privacy Framework v1.0,External
3,NIST Privacy Framework Control 3,NIST Privacy Framework,v1.0,NIST Privacy Framework v1.0,Control 3 from NIST Privacy Framework v1.0,External
1,PCI DSS Control 1,PCI DSS,v3.2,Payment Card Industry Data Security Standard v3.2,Control 1 from Payment Card Industry Data Security Standard v3.2,External
2,PCI DSS Control 2,PCI DSS,v3.2,Payment Card Industry Data Security Standard v3.2,Control 2 from Payment Card Industry Data Security Standard v3.2,External
3,PCI DSS Control 3,PCI DSS,v3.2,Payment Card Industry Data Security Standard v3.2,Control 3 from Payment Card Industry Data Security Standard v3.2,External
1,PCI DSS Control 1,PCI DSS,v4.0.1,Payment Card Industry Data Security Standard v4.0.1,Control 1 from Payment Card Industry Data Security Standard v4.0.1,External
2,PCI DSS Control 2,PCI DSS,v4.0.1,Payment Card Industry Data Security Standard v4.0.1,Control 2 from Payment Card Industry Data Security Standard v4.0.1,External
3,PCI DSS Control 3,PCI DSS,v4.0.1,Payment Card Industry Data Security Standard v4.0.1,Control 3 from Payment Card Industry Data Security Standard v4.0.1,External
