control_id,control_name,control_text,domain_identifier,pptdf_scope,control_question,relative_weighting,nist_csf_function,is_new_control,is_mcr,is_dsr,control_type
AAT-04,AI & Autonomous Technologies Business Case,"Mechanisms exist to benchmark capabilities, targeted usage, goals and expected benefits and costs of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AAT,Process,"Does the organization benchmark capabilities, targeted usage, goals and expected benefits and costs of Artificial Intelligence (AI) and Autonomous Technologies (AAT)?",8,Identify,No,No,No,SCF
AAT-04.1,AI & Autonomous Technologies Potential Benefits Analysis,Mechanisms exist to assess the potential benefits of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization assess the potential benefits of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,2,Identify,No,No,No,SCF
AAT-04.2,AI & Autonomous Technologies Potential Costs Analysis,"Mechanisms exist to assess potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related errors or system functionality and trustworthiness.",AAT,Process,"Does the organization assess potential costs, including non-monetary costs, resulting from expected or realized Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related errors or system functionality and trustworthiness?",2,Identify,No,No,No,SCF
AAT-04.3,AI & Autonomous Technologies Targeted Application Scope,Mechanisms exist to specify and document the targeted application scope of the proposed use and operation of Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization specify and document the targeted application scope of the proposed use and operation of Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,8,Identify,No,No,No,SCF
AAT-04.4,AI & Autonomous Technologies Cost / Benefit Mapping,"Mechanisms exist to map risks and benefits for all components of Artificial Intelligence (AI) and Autonomous Technologies (AAT), including third-party software and data.",AAT,Process,"Does the organization map risks and benefits for all components of Artificial Intelligence (AI) and Autonomous Technologies (AAT), including third-party software and data?",2,Identify,No,No,No,SCF
AAT-05,AI & Autonomous Technologies Training,Mechanisms exist to ensure personnel and external stakeholders are provided with position-specific risk management training for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,People,Does the organization ensure personnel and external stakeholders are provided with position-specific risk management training for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,5,Identify,No,No,No,SCF
AAT-06,AI & Autonomous Technologies Fairness & Bias,"Mechanisms exist to prevent Artificial Intelligence (AI) and Autonomous Technologies (AAT) from unfairly identifying, profiling and/or statistically singling out a segmented population defined by race, religion, gender identity, national origin, religion, disability or any other politically-charged identifier.",AAT,Process,"Does the organization prevent Artificial Intelligence (AI) and Autonomous Technologies (AAT) from unfairly identifying, profiling and/or statistically singling out a segmented population defined by race, religion, gender identity, national origin, religion, disability or any other politically-charged identifier?",9,Identify,No,No,No,SCF
AAT-07,AI & Autonomous Technologies Risk Management Decisions,"Mechanisms exist to leverage decision makers from a diversity of demographics, disciplines, experience, expertise and backgrounds for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks.",AAT,Process,"Does the organization leverage decision makers from a diversity of demographics, disciplines, experience, expertise and backgrounds for mapping, measuring and managing Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks?",10,Identify,No,No,No,SCF
AAT-07.1,AI & Autonomous Technologies Impact Assessment,"Mechanisms exist to assess the impact(s) of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals, groups, communities, organizations and society (e.g., Fundamental Rights Impact Assessment (FRIA)).",AAT,Process,"Does the organization assess the impact(s) of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals, groups, communities, organizations and society (e.g., Fundamental Rights Impact Assessment (FRIA))?",8,Identify,No,No,No,SCF
AAT-07.2,AI & Autonomous Technologies Likelihood & Impact Risk Analysis,Mechanisms exist to define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts.,AAT,Process,Does the organization define the potential likelihood and impact of each identified risk based on expected use and past uses of Artificial Intelligence (AI) and Autonomous Technologies (AAT) in similar contexts?,10,Identify,No,No,No,SCF
AAT-07.3,AI & Autonomous Technologies Continuous Improvements,Mechanisms exist to continuously improve Artificial Intelligence (AI) and Autonomous Technologies (AAT) capabilities to maximize benefits and minimize negative impacts associated with AAT.,AAT,Process,Does the organization continuously improve Artificial Intelligence (AI) and Autonomous Technologies (AAT) capabilities to maximize benefits and minimize negative impacts associated with AAT?,8,Identify,No,No,No,SCF
AAT-08,Assigned Responsibilities for AI & Autonomous Technologies,"Mechanisms exist to define and differentiate roles and responsibilities for:
(1) Artificial Intelligence (AI) and Autonomous Technologies (AAT) configurations; and
(2) Oversight of AAT systems.",AAT,Process,"Does the organization define and differentiate roles and responsibilities for:
(1) Artificial Intelligence (AI) and Autonomous Technologies (AAT) configurations; and
(2) Oversight of AAT systems?",9,Identify,No,No,No,SCF
AAT-09,AI & Autonomous Technologies Risk Profiling,"Mechanisms exist to document the risks and potential impacts of Artificial Intelligence (AI) and Autonomous Technologies (AAT) that are:
(1) Designed;
(2) Developed;
(3) Deployed;
(4) Evaluated; and/or
(5) Used.",AAT,Process,"Does the organization document the risks and potential impacts of Artificial Intelligence (AI) and Autonomous Technologies (AAT) that are:
(1) Designed;
(2) Developed;
(3) Deployed;
(4) Evaluated; and/or
(5) Used?",9,Identify,No,No,No,SCF
AAT-09.1,AI & Autonomous Technologies High Risk Designations,"Mechanisms exist to designate Artificial Intelligence (AI) and Autonomous Technologies (AAT) ""High Risk"" if one(1), or more, of the following criteria are met:
(1) AAT is used as a safety component of a product or service;
(2) AAT poses a significant risk of harm to an individual's health, safety or fundamental rights; and/or
(3) AAT materially influences the outcome of an individual's decision making.",AAT,Process,"Does the organization designate Artificial Intelligence (AI) and Autonomous Technologies (AAT) ""High Risk"" if one(1), or more, of the following criteria are met:
(1) AAT is used as a safety component of a product or service;
(2) AAT poses a significant risk of harm to an individual's health, safety or fundamental rights; and/or
(3) AAT materially influences the outcome of an individual's decision making?",7,Identify,Yes,No,No,SCF
AAT-10,"Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) ","Mechanisms exist to implement Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related security, resilience and compliance-related conformity testing throughout the lifecycle of the AAT.",AAT,Process,"Does the organization implement Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related security, resilience and compliance-related conformity testing throughout the lifecycle of the AAT?",10,Detect,No,No,No,SCF
AAT-10.1,AI TEVV Trustworthiness Assessment,"Mechanisms exist to evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT) for trustworthy behavior and operation including security, anonymization and disaggregation of captured and stored data for approved purposes.",AAT,Process,"Does the organization evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT) for trustworthy behavior and operation including security, anonymization and disaggregation of captured and stored data for approved purposes?",10,Detect,No,No,No,SCF
AAT-10.10,AI TEVV Results Evaluation,"Mechanisms exist to evaluate the results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) to determine the viability of the proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AAT,Process,"Does the organization evaluate the results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) to determine the viability of the proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?",10,Detect,No,No,No,SCF
AAT-10.11,AI TEVV Effectiveness,"Mechanisms exist to evaluate the effectiveness of the processes utilized to perform Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV).",AAT,Process,"Does the organization evaluate the effectiveness of the processes utilized to perform Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV)?",5,Detect,No,No,No,SCF
AAT-10.12,AI TEVV Comparable Deployment Settings,Mechanisms exist to evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related performance or the assurance criteria demonstrated for conditions similar to deployment settings.,AAT,Process,Does the organization evaluate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related performance or the assurance criteria demonstrated for conditions similar to deployment settings?,5,Identify,No,No,No,SCF
AAT-10.13,AI TEVV Post-Deployment Monitoring,Mechanisms exist to proactively and continuously monitor deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization proactively and continuously monitor deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,9,Detect,No,No,No,SCF
AAT-10.14,Updating AI & Autonomous Technologies,Mechanisms exist to integrate continual improvements for deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization integrate continual improvements for deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,9,Identify,No,No,No,SCF
AAT-10.15,AI TEVV Reporting,"Mechanisms exist to report the status and results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) to relevant stakeholders, including governing bodies, as required.",AAT,Process,"Does the organization report the status and results of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) to relevant stakeholders, including governing bodies, as required?",5,Protect,Yes,No,No,SCF
AAT-10.16,AI TEVV Empirically Validated Methods,Mechanisms exist to evaluate claims of Artificial Intelligence (AI) and Autonomous Technologies (AAT) model capabilities using empirically validated methods.,AAT,Process,Does the organization evaluate claims of Artificial Intelligence (AI) and Autonomous Technologies (AAT) model capabilities using empirically validated methods?,1,Protect,Yes,No,No,SCF
AAT-10.17,AI TEVV Benchmarking Content Provenance,Mechanisms exist to benchmark the verifiable lineage and origin of content used by Artificial Intelligence (AI) and Autonomous Technologies (AAT) according to industry-recognized standards.,AAT,Process,Does the organization benchmark the verifiable lineage and origin of content used by Artificial Intelligence (AI) and Autonomous Technologies (AAT) according to industry -recognized standards?,7,Protect,Yes,No,No,SCF
AAT-10.18,AI TEVV Model Collapse Mitigations,"Mechanisms exist to mitigate concerns of model collapse by:
(1) Assessing the proportion of synthetic to non-synthetic training data; and
(2) Verifying training data is not overly homogenous or Artificial Intelligence (AI) and Autonomous Technologies (AAT) system-produced.",AAT,Process,"Does the organization mitigate concerns of model collapse by:
(1) Assessing the proportion of synthetic to non-synthetic training data; and
(2) Verifying training data is not overly homogenous or Artificial Intelligence (AI) and Autonomous Technologies (AAT) system-produced?",8,Protect,Yes,No,No,SCF
AAT-10.2,AI TEVV Tools,"Mechanisms exist to document test sets, metrics and details about the tools used during Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices.",AAT,Process,"Does the organization document test sets, metrics and details about the tools used during Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices?",7,Detect,No,No,No,SCF
AAT-10.3,AI TEVV Trustworthiness Demonstration,"Mechanisms exist to demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are:
(1) Valid;
(2) Reliable; and
(3) Operate as intended, based on approved designs.",AAT,Process,"Does the organization demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are:
(1) Valid;
(2) Reliable; and
(3) Operate as intended, based on approved designs?",9,Detect,No,No,No,SCF
AAT-10.4,AI TEVV Safety Demonstration,"Mechanisms exist to demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are safe, residual risk does not exceed the organization's risk tolerance and can fail safely, particularly if made to operate beyond its knowledge limits.",AAT,Process,"Does the organization demonstrate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed are safe, residual risk does not exceed its risk tolerance and can fail safely, particularly if made to operate beyond its knowledge limits?",10,Detect,No,No,No,SCF
AAT-10.5,AI TEVV Security & Resiliency Assessment,Mechanisms exist to evaluate the security and resilience of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,AAT,Process,Does the organization evaluate the security and resilience of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?,6,Detect,No,No,No,SCF
AAT-10.6,AI TEVV Transparency & Accountability Assessment,Mechanisms exist to examine risks associated with transparency and accountability of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,AAT,Process,Does the organization examine risks associated with transparency and accountability of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?,7,Detect,No,No,No,SCF
AAT-10.7,AI TEVV Privacy Assessment,Mechanisms exist to examine the data privacy risk of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,AAT,Process,Does the organization examine the data privacy risk of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?,9,Detect,No,No,No,SCF
AAT-10.8,AI TEVV Fairness & Bias Assessment,Mechanisms exist to examine fairness and bias of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed.,AAT,Process,Does the organization examine fairness and bias of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to be deployed?,9,Detect,No,No,No,SCF
AAT-10.9,AI & Autonomous Technologies Model Validation,Mechanisms exist to validate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) model.,AAT,Process,Does the organization validate the Artificial Intelligence (AI) and Autonomous Technologies (AAT) model?,5,Detect,No,No,No,SCF
AAT-11,Robust Stakeholder Engagement for AI & Autonomous Technologies,"Mechanisms exist to compel ongoing engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts.",AAT,Process,"Does the organization compel ongoing engagement with relevant Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholders to encourage feedback about positive, negative and unanticipated impacts?",9,Protect,No,No,No,SCF
AAT-11.1,AI & Autonomous Technologies Stakeholder Feedback Integration,"Mechanisms exist to regularly collect, consider, prioritize and integrate risk-related feedback from those external to the team that developed or deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AAT,Process,"Does the organization regularly collect, consider, prioritize and integrate risk-related feedback from those external to the team that developed or deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?",9,Protect,No,No,No,SCF
AAT-11.2,AI & Autonomous Technologies Ongoing Assessments,Mechanisms exist to conduct regular assessments of Artificial Intelligence (AI) and Autonomous Technologies (AAT) with independent assessors and stakeholders not involved in the development of the AAT.,AAT,Process,Does the organization conduct regular assessments of Artificial Intelligence (AI) and Autonomous Technologies (AAT) with independent assessors and stakeholders not involved in the development of the AAT?,9,Protect,No,No,No,SCF
AAT-11.3,AI & Autonomous Technologies End User Feedback,Mechanisms exist to collect and integrate feedback from end users and impacted communities into Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related system evaluation metrics.,AAT,Process,Does the organization collect and integrate feedback from end users and impacted communities into Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related system evaluation metrics?,7,Protect,No,No,No,SCF
AAT-11.4,AI & Autonomous Technologies Incident & Error Reporting,"Mechanisms exist to communicate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related incidents and/or errors to relevant stakeholders, including affected communities. ",AAT,Process,"Does the organization communicate Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related incidents and/or errors to relevant stakeholders, including affected communities? ",9,Protect,No,No,No,SCF
AAT-12,AI & Autonomous Technologies Intellectual Property Infringement Protections,Mechanisms exist to prevent third-party Intellectual Property (IP) rights infringement by Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization prevent third-party Intellectual Property (IP) rights infringement by Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,10,Protect,No,No,No,SCF
AAT-12.1,Data Source Identification,Mechanisms exist to identify and document data sources utilized in the training and/or operation of Artificial Intelligence and Autonomous Technologies (AAT).,AAT,Process,Does the organization identify and document data sources utilized in the training and/or operation of Artificial Intelligence and Autonomous Technologies (AAT)?,10,Govern,No,No,No,SCF
AAT-12.2,Data Source Integrity,"Mechanisms exist to protect the integrity of source data to prevent accidental contamination or malicious corruption (e.g., data poisoning) that could compromise the performance of Artificial Intelligence and Autonomous Technologies (AAT).",AAT,Data,"Does the organization protect the integrity of source data to prevent accidental contamination or malicious corruption (e.g., data poisoning) that could compromise the performance of Artificial Intelligence and Autonomous Technologies (AAT)?",10,Protect,No,No,No,SCF
AAT-12.3,Data Source Lineage & Origin Disclosure,"Mechanisms exist to ensure Artificial Intelligence and Autonomous Technologies (AAT) publicly disclose information with sufficient detail to assess:
(1) Content lineage; and 
(2) The origin of data used by the AAT.",AAT,Process,"Does the organization ensure Artificial Intelligence and Autonomous Technologies (AAT) publicly disclose information with sufficient detail to assess:
(1) Content lineage; and 
(2) The origin of data used by the AAT?",9,Protect,Yes,No,No,SCF
AAT-12.4,Digital Content Modification Logging,"Mechanisms exist to ensure Artificial Intelligence and Autonomous Technologies (AAT):
(1) Enable auditing of content modifications; and 
(2) Generate event logs for content-related changes.",AAT,Process,"Does the organization ensure Artificial Intelligence and Autonomous Technologies (AAT):
(1) Enable auditing of content modifications; and 
(2) Generate event logs for content-related changes?",9,Protect,Yes,No,No,SCF
AAT-13,AI & Autonomous Technologies Stakeholder Diversity,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholder competencies, skills and capacities incorporate demographic diversity, broad domain and user experience expertise.",AAT,People,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) stakeholder competencies, skills and capacities incorporate demographic diversity, broad domain and user experience expertise?",8,Identify,No,No,No,SCF
AAT-13.1,AI & Autonomous Technologies Stakeholder Competencies,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are defined, assessed and documented.",AAT,People,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related operator and practitioner proficiency requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT) are defined, assessed and documented?",9,Govern,No,No,No,SCF
AAT-14,AI & Autonomous Technologies Requirements Definitions,Mechanisms exist to take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization take socio-technical implications into account to address risks associated with Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,8,Govern,No,No,No,SCF
AAT-14.1,AI & Autonomous Technologies Implementation Tasks Definition,"Mechanisms exist to define the tasks that Artificial Intelligence (AI) and Autonomous Technologies (AAT) will support (e.g., classifiers, generative models, recommenders).",AAT,Process,"Does the organization define the tasks that Artificial Intelligence (AI) and Autonomous Technologies (AAT) will support (e.g., classifiers, generative models, recommenders)?",8,Govern,No,No,No,SCF
AAT-14.2,AI & Autonomous Technologies Knowledge Limits,Mechanisms exist to identify and document knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to provide sufficient information to assist relevant stakeholder decision making.,AAT,Process,Does the organization identify and document knowledge limits of Artificial Intelligence (AI) and Autonomous Technologies (AAT) to provide sufficient information to assist relevant stakeholder decision making?,10,Identify,No,No,No,SCF
AAT-15,AI & Autonomous Technologies Viability Decisions,Mechanisms exist to define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determine whether its development or deployment should proceed.,AAT,Process,Does the organization define the criteria as to whether Artificial Intelligence (AI) and Autonomous Technologies (AAT) achieved intended purposes and stated objectives to determine whether its development or deployment should proceed?,10,Protect,No,No,No,SCF
AAT-15.1,AI & Autonomous Technologies Negative Residual Risks,"Mechanisms exist to identify and document negative, residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AAT,Process,"Does the organization identify and document negative, residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers and end users of Artificial Intelligence (AI) and Autonomous Technologies (AAT)?",9,Protect,No,No,No,SCF
AAT-15.2,"Responsibility To Supersede, Deactivate and/or Disengage AI & Autonomous Technologies","Mechanisms exist to define the criteria and responsible party(ies) for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT) that demonstrate performance or outcomes inconsistent with intended use.",AAT,Process,"Does the organization define the criteria and responsible party(ies) for superseding, disengaging or deactivating Artificial Intelligence (AI) and Autonomous Technologies (AAT) that demonstrate performance or outcomes inconsistent with intended use?",10,Protect,No,No,No,SCF
AAT-16,AI & Autonomous Technologies Production Monitoring,Mechanisms exist to monitor the functionality and behavior of the deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Technology,Does the organization monitor the functionality and behavior of the deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,9,Detect,No,No,No,SCF
AAT-16.1,AI & Autonomous Technologies Measurement Approaches,"Mechanisms exist to measure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to deployment context(s) through review and consultation with industry experts, domain specialists and end users.",AAT,Process,"Does the organization measure Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks to deployment context(s) through review and consultation with industry experts, domain specialists and end users?",8,Detect,No,No,No,SCF
AAT-16.10,Serious Incident Root Cause Analysis (RCA) For AI & Autonomous Technologies,"Mechanisms exist to perform an investigation when there is a serious incident involving operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) that documents a:
(1) Root Cause Analysis (RCA);
(2) Risk assessment of the incident; and 
(3) Description of corrective actions taken, including measures implemented to prevent a recurrence of the incident.",AAT,Process,"Does the organization perform an investigation when there is a serious incident involving operational Artificial Intelligence (AI) and Autonomous Technologies (AAT) that documents a:
(1) Root Cause Analysis (RCA);
(2) Risk assessment of the incident; and 
(3) Description of corrective actions taken, including measures implemented to prevent a recurrence of the incident?",8,Protect,Yes,No,No,SCF
AAT-16.2,Measuring AI & Autonomous Technologies Effectiveness,"Mechanisms exist to regularly assess the effectiveness of existing controls, including reports of errors and potential impacts on affected communities.",AAT,Process,"Does the organization regularly assess the effectiveness of existing controls, including reports of errors and potential impacts on affected communities?",5,Detect,No,No,No,SCF
AAT-16.3,Unmeasurable AI & Autonomous Technologies Risks,Mechanisms exist to identify and document unmeasurable risks or trustworthiness characteristics.,AAT,Process,Does the organization identify and document unmeasurable risks or trustworthiness characteristics?,7,Detect,No,No,No,SCF
AAT-16.4,Efficacy of AI & Autonomous Technologies Measurement,Mechanisms exist to gather and assess feedback about the efficacy of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related measurements.,AAT,Process,Does the organization gather and assess feedback about the efficacy of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related measurements?,5,Govern,No,No,No,SCF
AAT-16.5,AI & Autonomous Technologies Domain Expert Reviews,"Mechanisms exist to utilize input from domain experts and relevant stakeholders to validate whether the Artificial Intelligence (AI) and Autonomous Technologies (AAT) perform consistently, as intended.",AAT,People,"Does the organization utilize input from domain experts and relevant stakeholders to validate whether the Artificial Intelligence (AI) and Autonomous Technologies (AAT) perform consistently, as intended?",8,Govern,No,No,No,SCF
AAT-16.6,AI & Autonomous Technologies Performance Changes,Mechanisms exist to evaluate performance improvements or declines with domain experts and relevant stakeholders to define context-relevant risks and trustworthiness issues.,AAT,Process,Does the organization evaluate performance improvements or declines with domain experts and relevant stakeholders to define context-relevant risks and trustworthiness issues?,10,Govern,No,No,No,SCF
AAT-16.7,Pre-Trained AI & Autonomous Technologies Models,"Mechanisms exist to validate the information source(s) and quality of pre-trained models used in Artificial Intelligence (AI) and Autonomous Technologies (AAT) training, maintenance and improvement-related activities.",AAT,Process,"Does the organization validate the information source(s) and quality of pre-trained models used in Artificial Intelligence (AI) and Autonomous Technologies (AAT) training, maintenance and improvement-related activities?",8,Protect,No,No,No,SCF
