Node_Type,Node_ID,Recital_Number,Title
Recital,REC-065,65,Right to rectification and erasure without undue delay
Recital,REC-066,66,Right to erasure (right to be forgotten)
Recital,REC-067,67,Right to restriction of processing
Recital,REC-068,68,Right to data portability
Recital,REC-069,69,Right to object
Recital,REC-070,70,Right to object to direct marketing
Recital,REC-071,71,Automated individual decision-making
Recital,REC-072,72,Guidance of the European Data Protection Board regarding profiling
Recital,REC-073,73,Restrictions of rights and principles
Recital,REC-074,74,Responsibility and liability of the controller
Recital,REC-075,75,Risk to the rights and freedoms of natural persons
Recital,REC-076,76,Risk assessment
Recital,REC-077,77,Risk assessment guidelines
Recital,REC-078,78,Appropriate technical and organisational measures
Recital,REC-079,79,Allocation of the responsibilities
Recital,REC-080,80,Designation of a representative
Recital,REC-081,81,The use of processors
Recital,REC-082,82,Record of processing activities
Recital,REC-083,83,Security of processing
Recital,REC-084,84,Risk evaluation and impact assessment
Recital,REC-085,85,Notification obligation of breaches to the supervisory authority
Recital,REC-086,86,Notification of data subjects in case of data breaches
Recital,REC-087,87,Promptness of reporting / notification
Recital,REC-088,88,Format and procedures of the notification
Recital,REC-089,89,Elimination of the general reporting requirement
Recital,REC-090,90,Prior consultation
Recital,REC-091,91,Prior checking
Recital,REC-092,92,Data protection officer for public authorities
Recital,REC-093,93,Processing of personal data for several purposes
Recital,REC-094,94,Processing for another purpose
Recital,REC-095,95,Processors carrying out processing on behalf of a controller
Recital,REC-096,96,Approved codes of conduct and certification mechanisms
Recital,REC-097,97,Data protection officer
Recital,REC-098,98,Preparation of codes of conduct by organisations and associations
Recital,REC-099,99,Consultation of stakeholders and data subjects in the development of codes of conduct
Recital,REC-100,100,Certification
Recital,REC-101,101,General principles for international data transfers
Recital,REC-102,102,International agreements for an appropriate level of data protection
Recital,REC-103,103,Adequacy decision by the Commission
Recital,REC-104,104,Criteria for adequacy
Recital,REC-105,105,Periodical review of adequacy decisions
Recital,REC-106,106,Transfers subject to appropriate safeguards
Recital,REC-107,107,Appropriate safeguards provided by binding corporate rules
Recital,REC-108,108,International cooperation mechanisms
Recital,REC-109,109,Cooperation of Member States in the application of the Regulation
Recital,REC-110,110,Binding corporate rules
Recital,REC-111,111,Derogations for transfers on the basis of a legitimate interest
Recital,REC-112,112,Transfers on the basis of the consent of the data subject
Recital,REC-113,113,Transfers for important reasons of public interest
Recital,REC-114,114,Transfers necessary for compliance with a legal obligation
Recital,REC-115,115,Transfers to protect the vital interests
Recital,REC-116,116,Transfers from registers
Recital,REC-117,117,Approval and authorisation of binding corporate rules
Recital,REC-118,118,Independence of supervisory authorities
Recital,REC-119,119,Establishment of supervisory authorities in each Member State
Recital,REC-120,120,Member State designating more than one supervisory authority
Recital,REC-121,121,Responsibility of a Member State
Recital,REC-122,122,Establishment of the supervisory authority
Recital,REC-123,123,Powers of supervisory authorities
Recital,REC-124,124,Harmonisation of the conditions for the imposition of sanctions
Recital,REC-125,125,Lead supervisory authority for cross-border processing
Recital,REC-126,126,Main establishment within the Union
Recital,REC-127,127,Public authorities and bodies established in different Member States
Recital,REC-128,128,Rules applicable to joint controllers
Recital,REC-129,129,Cross-border processing by private operators
Recital,REC-130,130,Processing by an establishment in several Member States
Recital,REC-131,131,Cooperation mechanisms between supervisory authorities
Recital,REC-132,132,Mutual assistance and joint operations
Recital,REC-133,133,Consistency mechanism
Recital,REC-134,134,Opinion of the Board
Recital,REC-135,135,Dispute resolution
Recital,REC-136,136,Urgency procedure
Recital,REC-137,137,Consistency in the application and enforcement
Recital,REC-138,138,European Data Protection Board
Recital,REC-139,139,European Data Protection Supervisor member of the Board
Recital,REC-140,140,Independence of the Board
Recital,REC-141,141,Right to lodge a complaint with a supervisory authority
Recital,REC-142,142,Representation of data subjects
Recital,REC-143,143,Judicial remedies
Recital,REC-144,144,Related proceedings
Recital,REC-145,145,Choice of venue
Recital,REC-146,146,Indemnity
Recital,REC-147,147,Jurisdiction
Recital,REC-148,148,Penalties
Recital,REC-149,149,Penalties for infringements of national rules
Recital,REC-150,150,Administrative fines
Recital,REC-151,151,Administrative fines in Denmark and Estonia
Recital,REC-152,152,Penalties by Member States
Recital,REC-153,153,Freedom of expression and information
Recital,REC-154,154,Public access to official documents
Recital,REC-155,155,National identification numbers
Recital,REC-156,156,Processing in the employment context
Recital,REC-157,157,Information from registries and scientific research
Recital,REC-158,158,Processing for archiving purposes
Recital,REC-159,159,Processing for scientific research purposes
Recital,REC-160,160,Processing for historical research purposes
Recital,REC-161,161,Consenting to the participation in clinical trials
Recital,REC-162,162,Processing for statistical purposes
Recital,REC-163,163,Production of European and national statistics
Recital,REC-164,164,Professional or other equivalent secrecy obligations
Recital,REC-165,165,No prejudice of the status of churches and religious associations
Recital,REC-166,166,Delegated acts of the Commission
Recital,REC-167,167,Implementing powers of the Commission
Recital,REC-168,168,Implementing acts on standard contractual clauses
Recital,REC-169,169,Immediately applicable implementing acts
Recital,REC-170,170,Principle of subsidiarity and principle of proportionality
Recital,REC-171,171,Repeal of Directive 95/46/EC and transitional provisions
Recital,REC-172,172,Consultation of the European Data Protection Supervisor
Recital,REC-173,173,Relationship to Directive 2002/58/EC
