Node_Type,Node_ID,Article_Number,Title,Chapter,Section
Article,ART-073,73,Chair,7,SEC-07-03
Article,ART-074,74,Tasks of the Chair,7,SEC-07-03
Article,ART-075,75,Secretariat,7,SEC-07-03
Article,ART-076,76,Confidentiality,7,SEC-07-03
Article,ART-077,77,Right to lodge a complaint with a supervisory authority,8,SEC-08-REMEDIES
Article,ART-078,78,Right to an effective judicial remedy against a supervisory authority,8,SEC-08-REMEDIES
Article,ART-079,79,Right to an effective judicial remedy against a controller or processor,8,SEC-08-REMEDIES
Article,ART-080,80,Representation of data subjects,8,SEC-08-REMEDIES
Article,ART-081,81,Suspension of proceedings,8,SEC-08-REMEDIES
Article,ART-082,82,Right to compensation and liability,8,SEC-08-LIABILITY
Article,ART-083,83,General conditions for imposing administrative fines,8,SEC-08-PENALTIES
Article,ART-084,84,Penalties,8,SEC-08-PENALTIES
Article,ART-085,85,Processing and freedom of expression and information,9,SEC-09-DEROGATIONS
Article,ART-086,86,Processing and public access to official documents,9,SEC-09-DEROGATIONS
Article,ART-087,87,Processing of the national identification number,9,SEC-09-DEROGATIONS
Article,ART-088,88,Processing in the context of employment,9,SEC-09-DEROGATIONS
Article,ART-089,89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",9,SEC-09-DEROGATIONS
Article,ART-090,90,Obligations of secrecy,9,SEC-09-DEROGATIONS
Article,ART-091,91,Existing data protection rules of churches and religious associations,9,SEC-09-DEROGATIONS
Article,ART-092,92,Exercise of the delegation,10,SEC-10-ACTS
Article,ART-093,93,Committee procedure,10,SEC-10-ACTS
Article,ART-094,94,Repeal of Directive 95/46/EC,11,SEC-11-FINAL
Article,ART-095,95,Relationship with Directive 2002/58/EC,11,SEC-11-FINAL
Article,ART-096,96,Relationship with previously concluded Agreements,11,SEC-11-FINAL
Article,ART-097,97,Commission reports,11,SEC-11-FINAL
Article,ART-098,98,Review of other Union legal acts on data protection,11,SEC-11-FINAL
Article,ART-099,99,Entry into force and application,11,SEC-11-FINAL
