source_id,target_id,rel_type,detail
RIGHT-RECTIFICATION,KVKK-11(1)(d),CITES_PROVISION,KVKK basis
RIGHT-ERASURE,GDPR-17,CITES_PROVISION,GDPR basis
RIGHT-ERASURE,KVKK-11(1)(e),CITES_PROVISION,KVKK basis
RIGHT-RESTRICTION,GDPR-18,CITES_PROVISION,GDPR basis
RIGHT-NOTIFICATION,GDPR-19,CITES_PROVISION,GDPR basis
RIGHT-NOTIFICATION,KVKK-11(1)(d),CITES_PROVISION,KVKK basis
RIGHT-PORTABILITY,GDPR-20,CITES_PROVISION,GDPR basis
RIGHT-OBJECT,GDPR-21,CITES_PROVISION,GDPR basis
RIGHT-OBJECT,GDPR-21(1),CITES_PROVISION,GDPR basis
RIGHT-OBJECT-DIRECT-MARKETING,GDPR-21(2),CITES_PROVISION,GDPR basis
RIGHT-NO-AUTOMATED-DECISION,GDPR-22,CITES_PROVISION,GDPR basis
RIGHT-NO-AUTOMATED-DECISION,GDPR-22(2),CITES_PROVISION,GDPR basis
RIGHT-NO-AUTOMATED-DECISION,KVKK-11(1)(g),CITES_PROVISION,KVKK basis
RIGHT-ACCESS,GDPR-15(3),CITES_PROVISION,Art.15(3) of the GDPR also allows to request a copy of the personal data undergoing processing
RIGHT-ACCESS,GDPR-23,CITES_PROVISION,controllers may erroneously view protecting the rights of others as a restriction on data subjects' rights of access under Article 23 of the GDPR
RIGHT-ACCESS,TRCONST-20,CITES_PROVISION,"the Turkish Constitution explicitly affirms, in Article 20, the right of every individual to access their personal data"
RIGHT-ERASURE,GDPR-17(3)(e),CITES_PROVISION,Exceptions to the right to erasure are regulated under 17(3)(e) and 17(3)(b)
RIGHT-ERASURE,GDPR-17(3)(b),CITES_PROVISION,Exceptions to the right to erasure are regulated under 17(3)(e) and 17(3)(b)
RIGHT-INFORMATION,GDPR-13(3),CITES_PROVISION,the controller is obligated to inform data subjects about new purposes
RIGHT-INFORMATION,COMM-5(1)(b),CITES_PROVISION,"the Authority's Communique ... as stated in Article 5(1)(b), explicitly grants this right to data subjects under the KVKK"
RIGHT-INFORMATION,KVKK-11(1)(b),CITES_PROVISION,the right to learn about the processing and purposes
RIGHT-INFORMATION,KVKK-11(1)(c),CITES_PROVISION,the right to learn about the processing and purposes
RIGHT-INFORMATION,KVKK-10(1)(ç),CITES_PROVISION,"If an automated decision-making system will be used at any stage of processing, it should be disclosed to the data subject under the provision of Art.10(1)(ç)"
RIGHT-INFORMATION-THIRD-PARTY,COMM-6(1)(a),CITES_PROVISION,Within a reasonable period after obtaining the personal data
RIGHT-INFORMATION-THIRD-PARTY,COMM-6(1)(b),CITES_PROVISION,At the latest at the time of the first communication to that data subject
SPC-CRIMINAL-CONVICTION,GDPR-10,CITES_PROVISION,separately regulated in Article 10 of the GDPR
MEAS-KVKK-ART9,KVKK-9,CITES_PROVISION,
MEAS-AUTHORITY-SET,KVKK-9,CITES_PROVISION,
MEAS-GDPR-9-4,GDPR-9(4),CITES_PROVISION,
FIND-18,DIR-95-46-EC,CITES_PROVISION,
FIND-4,KVKK-5(1),CITES_PROVISION,
