guidance_id,control_id,text
B.3.3,A.3.3,"The organization should produce a statement concerning support for achieving compliance with legal requirements applicable to PII protection."
B.3.4,A.3.4,"The organization should designate a point of contact regarding the processing of PII."
B.3.5,A.3.5,"The organization's information classification scheme should explicitly consider PII."
B.3.6,A.3.6,"The organization should ensure that people under its control are made aware of the definition of PII."
B.3.7,A.3.7,"The organization should consider procedures for ensuring rules related to processing of PII are enforced throughout."
B.3.8,A.3.8,"Procedures for registration and de-registration of users should address situations where access control is compromised."
B.3.9,A.3.9,"The organization should maintain an accurate, up-to-date record of user profiles created for users who have authorized access."
B.3.10,A.3.10,"The organization should specify in agreements with suppliers whether PII is processed and minimum technical measures required."
B.3.11,A.3.11,"The organization should establish responsibilities and procedures for identifying, recording, and notifying breaches of PII."
B.3.12,A.3.12,"An incident that involves PII should trigger a review to determine if a breach involving PII requires a response."
B.3.13,A.3.13,"The organization should identify any potential legal sanctions related to the processing of PII."
B.3.14,A.3.14,"The organization should retain copies of its privacy policies and associated procedures."
B.3.15,A.3.15,"A relevant independent audit should normally be an acceptable method for fulfilling the customer's interest."
B.3.16,A.3.16,"The organization should include methods of reviewing tools and components related to processing PII."
B.3.17,A.3.17,"Measures should be put in place to ensure relevant staff are aware of the consequences of breaching privacy rules."
B.3.18,A.3.18,"The organization should ensure that individuals with access to PII are subject to a confidentiality obligation."
B.3.19,A.3.19,"The organization should restrict the creation of hardcopy material including PII to the minimum needed."
B.3.20,A.3.20,"Wherever feasible, the organization should use removable physical media or devices that permit encryption when storing PII."
B.3.21,A.3.21,"Equipment containing storage media should be treated as though it contains PII before disposal or re-use."
B.3.22,A.3.22,"The organization should ensure that the use of mobile devices does not lead to a compromise of PII."
B.3.23,A.3.23,"Where required, the organization should provide capability for secure log-on procedures for user accounts."
B.3.24,A.3.24,"The organization should have a policy addressing requirements for backup, recovery, and restoration of PII."
B.3.25,A.3.25,"A process should be put in place to review event logs to identify irregularities and propose remediation efforts."
B.3.26,A.3.26,"The organization should provide information to the customer regarding circumstances in which it uses cryptography."
B.3.27,A.3.27,"Policies for system development should include guidance for processing PII based on obligations and privacy by design."
B.3.28,A.3.28,"The organization should ensure that PII transmitted over untrusted data transmission networks is encrypted."
B.3.29,A.3.29,"Systems should be designed following principles of privacy by design and privacy by default."
B.3.30,A.3.30,"The principles of privacy by design and privacy by default should be applied to outsourced information systems."
B.3.31,A.3.31,"PII should not be used for testing purposes; false or synthetic PII should be used where possible."
