Subcategory_Code,Category_Code,Function_Code,Subcategory_Description
GV.RM-P2,GV.RM-P,GV-P,"Organizational risk tolerance is determined and clearly expressed."
GV.RM-P3,GV.RM-P,GV-P,"The organization’s determination of risk tolerance is informed by its role(s) in the data processing ecosystem."
GV.AT-P1,GV.AT-P,GV-P,"The workforce is informed and trained on its roles and responsibilities."
GV.AT-P2,GV.AT-P,GV-P,"Senior executives understand their roles and responsibilities."
GV.AT-P3,GV.AT-P,GV-P,"Privacy personnel understand their roles and responsibilities."
GV.AT-P4,GV.AT-P,GV-P,"Third parties (e.g., service providers, customers, partners) understand their roles and responsibilities."
GV.MT-P1,GV.MT-P,GV-P,"Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization’s business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change."
GV.MT-P2,GV.MT-P,GV-P,"Privacy values, policies, and training are reviewed and any updates are communicated."
GV.MT-P3,GV.MT-P,GV-P,"Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place."
GV.MT-P4,GV.MT-P,GV-P,"Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place."
GV.MT-P5,GV.MT-P,GV-P,"Policies, processes, and procedures are established and in place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g., internal discovery, privacy researchers, professional events)."
GV.MT-P6,GV.MT-P,GV-P,"Policies, processes, and procedures incorporate lessons learned from problematic data actions."
GV.MT-P7,GV.MT-P,GV-P,"Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place."
CT.PO-P1,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place."
CT.PO-P2,CT.PO-P,CT-P,"Policies, processes, and procedures for enabling data review, transfer, sharing or disclosure, alteration, and deletion are established and in place (e.g., to maintain data quality, manage data retention)."
CT.PO-P3,CT.PO-P,CT-P,"Policies, processes, and procedures for enabling individuals’ data processing preferences and requests are established and in place."
CT.PO-P4,CT.PO-P,CT-P,"A data life cycle to manage data is aligned and implemented with the system development life cycle to manage systems."
CT.DM-P1,CT.DM-P,CT-P,"Data elements can be accessed for review."
CT.DM-P2,CT.DM-P,CT-P,"Data elements can be accessed for transmission or disclosure."
CT.DM-P3,CT.DM-P,CT-P,"Data elements can be accessed for alteration."
CT.DM-P4,CT.DM-P,CT-P,"Data elements can be accessed for deletion."
CT.DM-P5,CT.DM-P,CT-P,"Data are destroyed according to policy."
CT.DM-P6,CT.DM-P,CT-P,"Data are transmitted using standardized formats."
CT.DM-P7,CT.DM-P,CT-P,"Mechanisms for transmitting processing permissions and related data values with data elements are established and in place."
CT.DM-P8,CT.DM-P,CT-P,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy and incorporating the principle of data minimization."
CT.DM-P9,CT.DM-P,CT-P,"Technical measures implemented to manage data processing are tested and assessed."
CT.DM-P10,CT.DM-P,CT-P,"Stakeholder privacy preferences are included in algorithmic design objectives and outputs are evaluated against these preferences."
CT.DP-P1,CT.DP-P,CT-P,"Data are processed to limit observability and linkability (e.g., data actions take place on local devices, privacy-preserving cryptography)."
CT.DP-P2,CT.DP-P,CT-P,"Data are processed to limit the identification of individuals (e.g., de-identification privacy techniques, tokenization)."
CT.DP-P3,CT.DP-P,CT-P,"Data are processed to limit the formulation of inferences about individuals’ behavior or activities (e.g., data processing is decentralized, distributed architectures)."
CT.DP-P4,CT.DP-P,CT-P,"System or device configurations permit selective collection or disclosure of data elements."
CT.DP-P5,CT.DP-P,CT-P,"Attribute references are substituted for attribute values."
CM.PO-P1,CM.PO-P,CM-P,"Transparency policies, processes, and procedures for communicating data processing purposes, practices, and associated privacy risks are established and in place."
CM.PO-P2,CM.PO-P,CM-P,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established."
CM.AW-P1,CM.AW-P,CM-P,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place."
CM.AW-P2,CM.AW-P,CM-P,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place."
CM.AW-P3,CM.AW-P,CM-P,"System/product/service design enables data processing visibility."
CM.AW-P4,CM.AW-P,CM-P,"Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure."
CM.AW-P5,CM.AW-P,CM-P,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem."
CM.AW-P6,CM.AW-P,CM-P,"Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure."
CM.AW-P7,CM.AW-P,CM-P,"Impacted individuals and organizations are notified about a privacy breach or event."
CM.AW-P8,CM.AW-P,CM-P,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions."
PR.PO-P1,PR.PO-P,PR-P,"A baseline configuration of information technology is created and maintained incorporating security principles (e.g., concept of least functionality)."
PR.PO-P2,PR.PO-P,PR-P,"Configuration change control processes are established and in place."
PR.PO-P3,PR.PO-P,PR-P,"Backups of information are conducted, maintained, and tested."
PR.PO-P4,PR.PO-P,PR-P,"Policy and regulations regarding the physical operating environment for organizational assets are met."
PR.PO-P5,PR.PO-P,PR-P,"Protection processes are improved."
PR.PO-P6,PR.PO-P,PR-P,"Effectiveness of protection technologies is shared."
PR.PO-P7,PR.PO-P,PR-P,"Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are established, in place, and managed."
PR.PO-P8,PR.PO-P,PR-P,"Response and recovery plans are tested."
PR.PO-P9,PR.PO-P,PR-P,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening)."
PR.PO-P10,PR.PO-P,PR-P,"A vulnerability management plan is developed and implemented."
PR.AC-P1,PR.AC-P,PR-P,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized individuals, processes, and devices."
PR.AC-P2,PR.AC-P,PR-P,"Physical access to data and devices is managed."
PR.AC-P3,PR.AC-P,PR-P,"Remote access is managed."
PR.AC-P4,PR.AC-P,PR-P,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties."
PR.AC-P5,PR.AC-P,PR-P,"Network integrity is protected (e.g., network segregation, network segmentation)."
PR.AC-P6,PR.AC-P,PR-P,"Individuals and devices are proofed and bound to credentials, and authenticated commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)."
PR.DS-P1,PR.DS-P,PR-P,"Data-at-rest are protected."
PR.DS-P2,PR.DS-P,PR-P,"Data-in-transit are protected."
PR.DS-P3,PR.DS-P,PR-P,"Systems/products/services and associated data are formally managed throughout removal, transfers, and disposition."
PR.DS-P4,PR.DS-P,PR-P,"Adequate capacity to ensure availability is maintained."
PR.DS-P5,PR.DS-P,PR-P,"Protections against data leaks are implemented."
PR.DS-P6,PR.DS-P,PR-P,"Integrity checking mechanisms are used to verify software, firmware, and information integrity."
PR.DS-P7,PR.DS-P,PR-P,"The development and testing environment(s) are separate from the production environment."
PR.DS-P8,PR.DS-P,PR-P,"Integrity checking mechanisms are used to verify hardware integrity."
PR.MA-P1,PR.MA-P,PR-P,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools."
PR.MA-P2,PR.MA-P,PR-P,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access."
PR.PT-P1,PR.PT-P,PR-P,"Removable media is protected and its use restricted according to policy."
PR.PT-P2,PR.PT-P,PR-P,"The principle of least functionality is incorporated by configuring systems to provide only essential capabilities."
PR.PT-P3,PR.PT-P,PR-P,"Communications and control networks are protected."
PR.PT-P4,PR.PT-P,PR-P,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations."
