Sub-Category,Category,Function,subcategory_name,,subcategory_type
ID.RA-P5,ID.RA-P,ID-P,"Risk responses are identified, prioritized, and implemented.",,Risk Assessment
ID.DE-P1,ID.DE-P,ID-P,"Data processing ecosystem risk management policies, processes, and procedures are identified, established, assessed, managed, and agreed to by organizational stakeholders.",,Data Processing Ecosystem Risk Management
ID.DE-P2,ID.DE-P,ID-P,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified, prioritized, and assessed using a privacy risk assessment process.",,Data Processing Ecosystem Risk Management
ID.DE-P3,ID.DE-P,ID-P,Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program. ,,Data Processing Ecosystem Risk Management
ID.DE-P4,ID.DE-P,ID-P,Interoperability frameworks or similar multi-party approaches are used to manage data processing ecosystem privacy risks. ,,Data Processing Ecosystem Risk Management
ID.DE-P5,ID.DE-P,ID-P,"Data processing ecosystem parties are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual, interoperability framework, or other obligations.",,Data Processing Ecosystem Risk Management
GV.PO-P1,GV.PO-P,GV-P,"Organizational privacy values and policies (e.g., conditions on data processing such as data uses or retention periods, individuals’ prerogatives with respect to data processing) are established and communicated.",,"Governance Policies, Processes, and Procedures"
GV.PO-P2,GV.PO-P,GV-P,Processes to instill organizational privacy values within system/product/service development and operations are established and in place.,,"Governance Policies, Processes, and Procedures"
GV.PO-P3,GV.PO-P,GV-P,Roles and responsibilities for the workforce are established with respect to privacy. ,,"Governance Policies, Processes, and Procedures"
GV.PO-P4,GV.PO-P,GV-P,"Privacy roles and responsibilities are coordinated and aligned with third-party stakeholders (e.g., service providers, customers, partners).",,"Governance Policies, Processes, and Procedures"
GV.PO-P5,GV.PO-P,GV-P,"Legal, regulatory, and contractual requirements regarding privacy are understood and managed.",,"Governance Policies, Processes, and Procedures"
GV.PO-P6,GV.PO-P,GV-P,"Governance and risk management policies, processes, and procedures address privacy risks.",,"Governance Policies, Processes, and Procedures"
GV.RM-P1,GV.RM-P,GV-P,"Risk management processes are established, managed, and agreed to by organizational stakeholders.",,Risk Management Strategy
GV.RM-P2,GV.RM-P,GV-P,Organizational risk tolerance is determined and clearly expressed.,,Risk Management Strategy
GV.RM-P3,GV.RM-P,GV-P,The organization’s determination of risk tolerance is informed by its role(s) in the data processing ecosystem.,,Risk Management Strategy
GV.AT-P1,GV.AT-P,GV-P,The workforce is informed and trained on its roles and responsibilities. ,,Awareness and Training
GV.AT-P2,GV.AT-P,GV-P,Senior executives understand their roles and responsibilities.,,Awareness and Training
GV.AT-P3,GV.AT-P,GV-P,Privacy personnel understand their roles and responsibilities.,,Awareness and Training
GV.AT-P4,GV.AT-P,GV-P,"Third parties (e.g., service providers, customers, partners) understand their roles and responsibilities.",,Awareness and Training
GV.MT-P1,GV.MT-P,GV-P,"Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization’s business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change.",,Monitoring and Review
GV.MT-P2,GV.MT-P,GV-P,"Privacy values, policies, and training are reviewed and any updates are communicated.",,Monitoring and Review
GV.MT-P3,GV.MT-P,GV-P,"Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place.",,Monitoring and Review
GV.MT-P4,GV.MT-P,GV-P,"Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place.",,Monitoring and Review
GV.MT-P5,GV.MT-P,GV-P,"Policies, processes, and procedures are established and in place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g., internal discovery, privacy researchers, professional events).",,Monitoring and Review
GV.MT-P6,GV.MT-P,GV-P,"Policies, processes, and procedures incorporate lessons learned from problematic data actions.",,Monitoring and Review
GV.MT-P7,GV.MT-P,GV-P,"Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place.",,Monitoring and Review
CT.PO-P1,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",,"Data Processing Policies, Processes, and Procedures"
CT.PO-P2,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",,"Data Processing Policies, Processes, and Procedures"
CT.PO-P3,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",,"Data Processing Policies, Processes, and Procedures"
CT.PO-P4,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",,"Data Processing Policies, Processes, and Procedures"
CT.DM-P1,CT.DM-P,CT-P,Data elements can be accessed for review.,,Data Processing Management
CT.DM-P2,CT.DM-P,CT-P,Data elements can be accessed for transmission or disclosure.,,Data Processing Management
CT.DM-P3,CT.DM-P,CT-P,Data elements can be accessed for alteration.,,Data Processing Management
CT.DM-P4,CT.DM-P,CT-P,Data elements can be accessed for deletion.,,Data Processing Management
CT.DM-P5,CT.DM-P,CT-P,Data are destroyed according to policy.,,Data Processing Management
CT.DM-P6,CT.DM-P,CT-P,Data are transmitted using standardized formats.,,Data Processing Management
CT.DM-P7,CT.DM-P,CT-P,Mechanisms for transmitting processing permissions and related data values with data elements are established and in place.,,Data Processing Management
CT.DM-P8,CT.DM-P,CT-P,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy and incorporating the principle of data minimization.",,Data Processing Management
CT.DM-P9,CT.DM-P,CT-P,Technical measures implemented to manage data processing are tested and assessed.,,Data Processing Management
CT.DM-P10,CT.DM-P,CT-P,Stakeholder privacy preferences are included in algorithmic design objectives and outputs are evaluated against these preferences.,,Data Processing Management
CT.DP-P1,CT.DP-P,CT-P,"Data are processed to limit observability and linkability (e.g., data actions take place on local devices, privacy-preserving cryptography).",,Disassociated Processing
CT.DP-P2,CT.DP-P,CT-P,"Data are processed to limit the identification of individuals (e.g., de-identification privacy techniques, tokenization).",,Disassociated Processing
CT.DP-P3,CT.DP-P,CT-P,"Data are processed to limit the formulation of inferences about individuals’ behavior or activities (e.g., data processing is decentralized, distributed architectures).",,Disassociated Processing
CT.DP-P4,CT.DP-P,CT-P,System or device configurations permit selective collection or disclosure of data elements. ,,Disassociated Processing
CT.DP-P5,CT.DP-P,CT-P,Attribute references are substituted for attribute values.,,Disassociated Processing
CM.PO-P1,CM.PO-P,CM-P,"Transparency policies, processes, and procedures for communicating data processing purposes, practices, and associated privacy risks are established and in place.",,"Communication Policies, Processes, and Procedures"
CM.PO-P2,CM.PO-P,CM-P,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established.",,"Communication Policies, Processes, and Procedures"
CM.AW-P1,CM.AW-P,CM-P,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place.",,Data Processing Awareness 
CM.AW-P2,CM.AW-P,CM-P,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place.",,Data Processing Awareness 
CM.AW-P3,CM.AW-P,CM-P,System/product/service design enables data processing visibility.,,Data Processing Awareness 
CM.AW-P4,CM.AW-P,CM-P,Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure.,,Data Processing Awareness 
CM.AW-P5,CM.AW-P,CM-P,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem.",,Data Processing Awareness 
CM.AW-P6,CM.AW-P,CM-P,Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure.,,Data Processing Awareness 
CM.AW-P7,CM.AW-P,CM-P,Impacted individuals and organizations are notified about a privacy breach or event.,,Data Processing Awareness 
CM.AW-P8,CM.AW-P,CM-P,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions.",,Data Processing Awareness 
PR.PO-P1,PR.PO-P,PR-P,"A baseline configuration of information technology is created and maintained incorporating security principles (e.g., concept of least functionality).",,"Data Protection Policies, Processes, and Procedures"
PR.PO-P2,PR.PO-P,PR-P,Configuration change control processes are established and in place.,,"Data Protection Policies, Processes, and Procedures"
PR.PO-P3,PR.PO-P,PR-P,"Backups of information are conducted, maintained, and tested.",,"Data Protection Policies, Processes, and Procedures"
PR.PO-P4,PR.PO-P,PR-P,Policy and regulations regarding the physical operating environment for organizational assets are met.,,"Data Protection Policies, Processes, and Procedures"
PR.PO-P5,PR.PO-P,PR-P,Protection processes are improved.,,"Data Protection Policies, Processes, and Procedures"
PR.PO-P6,PR.PO-P,PR-P,Effectiveness of protection technologies is shared.,,"Data Protection Policies, Processes, and Procedures"
PR.PO-P7,PR.PO-P,PR-P,"Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are established, in place, and managed.",,"Data Protection Policies, Processes, and Procedures"
PR.PO-P8,PR.PO-P,PR-P,Response and recovery plans are tested.,,"Data Protection Policies, Processes, and Procedures"
PR.PO-P9,PR.PO-P,PR-P,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening).",,"Data Protection Policies, Processes, and Procedures"
PR.PO-P10,PR.PO-P,PR-P,A vulnerability management plan is developed and implemented.,,"Data Protection Policies, Processes, and Procedures"
PR.AC-P1,PR.AC-P,PR-P,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized individuals, processes, and devices.",,"Identity Management, Authentication, and Access Control "
PR.AC-P2,PR.AC-P,PR-P,Physical access to data and devices is managed.,,"Identity Management, Authentication, and Access Control "
PR.AC-P3,PR.AC-P,PR-P,Remote access is managed.,,"Identity Management, Authentication, and Access Control "
PR.AC-P4,PR.AC-P,PR-P,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties.",,"Identity Management, Authentication, and Access Control "
PR.AC-P5,PR.AC-P,PR-P,"Network integrity is protected (e.g., network segregation, network segmentation).",,"Identity Management, Authentication, and Access Control "
PR.AC-P6,PR.AC-P,PR-P,"Individuals and devices are proofed and bound to credentials, and authenticated commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks).",,"Identity Management, Authentication, and Access Control "
PR.DS-P1,PR.DS-P,PR-P,Data-at-rest are protected.,,Data Security
PR.DS-P2,PR.DS-P,PR-P,Data-in-transit are protected.,,Data Security
PR.DS-P3,PR.DS-P,PR-P,"Systems/products/services and associated data are formally managed throughout removal, transfers, and disposition.",,Data Security
PR.DS-P4,PR.DS-P,PR-P,Adequate capacity to ensure availability is maintained.,,Data Security
PR.DS-P5,PR.DS-P,PR-P,Protections against data leaks are implemented.,,Data Security
PR.DS-P6,PR.DS-P,PR-P,"Integrity checking mechanisms are used to verify software, firmware, and information integrity.",,Data Security
PR.DS-P7,PR.DS-P,PR-P,The development and testing environment(s) are separate from the production environment.,,Data Security
PR.DS-P8,PR.DS-P,PR-P,Integrity checking mechanisms are used to verify hardware integrity.,,Data Security
PR.MA-P1,PR.MA-P,PR-P,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools.",,Maintenance
PR.MA-P2,PR.MA-P,PR-P,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access.",,Maintenance
PR.PT-P1,PR.PT-P,PR-P,Removable media is protected and its use restricted according to policy.,,Protective Technology
PR.PT-P2,PR.PT-P,PR-P,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities.,,Protective Technology
PR.PT-P3,PR.PT-P,PR-P,Communications and control networks are protected.,,Protective Technology
PR.PT-P4,PR.PT-P,PR-P,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations.",,Protective Technology
