technique_id,name_as_ocr,tactic_id,column_sequence,ocr_confidence,ocr_source_lines,ocr_note,source_document
TA09-T08,Peripheral Device Discovery,TA09,8,medium,18-19,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA09-T09,Network Share Discovery,TA09,9,high,20,,KB 2/USA/Mitre Att&ck.pdf
TA09-T10,Password Policy Discovery,TA09,10,high,21,,KB 2/USA/Mitre Att&ck.pdf
TA09-T11,Browser Information Discovery,TA09,11,medium,22-23,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA09-T12,Cloud Service Dashboard,TA09,12,high,27,,KB 2/USA/Mitre Att&ck.pdf
TA09-T13,Software Discovery,TA09,13,high,28,,KB 2/USA/Mitre Att&ck.pdf
TA09-T14,Query Registry,TA09,14,high,29,,KB 2/USA/Mitre Att&ck.pdf
TA09-T15,Remote System Discovery,TA09,15,high,30,,KB 2/USA/Mitre Att&ck.pdf
TA09-T16,Network Service Scanning,TA09,16,high,31,,KB 2/USA/Mitre Att&ck.pdf
TA09-T17,System Information Discovery,TA09,17,medium,33-34,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA09-T18,Account Discovery,TA09,18,high,35,,KB 2/USA/Mitre Att&ck.pdf
TA09-T19,System Time Discovery,TA09,19,high,36,,KB 2/USA/Mitre Att&ck.pdf
TA09-T20,Domain Trust Discovery,TA09,20,high,37,,KB 2/USA/Mitre Att&ck.pdf
TA09-T21,Cloud Service Discovery,TA09,21,high,38,,KB 2/USA/Mitre Att&ck.pdf
TA09-T22,Container and Resource Discovery,TA09,22,medium,39-40,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA09-T23,Cloud Infrastructure Discovery,TA09,23,medium,41-42,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA09-T24,System Location Discovery,TA09,24,high,43,,KB 2/USA/Mitre Att&ck.pdf
TA09-T25,Cloud Storage Object,TA09,25,low,44-45,continuation line rendered by OCR as 'as oe'; name truncated,KB 2/USA/Mitre Att&ck.pdf
TA09-T26,Sehecer esr,TA09,26,low,46,OCR output unreadable; retained verbatim as an unrecovered Discovery cell,KB 2/USA/Mitre Att&ck.pdf
TA09-T27,Dear DN;,TA09,27,low,47,OCR output unreadable; retained verbatim as an unrecovered Discovery cell,KB 2/USA/Mitre Att&ck.pdf
TA09-T28,Device Driver Discovery,TA09,28,high,48,,KB 2/USA/Mitre Att&ck.pdf
TA09-T29,Log Enumeration,TA09,29,high,49,,KB 2/USA/Mitre Att&ck.pdf
TA10-T01,Remote Services,TA10,1,high,4,,KB 2/USA/Mitre Att&ck.pdf
TA10-T02,Software Deployment Tools,TA10,2,medium,5-6,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA10-T03,Replication Through Removable Media,TA10,3,medium,7-8,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA10-T04,Internal Spearphishing,TA10,4,high,9,,KB 2/USA/Mitre Att&ck.pdf
TA10-T05,Lateral Tool Transfer,TA10,5,high,12,,KB 2/USA/Mitre Att&ck.pdf
TA10-T06,Taint Shared Content,TA10,6,high,13,,KB 2/USA/Mitre Att&ck.pdf
TA10-T07,Exploitation of Remote Services,TA10,7,medium,14-15,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA10-T08,Remote Service Session nyacking,TA10,8,low,16-17,wrapped; OCR mangled 'Hijacking'; kept verbatim,KB 2/USA/Mitre Att&ck.pdf
TA11-T01,Data from Local System,TA11,1,high,4,,KB 2/USA/Mitre Att&ck.pdf
TA11-T02,Data from Removable Media,TA11,2,medium,5-6,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA11-T03,Input Capture,TA11,3,high,7,,KB 2/USA/Mitre Att&ck.pdf
TA11-T04,Data Staged,TA11,4,high,8,,KB 2/USA/Mitre Att&ck.pdf
TA11-T05,Screen Capture,TA11,5,high,9,,KB 2/USA/Mitre Att&ck.pdf
TA11-T06,Email Collection,TA11,6,high,10,,KB 2/USA/Mitre Att&ck.pdf
TA11-T07,Clipboard Data,TA11,7,high,11,,KB 2/USA/Mitre Att&ck.pdf
TA11-T08,Automated Collection,TA11,8,high,12,,KB 2/USA/Mitre Att&ck.pdf
TA11-T09,Audio Capture,TA11,9,high,13,,KB 2/USA/Mitre Att&ck.pdf
TA11-T10,Video Capture,TA11,10,high,14,,KB 2/USA/Mitre Att&ck.pdf
TA11-T11,Browser Session Hijacking,TA11,11,high,15,,KB 2/USA/Mitre Att&ck.pdf
TA11-T12,Data from Information Repositories,TA11,12,medium,16-17,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA11-T13,Adversary-in-the-Middle,TA11,13,high,18,,KB 2/USA/Mitre Att&ck.pdf
TA11-T14,Archive Collected Data,TA11,14,high,19,,KB 2/USA/Mitre Att&ck.pdf
TA11-T15,Data from Network Shared Drive,TA11,15,medium,20-21,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA11-T16,Data from Cloud Storage,TA11,16,high,22,,KB 2/USA/Mitre Att&ck.pdf
TA11-T17,Data from Configuration Repository,TA11,17,medium,24-25,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA12-T01,Data Obfuscation,TA12,1,high,4,,KB 2/USA/Mitre Att&ck.pdf
TA12-T02,Fallback Channels,TA12,2,high,5,,KB 2/USA/Mitre Att&ck.pdf
TA12-T03,Application Layer Protocol,TA12,3,high,6,,KB 2/USA/Mitre Att&ck.pdf
TA12-T04,Communication Through Removable Media,TA12,4,medium,8-9,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA12-T05,Multi-Stage Channels,TA12,5,high,11,,KB 2/USA/Mitre Att&ck.pdf
TA12-T06,Ingress Tool Transfer,TA12,6,high,12,,KB 2/USA/Mitre Att&ck.pdf
TA12-T07,Data Encoding,TA12,7,high,13,,KB 2/USA/Mitre Att&ck.pdf
TA12-T08,Traffic Signaling,TA12,8,high,14,,KB 2/USA/Mitre Att&ck.pdf
TA12-T09,Remote Access Software,TA12,9,high,15,,KB 2/USA/Mitre Att&ck.pdf
TA12-T10,Dynamic Resolution,TA12,10,high,16,,KB 2/USA/Mitre Att&ck.pdf
TA12-T11,Non-standard Port,TA12,11,high,17,,KB 2/USA/Mitre Att&ck.pdf
TA12-T12,Protocol Tunneling,TA12,12,high,18,,KB 2/USA/Mitre Att&ck.pdf
TA12-T13,Encrypted Channel,TA12,13,high,19,,KB 2/USA/Mitre Att&ck.pdf
TA12-T14,Non-Application Layer Protocol,TA12,14,medium,20-21,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA12-T15,Hide Infrastructure,TA12,15,high,22,,KB 2/USA/Mitre Att&ck.pdf
TA12-T16,Content Injection,TA12,16,high,24,,KB 2/USA/Mitre Att&ck.pdf
TA13-T01,Exfiltration Over Other Network Medium,TA13,1,medium,4-5,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA13-T02,Scheduled Transfer,TA13,2,high,6,,KB 2/USA/Mitre Att&ck.pdf
TA13-T03,Data Transfer Size Limits,TA13,3,high,7,,KB 2/USA/Mitre Att&ck.pdf
TA13-T04,Exfiltration Over C2 Channel,TA13,4,medium,8-9,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA13-T05,Exfiltration Over Physical Medium,TA13,5,medium,10-11,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA13-T06,Exfittration Over Web Service,TA13,6,low,12-13,wrapped; OCR misspelled 'Exfiltration'; kept verbatim,KB 2/USA/Mitre Att&ck.pdf
TA13-T07,Automated Exfiltration,TA13,7,high,14,,KB 2/USA/Mitre Att&ck.pdf
TA13-T08,Fyfittration Over Alternative Protocol,TA13,8,low,15-16,wrapped; OCR mangled 'Exfiltration'; kept verbatim,KB 2/USA/Mitre Att&ck.pdf
TA13-T09,Transfer Data to Cloud Account,TA13,9,medium,17-18,wrapped across two OCR lines,KB 2/USA/Mitre Att&ck.pdf
TA14-T01,Data Destruction,TA14,1,high,4,,KB 2/USA/Mitre Att&ck.pdf
TA14-T02,Data Encrypted for Impact,TA14,2,high,5,,KB 2/USA/Mitre Att&ck.pdf
TA14-T03,Service Stop,TA14,3,high,6,,KB 2/USA/Mitre Att&ck.pdf
TA14-T04,Inhibit System Recovery,TA14,4,high,7,,KB 2/USA/Mitre Att&ck.pdf
TA14-T05,Firmware Corruption,TA14,5,high,9,,KB 2/USA/Mitre Att&ck.pdf
TA14-T06,Resource Hijacking,TA14,6,high,10,,KB 2/USA/Mitre Att&ck.pdf
TA14-T07,Network Denial of Service,TA14,7,high,11,,KB 2/USA/Mitre Att&ck.pdf
TA14-T08,Endpoint Denial of Service,TA14,8,high,12,,KB 2/USA/Mitre Att&ck.pdf
TA14-T09,System Shutdown/Reboot,TA14,9,high,13,,KB 2/USA/Mitre Att&ck.pdf
TA14-T10,Account Access Removal,TA14,10,high,14,,KB 2/USA/Mitre Att&ck.pdf
TA14-T11,Disk Wipe,TA14,11,high,15,,KB 2/USA/Mitre Att&ck.pdf
TA14-T12,Data Manipulation,TA14,12,high,16,,KB 2/USA/Mitre Att&ck.pdf
TA14-T13,Financial Thett,TA14,13,low,17,OCR misread of the final Impact cell; kept verbatim,KB 2/USA/Mitre Att&ck.pdf
