paragraph_id,article_number,paragraph_number,text,source_document
art16_p1,16,1,"A personal information processor shall not refuse to provide products or services on the grounds that the individual does not agree to process his/her personal information or withdraws his/her consent, unless the processing of personal information is necessary for providing products or services.",KB 2/China/Personal Information Protection Law.pdf
art17_p1,17,1,"Prior to processing personal information, a personal information processor shall truthfully, accurately, and completely inform the individual of the following matters in an eye- catching manner and with clear and understandable language:",KB 2/China/Personal Information Protection Law.pdf
art17_p2,17,2,"If any of the matters provided in the preceding paragraph is changed, the individual shall be notified of such change.",KB 2/China/Personal Information Protection Law.pdf
art18_p1,18,1,"When processing personal information, a personal information processor may not notify the individual of the matters provided for in laws and administrative regulations where confidentiality shall be kept, or it is not necessary to notify the individual of the matters provided for in the Paragraph 1 of the preceding Article.",KB 2/China/Personal Information Protection Law.pdf
art18_p2,18,2,"In case of emergency, it is unable to timely inform the individual to protect the life, health and property safety of natural persons, the personal information processor shall inform the individual in time after elimination of emergency.",KB 2/China/Personal Information Protection Law.pdf
art19_p1,19,1,"The retention period of personal information shall be the minimum period necessary for achieving the purpose of processing, except for where the retention period of personal information is otherwise provided for in laws and administrative regulations.",KB 2/China/Personal Information Protection Law.pdf
art20_p1,20,1,"Where more than two personal information processors jointly determine the purpose and method of processing personal information, their respective rights and obligations shall be agreed upon. However, such agreement shall not affect an individual's right to exercise the rights provided for in this Law against any of the personal information processors.",KB 2/China/Personal Information Protection Law.pdf
art20_p2,20,2,"Where personal information processors jointly processing personal information infringe upon personal information rights and interests and cause damages, they shall bear joint and several liabilities in accordance with the law.",KB 2/China/Personal Information Protection Law.pdf
art21_p1,21,1,"Where a personal information processor entrusts others to process personal information, it shall agree with the entrusted party on the purpose, duration, and method of entrusted processing, type and protection measures of personal information as well as the rights and obligations of both parties, and supervise the personal information processing activities of the entrusted party.",KB 2/China/Personal Information Protection Law.pdf
art21_p2,21,2,"The entrusted party shall process personal information as agreed and shall not process personal information beyond the agreed purpose and method of processing. If the contract is invalidated, invalid, revoked or terminated, the entrust party shall return the personal information to the personal information processor or delete the personal information, and shall not retain the personal information.",KB 2/China/Personal Information Protection Law.pdf
art21_p3,21,3,"Without the consent of the personal information processor, the entrusted party shall not re- entrust others to process personal information.",KB 2/China/Personal Information Protection Law.pdf
art22_p1,22,1,"Where a personal information processor needs to transfer personal information due to reasons such as merger, division, dissolution, or being declared bankrupt, it shall inform the individual of the name and contact information of the recipient. The recipient shall continue to perform its obligations as a personal information processor. Where the recipient changes the original purpose and method of processing, it shall obtain the individual's consent anew in accordance with this Law.",KB 2/China/Personal Information Protection Law.pdf
art23_p1,23,1,"Where a personal information processor provides other personal information processor with the personal information it processes, it shall inform the individual of the name and contact information of the third party, purpose and method of processing and type of personal information, and shall obtain his/her separate consent. The party receiving personal information shall process personal information within the scope of the above purpose and method of processing and type of personal information. Where the party receiving personal information changes the original purpose and method of processing, it shall inform the individual and obtain his/her consent again in accordance with this Law.",KB 2/China/Personal Information Protection Law.pdf
art24_p1,24,1,"Where personal information processors use personal information to make automatic decision, the transparency of decision-making and the fairness and justice of the results shall be ensured, and shall not impose unreasonable differential treatment on individuals in terms of transaction price and other transaction conditions.",KB 2/China/Personal Information Protection Law.pdf
art24_p2,24,2,"Where business marketing and information push are carried out through automatic decision- making, options not based on his/her personal characteristics shall be provided at the same time, or a convenient way for individuals to reject shall be provided.",KB 2/China/Personal Information Protection Law.pdf
art24_p3,24,3,"Where automatic decision-making has a significant impact on individual's rights and interests, he/she has the right to require the personal information processor to give an explanation, and to reject the decision made by the personal information processor only through automatic decision-making.",KB 2/China/Personal Information Protection Law.pdf
art25_p1,25,1,"A personal information processor shall not disclose the personal information it processes, unless the individual's consent is obtained, or it is otherwise required by laws and administrative regulations.",KB 2/China/Personal Information Protection Law.pdf
art26_p1,26,1,"Image capturing and personal identification equipment installed in public places shall be necessary for maintaining public security, comply with relevant provisions of the State, and conspicuous prompting signs shall be installed. Personal images and personal identifiable information collected may only be used for the purpose of maintaining public security and shall not be used for other purposes, unless the individual's consent is obtained.",KB 2/China/Personal Information Protection Law.pdf
art27_p1,27,1,"Personal information processors may, within a reasonable range, process personal information that has been disclosed by individuals themselves or other lawfully disclosed personal information, except where the individual explicitly refuses. Personal information processors shall obtain the consent of individuals in accordance with the provisions of this Law if the processing of disclosed personal information has a major impact on the rights and interests of individuals.",KB 2/China/Personal Information Protection Law.pdf
art28_p1,28,1,"Sensitive personal information refers to the personal information that can easily lead to the infringement of the personal dignity or natural persons or the harm of personal or property safety once leaked or illegally used, including such information as biometrics, religious belief, specific identities, medical health, financial accounts, and whereabouts, and the personal information of minors under the age of 14.",KB 2/China/Personal Information Protection Law.pdf
art28_p2,28,2,"Personal information processors can process sensitive personal information only when they have a specific purpose and sufficient necessity, and take strict protective measures.",KB 2/China/Personal Information Protection Law.pdf
art29_p1,29,1,"Individual consent should be obtained for processing sensitive personal information. Where laws and administrative regulations provide that the processing of sensitive personal information shall be subject to written consent, such provisions shall prevail.",KB 2/China/Personal Information Protection Law.pdf
art30_p1,30,1,"For the processing of sensitive personal information of an individual, the personal information processor shall inform the individual of the necessity of processing sensitive personal information and the impacts on the individual's right and interest, in addition to the matters prescribed in Paragraph 1 of Article 17 thereof, except those that may not be notified to individuals in accordance with the provisions of this Law.",KB 2/China/Personal Information Protection Law.pdf
art31_p1,31,1,"If a personal information processor knows or should know that the personal information it processes is the personal information of a minor below the age of 14, it shall obtain the consent of the minor's parent or other guardians.",KB 2/China/Personal Information Protection Law.pdf
art31_p2,31,2,Personal information processors shall formulate special personal information processing rules for handling personal information of minors under the age of 14.,KB 2/China/Personal Information Protection Law.pdf
art32_p1,32,1,"Where laws and administrative regulations provide that the processing of sensitive personal information shall be subject to relevant administrative permission or other restriction, such provisions shall prevail.",KB 2/China/Personal Information Protection Law.pdf
art33_p1,33,1,"This Law shall apply to the activities of a State organ to process personal information; where there are special provisions in this Section, the provisions of this Section shall apply.",KB 2/China/Personal Information Protection Law.pdf
art34_p1,34,1,The processing of personal information by a State organ for the purpose of performing its statutory duties shall be under the authority and procedures prescribed by laws and administrative regulations and shall not exceed the scope and limit necessary for performing its statutory duties.,KB 2/China/Personal Information Protection Law.pdf
art35_p1,35,1,"A State organ processing personal information for the purpose of performing its statutory duties shall perform the obligation of notification in accordance with this Law, except for circumstances prescribed in Paragraph 1 of Article 18, or the notification will hinder the State organ from performing its statutory duties.",KB 2/China/Personal Information Protection Law.pdf
art36_p1,36,1,"The personal information processed by a State organ shall be stored within the territory of the People's Republic of China; where it is necessary to provide such information to an overseas party, a security assessment shall be conducted. Relevant departments may be required to provide support and assistance for security assessment.",KB 2/China/Personal Information Protection Law.pdf
art37_p1,37,1,The provisions of this law on personal information processed by State organs shall apply for personal information processing by organizations authorized by laws and regulations with the function of managing public affairs to perform statutory duties.,KB 2/China/Personal Information Protection Law.pdf
art38_p1,38,1,"Where a personal information processor needs to provide personal information outside the territory of the People's Republic of China due to business or other needs, it shall meet any of the following conditions:",KB 2/China/Personal Information Protection Law.pdf
art38_p2,38,2,"Where the international treaties and agreements that the People's Republic of China has concluded or participated in have provisions on the conditions for providing personal information outside the territory of the People's Republic of China, such provisions may be complied with.",KB 2/China/Personal Information Protection Law.pdf
art38_p3,38,3,Personal information processors shall take necessary measures to ensure that the processing of personal information by overseas recipients meets the personal information protection standards stipulated in this law.,KB 2/China/Personal Information Protection Law.pdf
art39_p1,39,1,"Where a personal information processor provides personal information of an individual to a party outside the territory of the People's Republic of China, it shall inform the individual of such matters as the name of the overseas recipient, contact information, purpose and method of processing, type of personal information and the way and procedure for the individual to exercise the rights prescribed herein against the overseas recipient, and shall obtain the individual's separate consent.",KB 2/China/Personal Information Protection Law.pdf
art40_p1,40,1,"Critical information infrastructure operators and personal information processors whose processing of personal information reaches the number prescribed by the State cyberspace administration shall store the personal information collected and generated within the territory of the People's Republic of China within the territory of China. If it is indeed necessary to provide such information and data to overseas parties, it shall be subject to the security assessment organized by the State cyberspace administration; if laws, administrative regulations or the provisions of the State cyberspace administration provide that the security assessment is not required, such provisions shall prevail.",KB 2/China/Personal Information Protection Law.pdf
art41_p1,41,1,"The competent authorities of the People's Republic of China shall, in accordance with relevant laws and international treaties and agreements concluded or participated in by the People's Republic of China, or in accordance with the principle of equality and reciprocity, handle requests from foreign judicial or law enforcement agencies for the provision of personal information stored in China. Without the approval of the competent authority of the People's Republic of China, personal information processor shall not provide the personal information stored within the territory of the People's Republic of China to judicial or law enforcement agencies outside of territory of the People's Republic of China.",KB 2/China/Personal Information Protection Law.pdf
art42_p1,42,1,"For any overseas organization or individual whose personal information processing activities damage the personal information rights and interests of citizens of the People's Republic of China, or endanger the national security or public interests of the People's Republic of China, the State cyberspace administration may include such overseas organization or individual in the list of restricted or prohibited provision of personal information, announce the same, and take measures such as restricting or prohibiting provision of personal information to such overseas organization or individual.",KB 2/China/Personal Information Protection Law.pdf
art43_p1,43,1,"Where any country or region takes discriminatory prohibitive, restrictive or other similar measures against the People's Republic of China in respect of the protection of personal information, the People's Republic of China may, as the case may be, take reciprocal measures against such country or region.",KB 2/China/Personal Information Protection Law.pdf
art44_p1,44,1,"An individual has the right to know and make decisions on the processing of his/her personal information, and the right to restrict or refuse others to process his/her personal information, unless otherwise provided for by laws and administrative regulations.",KB 2/China/Personal Information Protection Law.pdf
art45_p1,45,1,"An individual is entitled to consult or copy his/her personal information from a personal information processor, except for the circumstances as prescribed in Paragraph 1 of Article 18 and Article 35 herein.",KB 2/China/Personal Information Protection Law.pdf
art45_p2,45,2,"Where an individual requests to consult or copy his/her personal information, the personal information processor shall provide such information in a timely manner.",KB 2/China/Personal Information Protection Law.pdf
art45_p3,45,3,"Where an individual requests to transfer his/her personal information to a personal information processor designated by him/her, the personal information processor shall provide the means for such transfer if the conditions prescribed by the State cyberspace administration are met.",KB 2/China/Personal Information Protection Law.pdf
art46_p1,46,1,"Where an individual finds that his/her personal information is inaccurate or incomplete, he/she is entitled to request the personal information processor to make corrections or supplements.",KB 2/China/Personal Information Protection Law.pdf
art46_p2,46,2,"Where an individual requests for corrections or supplements to his/her personal information, the personal information processor shall make verification and make corrections or supplements to such information in a timely manner.",KB 2/China/Personal Information Protection Law.pdf
art47_p1,47,1,"Under any of the following circumstances, a personal information processor shall delete personal information on its own initiative; if the personal information processor has not deleted it, the individual concerned shall have the right to request deletion:",KB 2/China/Personal Information Protection Law.pdf
art47_p2,47,2,"Where the storage period as prescribed by laws and administrative regulations does not expire, or the deletion of personal information is difficult to be realized technically, the personal information processor shall stop processing personal information other than storage and taking necessary security measures.",KB 2/China/Personal Information Protection Law.pdf
art48_p1,48,1,An individual is entitled to request the personal information processor to explain the rules on processing of personal information.,KB 2/China/Personal Information Protection Law.pdf
art49_p1,49,1,"In the event of the death of a natural person, his/her near relatives may, for their own lawful and legitimate interests, exercise the rights of consulting, copying, correcting, and deleting the relevant personal information of the deceased as prescribed in this Chapter, unless the deceased had otherwise arranged before his/her death.",KB 2/China/Personal Information Protection Law.pdf
art50_p1,50,1,"A personal information processor shall establish a convenient mechanism for accepting and processing applications for exercising personal rights by individuals. Where an individual's request for exercising personal rights is rejected, the reasons shall be stated.",KB 2/China/Personal Information Protection Law.pdf
art50_p2,50,2,"Where the personal information processor refuses an individual's request to exercise his rights, the individual may bring a lawsuit in a people's court according to law.",KB 2/China/Personal Information Protection Law.pdf
art51_p1,51,1,"A personal information processor shall, according to the purpose and method of processing personal information, type of personal information, impact on individual's right and interest, and possible security risk, etc., take following measures to ensure the compliance of personal information processing activities with provisions of laws and administrative regulations, and prevent unauthorized visit, or leakage, falsification, and loss of personal information:",KB 2/China/Personal Information Protection Law.pdf
art52_p1,52,1,"Where the quantity of personal information processed by a processor reaches that specified by the state cyberspace administration, the processor shall designate a person in charge of personal information protection to be responsible for supervising the processing of personal information and the adopted protection measures.",KB 2/China/Personal Information Protection Law.pdf
art52_p2,52,2,A personal information processor shall make public the contact information of the person in charge of personal information protection and submit the name and contact information of the person in charge of personal information protection to the department performing duties of personal information protection.,KB 2/China/Personal Information Protection Law.pdf
art53_p1,53,1,"Any personal information processor outside the territory of the People's Republic of China as prescribed in Paragraph 2, Article 3 hereof shall establish a special agency or designate a representative within the territory of the People's Republic of China to be responsible for relevant matters of personal information protection, and submit the name and contact information of relevant agency or the representative to the department performing duties of personal information protection.",KB 2/China/Personal Information Protection Law.pdf
art54_p1,54,1,A personal information processor shall regularly audit whether its processing of personal information is in compliance with provisions of laws and administrative regulations.,KB 2/China/Personal Information Protection Law.pdf
art55_p1,55,1,A personal information processor shall conduct personal information protection impact assessment of the following circumstances in advance and keep a record of the processing:,KB 2/China/Personal Information Protection Law.pdf
art56_p1,56,1,The personal information protection impact assessment shall include the following:,KB 2/China/Personal Information Protection Law.pdf
art56_p2,56,2,The personal information protection assessment report and processing record shall be kept for at least three years.,KB 2/China/Personal Information Protection Law.pdf
art57_p1,57,1,"Where personal information has been or may be leaked, falsified, or lost, the personal information processor shall immediately take remedial measures and inform the department performing duties of personal information protection and the individuals concerned. The notice shall include the following particulars:",KB 2/China/Personal Information Protection Law.pdf
art57_p2,57,2,"If the personal information processor has taken measures to effectively avoid harm caused by information leakage, falsification, or loss, it may opt not to notify the individuals; however, if the department performing duties of personal information protection believes harm shall be caused, it may require the personal information processor to notify the individuals thereof.",KB 2/China/Personal Information Protection Law.pdf
art58_p1,58,1,Personal information processors that provide important Internet platform services with a large number of users and complex business types shall perform the following obligations:,KB 2/China/Personal Information Protection Law.pdf
art59_p1,59,1,"The party entrusted to process personal information shall fulfill the relevant obligations prescribed by this Law and other relevant laws and administrative regulations, take necessary measures to ensure the security of the personal information processed, and assist personal information processors to fulfill their obligations under this Law.",KB 2/China/Personal Information Protection Law.pdf
art60_p1,60,1,"The state cyberspace administration is responsible for coordinating the protection of personal information and relevant supervision and administration work; and relevant departments under the State Council are responsible for protecting, supervising and administering personal information within the scope of their respective duties in accordance with the provisions of this Law and relevant laws and administrative regulations.",KB 2/China/Personal Information Protection Law.pdf
art60_p2,60,2,"The duties of relevant departments of local people's governments at or above the county level in protecting, supervising and administering personal information shall be determined in accordance with relevant provisions of the State.",KB 2/China/Personal Information Protection Law.pdf
art60_p3,60,3,The departments mentioned in the preceding two paragraphs are collectively referred to as the departments performing duties of personal information protection.,KB 2/China/Personal Information Protection Law.pdf
art61_p1,61,1,Departments performing duties of personal information protection shall perform the following duties of personal information protection:,KB 2/China/Personal Information Protection Law.pdf
art62_p1,62,1,The state cyberspace administration shall coordinate with the relevant departments in promoting the protection of personal information in accordance with this Law as follows:,KB 2/China/Personal Information Protection Law.pdf
art63_p1,63,1,Departments performing duties of personal information protection may take the following measures when performing the duties of personal information protection:,KB 2/China/Personal Information Protection Law.pdf
art63_p2,63,2,"When departments performing duties of personal information protection perform duties in accordance with the law, the parties concerned shall provide assistance and cooperation, and shall not refuse or obstruct such performance.",KB 2/China/Personal Information Protection Law.pdf
art64_p1,64,1,"Where departments performing duties of personal information protection find in performing their duties of personal information protection that there are relatively high risks in personal information processing activities or personal information security incidents have occurred, they may interview the legal representative or person chiefly in charge of the personal information processor according to prescribed authority and procedures, or require the personal information processor to entrust professional institutions to conduct compliance audits of their personal information processing activities. The personal information processor shall take measures to make rectification and eliminate hidden dangers as required.",KB 2/China/Personal Information Protection Law.pdf
art64_p2,64,2,"Department that performs the duty of personal information protection and discovers that the illegal processing of personal information is suspected of a crime in the course of performing its duty, shall promptly transfer the case to the public security organ for handling according to law.",KB 2/China/Personal Information Protection Law.pdf
art65_p1,65,1,Any organization or individual has the right to complain or report illegal personal information processing activities to the departments performing duties of personal information protection. The departments receiving such complaints or reports shall promptly process them according to the law and notify the complainants or reporters of the results. The departments performing duties of personal information protection shall make public the contact information for accepting complaints or reports.,KB 2/China/Personal Information Protection Law.pdf
art66_p1,66,1,"Where personal information is processed in violation of the provisions hereof, or personal information is processed without fulfilling the personal information protection obligations stipulated in this Law, the departments performing duties of personal information protection shall order the processor to make rectification, give a warning to the processor and confiscate its illegal gains, or order the application that illegally processing personal information to suspend or terminate provision of services; if rectification is refused, a fine of not more than RMB 1 million shall be imposed concurrently on the processor; and a fine of not less than RMB 10,000 but not more than RMB 100,000 shall be imposed on the person directly in charge of the processor and other directly liable persons.",KB 2/China/Personal Information Protection Law.pdf
art66_p2,66,2,"Where an illegal act specified in the preceding paragraph is committed and the circumstances are serious, the departments performing duties of personal information protection at or above the provincial level shall order the processor to make rectification, confiscate its illegal gains and impose a fine of not more than RMB 50 million or not more than 5% of its turnover of the previous year on the processor, and may also order the processor to suspend relevant business or to suspend business for rectification, and notify the relevant competent departments to revoke the relevant business permit or business license; and a fine of not less than RMB 100,000 but not more than RMB 1 million shall be imposed on the persons directly in charge and other directly liable persons, and such persons may also be prohibited from serving as directors, supervisors, senior managers, and persons in charge of personal information protection of relevant enterprises for a certain period of time.",KB 2/China/Personal Information Protection Law.pdf
art67_p1,67,1,Any illegal act specified in this Law shall be recorded in the credit archives in accordance with the provisions of the relevant laws and administrative regulations and shall be disclosed to the public.,KB 2/China/Personal Information Protection Law.pdf
art68_p1,68,1,"Where a state organ fails to perform its obligations of protecting personal information as specified in this Law, its superior organ or the department performing the duties of personal information protection shall order it to make rectification, and impose sanctions on the person directly in charge and other directly liable persons according to law.",KB 2/China/Personal Information Protection Law.pdf
art68_p2,68,2,"Where the staff of departments responsible for personal information protection guilty of dereliction of duties, abusing official powers, or malpractice for personal gain but yet to constitute a crime, they shall be punished pursuant to the law.",KB 2/China/Personal Information Protection Law.pdf
art69_p1,69,1,"Where the right and interests of personal information are infringed upon due to personal information processing and causes damages, and the personal information processor cannot prove that it is not at fault, it shall bear the tort liability for damages.",KB 2/China/Personal Information Protection Law.pdf
art69_p2,69,2,"Liability for damages prescribed in the preceding paragraph shall be borne in light of the losses thus caused to the individuals concerned or the benefits thus obtained by the personal information processor; if the losses thus caused to the individuals concerned or the benefits thus obtained by the personal information processor are difficult to be determined, the people's court shall determine the amount of compensation according to the actual circumstances.",KB 2/China/Personal Information Protection Law.pdf
art70_p1,70,1,"Where a personal information processor processes personal information in violation of the provisions of this Law, which infringes upon the rights and interests of a large number of individuals, the people's procuratorate, the consumer organizations specified by law and the organization determined by the state cyberspace administration may file a lawsuit with the people's court in accordance with the law.",KB 2/China/Personal Information Protection Law.pdf
art71_p1,71,1,"Where a violation of the provisions of this Law constitutes a violation of public security administration, a public security administration punishment shall be imposed in accordance with the law; if a crime is constituted, criminal liability shall be investigated in accordance with the law.",KB 2/China/Personal Information Protection Law.pdf
art72_p1,72,1,"This Law shall not be applicable to the processing of personal information by a natural person by virtue of his/her personal or family affairs. Where there are legal provisions on the processing of personal information in the statistical and archive administration organized and implemented by the people's governments at all levels and the relevant departments thereof, such provisions shall apply.",KB 2/China/Personal Information Protection Law.pdf
art73_p1,73,1,"For the purposes of this Law, the following terms are defined as follows:",KB 2/China/Personal Information Protection Law.pdf
art74_p1,74,1,"This Law shall come into force as of November 1, 2021.",KB 2/China/Personal Information Protection Law.pdf
