article_id,number,chapter_id,chapter_number,chapter_title,text,law_id,source_document
LAW_ART_11,11,LAW_CH_II,II,Personal Data Protection Principles,"The processing of personal data shall be limited to the fulfillment of the purposes set forth in the privacy notice; however, if the data controller intends to process the data for a purpose other than those set forth in the privacy notice, the consent of the data subject shall be required to be obtained again.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_12,12,LAW_CH_II,II,Personal Data Protection Principles,"The processing of personal data shall be that which is necessary, adequate and relevant in relation to the purposes set forth in the privacy notice; for sensitive personal data, the data controller shall make reasonable efforts to limit the period of processing of such data so that it is the minimum necessary.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_13,13,LAW_CH_II,II,Personal Data Protection Principles,"The data controller shall ensure compliance with the principles of personal data protection established by this Law, and shall adopt the necessary and sufficient measures for its application, as well as to guarantee that the privacy notice made known to the data subject is respected at all times by the data controller or by third parties with whom it has a legal relationship.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_14,14,LAW_CH_II,II,Personal Data Protection Principles,"The data controller shall have the obligation to inform the data subject, through the privacy notice, of the existence and main characteristics of the processing to which his or her personal data will be subjected, so that he or she may make informed decisions in this respect.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_15,15,LAW_CH_II,II,Personal Data Protection Principles,"The privacy notice shall contain, at least, the following information: The identity and address of the data controller; The personal data that will be subject to processing, identifying those that are sensitive; The purposes of the processing of personal data, distinguishing those that require the consent of the data subject; The options and means offered by the data controller to the data subjects to limit the use or disclosure of the data; The mechanisms, means and procedures to exercise the ARCO rights, pursuant to the provisions of this Law, and The procedure and means by which the data controller will inform the data subjects of changes to the privacy notice, in accordance with the provisions of this Law.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_16,16,LAW_CH_II,II,Personal Data Protection Principles,"The data controller must make the privacy notice available to the data subjects, through printed, digital, visual, audio or any other technology in the following manner: When personal data is obtained in person through printed formats, it must be disclosed at that time, unless the notice has been provided beforehand, and When personal data is obtained by any electronic, optical, sound, visual or any other technology, it must be provided in its simplified form, which must contain at least the information referred to in sections I to IV of the preceding article, and indicate the site where the comprehensive privacy notice may be consulted.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_17,17,LAW_CH_II,II,Personal Data Protection Principles,"When the data have not been obtained directly from the data subject, the data controller shall inform him/her of the change in the privacy notice. The provisions of the preceding paragraph do not apply when the processing is for historical, statistical or scientific purposes. When it is impossible to disclose the privacy notice to the data subject directly or this requires disproportionate efforts, the data controller may implement compensatory measures in terms of the Regulations of this Law.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_18,18,LAW_CH_II,II,Personal Data Protection Principles,"Every data controller shall establish and maintain administrative, technical and physical security measures to protect personal data against damage, loss, alteration, destruction or unauthorized use, access or processing. The data controllers shall not adopt lesser security measures than those they maintain for the handling of their information. Likewise, the existing risk, the possible consequences for the data subjects, the sensitivity of the data and the technological development shall be taken into account.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_19,19,LAW_CH_II,II,Personal Data Protection Principles,"Security breaches occurring at any stage of the processing of personal data that significantly affect the economic or moral rights of the data subjects shall be immediately reported by the data controller, so that he/she may take the corresponding measures to defend his/her rights.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_20,20,LAW_CH_II,II,Personal Data Protection Principles,"The controller or third party shall establish controls or mechanisms whose purpose is to ensure that all persons involved in any phase of the processing of personal data shall maintain confidentiality with respect to such data, an obligation that shall subsist even after the end of their relationship with the controller or third party.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_21,21,LAW_CH_III,III,On the Rights of the Data Subjects,"Any data subject or, as the case may be, its legal representative, may exercise the ARCO rights provided for in this Law. The exercise of any of the ARCO rights is not a prerequisite nor does it prevent the exercise of another. Personal data must be safeguarded in such a way as to allow the exercise of these rights without delay.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_22,22,LAW_CH_III,III,On the Rights of the Data Subjects,"The data subject will have the right to access his/her personal data in the possession of the data controller, as well as to know the information related to the conditions and generalities of its processing, through the privacy notice.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_23,23,LAW_CH_III,III,On the Rights of the Data Subjects,"The data subject shall have the right to request the rectification or correction of his personal data, when they are inaccurate, incomplete or outdated.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_24,24,LAW_CH_III,III,On the Rights of the Data Subjects,"The data subject shall at all times have the right to request the cancellation of his or her personal data from the files, records, files and systems of the data controller, so that such data are no longer in the possession of the data controller. The cancellation of personal data will give rise to a blocking period after which the data will be deleted, the data controller may keep them exclusively for the purposes of the liabilities arising from the processing. The blocking period will be equivalent to the statute of limitations period of the actions derived from the legal relationship on which the processing is based under the terms of the applicable law on the matter, and once the data has been cancelled, notice will be given to the data subject. When the personal data had been transmitted prior to the date of rectification or cancellation and continue to be processed by third parties, the data controller shall inform them of such request for rectification or cancellation, so that they may proceed to carry it out as well.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_25,25,LAW_CH_III,III,On the Rights of the Data Subjects,"The data controller shall not be obliged to cancel personal data when: It refers to the parties to a private, social or administrative contract and is necessary for its development and performance; Must be treated by law; Obstructs judicial or administrative proceedings related to tax obligations, the investigation and prosecution of crimes or the updating of administrative sanctions; Are necessary to protect the legally protected interests of the data subject; Are necessary to carry out an action in the public interest; They are necessary to comply with an obligation legally acquired by the data subject, and Are the object of processing for prevention or for medical diagnosis or the management of health services, provided that such processing is carried out by a health professional subject to a duty of confidentiality.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_26,26,LAW_CH_III,III,On the Rights of the Data Subjects,"The data subject shall have the right at any time and for legitimate reasons to object to the processing of his data or to demand the cessation of such processing when: There is legitimate cause and his/her specific situation so requires, which must justify that even though the processing is lawful, it must cease in order to prevent its persistence from causing him/her harm or damage, or Your personal data are subject to automated processing, which produces unwanted legal effects or significantly affects your interests, rights or freedoms, and are intended to evaluate, without human intervention, certain personal aspects of the data subject or to analyze or predict, in particular, your professional performance, economic situation, health status, sexual preferences, reliability or behavior. The exercise of the right to object shall not be applicable in those cases in which the processing is necessary for the fulfillment of a legal obligation imposed on the data controller.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_27,27,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights",The data subject or his/her legal representative may request the data controller at any time to exercise his/her ARCO rights with respect to the personal data concerning him/her.,LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_28,28,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","The request for the exercise of ARCO rights shall contain and be accompanied by the following: The name of the data subject and its address or any other means to receive notifications; Documents proving the identity of the data subject or, as the case may be, the personality and identity of its representative; The clear and precise description of the personal data with respect to which the exercise of any of the ARCO rights is sought, except in the case of the right of access; The description of the ARCO right that is intended to be exercised, or what the data subject is requesting, and Any other element or document that facilitates the location of personal data.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_29,29,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","Every data controller shall promote the protection of personal data within the organization and shall designate a person, or personal data department, who shall process the requests of the data subjects for the exercise of the rights referred to in this Law.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_30,30,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","In the case of requests for the exercise of the right to rectify personal data, the data subject must indicate, in addition to the provisions of Article 29 of this Law, the modifications to be made and provide the documentation supporting the request.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_31,31,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","The data controller will communicate to the data subject, within a maximum period of twenty days from the date on which the request for the exercise of the ARCO rights was received, the determination adopted, in order that, if appropriate, the same may be made effective within fifteen days following the date on which the response is communicated. In the case of requests for the exercise of the right of access to personal data, the delivery will be made upon proof of the identity of the data subject or legal representative, as appropriate. The aforementioned terms may be extended only once for an equal period, provided that the circumstances of the case so justify.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_32,32,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","The obligation of access to personal data shall be deemed to be fulfilled when such data is made available to the data subject; or, by means of the issuance of simple copies, electronic documents or any other means determined by the data controller in the privacy notice. In the event that the data subject requests access to the data from a person who is presumed to be the data controller and this person turns out not to be the data controller, it shall be sufficient for the data subject to be so informed by any of the means referred to in the preceding paragraph, in order for the request to be deemed to have been complied with.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_33,33,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","The causes in which the exercise of the ARCO rights shall not be applicable and therefore the data controller may deny the same are: When the data subject or the legal representative is not duly accredited to do so; When the personal data is not in the possession of the data controller; When the rights of a third party are violated; When there is a legal impediment, or the resolution of a competent authority, which restricts access to personal data, or does not allow the rectification, cancellation or opposition of the same, and When the rectification, cancellation or opposition has been previously made. The refusal referred to in this article may be partial when any of the requirements described in the request for the exercise of the ARCO rights of the data subject or his/her representative are not found in any of the aforementioned causes, in which case the data controller will carry out the required access, rectification, cancellation or opposition. In all the above cases, the data controller must inform the reason for its decision and communicate it to the data subject, or if applicable, to the legal representative, within the deadlines established for such purpose, by the same means by which the request for the exercise of the ARCO rights was carried out, accompanying, if applicable, the evidence that may be relevant.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_34,34,LAW_CH_IV,IV,"Exercise of Access, Rectification, Cancellation and Opposition Rights","The exercise of ARCO rights is free of charge; charges may only be made to recover the costs of reproduction, copies or mailing. When the data subject provides the magnetic or electronic media or the necessary mechanism to reproduce the personal data, such data shall be delivered free of charge to the data subject. When the same person or his/her representative repeats his/her request in a period of less than twelve months, the costs will not be greater than three times the current Unit of Measurement and Updating, unless there are substantial modifications to the privacy notice that motivate new consultations.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_35,35,LAW_CH_V,V,Data Transfer,"When the data controller intends to transfer personal data to national or foreign third parties, other than the processor, he/she shall inform them of the privacy notice and the purposes to which the data subject subjected his/her data processing. The processing of the data will be done in accordance with the terms of the privacy notice, which will contain a clause indicating whether or not the data subject accepts the transfer of his/her data, likewise, the third party receiver will assume the same obligations that correspond to the data controller for transferring the data.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_36,36,LAW_CH_V,V,Data Transfer,"National or international transfers of data may be carried out without the consent of the data subject when they fall within any of the following cases: The transfer is provided for in a Law or Treaty to which Mexico is a party; The transfer is necessary for prevention or medical diagnosis, the provision of health care, medical treatment or the management of health services; The transfer is made to controlling companies, subsidiaries or affiliates under the common control of the data controller, or to a parent company or to any company of the same group of the data controller that operates under the same internal processes and policies; The transfer is necessary by virtue of a contract entered into or to be entered into in the interest of the data subject, by the data controller and a third party; The transfer is necessary or legally required for the safeguarding of a public interest, or for the procurement or administration of justice; The transfer is necessary for the recognition, exercise or defense of a right in a judicial proceeding, and The transfer is necessary for the maintenance or fulfillment of a legal relationship between the data controller and the data subject.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_37,37,LAW_CH_VI,VI,Self-regulation,"Individuals or legal entities may agree among themselves or with civil or governmental, national or foreign organizations, binding self-regulation schemes on the subject, which complement the provisions of this Law. Such schemes shall contain mechanisms to measure their effectiveness in data protection, consequences and effective corrective measures in the event of non-compliance. Self-regulatory schemes may take the form of codes of ethics or good professional practice, trust seals or other mechanisms, and shall contain specific rules or standards to harmonize the processing of data carried out by members and facilitate the exercise of the rights of data subjects. Such schemes shall be notified simultaneously to the corresponding authorities and to the Secretariat.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_38,38,LAW_CH_VII,VII,From the Secretariat,"The Secretariat, for the purposes of this Law, shall have the purpose of disseminating knowledge of the right to the protection of personal data in Mexican society, promoting its exercise and overseeing the due observance of the provisions set forth in this Law and deriving from the same; in particular those related to compliance with obligations on the part of the subjects regulated by this ordinance.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39,39,LAW_CH_VII,VII,From the Secretariat,"The Secretariat has the following attributions: To monitor and verify compliance with the provisions contained in this Law, within the scope of its competence, with the exceptions provided by law; To interpret this Law in the administrative field; Provide technical support to the data controllers who request it, for compliance with the obligations established in this Law; To issue criteria and recommendations, in accordance with the applicable provisions of this Law, for the purpose of its functioning and operation; Disseminate international standards and best practices in information security, taking into account the nature of the data, the purposes of the processing, and the technical and economic capacities of the data controller; To hear and resolve the procedures for the protection of rights and verification indicated in this Law and to impose sanctions as appropriate; Cooperate with other supervisory authorities and national and international organizations, in order to cooperate in data protection matters; To attend international forums within the scope of this Law; Elaborate privacy impact studies prior to the implementation of a new personal data processing modality or the implementation of substantial modifications to existing processing; Disseminate knowledge of the obligations regarding the protection of personal data and provide training to the obligated parties, and Any other duties conferred by this Law and other applicable ordinances.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_40,40,LAW_CH_VIII,VIII,Rights Protection Procedure,"The procedure shall be initiated at the request of the data subject or his or her legal representative, clearly stating the content of his or her claim and the provisions of this Law that are considered to have been violated. The request for data protection must be filed with the Secretariat within fifteen days following the date on which the response is communicated to the data subject by the data controller. In the event that the data subject does not receive a response from the data controller, the data protection request may be filed as of the expiration of the response period provided for the data controller. In this case, it will be sufficient for the data subject to attach to his/her data protection request the document proving the date on which he/she filed the request for access, rectification, cancellation or opposition. The request for data protection will also proceed in the same terms when the data controller does not deliver the requested personal data to the data subject, or does so in an incomprehensible format, refuses to make modifications or corrections to the personal data, the data subject is not satisfied with the information delivered because he/she considers it is incomplete or does not correspond to the requested information. Once the request for data protection has been received by the Secretariat, it will be forwarded to the data controller so that, within fifteen days, it may issue a response, offer the evidence it deems pertinent and state in writing what it deems appropriate. The Secretariat shall admit the evidence it deems pertinent and shall proceed with its examination. Likewise, it may request from the data controller such other evidence as it deems necessary. Once the evidence has been presented, the Secretariat shall notify the data controller of its right to present its arguments, if it deems it necessary, within five days following notification. For the due conduct of the procedure, the Secretariat will decide on the data protection request formulated, after analyzing the evidence and other elements of conviction it deems pertinent, such as those derived from the hearing or hearings held with the parties. The Regulations of the Law shall establish the form, terms and time periods in accordance with which the procedure for the protection of rights shall be carried out.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41,41,LAW_CH_VIII,VIII,Rights Protection Procedure,"The request for data protection may be filed in writing or through the forms of the electronic system provided for such purpose by the Secretariat, and shall contain the following information: The name of the data subject or, as the case may be, of his legal representative, as well as of the interested third party, if any; The name of the data controller before which the request for access, rectification, cancellation or opposition of personal data was filed; The address to hear and receive notifications; The date on which the response of the data controller was made known, unless the proceeding is initiated based on the provisions of Article 45 of this Law; The acts that motivate your data protection request, and Any other elements that are deemed appropriate to make known to the Secretariat. The form and terms in which the identity of the data subject or the legal representation must be accredited shall be established in the Regulations. Likewise, the request for data protection must be accompanied by the request and the response being appealed or, as the case may be, the data allowing its identification. In case of lack of response it will only be necessary to submit the application. In the event that the request for data protection is filed by means other than electronic means, it must be accompanied by sufficient copies of the transfer.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_42,42,LAW_CH_VIII,VIII,Rights Protection Procedure,"The maximum term for issuing the decision in the procedure for the protection of rights shall be fifty days, counted from the date of filing the request for data protection. When there is just cause, the Secretariat may extend this period once and for up to the same period.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_43,43,LAW_CH_VIII,VIII,Rights Protection Procedure,"In the event that the resolution for the protection of rights is favorable to the data subject, the data controller shall be required to enforce the exercise of the rights subject to protection within ten days following the notification or, where justified, within a longer period established in the resolution itself, and shall inform the Secretariat in writing of such compliance within the following ten days.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_44,44,LAW_CH_VIII,VIII,Rights Protection Procedure,"In the event that the request for data protection does not satisfy any of the requirements referred to in Article 41 of this Law, and the Secretariat does not have the elements to remedy it, the data subject will be notified within twenty days following the filing of the request for data protection, on a single occasion, in order to remedy the omissions within a period of five days. Once the term has elapsed without the prevention having been addressed, the request for data protection shall be deemed not to have been filed. The prevention will have the effect of interrupting the term the Secretariat has to resolve the data protection request.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_45,45,LAW_CH_VIII,VIII,Rights Protection Procedure,"The Secretariat shall make up for deficiencies in the complaint in cases where this is required, provided that it does not alter the original content of the request for access, rectification, cancellation or objection of personal data, nor does it modify the facts or requests set forth therein or in the request for data protection.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_46,46,LAW_CH_VIII,VIII,Rights Protection Procedure,"The resolutions of the Secretariat may: To dismiss or reject the request for data protection as inadmissible; Confirm, revoke or modify the data controller's response, or Order the delivery of personal data, in case of omission of the data controller.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47,47,LAW_CH_VIII,VIII,Rights Protection Procedure,"The request for data protection shall be dismissed as inadmissible when: The Secretariat is not competent; The data subject or his representative does not duly prove his identity and personality of the latter; The Secretariat has previously heard the request for data protection against the same act and made a final decision with respect to the same appellant; An appeal or means of defense filed by the data subject or, as the case may be, by the interested third party, against the act appealed before the Secretariat, is being processed before the competent courts; It is an offensive or unreasonable data protection request, or It is extemporaneous because the term established in Article 40 of this Law has elapsed.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_48,48,LAW_CH_VIII,VIII,Rights Protection Procedure,"The request for data protection shall be dismissed when: The data subject dies; The data subject expressly desists; Once the request for data protection has been admitted, a cause of inadmissibility arises, and For any reason the same is without subject matter.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_49,49,LAW_CH_VIII,VIII,Rights Protection Procedure,"The Secretariat may at any time during the procedure seek conciliation between the data subject and the data controller. If a conciliation agreement is reached between both parties, it shall be recorded in writing and shall be binding. The request for data protection will be without subject matter and the Secretariat will verify compliance with the respective agreement. For purposes of the conciliation referred to herein, the procedure established in the Regulations of this Law shall apply.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_50,50,LAW_CH_VIII,VIII,Rights Protection Procedure,"Once the request for data protection has been filed in the absence of a response to a request for the exercise of the ARCO rights by the data controller, the Secretariat shall give notice to the data controller so that, within a period not exceeding ten days, it may prove that it has responded in due time and form to the request, or else provide a response to the same. In the event that the response complies with the request, the request for data protection shall be deemed inadmissible and the Secretariat shall dismiss it. In the second case, the Secretariat will issue its resolution based on the content of the original request and the response of the data controller referred to in the preceding paragraph. If the resolution of the Secretariat referred to in the preceding paragraph determines that the request is admissible, the data controller will proceed to comply with it, at no cost to the data subject, and the data controller must cover all costs generated by the corresponding reproduction and mailing expenses.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_51,51,LAW_CH_VIII,VIII,Rights Protection Procedure,"Against the resolutions of the Secretariat, private parties may file an amparo proceeding. Amparo proceedings shall be heard by specialized judges and courts under the terms of Article 94 of the Political Constitution of the United Mexican States.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_52,52,LAW_CH_VIII,VIII,Rights Protection Procedure,"All decisions of the Secretariat shall be susceptible to public disclosure in public versions, eliminating those references to the data subject that identify him/her or make him/her identifiable.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_53,53,LAW_CH_VIII,VIII,Rights Protection Procedure,"The data subjects who consider that they have suffered damage or injury to their property or rights as a consequence of non-compliance with the provisions of this Law by the data controller or the processor, may exercise the rights they deem pertinent for the purposes of the appropriate compensation, in terms of the corresponding legal provisions.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_54,54,LAW_CH_IX,IX,Verification Procedure,The Secretariat shall verify compliance with this Law and the regulations derived therefrom. The verification may be initiated ex officio or at the request of a party. The ex officio verification will proceed when there is non-compliance with resolutions issued in connection with the rights protection procedures referred to in the preceding Chapter or when it is presumed that violations of this Law have been committed.,LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_55,55,LAW_CH_IX,IX,Verification Procedure,"In the verification procedure, the Secretariat shall have access to the information and documentation it deems necessary, in accordance with the resolution that motivates it. Public servants shall be obliged to keep confidential the information they learn from the corresponding verification. The Regulations shall develop the form, terms and time periods in which the procedure referred to in this Article shall be carried out.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_56,56,LAW_CH_X,X,Procedure for the Imposition of Sanctions,"If on the occasion of the processing of the procedure for the protection of rights or the verification procedure carried out by the Secretariat, the Secretariat becomes aware of an alleged breach of any of the principles or provisions of this Law, it shall initiate the procedure for the imposition of sanctions.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
