clause_id,article_id,clause_type,label,paragraph_no,text,source_document
LAW_ART_2_F_VII,LAW_ART_2,fraction,VII,,"ARCO Rights: Rights of access, rectification, cancellation and opposition to the processing of personal data;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_VIII,LAW_ART_2,fraction,VIII,,Days: Business days;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_IX,LAW_ART_2,fraction,IX,,"Dissociation: Procedure by which personal data cannot be associated with the data subject or allow, due to its structure, content or degree of disaggregation, the identification of the data subject;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_X,LAW_ART_2,fraction,X,,"Public access source: Those databases, systems or files that by law may be publicly consulted when there is no impediment by a limiting rule, and with no other requirement than, as the case may be, the payment of a consideration, fee or contribution. It shall not be considered a source of public access when the information contained therein is obtained or has an unlawful origin, in accordance with the provisions established by this Law and other applicable legal provisions;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XI,LAW_ART_2,fraction,XI,,Law: Federal Law for the Protection of Personal Data in Possession of Private Parties;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XII,LAW_ART_2,fraction,XII,,Processor person: Natural or legal person who alone or jointly with others processes personal data on behalf of the data controller;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XIII,LAW_ART_2,fraction,XIII,,Regulation: Regulation of the Federal Law for the Protection of Personal Data in Possession of Private Parties;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XIV,LAW_ART_2,fraction,XIV,,Data Controller: Regulated subjects referred to in section XVI of this article;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XV,LAW_ART_2,fraction,XV,,Secretariat: Anticorruption and Good Governance Secretariat;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XVI,LAW_ART_2,fraction,XVI,,Regulated subjects: Individuals or private legal entities that carry out the processing of personal data;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XVII,LAW_ART_2,fraction,XVII,,"Third Party: Natural or legal person, national or foreign, other than the data subject or the data controller for the data;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XVIII,LAW_ART_2,fraction,XVIII,,Data Subject: Person to whom the personal data corresponds;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XIX,LAW_ART_2,fraction,XIX,,"Processing: Any operation or set of operations carried out by means of manual or automated procedures applied to personal data, related to the collection, use, recording, organization, preservation, storage, processing, use, communication, dissemination, storage, possession, access, handling, use, disclosure, transfer or disposal of personal data, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_2_F_XX,LAW_ART_2,fraction,XX,,"Transfer: Any communication of personal data within or outside Mexican territory, made to a person other than the data subject, the data controller or the processor.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_3_P1,LAW_ART_3,paragraph,,1,"The principles and rights provided for in this Law shall have as a limit as to their observance and exercise, the protection of national security, public order, safety and health, as well as the rights of third parties.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_4_P1,LAW_ART_4,paragraph,,1,"In the absence of express provision in this Law, the provisions of the Federal Code of Civil Procedures and the Federal Law of Administrative Procedure shall be applied in a supplementary manner.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_4_P2,LAW_ART_4,paragraph,,2,"For the substantiation of proceedings for the protection of rights, verification and imposition of sanctions, the provisions contained in the Federal Law of Administrative Procedure will be observed.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_5_P1,LAW_ART_5,paragraph,,1,"The data controller shall observe the principles of legality, purpose, loyalty, consent, quality, proportionality, information and responsibility in the processing of personal data.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_6_P1,LAW_ART_6,paragraph,,1,Personal data shall be collected and processed in a lawful manner in accordance with the provisions of this Law and other applicable legal provisions.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_6_P2,LAW_ART_6,paragraph,,2,"The data controller shall not obtain and process personal data through deceitful or fraudulent means, and shall give priority to the protection of the interests of the data subject and the reasonable expectation of privacy, understood as the trust placed by any person in another, that the personal data provided will be processed in accordance with what they agreed in the terms established by this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P1,LAW_ART_7,paragraph,,1,"Any processing of personal data shall be subject to the consent of the data subject, except for the exceptions provided for in this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P2,LAW_ART_7,paragraph,,2,"Consent may be express or tacit. It shall be understood that consent is express when the will of the data subject is expressed verbally, in writing, by electronic or optical means, unequivocal signs or by any other technology.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P3,LAW_ART_7,paragraph,,3,"The consent will be tacit when, having made the privacy notice available to the data subject, he/she does not express his/her will to the contrary.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P4,LAW_ART_7,paragraph,,4,"As a general rule, tacit consent shall be valid, unless the applicable legal provisions require that the will of the data subject be expressly expressed.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P5,LAW_ART_7,paragraph,,5,"Financial or patrimonial data shall require the express consent of the data subject, except for the exceptions referred to in Articles 9 and 36 of this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P6,LAW_ART_7,paragraph,,6,"Consent may be revoked at any time without retroactive effect. To revoke consent, the data controller shall, in the privacy notice, establish the mechanisms and procedures to do so.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_8_P1,LAW_ART_8,paragraph,,1,"In the case of sensitive personal data, the data controller shall obtain the express written consent of the data subject for the processing thereof, by means of his autograph signature, electronic signature, or any authentication mechanism established for such purpose.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_8_P2,LAW_ART_8,paragraph,,2,"Databases containing sensitive personal data may not be created without justifying the creation of such databases for legitimate and specific purposes, in accordance with the activities or explicit purposes pursued by the regulated entity.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_P1,LAW_ART_9,paragraph,,1,The data controller shall not be obliged to obtain the consent of the data subject for the processing of personal data when:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_I,LAW_ART_9,fraction,I,,A legal provision so provides;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_II,LAW_ART_9,fraction,II,,The personal data is contained in publicly available sources;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_III,LAW_ART_9,fraction,III,,The personal data is subjected to a prior disassociation procedure;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_IV,LAW_ART_9,fraction,IV,,The personal data is required to exercise a right or fulfill obligations arising from a legal relationship between the data subject and the data controller;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_V,LAW_ART_9,fraction,V,,An emergency situation exists that could potentially harm an individual's person or property;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_VI,LAW_ART_9,fraction,VI,,"The personal data are indispensable to carry out a treatment for medical care, prevention, diagnosis, provision of health care, or management of health services, as long as the data subject is not in a position to grant consent, in the terms established by the General Health Law and other applicable legal provisions, and that such data processing is carried out by a person subject to professional secrecy or equivalent obligation, or",KB 2/Mexico/Federal LAW.pdf
LAW_ART_9_F_VII,LAW_ART_9,fraction,VII,,"There is a court order, resolution or mandate founded and motivated by a competent authority.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_10_P1,LAW_ART_10,paragraph,,1,"The data controller shall ensure that the personal data contained in the databases are accurate, complete, correct and updated for the purposes for which they were collected.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_10_P2,LAW_ART_10,paragraph,,2,"When the personal data is no longer necessary for the fulfillment of the purposes set forth in the privacy notice and that motivated its processing in accordance with the applicable legal provisions, it must be deleted after blocking, if applicable, and once the term of conservation of the same has concluded.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_10_P3,LAW_ART_10,paragraph,,3,"The data controller shall be obliged to delete the data related to the breach of contractual obligations, once a period of seventy- two months has elapsed, counted from the calendar date on which the breach occurs.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_11_P1,LAW_ART_11,paragraph,,1,"The processing of personal data shall be limited to the fulfillment of the purposes set forth in the privacy notice; however, if the data controller intends to process the data for a purpose other than those set forth in the privacy notice, the consent of the data subject shall be required to be obtained again.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_12_P1,LAW_ART_12,paragraph,,1,"The processing of personal data shall be that which is necessary, adequate and relevant in relation to the purposes set forth in the privacy notice; for sensitive personal data, the data controller shall make reasonable efforts to limit the period of processing of such data so that it is the minimum necessary.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_13_P1,LAW_ART_13,paragraph,,1,"The data controller shall ensure compliance with the principles of personal data protection established by this Law, and shall adopt the necessary and sufficient measures for its application, as well as to guarantee that the privacy notice made known to the data subject is respected at all times by the data controller or by third parties with whom it has a legal relationship.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_14_P1,LAW_ART_14,paragraph,,1,"The data controller shall have the obligation to inform the data subject, through the privacy notice, of the existence and main characteristics of the processing to which his or her personal data will be subjected, so that he or she may make informed decisions in this respect.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_P1,LAW_ART_15,paragraph,,1,"The privacy notice shall contain, at least, the following information:",KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_I,LAW_ART_15,fraction,I,,The identity and address of the data controller;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_II,LAW_ART_15,fraction,II,,"The personal data that will be subject to processing, identifying those that are sensitive;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_III,LAW_ART_15,fraction,III,,"The purposes of the processing of personal data, distinguishing those that require the consent of the data subject;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_IV,LAW_ART_15,fraction,IV,,The options and means offered by the data controller to the data subjects to limit the use or disclosure of the data;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_V,LAW_ART_15,fraction,V,,"The mechanisms, means and procedures to exercise the ARCO rights, pursuant to the provisions of this Law, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_15_F_VI,LAW_ART_15,fraction,VI,,"The procedure and means by which the data controller will inform the data subjects of changes to the privacy notice, in accordance with the provisions of this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_16_P1,LAW_ART_16,paragraph,,1,"The data controller must make the privacy notice available to the data subjects, through printed, digital, visual, audio or any other technology in the following manner:",KB 2/Mexico/Federal LAW.pdf
LAW_ART_16_F_I,LAW_ART_16,fraction,I,,"When personal data is obtained in person through printed formats, it must be disclosed at that time, unless the notice has been provided beforehand, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_16_F_II,LAW_ART_16,fraction,II,,"When personal data is obtained by any electronic, optical, sound, visual or any other technology, it must be provided in its simplified form, which must contain at least the information referred to in sections I to IV of the preceding article, and indicate the site where the comprehensive privacy notice may be consulted.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_17_P1,LAW_ART_17,paragraph,,1,"When the data have not been obtained directly from the data subject, the data controller shall inform him/her of the change in the privacy notice.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_17_P2,LAW_ART_17,paragraph,,2,"The provisions of the preceding paragraph do not apply when the processing is for historical, statistical or scientific purposes.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_17_P3,LAW_ART_17,paragraph,,3,"When it is impossible to disclose the privacy notice to the data subject directly or this requires disproportionate efforts, the data controller may implement compensatory measures in terms of the Regulations of this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_18_P1,LAW_ART_18,paragraph,,1,"Every data controller shall establish and maintain administrative, technical and physical security measures to protect personal data against damage, loss, alteration, destruction or unauthorized use, access or processing.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_18_P2,LAW_ART_18,paragraph,,2,"The data controllers shall not adopt lesser security measures than those they maintain for the handling of their information. Likewise, the existing risk, the possible consequences for the data subjects, the sensitivity of the data and the technological development shall be taken into account.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_19_P1,LAW_ART_19,paragraph,,1,"Security breaches occurring at any stage of the processing of personal data that significantly affect the economic or moral rights of the data subjects shall be immediately reported by the data controller, so that he/she may take the corresponding measures to defend his/her rights.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_20_P1,LAW_ART_20,paragraph,,1,"The controller or third party shall establish controls or mechanisms whose purpose is to ensure that all persons involved in any phase of the processing of personal data shall maintain confidentiality with respect to such data, an obligation that shall subsist even after the end of their relationship with the controller or third party.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_21_P1,LAW_ART_21,paragraph,,1,"Any data subject or, as the case may be, its legal representative, may exercise the ARCO rights provided for in this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_21_P2,LAW_ART_21,paragraph,,2,The exercise of any of the ARCO rights is not a prerequisite nor does it prevent the exercise of another.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_21_P3,LAW_ART_21,paragraph,,3,Personal data must be safeguarded in such a way as to allow the exercise of these rights without delay.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_22_P1,LAW_ART_22,paragraph,,1,"The data subject will have the right to access his/her personal data in the possession of the data controller, as well as to know the information related to the conditions and generalities of its processing, through the privacy notice.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_23_P1,LAW_ART_23,paragraph,,1,"The data subject shall have the right to request the rectification or correction of his personal data, when they are inaccurate, incomplete or outdated.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_24_P1,LAW_ART_24,paragraph,,1,"The data subject shall at all times have the right to request the cancellation of his or her personal data from the files, records, files and systems of the data controller, so that such data are no longer in the possession of the data controller.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_24_P2,LAW_ART_24,paragraph,,2,"The cancellation of personal data will give rise to a blocking period after which the data will be deleted, the data controller may keep them exclusively for the purposes of the liabilities arising from the processing.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_24_P3,LAW_ART_24,paragraph,,3,"The blocking period will be equivalent to the statute of limitations period of the actions derived from the legal relationship on which the processing is based under the terms of the applicable law on the matter, and once the data has been cancelled, notice will be given to the data subject.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_24_P4,LAW_ART_24,paragraph,,4,"When the personal data had been transmitted prior to the date of rectification or cancellation and continue to be processed by third parties, the data controller shall inform them of such request for rectification or cancellation, so that they may proceed to carry it out as well.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_P1,LAW_ART_25,paragraph,,1,The data controller shall not be obliged to cancel personal data when:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_I,LAW_ART_25,fraction,I,,"It refers to the parties to a private, social or administrative contract and is necessary for its development and performance;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_II,LAW_ART_25,fraction,II,,Must be treated by law;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_III,LAW_ART_25,fraction,III,,"Obstructs judicial or administrative proceedings related to tax obligations, the investigation and prosecution of crimes or the updating of administrative sanctions;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_IV,LAW_ART_25,fraction,IV,,Are necessary to protect the legally protected interests of the data subject;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_V,LAW_ART_25,fraction,V,,Are necessary to carry out an action in the public interest;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_VI,LAW_ART_25,fraction,VI,,"They are necessary to comply with an obligation legally acquired by the data subject, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_25_F_VII,LAW_ART_25,fraction,VII,,"Are the object of processing for prevention or for medical diagnosis or the management of health services, provided that such processing is carried out by a health professional subject to a duty of confidentiality.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_26_P1,LAW_ART_26,paragraph,,1,The data subject shall have the right at any time and for legitimate reasons to object to the processing of his data or to demand the cessation of such processing when:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_26_F_I,LAW_ART_26,fraction,I,,"There is legitimate cause and his/her specific situation so requires, which must justify that even though the processing is lawful, it must cease in order to prevent its persistence from causing him/her harm or damage, or",KB 2/Mexico/Federal LAW.pdf
LAW_ART_26_F_II,LAW_ART_26,fraction,II,,"Your personal data are subject to automated processing, which produces unwanted legal effects or significantly affects your interests, rights or freedoms, and are intended to evaluate, without human intervention, certain personal aspects of the data subject or to analyze or predict, in particular, your professional performance, economic situation, health status, sexual preferences, reliability or behavior.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_26_P2,LAW_ART_26,paragraph,,2,The exercise of the right to object shall not be applicable in those cases in which the processing is necessary for the fulfillment of a legal obligation imposed on the data controller.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_27_P1,LAW_ART_27,paragraph,,1,The data subject or his/her legal representative may request the data controller at any time to exercise his/her ARCO rights with respect to the personal data concerning him/her.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_P1,LAW_ART_28,paragraph,,1,The request for the exercise of ARCO rights shall contain and be accompanied by the following:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_F_I,LAW_ART_28,fraction,I,,The name of the data subject and its address or any other means to receive notifications;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_F_II,LAW_ART_28,fraction,II,,"Documents proving the identity of the data subject or, as the case may be, the personality and identity of its representative;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_F_III,LAW_ART_28,fraction,III,,"The clear and precise description of the personal data with respect to which the exercise of any of the ARCO rights is sought, except in the case of the right of access;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_F_IV,LAW_ART_28,fraction,IV,,"The description of the ARCO right that is intended to be exercised, or what the data subject is requesting, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_28_F_V,LAW_ART_28,fraction,V,,Any other element or document that facilitates the location of personal data.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_29_P1,LAW_ART_29,paragraph,,1,"Every data controller shall promote the protection of personal data within the organization and shall designate a person, or personal data department, who shall process the requests of the data subjects for the exercise of the rights referred to in this Law.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_30_P1,LAW_ART_30,paragraph,,1,"In the case of requests for the exercise of the right to rectify personal data, the data subject must indicate, in addition to the provisions of Article 29 of this Law, the modifications to be made and provide the documentation supporting the request.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_31_P1,LAW_ART_31,paragraph,,1,"The data controller will communicate to the data subject, within a maximum period of twenty days from the date on which the request for the exercise of the ARCO rights was received, the determination adopted, in order that, if appropriate, the same may be made effective within fifteen days following the date on which the response is communicated. In the case of requests for the exercise of the right of access to personal data, the delivery will be made upon proof of the identity of the data subject or legal representative, as appropriate.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_31_P2,LAW_ART_31,paragraph,,2,"The aforementioned terms may be extended only once for an equal period, provided that the circumstances of the case so justify.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_32_P1,LAW_ART_32,paragraph,,1,"The obligation of access to personal data shall be deemed to be fulfilled when such data is made available to the data subject; or, by means of the issuance of simple copies, electronic documents or any other means determined by the data controller in the privacy notice.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_32_P2,LAW_ART_32,paragraph,,2,"In the event that the data subject requests access to the data from a person who is presumed to be the data controller and this person turns out not to be the data controller, it shall be sufficient for the data subject to be so informed by any of the means referred to in the preceding paragraph, in order for the request to be deemed to have been complied with.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_P1,LAW_ART_33,paragraph,,1,The causes in which the exercise of the ARCO rights shall not be applicable and therefore the data controller may deny the same are:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_F_I,LAW_ART_33,fraction,I,,When the data subject or the legal representative is not duly accredited to do so;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_F_II,LAW_ART_33,fraction,II,,When the personal data is not in the possession of the data controller;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_F_III,LAW_ART_33,fraction,III,,When the rights of a third party are violated;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_F_IV,LAW_ART_33,fraction,IV,,"When there is a legal impediment, or the resolution of a competent authority, which restricts access to personal data, or does not allow the rectification, cancellation or opposition of the same, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_F_V,LAW_ART_33,fraction,V,,"When the rectification, cancellation or opposition has been previously made.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_P2,LAW_ART_33,paragraph,,2,"The refusal referred to in this article may be partial when any of the requirements described in the request for the exercise of the ARCO rights of the data subject or his/her representative are not found in any of the aforementioned causes, in which case the data controller will carry out the required access, rectification, cancellation or opposition.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_33_P3,LAW_ART_33,paragraph,,3,"In all the above cases, the data controller must inform the reason for its decision and communicate it to the data subject, or if applicable, to the legal representative, within the deadlines established for such purpose, by the same means by which the request for the exercise of the ARCO rights was carried out, accompanying, if applicable, the evidence that may be relevant.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_34_P1,LAW_ART_34,paragraph,,1,"The exercise of ARCO rights is free of charge; charges may only be made to recover the costs of reproduction, copies or mailing.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_34_P2,LAW_ART_34,paragraph,,2,"When the data subject provides the magnetic or electronic media or the necessary mechanism to reproduce the personal data, such data shall be delivered free of charge to the data subject.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_34_P3,LAW_ART_34,paragraph,,3,"When the same person or his/her representative repeats his/her request in a period of less than twelve months, the costs will not be greater than three times the current Unit of Measurement and Updating, unless there are substantial modifications to the privacy notice that motivate new consultations.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_35_P1,LAW_ART_35,paragraph,,1,"When the data controller intends to transfer personal data to national or foreign third parties, other than the processor, he/she shall inform them of the privacy notice and the purposes to which the data subject subjected his/her data processing.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_35_P2,LAW_ART_35,paragraph,,2,"The processing of the data will be done in accordance with the terms of the privacy notice, which will contain a clause indicating whether or not the data subject accepts the transfer of his/her data, likewise, the third party receiver will assume the same obligations that correspond to the data controller for transferring the data.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_P1,LAW_ART_36,paragraph,,1,National or international transfers of data may be carried out without the consent of the data subject when they fall within any of the following cases:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_I,LAW_ART_36,fraction,I,,The transfer is provided for in a Law or Treaty to which Mexico is a party;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_II,LAW_ART_36,fraction,II,,"The transfer is necessary for prevention or medical diagnosis, the provision of health care, medical treatment or the management of health services;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_III,LAW_ART_36,fraction,III,,"The transfer is made to controlling companies, subsidiaries or affiliates under the common control of the data controller, or to a parent company or to any company of the same group of the data controller that operates under the same internal processes and policies;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_IV,LAW_ART_36,fraction,IV,,"The transfer is necessary by virtue of a contract entered into or to be entered into in the interest of the data subject, by the data controller and a third party;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_V,LAW_ART_36,fraction,V,,"The transfer is necessary or legally required for the safeguarding of a public interest, or for the procurement or administration of justice;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_VI,LAW_ART_36,fraction,VI,,"The transfer is necessary for the recognition, exercise or defense of a right in a judicial proceeding, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_36_F_VII,LAW_ART_36,fraction,VII,,The transfer is necessary for the maintenance or fulfillment of a legal relationship between the data controller and the data subject.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_37_P1,LAW_ART_37,paragraph,,1,"Individuals or legal entities may agree among themselves or with civil or governmental, national or foreign organizations, binding self-regulation schemes on the subject, which complement the provisions of this Law. Such schemes shall contain mechanisms to measure their effectiveness in data protection, consequences and effective corrective measures in the event of non-compliance.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_37_P2,LAW_ART_37,paragraph,,2,"Self-regulatory schemes may take the form of codes of ethics or good professional practice, trust seals or other mechanisms, and shall contain specific rules or standards to harmonize the processing of data carried out by members and facilitate the exercise of the rights of data subjects. Such schemes shall be notified simultaneously to the corresponding authorities and to the Secretariat.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_38_P1,LAW_ART_38,paragraph,,1,"The Secretariat, for the purposes of this Law, shall have the purpose of disseminating knowledge of the right to the protection of personal data in Mexican society, promoting its exercise and overseeing the due observance of the provisions set forth in this Law and deriving from the same; in particular those related to compliance with obligations on the part of the subjects regulated by this ordinance.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_P1,LAW_ART_39,paragraph,,1,The Secretariat has the following attributions:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_I,LAW_ART_39,fraction,I,,"To monitor and verify compliance with the provisions contained in this Law, within the scope of its competence, with the exceptions provided by law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_II,LAW_ART_39,fraction,II,,To interpret this Law in the administrative field;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_III,LAW_ART_39,fraction,III,,"Provide technical support to the data controllers who request it, for compliance with the obligations established in this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_IV,LAW_ART_39,fraction,IV,,"To issue criteria and recommendations, in accordance with the applicable provisions of this Law, for the purpose of its functioning and operation;",KB 2/Mexico/Federal LAW.pdf
