transitory_id,ordinal,text,law_id,source_document
LAW_TR_Eleventh,Eleventh,"The municipalities may comply with their obligations regarding transparency and access to information, in terms of the provisions of the Tenth transitory provision of the General Law of Transparency and Access to Public Information, which is repealed by virtue of this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Twelfth,Twelfth,"The head of the Federal Executive shall issue the corresponding adjustments to the regulations and other applicable provisions, including the issuance of the Internal Regulations of Transparency for the People, within ninety calendar days following the entry into force of this Decree, in order to harmonize them with the provisions of this Decree.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Thirteenth,Thirteenth,"The files and archives that at the entry into force of this Decree are in charge of the National Institute of Transparency, Access to Information and Protection of Personal Data for the exercise of its substantive powers, competencies or functions, in accordance with the General Law of Archives and other applicable legal provisions, will be transferred to the Anticorruption and Good Governance Secretariat within twenty working days following the entry into force of this Decree. The Anticorruption and Good Governance Secretariat, within thirty calendar days from the receipt of the files and archives mentioned in the preceding paragraph, may transfer them to the corresponding authority.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Fourteenth,Fourteenth,"The Internal Control Organ of the National Institute of Transparency, Access to Information and Protection of Personal Data is hereby terminated and its matters and procedures that at the entry into force of this Decree are in its charge, as well as the files and archives, shall be transferred to the Internal Control Organ of the Anticorruption and Good Governance Secretariat within twenty working days following its entry into force, and shall be processed and resolved by said organ in accordance with the legal provisions in force at the time of its commencement.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Fifteenth,Fifteenth,"For purposes of the provisions of the Fifth, Sixth, Seventh, Eighth and Thirteenth transitory paragraphs of this Decree, the Plenary of the National Institute for Transparency, Access to Information and Protection of Personal Data shall integrate, on the date of publication of this instrument, a Transfer Committee comprised of the Commissioners of the aforementioned Institute and eleven public servants of the same with at least the level of Area Management or equivalent, who have knowledge or who are in charge of the matters mentioned in the transitory paragraphs themselves. The Transfer Committee will be in effect for a period of 30 calendar days, in which its members will participate with the various competent authorities to receive the matters indicated in the aforementioned transitory provisions and to carry out the other actions deemed necessary for such purposes.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Sixteenth,Sixteenth,"The Council of the National System of Access to Public Information shall be established no later than sixty calendar days after the entry into force of this Decree, following a call issued for such purpose by the Anticorruption and Good Governance Secretariat. Until such time as the legislatures of the corresponding federal entities harmonize their legal framework in matters of access to public information in terms of the provisions of the Fourth transitory provision of the Decree by which various provisions of the Political Constitution of the United Mexican States are amended, added and repealed, in matters of organic simplification, published in the Official Gazette of the Federation on December 20, 2024, the head of the local executive branch in question shall be a member of the Council of the National System of Access to Public Information.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Seventeenth,Seventeenth,"The head of the Executive Secretariat of the Council of the National System of Access to Public Information shall propose the rules of operation and functioning set forth in article 25, section XV, of the General Law of Transparency and Access to Public Information, to be approved at the installation of said Council.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Eighteenth,Eighteenth,"The control and discipline body of the Judicial Branch; the internal control bodies of the autonomous constitutional bodies; the internal comptrollers of the Congress of the Union; the National Electoral Institute; the Federal Center for Labor Conciliation and Registration and the Federal Court of Conciliation and Arbitration must make the necessary adjustments to their internal regulations to comply with the provisions of this Decree within a maximum period of thirty calendar days from the date of entry into force of this Decree. For purposes of the provisions of this transitory provision, each and every one of the formalities, procedures and other means of challenge, established in this instrument and other applicable regulations, are suspended for a period of ninety calendar days from the entry into force of this Decree, with the exception of the receipt and handling of requests for information that are processed through the National Transparency Platform by the authorities mentioned in the preceding paragraph.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Nineteenth,Nineteenth,"Until such time as the legislatures of the federative entities issue legislation to harmonize their legal framework in accordance with this Decree, the guarantor agencies of such entities will continue to operate and perform the duties conferred to the local guarantor authorities, as well as to the bodies in charge of the internal comptroller or homologous bodies of the legislative and judicial branches, as well as the autonomous constitutional bodies of the federative entities themselves in this Law.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_TR_Twentieth,Twentieth,"The Judiciary of the Federation shall set up District Courts and Collegiate Circuit Courts specialized in matters of access to public information and protection of personal data, within a term of no more than one hundred and twenty calendar days as of the entry into force of this Decree, to which the amparo proceedings in such matters that are being processed for their resolution shall be referred. For purposes of the provisions of this transitory provision, the terms and procedural terms of the amparo proceedings in matters of access to public information and protection of personal data that are being processed before District Courts and Collegiate Circuit Courts are suspended for a period of one hundred and eighty calendar days as of the entry into force of this Decree. Mexico City, March 20, 2025.- Sen. Imelda Castro Castro Castro, Vice President.- Dip. Sergio Carlos Gutiérrez Luna, President.- Sen. Verónica Noemí Camino Farjat, Secretary.- Dip. José Luis Montalvo Luna, Secretary.- Rubrics"".",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
