clause_id,article_id,clause_type,marker,text,source_line,source_document
Art3-IX,Art3,fraction,IX.,"Personal data: Any information relating to an identified or identifiable person. A person is considered identifiable when their identity can be determined, directly or indirectly, from any information;",121,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-X,Art3,fraction,X.,"Sensitive personal data: Data that relates to the most intimate sphere of the data subject, or whose improper use could give rise to discrimination or pose a serious risk to discrimination. By way of example, but not limited to, sensitive personal data includes data that may reveal aspects such as racial or ethnic origin, current or future health status, genetic information, religious, philosophical, and moral beliefs, political opinions, and sexual preference.",126,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XI,Art3,fraction,XI.,"ARCO Rights: Rights of access, rectification, cancellation and opposition to the processing of personal data;",132,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XII,Art3,fraction,XII.,Days: Business days;,135,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XIII,Art3,fraction,XIII.,"Dissociation: Procedure by which personal data cannot be associated with the data subject nor, due to their structure, content or degree of disaggregation, allow their identification;",136,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XIV,Art3,fraction,XIV.,"Security document: Instrument that describes and provides a general account of the technical, physical and administrative security measures adopted by the controller to guarantee the confidentiality, integrity and availability of the personal data it holds;",138,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XV,Art3,fraction,XV.,"Personal data protection impact assessment: Document through which obligated subjects who intend to implement or modify public policies, programs, computer systems or platforms, electronic applications or any other technology that involves the intensive or relevant processing of personal data, assess the real impacts regarding certain processing of personal data, in order to identify and mitigate possible risks related to the principles, duties and rights of the data subjects, as well as the duties of those responsible and those in charge, provided for in the applicable legal provisions;",156,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XVI,Art3,fraction,XVI.,"Publicly accessible sources: Those databases, systems, or files that, by law, may be publicly consulted when there is no impediment imposed by a restrictive rule and with no other requirement than, where applicable, the payment of a fee, contribution, or consideration. A source shall not be considered publicly accessible when the information contained therein was obtained or comes from an illicit source, in accordance with the provisions of this Law and other applicable legal provisions;",164,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XVII,Art3,fraction,XVII.,"Compensatory measures: Alternative mechanisms to inform the data subjects of the privacy notice, through its dissemination through mass media or other broad-based media;",171,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XVIII,Art3,fraction,XVIII.,"Security measures: Set of actions, activities, controls or administrative, technical and physical mechanisms that allow the protection of personal data;",173,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XIX,Art3,fraction,XIX.,"Administrative security measures: Policies and procedures for the management, support, and review of information security at the organizational level, the identification, classification, and secure deletion of information, as well as staff awareness and training on personal data protection;",175,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XX,Art3,fraction,XX.,"Physical security measures: A set of actions and mechanisms to protect the physical environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to:",180,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XX-a,Art3,letter,a),"Prevent unauthorized access to the organization's perimeter, its physical facilities, areas reviews, resources and information;",183,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XX-b,Art3,letter,b),"Prevent damage or interference to the physical facilities, critical areas of the organization, resources and information;",185,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XX-c,Art3,letter,c),"Protect mobile and portable resources and any physical or electronic media that may leave the organization, and",188,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XX-d,Art3,letter,d),Provide equipment containing or storing personal data with effective maintenance to ensure its availability and integrity;,191,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXI,Art3,fraction,XXI.,"Technical security measures: A set of actions and mechanisms that use hardware and software technology to protect the digital environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to:",193,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXI-a,Art3,letter,a),"Prevent access to databases or information, as well as resources, by identified and authorized users;",198,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXI-b,Art3,letter,b),Generate a privilege scheme so that the user can carry out the activities required by his/her duties;,201,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXI-c,Art3,letter,c),"Review the security configuration in the acquisition, operation, development and maintenance of software and hardware, and",204,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXI-d,Art3,letter,d),"Manage communications, operations and storage media of resources computer scientists in the processing of personal data;",207,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXII,Art3,fraction,XXII.,"Person in Charge: A natural or legal person, public or private, outside the organization of the person responsible, who alone or jointly with others processes personal data on behalf of and for the account of the person responsible;",209,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXIII,Art3,fraction,XXIII.,National Platform: National Transparency Platform referred to in article 44 of the General Law on Transparency and Access to Public Information;,213,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXIV,Art3,fraction,XXIV.,"Referral: All communication of personal data carried out exclusively between the controller and the person in charge, within or outside Mexican territory;",229,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXV,Art3,fraction,XXV.,Responsible: Obligated subjects referred to in section XXVII of this article who decide on the processing of personal data;,231,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXVI,Art3,fraction,XXVI.,Secretariat: Anti-Corruption and Good Government Secretariat;,233,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXVII,Art3,fraction,XXVII.,"Obligated Subjects: Any authority, entity, body and organization of the executive, legislative and judicial branches, autonomous bodies, political parties, trusts and public funds, at the federal, state and municipal level or in the territorial demarcations of Mexico City;",236,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXVIII,Art3,fraction,XXVIII.,"Deletion: Archival removal of personal data in accordance with the applicable legal provisions on archives, which results in the elimination, erasure or destruction of personal data under the security measures previously established by the controller;",239,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXIX,Art3,fraction,XXIX.,Data Subject: Subject to whom the personal data correspond;,242,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXX,Art3,fraction,XXX.,"Transfer: Any communication of personal data within or outside Mexican territory, made to a person other than the owner, the controller or the person in charge;",243,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXXI,Art3,fraction,XXXI.,"Processing: Any operation or set of operations carried out by manual or automated procedures applied to personal data, related to the obtaining, use, registration, organization, conservation, elaboration, utilization, communication, dissemination, storage, possession, access, handling, exploitation, disclosure, transfer or disposition of personal data, and",245,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-XXXII,Art3,fraction,XXXII.,Transparency Unit: Instance referred to in article 41 of the General Law of Transparency and Access to Public Information.,251,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-I,Art5,fraction,I.,"Internet pages or remote or local means of electronic, optical and other technological communication, provided that the site where the personal data is located is designed to provide information to the public and is open to general consultation;",258,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-II,Art5,fraction,II.,Telephone directories in terms of specific regulations;,262,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-III,Art5,fraction,III.,"Newspapers, gazettes or official bulletins, in accordance with the corresponding legal provisions;",263,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-IV,Art5,fraction,IV.,"Social media, and",264,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-V,Art5,fraction,V.,Public records in accordance with the provisions applicable to them.,265,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art5-P2,Art5,paragraph,paragraph 2,"For the assumptions listed in this article to be considered publicly accessible sources, they must be accessible by any person not impeded by a restrictive rule, or without any requirement other than, where applicable, the payment of a fee, right, or charge. A source will not be considered publicly accessible when the information it contains is or comes from an illicit source.",268,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art6-P2,Art6,paragraph,paragraph 2,"The right to the protection of personal data shall only be limited for reasons of national security, in accordance with the relevant law, public order, public health and safety provisions, or to protect the rights of third parties.",274,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art7-P2,Art7,paragraph,paragraph 2,"In the processing of personal data of minors, the best interests of the girl must be given priority, child and adolescent, in terms of the applicable legal provisions.",296,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art8-P2,Art8,paragraph,paragraph 2,"In the case of interpretation, the criteria, determinations, and opinions of national and international organizations regarding the protection of personal data may be taken into account.",304,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art9-P2,Art9,paragraph,paragraph 2,"The laws of the Federal Entities, within the scope of their respective powers, shall determine the provisions applicable to the Guarantor Authorities in the application and interpretation of this Law.",308,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art12-P2,Art12,paragraph,paragraph 2,"The data controller may process personal data for purposes other than those established in the privacy notice, provided that it has the authority granted by applicable law and the data subject has given his or her consent, unless the data subject has been reported missing, in accordance with the terms set forth in this Law and other applicable provisions.",325,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art14-I,Art14,fraction,I.,"Free: Without any error, bad faith, violence or fraud that could affect the manifestation of the will of the holder;",337,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art14-II,Art14,fraction,II.,"Specific: Referred to specific, lawful, explicit and legitimate purposes that justify the treatment, and",342,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art14-III,Art14,fraction,III.,Informed: That the data subject is aware of the privacy notice prior to the processing of his or her personal data.,347,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art14-P2,Art14,paragraph,paragraph 2,"When obtaining the consent of minors or those who are under interdiction or declared incapacitated in accordance with applicable legal provisions, the rules of representation provided for in applicable civil legislation shall apply.",349,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art15-P2,Art15,paragraph,paragraph 2,"Consent will be tacit when the privacy notice has been made available to the owner, This does not express its will to the contrary.",371,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art15-P3,Art15,paragraph,paragraph 3,"As a general rule, tacit consent will be valid, unless applicable legal provisions require that the will of the data subject be expressly stated.",374,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art15-P4,Art15,paragraph,paragraph 4,"In the case of sensitive personal data, the data controller must obtain the data subject's express written consent for its processing, through his or her handwritten signature, electronic signature, or any other authentication mechanism established for this purpose, except in the cases provided for in Article 16 of this Law.",377,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-I,Art16,fraction,I.,"When applicable legislation so provides, such assumptions must be in accordance with the bases, principles and provisions established in this Law, and in no case may they contravene it;",383,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-II,Art16,fraction,II.,"When transfers are made between controllers, they are about personal data that are used for the exercise of their own powers, compatible or analogous with the purpose that motivated the processing of the personal data;",386,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-III,Art16,fraction,III.,"When there is a well-founded and motivated court order, resolution or mandate from a competent authority;",390,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-IV,Art16,fraction,IV.,For the recognition or defense of the rights of the holder before the competent authority;,391,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-V,Art16,fraction,V.,When personal data is required to exercise a right or fulfill obligations arising from a legal relationship between the data subject and the data controller;,392,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-VI,Art16,fraction,VI.,When there is an emergency situation that could potentially harm an individual in person or property;,394,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-VII,Art16,fraction,VII.,"When personal data is necessary to carry out processing for prevention, diagnosis or the provision of healthcare;",399,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-VIII,Art16,fraction,VIII.,When personal data appear in publicly accessible sources;,404,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-IX,Art16,fraction,IX.,"When personal data are subject to a prior dissociation procedure, or",405,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16-X,Art16,fraction,X.,When the person holding the personal data is a person reported missing under the terms of the legal provisions on the matter.,406,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art17-P2,Art17,paragraph,paragraph 2,It is presumed that personal data quality is met when it is provided directly by the data subject and until the data subject states and proves otherwise.,414,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art17-P3,Art17,paragraph,paragraph 3,"When personal data is no longer necessary for the purposes set forth in the privacy notice and which motivated its processing in accordance with applicable provisions, it must be deleted, after blocking it if necessary, and once the retention period for the data has expired.",417,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art17-P4,Art17,paragraph,paragraph 4,"The retention periods for personal data shall not exceed those necessary to fulfill the purposes for which they were processed. They shall comply with the applicable provisions in the relevant matter and consider the administrative, accounting, tax, legal, and historical aspects of the personal data.",421,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art18-P2,Art18,paragraph,paragraph 2,"In the procedures referred to in the preceding paragraph, the controller must include mechanisms that allow it to comply with the deadlines set for the deletion of personal data, as well as to conduct a periodic review of the need to retain the personal data.",430,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art20-P2,Art20,paragraph,paragraph 2,"The privacy notice must be disseminated by the electronic and physical means available to the responsible party, Likewise, it must be made available in its simplified form.",450,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art20-P3,Art20,paragraph,paragraph 3,"In order for the privacy notice to efficiently fulfill its information function, it must be drafted and structured in a clear and simple manner.",452,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art20-P4,Art20,paragraph,paragraph 4,"When it is impossible to communicate the privacy notice to the data subject directly or it requires disproportionate efforts, the data controller may implement compensatory mass communication measures in accordance with the criteria issued for this purpose by the Secretariat.",454,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-I,Art21,fraction,I.,The name and address of the person responsible;,458,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-II,Art21,fraction,II.,"The personal data that will be processed, identifying those that are sensitive;",460,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-III,Art21,fraction,III.,The legal basis that authorizes the controller to carry out the processing;,461,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-IV,Art21,fraction,IV.,"The purposes of the processing for which the personal data are obtained, distinguishing those that require the consent of the data subject;",462,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-V,Art21,fraction,V.,"The mechanisms, means and procedures available to exercise ARCO rights;",464,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-VI,Art21,fraction,VI.,The address of the Transparency Unit;,465,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-VII,Art21,fraction,VII.,"When transfers of personal data are made that require consent, the following must be reported:",466,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-VII-a,Art21,letter,a),"The authorities, powers, entities, bodies and government agencies of the three levels of government and the natural or legal persons to whom the personal data are transferred, and",471,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-VII-b,Art21,letter,b),The purposes of these transfers;,473,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-VIII,Art21,fraction,VIII.,"The mechanisms and means available so that the data subject, where applicable, can express his or her refusal to have his or her personal data processed for purposes and transfers of personal data that require the data subject's consent, and",474,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-IX,Art21,fraction,IX.,The means through which the controller will communicate changes to the privacy notice to the data subjects.,477,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21-P2,Art21,paragraph,paragraph 2,"The mechanisms and means referred to in Section VIII of this article must be available so that the data subject can express his or her refusal to have his or her personal data processed for purposes or transfers that require his or her consent, prior to such processing taking place.",481,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art22-P2,Art22,paragraph,paragraph 2,The availability of the privacy notice referred to in this article does not exempt the data controller from its obligation to provide mechanisms for the data subject to be aware of the full content of the privacy notice.,488,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-I,Art24,fraction,I.,Allocate authorized resources for this purpose for the implementation of personal data protection programs and policies;,512,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-II,Art24,fraction,II.,Develop personal data protection policies and programs that are mandatory and enforceable within the controller's organization;,515,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-III,Art24,fraction,III.,Implement a training and updating program for staff on obligations and other duties regarding personal data protection;,517,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-IV,Art24,fraction,IV.,Periodically review personal data security policies and programs to determine any required modifications;,519,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-V,Art24,fraction,V.,"Establish an internal and/or external monitoring and surveillance system, including audits, to verify compliance with personal data protection policies;",523,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-VI,Art24,fraction,VI.,Establish procedures to receive and respond to questions and complaints from the owners;,525,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-VII,Art24,fraction,VII.,"Design, develop and implement public policies, programs, services, computer systems or platforms, electronic applications or any other technology that involves the processing of personal data, in accordance with the provisions set forth in this Law and any other applicable provisions on the matter, and",526,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24-VIII,Art24,fraction,VIII.,"Ensure that its public policies, programs, services, computer systems or platforms, electronic applications, or any other technology that involves the processing of personal data comply by default with the obligations set forth in this Law and any other applicable laws.",531,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-I,Art26,fraction,I.,The risk inherent in the personal data processed;,546,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-II,Art26,fraction,II.,The sensitivity of the personal data processed;,548,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-III,Art26,fraction,III.,Technological development;,549,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-IV,Art26,fraction,IV.,The possible consequences of a breach for the rights holders;,550,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
