article_id,number,chapter_id,title_id,chapeau,full_text,source_line,source_document
Art11,11,T2-C2,T2,The processing of personal data by the controller must be subject to the powers or powers conferred upon it by applicable regulations.,The processing of personal data by the controller must be subject to the powers or powers conferred upon it by applicable regulations.,319,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art12,12,T2-C2,T2,"All processing of personal data by the controller must be justified by specific, lawful, explicit, and legitimate purposes, related to the powers conferred upon them by applicable regulations.","All processing of personal data by the controller must be justified by specific, lawful, explicit, and legitimate purposes, related to the powers conferred upon them by applicable regulations. The data controller may process personal data for purposes other than those established in the privacy notice, provided that it has the authority granted by applicable law and the data subject has given his or her consent, unless the data subject has been reported missing, in accordance with the terms set forth in this Law and other applicable provisions.",321,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art13,13,T2-C2,T2,"The data controller shall not obtain and process personal data through deceptive or fraudulent means, and shall prioritize the protection of the data subject's interests and the reasonable expectation of privacy.","The data controller shall not obtain and process personal data through deceptive or fraudulent means, and shall prioritize the protection of the data subject's interests and the reasonable expectation of privacy.",330,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art14,14,T2-C2,T2,"When any of the exceptions provided for in Article 16 of this Law are not met, the data controller must obtain the prior consent of the data subject for the processing of personal data, which must be granted in the following manner:","When any of the exceptions provided for in Article 16 of this Law are not met, the data controller must obtain the prior consent of the data subject for the processing of personal data, which must be granted in the following manner: I. Free: Without any error, bad faith, violence or fraud that could affect the manifestation of the will of the holder; II. Specific: Referred to specific, lawful, explicit and legitimate purposes that justify the treatment, and III. Informed: That the data subject is aware of the privacy notice prior to the processing of his or her personal data. When obtaining the consent of minors or those who are under interdiction or declared incapacitated in accordance with applicable legal provisions, the rules of representation provided for in applicable civil legislation shall apply.",334,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art15,15,T2-C2,T2,"Consent may be expressed expressly or tacitly. Express consent shall be deemed to be expressed when the will of the data subject is expressed verbally, in writing, by electronic or optical means, by unequivocal signs, or by any other technology.","Consent may be expressed expressly or tacitly. Express consent shall be deemed to be expressed when the will of the data subject is expressed verbally, in writing, by electronic or optical means, by unequivocal signs, or by any other technology. Consent will be tacit when the privacy notice has been made available to the owner, This does not express its will to the contrary. As a general rule, tacit consent will be valid, unless applicable legal provisions require that the will of the data subject be expressly stated. In the case of sensitive personal data, the data controller must obtain the data subject's express written consent for its processing, through his or her handwritten signature, electronic signature, or any other authentication mechanism established for this purpose, except in the cases provided for in Article 16 of this Law.",367,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art16,16,T2-C2,T2,The data controller shall not be obliged to obtain the data subject's consent for the processing of his or her personal data in the following cases:,"The data controller shall not be obliged to obtain the data subject's consent for the processing of his or her personal data in the following cases: I. When applicable legislation so provides, such assumptions must be in accordance with the bases, principles and provisions established in this Law, and in no case may they contravene it; II. When transfers are made between controllers, they are about personal data that are used for the exercise of their own powers, compatible or analogous with the purpose that motivated the processing of the personal data; III. When there is a well-founded and motivated court order, resolution or mandate from a competent authority; IV. For the recognition or defense of the rights of the holder before the competent authority; V. When personal data is required to exercise a right or fulfill obligations arising from a legal relationship between the data subject and the data controller; VI. When there is an emergency situation that could potentially harm an individual in person or property; VII. When personal data is necessary to carry out processing for prevention, diagnosis or the provision of healthcare; VIII. When personal data appear in publicly accessible sources; IX. When personal data are subject to a prior dissociation procedure, or X. When the person holding the personal data is a person reported missing under the terms of the legal provisions on the matter.",381,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art17,17,T2-C2,T2,"The person responsible must adopt the necessary measures to maintain accurate, complete, correct and updated the personal data in their possession, so that the veracity of the same is not altered.","The person responsible must adopt the necessary measures to maintain accurate, complete, correct and updated the personal data in their possession, so that the veracity of the same is not altered. It is presumed that personal data quality is met when it is provided directly by the data subject and until the data subject states and proves otherwise. When personal data is no longer necessary for the purposes set forth in the privacy notice and which motivated its processing in accordance with applicable provisions, it must be deleted, after blocking it if necessary, and once the retention period for the data has expired. The retention periods for personal data shall not exceed those necessary to fulfill the purposes for which they were processed. They shall comply with the applicable provisions in the relevant matter and consider the administrative, accounting, tax, legal, and historical aspects of the personal data.",411,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art18,18,T2-C2,T2,"The data controller must establish and document the procedures for the conservation and, where appropriate, blocking and deletion of personal data that it carries out, which include the retention periods for said data, in accordance with the provisions of the previous article of this Law.","The data controller must establish and document the procedures for the conservation and, where appropriate, blocking and deletion of personal data that it carries out, which include the retention periods for said data, in accordance with the provisions of the previous article of this Law. In the procedures referred to in the preceding paragraph, the controller must include mechanisms that allow it to comply with the deadlines set for the deletion of personal data, as well as to conduct a periodic review of the need to retain the personal data.",426,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art19,19,T2-C2,T2,"The controller shall only process personal data that are adequate, relevant and strictly necessary for the purpose that justifies its processing.","The controller shall only process personal data that are adequate, relevant and strictly necessary for the purpose that justifies its processing.",445,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art20,20,T2-C2,T2,"The data controller must inform the data subject, through the privacy notice, of the existence and main characteristics of the processing to which their personal data will be subjected, so that they can make informed decisions in this regard.","The data controller must inform the data subject, through the privacy notice, of the existence and main characteristics of the processing to which their personal data will be subjected, so that they can make informed decisions in this regard. The privacy notice must be disseminated by the electronic and physical means available to the responsible party, Likewise, it must be made available in its simplified form. In order for the privacy notice to efficiently fulfill its information function, it must be drafted and structured in a clear and simple manner. When it is impossible to communicate the privacy notice to the data subject directly or it requires disproportionate efforts, the data controller may implement compensatory mass communication measures in accordance with the criteria issued for this purpose by the Secretariat.",447,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art21,21,T2-C2,T2,"The privacy notice must contain, at least, the following information:","The privacy notice must contain, at least, the following information: I. The name and address of the person responsible; II. The personal data that will be processed, identifying those that are sensitive; III. The legal basis that authorizes the controller to carry out the processing; IV. The purposes of the processing for which the personal data are obtained, distinguishing those that require the consent of the data subject; V. The mechanisms, means and procedures available to exercise ARCO rights; VI. The address of the Transparency Unit; VII. When transfers of personal data are made that require consent, the following must be reported: a) The authorities, powers, entities, bodies and government agencies of the three levels of government and the natural or legal persons to whom the personal data are transferred, and b) The purposes of these transfers; VIII. The mechanisms and means available so that the data subject, where applicable, can express his or her refusal to have his or her personal data processed for purposes and transfers of personal data that require the data subject's consent, and IX. The means through which the controller will communicate changes to the privacy notice to the data subjects. The mechanisms and means referred to in Section VIII of this article must be available so that the data subject can express his or her refusal to have his or her personal data processed for purposes or transfers that require his or her consent, prior to such processing taking place.",457,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art22,22,T2-C2,T2,"The privacy notice in its simplified form must contain the information referred to in sections I, IV, VII and VIII of the previous article and indicate the site where the full privacy notice may be consulted.","The privacy notice in its simplified form must contain the information referred to in sections I, IV, VII and VIII of the previous article and indicate the site where the full privacy notice may be consulted. The availability of the privacy notice referred to in this article does not exempt the data controller from its obligation to provide mechanisms for the data subject to be aware of the full content of the privacy notice.",484,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art23,23,T2-C2,T2,"The controller must implement the mechanisms provided for in Article 24 of this Law to certify compliance with the principles, duties and obligations established herein and be accountable for the processing of personal data in its possession to the owner, the Secretariat or the guarantor authorities, as appropriate, in which case it must observe the Political Constitution of the United Mexican States and the international treaties to which the Mexican State is a party; insofar as this does not conflict with Mexican regulations, it may use national or international standards or best practices for such purposes.","The controller must implement the mechanisms provided for in Article 24 of this Law to certify compliance with the principles, duties and obligations established herein and be accountable for the processing of personal data in its possession to the owner, the Secretariat or the guarantor authorities, as appropriate, in which case it must observe the Political Constitution of the United Mexican States and the international treaties to which the Mexican State is a party; insofar as this does not conflict with Mexican regulations, it may use national or international standards or best practices for such purposes.",492,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art24,24,T2-C2,T2,"Among the mechanisms that the responsible party must adopt to comply with the principle of The responsibilities established in this Law are, at least, the following:","Among the mechanisms that the responsible party must adopt to comply with the principle of The responsibilities established in this Law are, at least, the following: I. Allocate authorized resources for this purpose for the implementation of personal data protection programs and policies; II. Develop personal data protection policies and programs that are mandatory and enforceable within the controller's organization; III. Implement a training and updating program for staff on obligations and other duties regarding personal data protection; IV. Periodically review personal data security policies and programs to determine any required modifications; V. Establish an internal and/or external monitoring and surveillance system, including audits, to verify compliance with personal data protection policies; VI. Establish procedures to receive and respond to questions and complaints from the owners; VII. Design, develop and implement public policies, programs, services, computer systems or platforms, electronic applications or any other technology that involves the processing of personal data, in accordance with the provisions set forth in this Law and any other applicable provisions on the matter, and VIII. Ensure that its public policies, programs, services, computer systems or platforms, electronic applications, or any other technology that involves the processing of personal data comply by default with the obligations set forth in this Law and any other applicable laws.",498,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art25,25,T2-C3,T2,"Regardless of the type of system in which the personal data are stored or the type of processing carried out, the controller must establish and maintain administrative, physical, and technical security measures to protect personal data against damage, loss, alteration, destruction, or unauthorized use, access, or processing, as well as guarantee its confidentiality, integrity, and availability.","Regardless of the type of system in which the personal data are stored or the type of processing carried out, the controller must establish and maintain administrative, physical, and technical security measures to protect personal data against damage, loss, alteration, destruction, or unauthorized use, access, or processing, as well as guarantee its confidentiality, integrity, and availability.",539,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26,26,T2-C3,T2,The security measures adopted by the person responsible must consider:,"The security measures adopted by the person responsible must consider: I. The risk inherent in the personal data processed; II. The sensitivity of the personal data processed; III. Technological development; IV. The possible consequences of a breach for the rights holders; V. The transfers of personal data that are made; VI. The number of holders; VII. Previous breaches in treatment systems, and VIII. The risk of the potential quantitative or qualitative value that personal data processed could have for a third party not authorized to possess it.",545,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27,27,T2-C3,T2,"In order to establish and maintain security measures for the protection of personal data, the The responsible party must carry out at least the following interrelated activities:","In order to establish and maintain security measures for the protection of personal data, the The responsible party must carry out at least the following interrelated activities: I. Create internal policies for the management and processing of personal data that take into account the context in which the processing occurs and the life cycle of personal data, that is, its collection, use, and subsequent deletion; II. Define the functions and obligations of the personnel involved in the processing of personal data; III. Prepare an inventory of personal data and processing systems; IV. Conduct a risk analysis of personal data, considering the threats and vulnerabilities existing for personal data and the resources involved in its processing, such as, but not limited to, hardware, software, personnel of the controller, among others; V. Conduct a gap analysis, comparing existing security measures against those missing in the responsible organization; VI. Develop a work plan for implementing the missing security measures, as well as measures for daily compliance with personal data management and processing policies; VII. Monitor and periodically review the security measures implemented, as well as the threats and violations to which personal data are subject, and VIII. Design and implement different levels of training for personnel under your command, depending on their roles and responsibilities regarding the processing of personal data.",557,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art28,28,T2-C3,T2,Actions related to security measures for the processing of personal data must be documented and contained in a management system.,"Actions related to security measures for the processing of personal data must be documented and contained in a management system. A management system shall be understood as the set of interrelated elements and activities to establish, implement, operate, monitor, review, maintain, and improve the processing and security of personal data, in accordance with the provisions of this Law and other legal provisions applicable to the matter.",593,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29,29,T2-C3,T2,"The person responsible must prepare a security document containing, at least, the following:","The person responsible must prepare a security document containing, at least, the following: I. The inventory of personal data and processing systems; II. The functions and obligations of persons who process personal data; III. Risk analysis; IV. Gap analysis; V. The work plan; VI. The mechanisms for monitoring and reviewing security measures, and VII. The general training program.",601,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art30,30,T2-C3,T2,The person responsible must update the security document when the following events occur:,"The person responsible must update the security document when the following events occur: I. Substantial changes occur in the processing of personal data that result in a change in the level of risk; II. As a result of a continuous improvement process, derived from the monitoring and review of the management system; III. As a result of an improvement process to mitigate the impact of a security breach that occurred, and IV. Implementation of corrective and preventive actions in the event of a security breach.",611,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art31,31,T2-C3,T2,"In the event of a security breach, the data controller must analyze the causes of the breach and implement preventive and corrective actions in its work plan to adapt security measures and the processing of personal data, if applicable, to prevent the breach from recurring.","In the event of a security breach, the data controller must analyze the causes of the breach and implement preventive and corrective actions in its work plan to adapt security measures and the processing of personal data, if applicable, to prevent the breach from recurring.",624,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art32,32,T2-C3,T2,"In addition to those indicated in the respective laws and applicable regulations, the following shall be considered as security breaches, at any stage of data processing, at least the following:","In addition to those indicated in the respective laws and applicable regulations, the following shall be considered as security breaches, at any stage of data processing, at least the following: I. Unauthorized loss or destruction; II. Theft, loss or unauthorized copying; III. Unauthorized use, access or processing, or IV. Unauthorized damage, alteration or modification.",629,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art33,33,T2-C3,T2,"The responsible party must keep a log of security breaches, describing the breach, the date it occurred, the reason for it, and the corrective actions implemented immediately and definitively.","The responsible party must keep a log of security breaches, describing the breach, the date it occurred, the reason for it, and the corrective actions implemented immediately and definitively.",651,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art34,34,T2-C3,T2,"The responsible party must inform the holder without delay, and as appropriate, the Secretariat and the guarantor Authorities , of any violations that significantly affect property or moral rights, as soon as it is confirmed that the violation occurred and the responsible party has begun to take actions aimed at triggering a process of exhaustive review of the magnitude of the affectation, so that the affected holders can take the corresponding measures to defend their rights.","The responsible party must inform the holder without delay, and as appropriate, the Secretariat and the guarantor Authorities , of any violations that significantly affect property or moral rights, as soon as it is confirmed that the violation occurred and the responsible party has begun to take actions aimed at triggering a process of exhaustive review of the magnitude of the affectation, so that the affected holders can take the corresponding measures to defend their rights.",656,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35,35,T2-C3,T2,The person responsible must inform the owner of at least the following:,"The person responsible must inform the owner of at least the following: I. The nature of the incident; II. The personal data compromised; III. Recommendations on measures that the data subject may adopt to protect his or her interests; IV. Corrective actions carried out immediately, and V. The means where you can get more information about it.",664,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art36,36,T2-C3,T2,"The controller must establish controls or mechanisms to ensure that all persons involved in any phase of the processing of personal data maintain confidentiality regarding such data, an obligation that will continue to exist even after their relationship with the controller has ended.","The controller must establish controls or mechanisms to ensure that all persons involved in any phase of the processing of personal data maintain confidentiality regarding such data, an obligation that will continue to exist even after their relationship with the controller has ended. The foregoing, without prejudice to the provisions established in the provisions on access to public information.",682,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art37,37,T3-C4,T3,"At any time, the data subject or their representative may request from the data controller access, rectification, cancellation, or objection to the processing of their personal data, in accordance with the provisions of this Title. The exercise of any of the ARCO rights is not a prerequisite, nor does it prevent the exercise of any other rights.","At any time, the data subject or their representative may request from the data controller access, rectification, cancellation, or objection to the processing of their personal data, in accordance with the provisions of this Title. The exercise of any of the ARCO rights is not a prerequisite, nor does it prevent the exercise of any other rights.",697,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art38,38,T3-C4,T3,"The data subject shall have the right to access his or her personal data in the possession of the responsible, as well as knowing the information related to the conditions and generalities of its treatment.","The data subject shall have the right to access his or her personal data in the possession of the responsible, as well as knowing the information related to the conditions and generalities of its treatment.",703,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art39,39,T3-C4,T3,"The data subject shall have the right to request the data controller to rectify or correct his or her data. personal data, when these are found to be inaccurate, incomplete or not up to date.","The data subject shall have the right to request the data controller to rectify or correct his or her data. personal data, when these are found to be inaccurate, incomplete or not up to date.",706,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
