definition_id,term,definition,clause_id,article_id,source_line,source_document
DEF-Publicly_accessible_sources,Publicly accessible sources,"Those databases, systems, or files that, by law, may be publicly consulted when there is no impediment imposed by a restrictive rule and with no other requirement than, where applicable, the payment of a fee, contribution, or consideration. A source shall not be considered publicly accessible when the information contained therein was obtained or comes from an illicit source, in accordance with the provisions of this Law and other applicable legal provisions;",Art3-XVI,Art3,164,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Compensatory_measures,Compensatory measures,"Alternative mechanisms to inform the data subjects of the privacy notice, through its dissemination through mass media or other broad-based media;",Art3-XVII,Art3,171,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Security_measures,Security measures,"Set of actions, activities, controls or administrative, technical and physical mechanisms that allow the protection of personal data;",Art3-XVIII,Art3,173,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Administrative_security_measures,Administrative security measures,"Policies and procedures for the management, support, and review of information security at the organizational level, the identification, classification, and secure deletion of information, as well as staff awareness and training on personal data protection;",Art3-XIX,Art3,175,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Physical_security_measures,Physical security measures,"A set of actions and mechanisms to protect the physical environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to:",Art3-XX,Art3,180,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Technical_security_measures,Technical security measures,"A set of actions and mechanisms that use hardware and software technology to protect the digital environment of personal data and the resources involved in its processing. The following activities should be considered, but are not limited to:",Art3-XXI,Art3,193,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Person_in_Charge,Person in Charge,"A natural or legal person, public or private, outside the organization of the person responsible, who alone or jointly with others processes personal data on behalf of and for the account of the person responsible;",Art3-XXII,Art3,209,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-National_Platform,National Platform,National Transparency Platform referred to in article 44 of the General Law on Transparency and Access to Public Information;,Art3-XXIII,Art3,213,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Referral,Referral,"All communication of personal data carried out exclusively between the controller and the person in charge, within or outside Mexican territory;",Art3-XXIV,Art3,229,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Responsible,Responsible,Obligated subjects referred to in section XXVII of this article who decide on the processing of personal data;,Art3-XXV,Art3,231,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Secretariat,Secretariat,Anti-Corruption and Good Government Secretariat;,Art3-XXVI,Art3,233,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Obligated_Subjects,Obligated Subjects,"Any authority, entity, body and organization of the executive, legislative and judicial branches, autonomous bodies, political parties, trusts and public funds, at the federal, state and municipal level or in the territorial demarcations of Mexico City;",Art3-XXVII,Art3,236,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Deletion,Deletion,"Archival removal of personal data in accordance with the applicable legal provisions on archives, which results in the elimination, erasure or destruction of personal data under the security measures previously established by the controller;",Art3-XXVIII,Art3,239,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Data_Subject,Data Subject,Subject to whom the personal data correspond;,Art3-XXIX,Art3,242,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Transfer,Transfer,"Any communication of personal data within or outside Mexican territory, made to a person other than the owner, the controller or the person in charge;",Art3-XXX,Art3,243,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Processing,Processing,"Any operation or set of operations carried out by manual or automated procedures applied to personal data, related to the obtaining, use, registration, organization, conservation, elaboration, utilization, communication, dissemination, storage, possession, access, handling, exploitation, disclosure, transfer or disposition of personal data, and",Art3-XXXI,Art3,245,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Transparency_Unit,Transparency Unit,Instance referred to in article 41 of the General Law of Transparency and Access to Public Information.,Art3-XXXII,Art3,251,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
