definition_id,term,definition_type,defined_in,definition_text,source_document
DEF_Standard_Guidelines,Standard Guidelines,defined in-line (hereinafter referred to as),ART_12_P1,"The Protection Commission may establish the Standard Personal Information Protection Guidelines (hereinafter referred to as the “Standard Guidelines”) regarding the personal information processing standard, types of personal information breaches, preventive measures, etc., and recommend that personal information controllers comply with such Guidelines. <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 14839, Jul. 26, 2017; Act No 16930, February. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_sensitive_information,sensitive information,defined in-line (hereinafter referred to as),ART_23_P1,"A personal information controller shall not process any information prescribed by Presidential Decree (hereinafter referred to as “sensitive information”), including ideology, belief, admission to or withdrawal from a trade union or political party, political opinions, health, sex life, and other personal information that is likely to markedly threaten the privacy of any data subject: Provided, That this shall not apply in any of the following circumstances: <Amended by Act No. 14107, Mar. 29, 2016>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_personally_identifiable_information,personally identifiable information,defined in-line (hereinafter referred to as),ART_24_P1,"A personal information controller shall not process any information prescribed by Presidential Decree that can be used to identify an individual in accordance with statutes (hereinafter referred to as ""personally identifiable information""), except in any of the following cases:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_VDPD_operator,VDPD operator,defined in-line (hereinafter referred to as),ART_25_P4,"A person who installs and operates visual data processing devices pursuant to paragraph (1) (hereinafter referred to as “VDPD operator”) shall take necessary measures including posting on a signboard the following matters, so that data subjects may easily recognize such devices: Provided, That this shall not apply to military installations defined in subparagraph 2 of Article 2 of the Protection of Military Bases and Installations Act, important national facilities defined in subparagraph 13 of Article 2 of the United Defense Act, and other facilities prescribed by Presidential Decree: <Amended by Act No. 14107, Mar. 29, 2016>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_outsourcer,outsourcer,defined in-line (hereinafter referred to as),ART_26_P2,"A personal information controller that outsources personal information processing pursuant to paragraph (1) (hereinafter referred to as ""outsourcer"") shall disclose the details of the outsourced work and the entity that processes personal information (hereinafter referred to as “outsourcee”) under an outsourcing contract in the manner prescribed by Presidential Decree so that data subjects may recognize it with ease at any time.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_outsourcee,outsourcee,defined in-line (hereinafter referred to as),ART_26_P2,"A personal information controller that outsources personal information processing pursuant to paragraph (1) (hereinafter referred to as ""outsourcer"") shall disclose the details of the outsourced work and the entity that processes personal information (hereinafter referred to as “outsourcee”) under an outsourcing contract in the manner prescribed by Presidential Decree so that data subjects may recognize it with ease at any time.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_personal_information_handler,personal information handler,defined in-line (hereinafter referred to as),ART_28_P1,"While processing personal information, a personal information controller shall conduct appropriate control and supervision against the persons who process the personal information under his or her command and supervision, such as an officer or employee, temporary agency worker and part-time worker (hereinafter referred to as “personal information handler”) to ensure the safe management of the personal information.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_Privacy_Policy,Privacy Policy,defined in-line (hereinafter referred to as),ART_30_P1,"Every personal information controller shall establish a personal information processing policy including the following matters (hereinafter referred to as ""Privacy Policy""). In such cases, public institutions shall establish the Privacy Policy for the personal information files to be registered pursuant to Article 32: <Amended by Act No. 14107, Mar. 29, 2016>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_privacy_impact_assessment,privacy impact assessment,defined in-line (hereinafter referred to as),ART_33_P1,"In the case there is a risk of an infringement with respect to personal information of data subjects due to the operation of personal information files meeting the criteria prescribed by Presidential Decree, the head of a public institution shall conduct an assessment to analyze risk factors and improve them (hereinafter referred to as “privacy impact assessment”), and submit the results thereof to the Protection Commission. In such cases, the head of the public institution shall request the privacy impact assessment from any of the institutions designated by the Protection Commission (hereinafter referred to as “PIA institution”). <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 14839, Jul. 26, 2017; Act No 16930, February. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_PIA_institution,PIA institution,defined in-line (hereinafter referred to as),ART_33_P1,"In the case there is a risk of an infringement with respect to personal information of data subjects due to the operation of personal information files meeting the criteria prescribed by Presidential Decree, the head of a public institution shall conduct an assessment to analyze risk factors and improve them (hereinafter referred to as “privacy impact assessment”), and submit the results thereof to the Protection Commission. In such cases, the head of the public institution shall request the privacy impact assessment from any of the institutions designated by the Protection Commission (hereinafter referred to as “PIA institution”). <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 14839, Jul. 26, 2017; Act No 16930, February. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_request_for_access_etc,"request for access, etc.",defined in-line (hereinafter referred to as),ART_38_P1,"A data subject may authorize his or her representative to file requests for access pursuant to Article 35, correction or erasure pursuant to Article 36, suspension of processing pursuant to Article 37, and withdrawal of consent pursuant to Article 39-7 (hereinafter referred to as “request for access, etc.”) by the methods and procedure prescribed by Presidential Decree, such as written documents. <Amended by Act No 16930, February. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_information_and_communications_service_provider_etc,"information and communications service provider, etc.",defined in-line (hereinafter referred to as),ART_39-4_P1,"Notwithstanding Article 34 (1) and (3), information and communications service provider and a person who receives personal information of users therefrom pursuant to Article 17 (1) (hereinafter referred to as “information and communications service provider, etc.”) shall notify the relevant users of the following matters without delay upon becoming aware that their personal information has been lost, stolen or divulged (hereinafter referred to as “divulgence, etc.”), report such case to a specialized institution prescribed by the Protection Commission or Presidential Decree, and shall notify the users or report that matter not later than 24 hours since he or she became aware of such fact, without a justifiable reason: Provided, That if there is a justifiable reason such as users’ contact number being unknown, other measures may be taken in lieu of notification as prescribed by Presidential Decree:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_divulgence_etc,"divulgence, etc.",defined in-line (hereinafter referred to as),ART_39-4_P1,"Notwithstanding Article 34 (1) and (3), information and communications service provider and a person who receives personal information of users therefrom pursuant to Article 17 (1) (hereinafter referred to as “information and communications service provider, etc.”) shall notify the relevant users of the following matters without delay upon becoming aware that their personal information has been lost, stolen or divulged (hereinafter referred to as “divulgence, etc.”), report such case to a specialized institution prescribed by the Protection Commission or Presidential Decree, and shall notify the users or report that matter not later than 24 hours since he or she became aware of such fact, without a justifiable reason: Provided, That if there is a justifiable reason such as users’ contact number being unknown, other measures may be taken in lieu of notification as prescribed by Presidential Decree:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_domestic_agent,domestic agent,defined in-line (hereinafter referred to as),ART_39-11_P1,"Information and communications service provider, etc. with no address or business office in Korea meeting the criteria prescribed by Presidential Decree in consideration of the number of users and revenues shall designate an agent to act on his or her behalf with respect to the following (hereinafter referred to as ""domestic agent"") in writing:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_transfer,transfer,defined in-line (hereinafter referred to as),ART_39-12_P2,"Notwithstanding Article 17 (3), information and communications service provider, etc. shall obtain users’ consent if intending to provide (including accessing), outsource the processing of, or store (hereinafter referred to as “transfer” in this Article) users’ personal information overseas: Provided, That if all items of paragraph (3) below are made public pursuant to Article 30 (2) or notified to users by a method prescribed by the Presidential Decree such as e-mail, the information and communications service provider, etc. may opt not to obtain users’ consent to outsourcing the processing of, or storing, personal information.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_Dispute_Mediation_Committee,Dispute Mediation Committee,defined in-line (hereinafter referred to as),ART_40_P1,There shall be established a Personal Information Dispute Mediation Committee (hereinafter referred to as the “Dispute Mediation Committee”) to mediate disputes over personal information.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_collective_dispute_mediation,collective dispute mediation,defined in-line (hereinafter referred to as),ART_49_P1,"The State, a local government, a data protection organization or institution, a data subject, and a personal information controller may request or apply for a collective dispute mediation (hereinafter referred to as “collective dispute mediation”) to the Dispute Mediation Committee where damages or infringement on rights occur to multiple data subjects in an identical or similar manner, and such incident is such as prescribed by Presidential Decree.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_Privacy_Call_Center,Privacy Call Center,defined in-line (hereinafter referred to as),ART_62_P2,"The Protection Commission may designate a specialized institution in order to efficiently receive and handle the claim reports pursuant to paragraph (1), as prescribed by Presidential Decree. In such cases, such specialized institution shall establish and operate a personal information infringement call center (hereinafter referred to as the “Privacy Call Center”). <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 14839, Jul. 26, 2017; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_business_transferee_etc,"business transferee, etc.",defined in-line (hereinafter referred to as),ART_27_P1_SP2,"The name (referring to the company name in case of a legal person), address, telephone number and other contact information of the recipient of the personal information (hereinafter referred to as “business transferee, etc.”);",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_pseudonymized_information,pseudonymized information,defined in-line (hereinafter referred to as),ART_2_SP1_ITc,Information under items (a) or (b) above that is pseudonymized in accordance with subparagraph 1-2 below and thereby becomes incapable of identifying a particular individual without the use or combination of information for restoration to the original state (hereinafter referred to as “pseudonymized information”);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
