id,control_id,level,text
IMP-01.a-NIS2,01.a,Level NIS2,"The organization restricts and controls the use of system administration systems in accordance with the access control policy. The system administration systems are logically separated, are only used for system administration purposes, and are protected through authentication and encryption controls."
IMP-01.b-L1,01.b,Level 1 (Validated),"Default and unnecessary accounts are removed, disabled, or otherwise secured."
IMP-01.b-L2,01.b,Level 2 (Validated),"Proper identification is required for requests to establish information system accounts and approval of requests to establish such accounts.
Account managers are notified when users are: terminated, transferred, their information system usage or need-to-know/need-to-share changes, or when accounts (including shared/group, emergency, and temporary accounts) are no longer required. Account managers modify the user’s account accordingly."
IMP-01.b-L3,01.b,Level 3 (Certified),"Automated mechanisms support the management of information system accounts, including the disabling of emergency accounts within 24 hours, and temporary accounts within a fixed duration not to exceed 365 days.
In addition to assigning a unique ID and password, token devices (e.g., SecurID, certificates, public key), biometrics, or both methods are employed to authenticate all users."
IMP-01.b-CIS,01.b,Level CIS,The information system automatically disables inactive accounts after 35 days for user accounts.
IMP-01.b-CMS,01.b,Level CMS,"Automated mechanisms support the management of information system accounts, including the disabling of emergency accounts within 24 hours and temporary accounts within a fixed duration not to exceed 30 days.
The organization disables accounts of users posing a significant risk immediately, not to exceed 30 minutes after discovery of the risk."
IMP-01.b-NYDOH,01.b,Level NYDOH,"The information system automatically disables inactive accounts within 60 days.
The organization disables accounts of users posing a significant risk within 60 minutes of discovery of the risk."
IMP-01.c-L1,01.c,Level 1 (Validated),"The allocation of privileges for all systems and system components is controlled through a formal authorization process. The organization ensures access privileges associated with each system product (e.g., operating system, database management system and each application) and the users associated with each system product which need to be allocated are identified. Privileges are allocated to users on a need-to-use basis and on an event-by-event basis in line with the access control policy (e.g., the minimum requirement for their functional role–user or administrator, only when needed).
The organization limits authorization to privileged accounts on information systems to a pre-defined subset of users and tracks and monitors privileged role assignments."
IMP-01.c-L2,01.c,Level 2 (Validated),"Role-based access controls are implemented and capable of mapping each user to one or more roles, and each role to one or more system functions.
The development and use of system routines and programs which avoid the need to run elevated privileges is promoted."
IMP-01.c-L3,01.c,Level 3 (Certified),"The organization explicitly authorizes access to the following security functions (deployed in hardware, software, and firmware) and security-relevant information: Setting/modifying audit logs and auditing behavior; Setting/modifying boundary protection system rules; Configuring/modifying access authorizations (e.g., permissions, privileges); Setting/modifying authentication parameters; and Setting/modifying system configurations and parameters.
The organization audits the execution of privileged functions on information systems and ensures information systems prevent non-privileged users from executing privileged functions including disabling, circumventing, or altering implemented security safeguards (e.g., IDS/IPS or malicious code protection mechanisms)."
IMP-01.c-CIS,01.c,Level CIS,"Administrators use a dedicated machine for all administrative tasks or tasks requiring elevated access. This machine is isolated from the organization’s primary network and is not allowed Internet access. This machine is not used for reading email, composing documents, or surfing the Internet."
IMP-01.c-CMS,01.c,Level CMS,"All system and removable media boot access is disabled unless it is explicitly authorized by the organizational CIO for compelling operational needs. If system and removable media boot access is authorized, boot access is password protected.
The organization authorizes network access to privileged commands only for compelling operational needs as defined in the system security plan and documents the rationale for the information system."
IMP-01.c-HIE,01.c,Level HIE,"The organization, acting as a HIE, defines and assigns roles to all employees and to all employees of connecting organizations with access to the HIE. The roles are based on the individuals’ job function and responsibilities. The roles specify the type of access and level of access."
IMP-01.c-HIX,01.c,Level HIX,"A role-based access approach is used to establish and administer privileged user accounts, including application-specific privileged user accounts based on the responsibilities associated with the use of each application. Privileged roles are monitored.
The information system does not release information outside of the established system boundary unless the receiving organization provides appropriate security safeguards. The safeguards are used to validate the appropriateness of the information designated for release."
IMP-01.c-NYDOH,01.c,Level NYDOH,"Shared accounts must have strictly limited permissions and access only to the system(s) required.
The organization restricts the use of database management utilities to only authorized database administrators, prevents users from accessing database data files at the logical data view, field, or field-value level, and implements table-level access control."
IMP-01.d-L1,01.d,Level 1 (Validated),"User identities are verified prior to performing password resets.
The organization changes all default passwords for applications, operating systems, routers, firewalls, wireless access points, and other systems to have values consistent with administration-level accounts before deploying any new devices in a networked environment."
IMP-01.d-L2,01.d,Level 2 (Validated),"Password settings are configured to not display passwords in plain (or clear) text by default.
The organization: maintains a list of commonly-used, expected, or compromised passwords; updates the list of commonly-used, expected, or compromised passwords at least every 180 days; updates the list of commonly-used, expected, or compromised passwords when organizational passwords are suspected to have been compromised, either directly or indirectly; verifies, when users create or update passwords, that the passwords are not found on the organization-defined list of commonly-used, expected, or compromised passwords; allows users to select long passwords and passphrases; allows users to select passwords and passphrases containing spaces and all printable characters; employs automated tools to assist the user in selecting strong passwords and authenticators."
IMP-01.d-L3,01.d,Level 3 (Certified),"Passwords are transmitted only when cryptographically-protected and stored using an approved hash algorithm and salt, preferably using a keyed hash."
IMP-01.d-CIS,01.d,Level CIS,"The information system, for password-based authentication enforces unique passwords for all enterprise assets with a minimum of 8 characters for accounts using MFA and a minimum of 14 characters for accounts not using MFA."
IMP-01.d-CMS,01.d,Level CMS,"The organization requires that quality passwords are used which are easy to remember, not based on anything somebody else could easily guess or obtain using person-related information (e.g., names, telephone numbers, and dates of birth etc.), not vulnerable to dictionary attack (do not consist of words included in dictionaries), free of consecutive identical characters.
The organization maintains and provides changes to the system accounts to support credentialed scanning no later than two weeks prior to expiration or when other changes to the accounts are needed."
IMP-01.d-PCI,01.d,Level PCI,The organization sets passwords/passphrases for first-time use to a unique value for each user and upon reset to a unique value for each user. Passwords/passphrases are changed immediately after the first use.
IMP-01.d-NYDOH,01.d,Level NYDOH,"The information system, for password-based authentication, meets or exceeds the following minimum password requirement: prohibits the use of dictionary names or words; minimum password length = minimum length of eight characters for regular user passwords, and minimum length of 15 characters for administrators or privileged user passwords; password complexity = minimum (one for moderate) character(s) from the four character categories (A-Z, a-z, 0-9, special characters); password history size = six passwords for moderate; if the operating environment enforces a minimum of number of changed characters when new passwords are created, set the value at six for moderate systems; store and transmit only encrypted representations of passwords; and allow the use of a temporary password for system logons with an immediate change to a permanent password."
IMP-01.e-L1,01.e,Level 1 (Validated),"The organization reviews all accounts (including user, privileged, system, shared, and seeded accounts), and privileges (e.g., user-to-role assignments, user-to-object assignments) periodically (annually at a minimum)."
IMP-01.e-L2,01.e,Level 2 (Validated),"User access rights are reviewed after promotions, demotions, and termination of employment or end of other arrangement with a workforce member. User access rights are reviewed and re-allocated when moving from one employment or workforce member arrangement to another within the same organization (i.e., transfer).
The organization ensures all types of accounts, user access, and changes to access authorizations are reviewed at least every 90 days. The organization ensures critical system accounts and authorizations for special privileged access rights are reviewed at least every 60 days."
IMP-01.e-HIE,01.e,Level HIE,"The organization, acting as a Health Information Exchange (HIE), reviews user access every 90 days, for all employees and for all employees of connecting organizations, and reviews the appropriateness of each user’s role every 90 days for all employees and for all employees of connecting organizations. Any discrepancies are remediated immediately following the review."
IMP-01.e-HIX,01.e,Level HIX,"The organization inspects privileged accounts (e.g., administrator groups, root accounts, and other system-related accounts) on demand, and at least once every 14 days to ensure unauthorized accounts have not been created. Privileged user roles associated with applications are inspected every 30 days."
IMP-01.e-NYDOH,01.e,Level NYDOH,"The organization reviews the privileges assigned to defined personnel or roles defined in the applicable security plan every 90 days to validate the need for such privileges, and reassigns or removes privileges, if necessary, to correctly reflect organizational mission/business needs."
IMP-01.f-L1,01.f,Level 1 (Validated),"The organization ensures users are made aware of the organization’s password policies and requirements, are made aware to keep passwords confidential, avoid keeping a record (e.g., paper, software file, or hand-held device) of passwords, unless this can be stored securely and the method of storing has been approved, change passwords whenever there is any indication of possible system or password compromise, do not share individual user accounts or passwords, do not provide their password to anyone for any reason (to avoid compromising their user credentials through social engineering attacks), do not use the same password for business and non-business purposes, and select quality passwords."
IMP-01.f-L2,01.f,Level 2 (Validated),"If users need to access multiple services, systems, or platforms, and are required to maintain multiple separate passwords, they are advised that they may use a single, quality password for all services where the user is assured that a reasonable level of protection has been established for the storage of the password within each service, system, or platform."
IMP-01.g-L1,01.g,Level 1 (Validated),"All users are made aware of: the security requirements and procedures for protecting unattended equipment; their responsibilities for terminating active sessions when finished, unless they can be secured by an appropriate locking mechanism (e.g., a password protected screen saver); their responsibilities for logging-off mainframe computers, servers, and office PCs when the session is finished (e.g., not just switch off the PC screen or terminal); and their responsibilities for securing PCs or terminals from unauthorized use by a key lock or an equivalent control (e.g., password access) when not in use."
IMP-01.g-L2,01.g,Level 2 (Validated),"The organization safeguards information system output devices (e.g., printers, monitors, copiers, scanners, facsimile machines) to help prevent unauthorized individuals from obtaining the output."
IMP-01.h-L1,01.h,Level 1 (Validated),"Covered or critical business information is locked away (ideally in a safe or cabinet or other forms of security furniture) when not required, especially when the office is vacated. Workstations are left logged off or protected with a screen and keyboard locking mechanism controlled by a password, token, or similar user authentication mechanism that conceals information previously visible on the display when unattended, and protected by key locks, passwords, or other controls when not in use. Documents containing covered or critical information are removed from printers, copiers, and facsimile machines immediately. When transporting documents with covered or confidential information within facilities and through inter-office mail, covered or critical information is concealed during transit (e.g., using opaque envelopes)."
IMP-01.h-L2,01.h,Level 2 (Validated),"Covered or critical business information is not visible through envelope windows. Envelopes are marked according to their classification level (e.g., confidential). The organization ensures incoming mail points, outgoing mail points, and unattended facsimile machines are protected."
IMP-01.i-L1,01.i,Level 1 (Validated),"The organization: determines who is allowed to access which network and networked services; specifies the means that can be used to access networks and network services (e.g., the conditions for allowing access to a remote system); at a minimum, manages all enterprise devices remotely logging into the internal network, with remote control of their configuration; at a minimum, manages all enterprise devices remotely logging into the internal network, with installed software; at a minimum, manages all enterprise devices remotely logging into the internal network, with patch levels; publishes minimum security standards for access to the enterprise network by third- party devices (e.g., subcontractors/vendors); performs a security scan before allowing access; identifies the ports necessary for business and provides the rationale–or identifies compensating controls implemented–for those protocols to be non-secure; identifies the services necessary for business and provides the rationale–or identifies compensating controls implemented–for those protocols to be non-secure; and identifies the similar applications (e.g., protocols) necessary for business and provides the rationale–or identifies compensating controls implemented–for those protocols to be non-secure."
IMP-01.i-L2,01.i,Level 2 (Validated),"The organization specifies the networks and network services users are authorized access.
The organization ensures information systems or components of information systems for which the organization typically has no direct control over the application of required security controls or the assessment of security control effectiveness, personally owned information systems (e.g., computers, cellular telephones, or personal digital assistants), and privately owned computing and communications devices resident in commercial or public facilities (e.g., hotels, convention centers, or airports) are identified as external information systems. The organization limits or prohibits the use of such external information systems by employees and other workforce members in accordance with organizational policy."
IMP-01.i-CMS,01.i,Level CMS,"The service provider uses the Center for Internet Security guidelines (Level 1) to establish a list of prohibited or restricted functions, ports, protocols, and/or services or establishes its own list of prohibited or restricted functions, ports, protocols, and/or services if United States Government Configuration Baseline (USGCB) is not available."
IMP-01.j-L1,01.j,Level 1 (Validated),"Remote access by vendors and business partners (e.g., for remote maintenance) is disabled unless specifically authorized by management. Remote access to business partner accounts (e.g., remote maintenance) is immediately deactivated after use."
IMP-01.j-L2,01.j,Level 2 (Validated),"The authentication of remote users is implemented using a password or passphrase and at least one of the following methods: a cryptographic based technique; biometric techniques; hardware tokens; software tokens; a challenge/response protocol; or, certificate agents.
Dial-up connections are encrypted. If encryption is not used for dial-up connections, the CIO or his/her designated representative must provide specific written authorization."
IMP-01.j-L3,01.j,Level 3 (Certified),"The organization’s information system monitors and controls remote access methods.
Remote administration sessions are authorized, encrypted, and employ increased security measures."
IMP-01.j-CIS,01.j,Level CIS,"The organization requires all remote login access (including VPN, dial-up, and other forms of access that allow login to internal systems, e.g., from an alternate work location or to sensitive information via a Web portal) to encrypt data in transit and use two-factor authentication.
The organization requires users to authenticate to organization controlled VPN and authentication service prior to accessing organizational resources on remote devices."
IMP-01.j-CMS,01.j,Level CMS,"If e-authentication is implemented as a remote access solution or associated with remote access, the organization ensures compliance with the Risk Management Handbook (RMH), Volume III, Standard 3.1, CMS Authentication Standards.
The organization requires callback capability with re-authentication to verify connections from authorized locations when the Multi-Protocol Label Switching (MPLS) service network cannot be used. For application systems and turnkey systems that require the vendor to log-on, the vendor is assigned a User ID and password and enters the network through the standard authentication process. Access to such systems is authorized and logged. User IDs assigned to vendors will be recertified within every 365 days."
IMP-01.j-HIX,01.j,Level HIX,The organization employs automated mechanisms to facilitate the monitoring and control of remote access methods.
IMP-01.j-PCI,01.j,Level PCI,The organization incorporates multi-factor authentication for remote network access originating from outside the network by personnel (including users and administrators) and all third-parties (including vendor access for support and maintenance).
IMP-01.j-NYDOH,01.j,Level NYDOH,"The organization requires callback capability with re-authentication to verify connections from authorized locations when the Medicare Data Communications Network (MDCN) or Multi-Protocol Label Switching (MPLS) service network cannot be used. For application systems and turnkey systems that require the vendor to log-on, the vendor is assigned a User ID and password and enters the network through the standard authentication process. Access to such systems is authorized and logged. User IDs assigned to vendors will be recertified within every 365 days."
IMP-01.j-HICP,01.j,Level HICP,The organization requires MFA protected VPN access be established before users are granted access to privileged servers.
IMP-01.k-L1,01.k,Level 1 (Validated),"The organization uniquely identifies and authenticates network devices that require authentication mechanisms before establishing a connection. Network devices that require authentication mechanisms use shared information (e.g., MAC or IP address) to control remote network access and access control lists to control remote network access."
IMP-01.k-L2,01.k,Level 2 (Validated),"An identifier in or attached to equipment is used to indicate whether the equipment is permitted to connect to the network. The identifier used to indicate whether equipment is permitted to connect to the network clearly indicates which network the equipment is permitted to connect (if more than one network exists and, particularly, if these networks are of differing sensitivity).
Physical protection of the equipment is required to maintain the security of the equipment identifier. The identifier is stored and transported in an encrypted format to protect it from unauthorized access."
IMP-01.l-L1,01.l,Level 1 (Validated),"Ports, services, and applications installed on a computer or network systems, which are not specifically required for business functionality, are disabled or removed."
IMP-01.l-L2,01.l,Level 2 (Validated),Controls for the access to diagnostic and configuration ports includes the use of a key lock. Supporting procedures to control physical access to the port is implemented including ensuring that diagnostic and configuration ports are only accessible by arrangement between the manager of the computer service and the hardware/software support personnel requiring access.
IMP-01.l-L3,01.l,Level 3 (Certified),"The organization reviews the information system within 365 days to identify and disable unnecessary and non-secure functions, ports, protocols, and/or services.
The organization disables Bluetooth and peer-to-peer networking protocols within an information system determined unnecessary or non-secure."
IMP-01.l-CMS,01.l,Level CMS,"A list of specifically needed system services, system ports, and system network protocols is maintained. A list of specifically needed system services, ports, and network protocols is documented in the security plan.
If collaborative computing is authorized, the information system provides physical disconnect of collaborative computing devices in a manner that supports ease of use."
IMP-01.l-HICP,01.l,Level HICP,"Access to network equipment is physically protected (e.g., a router must be stored in a room that is only accessible by authorized employees or contractors).
The organization disables inbound Remote Desktop Protocol (RDP) within the information system."
IMP-01.m-L1,01.m,Level 1 (Validated),"Security gateways (e.g., a firewall) are used between the internal network, external networks (Internet and third-party networks), and any demilitarized zone (DMZ). An internal network perimeter is implemented by installing a secure gateway (e.g., a firewall) between two interconnected networks to control access and information flow between the two domains. This gateway is capable of: enforcing security policies, being configured to filter traffic between these domains, and blocking unauthorized access in accordance with the organization's access control policy. Wireless networks are segregated from internal and private networks. The organization requires a firewall between any wireless network and the covered and/or confidential information systems environment."
IMP-01.m-L2,01.m,Level 2 (Validated),"Networks are divided into separate logical network domains (e.g., an organization’s internal network domains and external network domains) each protected by a defined security perimeter. Separate domains are implemented by controlling the network data flows using routing/switching capabilities, including access control lists, according to applicable flow control policies. The domains are defined based on a risk assessment and the different security requirements within each of the domains. A graduated set of controls is applied in different logical network domains to further segregate the network security environments (e.g., publicly accessible systems, internal networks; critical assets; and key information security tools, mechanisms, and support components associated with system and security administration). The organization implements subnetworks for publicly accessible system components that are logically separated from internal organizational networks. To ensure proper separation, the organization verifies any server that is visible from the Internet or an untrusted network, and if it is not required for business purposes, moves it to an internal VLAN and gives it a private address. The criteria for segregation of networks into domains is based on the access control policy and access requirements, and also takes account of the relative cost and performance impact of incorporating suitable network routing or gateway technology. Segregation of networks is based on the value and classification of information stored or processed in the network, levels of trust, or lines of business, in order to reduce the total impact of a service disruption.
Networks are segregated from production-level networks when migrating physical servers, applications, and data to virtualized servers."
IMP-01.m-CIS,01.m,Level CIS,"The organization manages the network infrastructure across network connections that are separated from the business use of that network, relying on separate VLANs or on entirely different physical connectivity for management sessions for network devices."
IMP-01.m-CMS,01.m,Level CMS,The organization partitions the information system into defined information system components (defined in the applicable security plan) residing in separate physical domains or environments based on defined circumstances (defined in the applicable security plan) for physical separation of components.
IMP-01.m-NYDOH,01.m,Level NYDOH,"The information system routes all remote accesses through a limited number of managed access control points. The organization must identify acceptable network access control points (e.g., connections standardized through the TIC initiative).
In any situation where personally identifiable information (PII) is present, PII is stored on a logical or physical partition separate from the applications and software partition."
IMP-01.m-HICP,01.m,Level HICP,"The organization segments the network based on the label or classification level of the information stored on the servers, ensuring all sensitive information is located on separated VLANs."
IMP-01.n-L1,01.n,Level 1 (Validated),"At managed interfaces, network traffic is denied by default and allowed by exception (i.e., deny all, permit by exception). The organization restricts the ability of users to connect to the internal network in accordance with the access control policy and the requirements of its business applications."
IMP-01.n-L2,01.n,Level 2 (Validated),"The connection capability of users is restricted through network gateways (e.g., a firewall) that filter traffic by means of pre-defined tables or rules. Restrictions are applied to messaging (e.g., electronic mail); file transfer (e.g., peer-to-peer, FTP); interactive access (e.g., where a user provides input to the system); and common Windows applications. Linking network access rights to certain times of day or dates is implemented. The organization limits the number of external network connections to the information system (e.g., prohibiting desktop modems) to allow for more comprehensive monitoring of inbound and outbound communications and network traffic. The organization implements a managed interface for each external telecommunication service (i.e., transmissions of data to or from other entities external to the secure site), including to other secure sites using networks or any other communications resources outside of the physical control of the secure site to transmit information. The organization establishes a traffic flow policy for each managed interface. The organization employs security controls as needed to protect the confidentiality and integrity of the information being transmitted.
Security controls are implemented to secure the transmission of sensitive information. Transmissions of sensitive information over open, public networks are encrypted."
IMP-01.n-CMS,01.n,Level CMS,"The information system routes all user-initiated internal communications traffic to untrusted external networks through authenticated proxy servers at managed interfaces.
The organization ensures NIST SP 800-46 guidelines are followed when supporting remote access (including teleworking), by defining policies and procedures for forms of permitted remote access, types of devices permissible for remote access, type of access remote users are granted, and how remote user account provisioning is handled."
IMP-01.n-NYDOH,01.n,Level NYDOH,"The organization terminates or suspends network connections (i.e., a system to system interconnection) upon issuance of an order by the CIO, CISO, or Senior Official for Privacy (SOP).
The organization: monitors for unauthorized wireless access to information systems and prohibits the installation of wireless access points (WAP) to information systems unless explicitly authorized, in writing, by the CMS CIO or his/her designated representative; establishes usage restrictions, configuration/connection requirements, and implementation guidance for wireless access; authorizes wireless access to the information system prior to allowing such connections; ensures that the CMS CIO must approve and distribute the overall wireless plan for his or her respective organization; and ensures that mobile and wireless devices, systems, and networks are not connected to wired HHS/CMS networks except through appropriate controls (e.g., VPN port) or unless specific authorization from HHS/CMS network management has been received."
IMP-01.o-L1,01.o,Level 1 (Validated),"The organization ensures that security gateways (e.g., a firewall) are used to validate source and destination addresses at internal and external network control points. The organization designs and implements network perimeters so that all outgoing network traffic to the Internet must pass through at least one application layer filtering proxy server. The application-layer filtering proxy supports decrypting network traffic, logging individual TCP sessions, blocking specific URLs, domain names, and IP addresses to implement a disallow list, or applying lists of allowed sites that can be accessed through the proxy while blocking all other sites. The organization forces outbound traffic to the Internet through an authenticated proxy server on the enterprise perimeter. Internal directory services and internal IP addresses are protected and hidden from any external access. Requirements for network routing control are based on the access control policy."
IMP-01.o-CMS,01.o,Level CMS,The organization employs mechanisms capable of either decrypting content within encrypted communications for analysis or analyzing content before transmission/after receipt.
IMP-01.o-HICP,01.o,Level HICP,"The organization disables all workstation-to-workstation communication to limit an attacker’s ability to move laterally and compromise neighboring systems, through technologies such as Private VLANs or microsegmentation.
The organization uses an advanced protection technology to detect rewritten URLs at the time a URL is accessed in email messages."
IMP-01.p-L1,01.p,Level 1 (Validated),A policy applicable to the organization’s information systems addressing account lockout after consecutive unsuccessful login attempts is documented and enforced through technical controls.
IMP-01.p-L2,01.p,Level 2 (Validated),"Secure log-on procedure: will display a general notice warning that the computer is accessed by authorized users; will limit the number of unsuccessful log-on attempts allowed to six attempts; will enforce recording unsuccessful and successful attempts; will force a time delay of 30 minutes before further log-on attempts are allowed or rejecting any further attempts without specific authorization from an administrator; and will not display the password being entered by hiding the password characters with symbols.
The procedure for logging into an operating system: is designed to minimize the opportunity for unauthorized access; discloses the minimum of information about the system, in order to avoid providing an unauthorized user with any unnecessary assistance; limits the number of unsuccessful log-on attempts allowed to three attempts; disconnects data link connections; sends an alarm message to the system console if the maximum number of log-on attempts is reached; sets the number of password retries in conjunction with the minimum length of the password and the value of the system being protected; limits the maximum and minimum time allowed for the log-on procedure, if exceeded, the system terminates the log-on; does not transmit usernames and passwords in clear text over the network; does not display system or application identifiers until the log-on process has been successfully completed; does not provide help messages during the log-on procedure that would aid an unauthorized user; and validates the log-on information only on completion of all input data. If an error condition arises during logons to an operating system, the system does not indicate which part of the data is correct or incorrect."
IMP-01.p-L3,01.p,Level 3 (Certified),The organization configures the information system to lock out the user account automatically after three failed log-on attempts by a user during a one hour time period and requires the information system lock out to persist for a minimum of three hours. The number of concurrent sessions is limited to a specified number for all account types defined by the organization.
IMP-01.p-CIS,01.p,Level CIS,"The information system purges/wipes information from organization-defined mobile devices based on organization-defined purging/wiping requirements/techniques after three consecutive, unsuccessful device logon attempts.
The information system enforces automatic device lockout following a predetermined threshold of local failed authentication attempts on mobile devices, where supported. For laptops, allow no more than 20 failed authentication attempts. For tablets and smartphones, allow no more than 10 failed authentication attempts."
IMP-01.p-CMS,01.p,Level CMS,"The organization configures the information system to lock out the user account automatically after three invalid login attempts during a 120-minute time window and requires the lock out to persist until released by an administrator.
The organization configures the information system to lock out the user account automatically after three invalid login attempts through either a local or network connection during a 15-minute time window and requires the lock out to persist for a minimum of 30 minutes or until released by an administrator."
