control_id,requirement_id
01.q,IMP-01.q-L2
01.q,IMP-01.q-L3
01.q,IMP-01.q-CIS
01.q,IMP-01.q-CMS
01.q,IMP-01.q-HIX
01.q,IMP-01.q-PCI
01.q,IMP-01.q-NYDOH
01.q,IMP-01.q-HICP
01.r,IMP-01.r-L1
01.r,IMP-01.r-L2
01.s,IMP-01.s-L1
01.s,IMP-01.s-L2
01.t,IMP-01.t-L1
01.t,IMP-01.t-L2
01.t,IMP-01.t-CIS
01.t,IMP-01.t-CMS
01.t,IMP-01.t-HIX
01.t,IMP-01.t-NYDOH
01.u,IMP-01.u-L1
01.v,IMP-01.v-L1
01.v,IMP-01.v-L2
01.v,IMP-01.v-L3
01.v,IMP-01.v-CMS
01.v,IMP-01.v-PCI
01.v,IMP-01.v-NYDOH
01.w,IMP-01.w-L1
01.w,IMP-01.w-L2
01.w,IMP-01.w-L3
01.w,IMP-01.w-CMS
01.x,IMP-01.x-L1
01.x,IMP-01.x-L2
01.x,IMP-01.x-CIS
01.x,IMP-01.x-CMS
01.x,IMP-01.x-HIX
01.x,IMP-01.x-NYDOH
01.y,IMP-01.y-L1
01.y,IMP-01.y-L2
01.y,IMP-01.y-L3
02.a,IMP-02.a-L1
02.a,IMP-02.a-L2
02.a,IMP-02.a-DGF
02.b,IMP-02.b-L1
02.b,IMP-02.b-L2
02.b,IMP-02.b-L3
02.b,IMP-02.b-CMS
02.b,IMP-02.b-NYDOH
02.c,IMP-02.c-L1
02.c,IMP-02.c-L2
02.c,IMP-02.c-CMS
02.c,IMP-02.c-NIS2
02.d,IMP-02.d-L1
02.d,IMP-02.d-L2
02.d,IMP-02.d-CMS
02.d,IMP-02.d-DGF
02.e,IMP-02.e-L1
02.e,IMP-02.e-L2
02.e,IMP-02.e-L3
02.e,IMP-02.e-CIS
02.e,IMP-02.e-CMS
02.e,IMP-02.e-Federal
02.e,IMP-02.e-PCI
02.e,IMP-02.e-NYDOH
02.e,IMP-02.e-DGF
02.f,IMP-02.f-L1
02.f,IMP-02.f-L2
02.f,IMP-02.f-HIPAA
02.f,IMP-02.f-NIS2
02.g,IMP-02.g-L1
02.g,IMP-02.g-L2
02.g,IMP-02.g-L3
02.g,IMP-02.g-CMS
02.h,IMP-02.h-L1
02.i,IMP-02.i-L1
02.i,IMP-02.i-L2
02.i,IMP-02.i-L3
02.i,IMP-02.i-CMS
02.i,IMP-02.i-PHIPA
03.a,IMP-03.a-L1
03.a,IMP-03.a-L2
03.a,IMP-03.a-L3
03.a,IMP-03.a-CMS
03.a,IMP-03.a-NYDOH
03.b,IMP-03.b-L1
03.b,IMP-03.b-L2
03.b,IMP-03.b-CMS
03.b,IMP-03.b-GDPR
03.b,IMP-03.b-HIX
03.b,IMP-03.b-PCI
03.b,IMP-03.b-HIPAA
03.b,IMP-03.b-NYDOH
03.b,IMP-03.b-DGF
03.c,IMP-03.c-L1
03.c,IMP-03.c-L2
03.c,IMP-03.c-CMS
03.c,IMP-03.c-HIX
03.d,IMP-03.d-L1
03.d,IMP-03.d-L2
04.a,IMP-04.a-L1
04.a,IMP-04.a-L2
04.a,IMP-04.a-CMS
04.a,IMP-04.a-PCI
04.a,IMP-04.a-NYDOH
04.a,IMP-04.a-DGF
04.b,IMP-04.b-L1
04.b,IMP-04.b-L2
04.b,IMP-04.b-L3
04.b,IMP-04.b-CMS
04.b,IMP-04.b-DGF
05.a,IMP-05.a-L1
05.a,IMP-05.a-L2
05.a,IMP-05.a-L3
05.a,IMP-05.a-PCI
05.a,IMP-05.a-DGF
05.b,IMP-05.b-L1
05.b,IMP-05.b-L2
05.b,IMP-05.b-L3
05.b,IMP-05.b-CMS
05.b,IMP-05.b-NYDOH
05.b,IMP-05.b-DGF
05.c,IMP-05.c-L1
05.c,IMP-05.c-L2
05.c,IMP-05.c-L3
05.c,IMP-05.c-DGF
05.d,IMP-05.d-L1
05.d,IMP-05.d-L2
05.d,IMP-05.d-L3
05.d,IMP-05.d-CMS
05.d,IMP-05.d-HIX
05.d,IMP-05.d-NYDOH
05.e,IMP-05.e-L1
05.e,IMP-05.e-L2
05.e,IMP-05.e-HIE
05.f,IMP-05.f-L1
05.f,IMP-05.f-L2
05.f,IMP-05.f-L3
05.g,IMP-05.g-L1
05.g,IMP-05.g-L2
05.g,IMP-05.g-CMS
05.g,IMP-05.g-HIX
05.h,IMP-05.h-L1
05.h,IMP-05.h-L2
05.h,IMP-05.h-NYDOH
05.i,IMP-05.i-L1
05.i,IMP-05.i-L2
05.i,IMP-05.i-L3
05.i,IMP-05.i-NYDOH
05.j,IMP-05.j-L1
05.j,IMP-05.j-L2
05.j,IMP-05.j-CMS
05.k,IMP-05.k-L1
05.k,IMP-05.k-L2
05.k,IMP-05.k-GDPR
05.k,IMP-05.k-HIE
05.k,IMP-05.k-PCI
05.k,IMP-05.k-NIS2
06.a,IMP-06.a-L1
06.a,IMP-06.a-L2
06.b,IMP-06.b-L1
06.b,IMP-06.b-L2
06.b,IMP-06.b-L3
06.c,IMP-06.c-L1
06.c,IMP-06.c-L2
06.c,IMP-06.c-CMS
06.c,IMP-06.c-HIPAA
06.c,IMP-06.c-NYDOH
06.d,IMP-06.d-L1
06.d,IMP-06.d-L2
06.d,IMP-06.d-CIS
06.d,IMP-06.d-CMS
06.d,IMP-06.d-GDPR
06.d,IMP-06.d-PCI
06.d,IMP-06.d-HIPAA
06.d,IMP-06.d-NYDOH
06.e,IMP-06.e-L1
06.e,IMP-06.e-L2
06.e,IMP-06.e-CMS
06.e,IMP-06.e-NYDOH
06.f,IMP-06.f-L1
06.f,IMP-06.f-L2
06.f,IMP-06.f-CMS
06.f,IMP-06.f-NYDOH
06.g,IMP-06.g-L1
06.g,IMP-06.g-L2
06.g,IMP-06.g-CMS
06.g,IMP-06.g-PCI
06.g,IMP-06.g-NYDOH
06.h,IMP-06.h-L1
06.h,IMP-06.h-L2
06.h,IMP-06.h-CIS
06.h,IMP-06.h-CMS
06.h,IMP-06.h-NYDOH
06.h,IMP-06.h-DGF
06.i,IMP-06.i-L1
06.i,IMP-06.i-L2
06.i,IMP-06.i-CMS
06.i,IMP-06.i-NYDOH
06.j,IMP-06.j-L1
06.j,IMP-06.j-L2
06.j,IMP-06.j-NYDOH
07.a,IMP-07.a-L1
07.a,IMP-07.a-L2
07.a,IMP-07.a-L3
07.a,IMP-07.a-CIS
07.a,IMP-07.a-CMS
07.a,IMP-07.a-PCI
07.a,IMP-07.a-NYDOH
07.a,IMP-07.a-HICP
07.b,IMP-07.b-L1
07.b,IMP-07.b-L2
07.c,IMP-07.c-L1
07.c,IMP-07.c-CMS
07.d,IMP-07.d-L1
07.d,IMP-07.d-L2
07.d,IMP-07.d-CMS
07.e,IMP-07.e-L1
07.e,IMP-07.e-L2
07.e,IMP-07.e-L3
07.e,IMP-07.e-NYDOH
08.a,IMP-08.a-L1
08.a,IMP-08.a-L2
08.a,IMP-08.a-L3
08.b,IMP-08.b-L1
08.b,IMP-08.b-L2
08.b,IMP-08.b-L3
08.b,IMP-08.b-CMS
08.b,IMP-08.b-HIX
08.b,IMP-08.b-PCI
08.b,IMP-08.b-NYDOH
08.c,IMP-08.c-L1
08.c,IMP-08.c-L2
08.d,IMP-08.d-L1
08.d,IMP-08.d-L2
08.d,IMP-08.d-L3
08.d,IMP-08.d-CMS
08.d,IMP-08.d-HIX
08.e,IMP-08.e-L1
08.e,IMP-08.e-L2
08.f,IMP-08.f-L1
08.f,IMP-08.f-L2
08.g,IMP-08.g-L1
08.g,IMP-08.g-L2
08.g,IMP-08.g-PCI
08.h,IMP-08.h-L1
08.h,IMP-08.h-L2
08.h,IMP-08.h-L3
08.h,IMP-08.h-CMS
08.i,IMP-08.i-L1
08.i,IMP-08.i-L2
08.i,IMP-08.i-L3
08.j,IMP-08.j-L1
08.j,IMP-08.j-L2
08.j,IMP-08.j-L3
08.j,IMP-08.j-CMS
08.j,IMP-08.j-HIX
08.j,IMP-08.j-NYDOH
08.k,IMP-08.k-L1
08.k,IMP-08.k-L2
08.l,IMP-08.l-L1
08.l,IMP-08.l-L2
08.l,IMP-08.l-NYDOH
08.m,IMP-08.m-L1
08.m,IMP-08.m-L2
09.a,IMP-09.a-L1
09.a,IMP-09.a-L2
09.a,IMP-09.a-PCI
09.b,IMP-09.b-L1
09.b,IMP-09.b-L2
09.b,IMP-09.b-NYDOH
09.b,IMP-09.b-DGF
09.b,IMP-09.b-NIS2
09.c,IMP-09.c-L1
09.c,IMP-09.c-L2
09.c,IMP-09.c-L3
09.d,IMP-09.d-L1
09.d,IMP-09.d-L2
09.d,IMP-09.d-CMS
09.e,IMP-09.e-L1
09.e,IMP-09.e-L2
09.e,IMP-09.e-CMS
09.e,IMP-09.e-NYDOH
09.f,IMP-09.f-L1
09.f,IMP-09.f-L2
09.f,IMP-09.f-L3
09.f,IMP-09.f-CMS
09.g,IMP-09.g-L1
09.g,IMP-09.g-L2
09.h,IMP-09.h-L1
09.h,IMP-09.h-L2
09.h,IMP-09.h-CIS
09.h,IMP-09.h-CMS
09.i,IMP-09.i-L1
09.i,IMP-09.i-L2
09.i,IMP-09.i-CMS
09.i,IMP-09.i-HIX
09.j,IMP-09.j-L1
09.j,IMP-09.j-L2
09.j,IMP-09.j-CIS
09.j,IMP-09.j-CMS
09.j,IMP-09.j-NYDOH
09.j,IMP-09.j-HICP
09.k,IMP-09.k-L1
09.k,IMP-09.k-L2
09.k,IMP-09.k-NYDOH
09.l,IMP-09.l-L1
09.l,IMP-09.l-L2
09.l,IMP-09.l-L3
09.l,IMP-09.l-CMS
09.l,IMP-09.l-HIX
09.l,IMP-09.l-PCI
09.l,IMP-09.l-NYDOH
09.m,IMP-09.m-L1
09.m,IMP-09.m-L2
09.m,IMP-09.m-L3
09.m,IMP-09.m-CIS
09.m,IMP-09.m-CMS
09.m,IMP-09.m-PCI
09.m,IMP-09.m-NYDOH
09.m,IMP-09.m-HICP
09.n,IMP-09.n-L1
09.n,IMP-09.n-L2
09.n,IMP-09.n-CMS
09.o,IMP-09.o-L1
09.o,IMP-09.o-L2
09.o,IMP-09.o-CMS
09.o,IMP-09.o-NYDOH
09.p,IMP-09.p-L1
09.p,IMP-09.p-L2
09.p,IMP-09.p-CMS
09.p,IMP-09.p-NYDOH
09.q,IMP-09.q-L1
09.q,IMP-09.q-L2
09.q,IMP-09.q-L3
09.q,IMP-09.q-CMS
09.q,IMP-09.q-HIX
09.q,IMP-09.q-PCI
09.q,IMP-09.q-NYDOH
09.r,IMP-09.r-L1
09.r,IMP-09.r-L2
09.s,IMP-09.s-L1
09.s,IMP-09.s-L2
09.s,IMP-09.s-CMS
09.s,IMP-09.s-GDPR
09.s,IMP-09.s-HIX
09.s,IMP-09.s-NYDOH
09.t,IMP-09.t-L1
09.t,IMP-09.t-NYDOH
09.u,IMP-09.u-L1
09.u,IMP-09.u-L2
09.v,IMP-09.v-L1
09.v,IMP-09.v-L2
09.v,IMP-09.v-HICP
09.w,IMP-09.w-L1
09.w,IMP-09.w-L2
09.x,IMP-09.x-L1
09.x,IMP-09.x-L2
09.x,IMP-09.x-CMS
09.y,IMP-09.y-L1
09.y,IMP-09.y-L2
09.y,IMP-09.y-L3
09.z,IMP-09.z-L1
09.z,IMP-09.z-L2
09.z,IMP-09.z-L3
09.aa,IMP-09.aa-L1
09.aa,IMP-09.aa-L2
09.aa,IMP-09.aa-L3
09.aa,IMP-09.aa-CIS
09.aa,IMP-09.aa-CMS
09.aa,IMP-09.aa-HIX
09.aa,IMP-09.aa-NYDOH
09.aa,IMP-09.aa-PHIPA
09.ab,IMP-09.ab-L1
09.ab,IMP-09.ab-L2
09.ab,IMP-09.ab-L3
09.ab,IMP-09.ab-CMS
09.ab,IMP-09.ab-HIX
09.ab,IMP-09.ab-PCI
09.ab,IMP-09.ab-NYDOH
09.ab,IMP-09.ab-HICP
09.ac,IMP-09.ac-L1
09.ac,IMP-09.ac-L2
09.ac,IMP-09.ac-L3
09.ac,IMP-09.ac-CMS
09.ac,IMP-09.ac-NYDOH
09.ad,IMP-09.ad-L1
09.ad,IMP-09.ad-L2
09.ae,IMP-09.ae-L1
09.ae,IMP-09.ae-L2
09.af,IMP-09.af-L1
09.af,IMP-09.af-L2
09.af,IMP-09.af-CMS
10.a,IMP-10.a-L1
10.a,IMP-10.a-L2
10.a,IMP-10.a-L3
10.a,IMP-10.a-CMS
10.a,IMP-10.a-NYDOH
10.a,IMP-10.a-HICP
10.b,IMP-10.b-L1
10.b,IMP-10.b-L2
10.b,IMP-10.b-L3
10.c,IMP-10.c-L1
10.c,IMP-10.c-L2
10.c,IMP-10.c-CMS
10.c,IMP-10.c-HICP
10.d,IMP-10.d-L1
10.d,IMP-10.d-L2
10.d,IMP-10.d-HICP
10.e,IMP-10.e-L1
10.f,IMP-10.f-L1
10.f,IMP-10.f-L2
10.f,IMP-10.f-PCI
10.f,IMP-10.f-NYDOH
10.g,IMP-10.g-L1
10.g,IMP-10.g-L2
10.g,IMP-10.g-CMS
10.g,IMP-10.g-PCI
10.g,IMP-10.g-NIS2
10.h,IMP-10.h-L1
10.h,IMP-10.h-L2
10.h,IMP-10.h-L3
10.h,IMP-10.h-CIS
10.h,IMP-10.h-CMS
10.h,IMP-10.h-NYDOH
10.i,IMP-10.i-L1
10.i,IMP-10.i-L2
10.i,IMP-10.i-PCI
10.i,IMP-10.i-NYDOH
10.j,IMP-10.j-L1
10.j,IMP-10.j-L2
10.k,IMP-10.k-L1
10.k,IMP-10.k-L2
10.k,IMP-10.k-L3
10.k,IMP-10.k-CMS
10.k,IMP-10.k-HIX
10.k,IMP-10.k-PCI
10.k,IMP-10.k-NYDOH
10.l,IMP-10.l-L1
10.l,IMP-10.l-L2
10.l,IMP-10.l-CMS
10.m,IMP-10.m-L1
10.m,IMP-10.m-L2
10.m,IMP-10.m-L3
10.m,IMP-10.m-CIS
10.m,IMP-10.m-CMS
10.m,IMP-10.m-HIX
10.m,IMP-10.m-PCI
10.m,IMP-10.m-NYDOH
10.m,IMP-10.m-HICP
10.m,IMP-10.m-NIS2
11.a,IMP-11.a-L1
11.a,IMP-11.a-L2
11.a,IMP-11.a-L3
11.a,IMP-11.a-CMS
11.a,IMP-11.a-GDPR
11.a,IMP-11.a-HIX
11.a,IMP-11.a-PCI
11.a,IMP-11.a-HIPAA
11.a,IMP-11.a-CCPA
11.a,IMP-11.a-NYDOH
11.a,IMP-11.a-PHIPA
11.b,IMP-11.b-L1
11.c,IMP-11.c-L1
11.c,IMP-11.c-L2
11.c,IMP-11.c-L3
11.c,IMP-11.c-CIS
11.c,IMP-11.c-CMS
11.c,IMP-11.c-PCI
11.c,IMP-11.c-HIPAA
11.c,IMP-11.c-NYDOH
11.c,IMP-11.c-HICP
11.d,IMP-11.d-L1
11.d,IMP-11.d-L2
11.d,IMP-11.d-CMS
11.d,IMP-11.d-NIS2
11.e,IMP-11.e-L1
11.e,IMP-11.e-L2
11.e,IMP-11.e-NYDOH
12.a,IMP-12.a-L1
12.a,IMP-12.a-L2
12.a,IMP-12.a-HIPAA
12.b,IMP-12.b-L1
12.b,IMP-12.b-L2
12.c,IMP-12.c-L1
12.c,IMP-12.c-L2
12.c,IMP-12.c-L3
12.c,IMP-12.c-CMS
12.c,IMP-12.c-HIX
12.c,IMP-12.c-NYDOH
12.d,IMP-12.d-L1
12.d,IMP-12.d-L2
12.d,IMP-12.d-L3
12.e,IMP-12.e-L1
12.e,IMP-12.e-L2
12.e,IMP-12.e-L3
12.e,IMP-12.e-CMS
12.e,IMP-12.e-NYDOH
13.a,IMP-13.a-L1
13.a,IMP-13.a-L2
13.a,IMP-13.a-CMS
13.a,IMP-13.a-GDPR
13.a,IMP-13.a-HIPAA
13.a,IMP-13.a-PHIPA
13.b,IMP-13.b-L1
13.b,IMP-13.b-L2
13.b,IMP-13.b-GDPR
13.b,IMP-13.b-HIPAA
13.b,IMP-13.b-CCPA
13.b,IMP-13.b-PHIPA
13.c,IMP-13.c-L1
13.c,IMP-13.c-CMS
13.c,IMP-13.c-HIPAA
13.d,IMP-13.d-L1
13.d,IMP-13.d-L2
13.d,IMP-13.d-GDPR
13.d,IMP-13.d-HIPAA
13.d,IMP-13.d-CCPA
13.d,IMP-13.d-NYDOH
13.d,IMP-13.d-PHIPA
13.e,IMP-13.e-L1
13.e,IMP-13.e-GDPR
13.e,IMP-13.e-HIPAA
13.e,IMP-13.e-CCPA
13.e,IMP-13.e-NYDOH
13.e,IMP-13.e-PHIPA
13.f,IMP-13.f-L1
13.f,IMP-13.f-GDPR
13.f,IMP-13.f-HIPAA
13.f,IMP-13.f-CCPA
13.f,IMP-13.f-PHIPA
13.g,IMP-13.g-L1
13.g,IMP-13.g-GDPR
13.h,IMP-13.h-L1
13.h,IMP-13.h-CMS
13.i,IMP-13.i-L1
13.i,IMP-13.i-GDPR
13.i,IMP-13.i-PHIPA
13.j,IMP-13.j-L1
13.j,IMP-13.j-L2
13.j,IMP-13.j-GDPR
13.j,IMP-13.j-HIPAA
13.j,IMP-13.j-PHIPA
13.k,IMP-13.k-L1
13.k,IMP-13.k-L2
13.k,IMP-13.k-L3
13.k,IMP-13.k-Federal
13.k,IMP-13.k-GDPR
13.k,IMP-13.k-HIPAA
13.k,IMP-13.k-PHIPA
13.l,IMP-13.l-L1
13.l,IMP-13.l-L3
13.l,IMP-13.l-CMS
13.l,IMP-13.l-GLBA
13.m,IMP-13.m-L1
13.m,IMP-13.m-L2
13.m,IMP-13.m-CMS
13.m,IMP-13.m-PHIPA
13.n,IMP-13.n-L1
13.n,IMP-13.n-GDPR
13.o,IMP-13.o-L1
13.o,IMP-13.o-L2
13.o,IMP-13.o-CMS
13.o,IMP-13.o-HIPAA
13.o,IMP-13.o-NYDOH
13.o,IMP-13.o-PHIPA
13.p,IMP-13.p-L1
13.p,IMP-13.p-CMS
13.p,IMP-13.p-GDPR
13.p,IMP-13.p-PHIPA
13.q,IMP-13.q-L1
13.q,IMP-13.q-CMS
13.q,IMP-13.q-GDPR
13.r,IMP-13.r-L1
13.r,IMP-13.r-GDPR
13.r,IMP-13.r-HIPAA
13.r,IMP-13.r-NYDOH
13.s,IMP-13.s-L1
13.t,IMP-13.t-L1
13.t,IMP-13.t-CMS
13.t,IMP-13.t-CCPA
13.t,IMP-13.t-NYDOH
13.u,IMP-13.u-L1
13.u,IMP-13.u-L2
13.u,IMP-13.u-PHIPA
