control_id,requirement_id,assurance_level
01.n,IMP-01.n-L1,Level 1 (Validated)
01.n,IMP-01.n-L2,Level 2 (Validated)
01.n,IMP-01.n-CMS,Level CMS
01.n,IMP-01.n-NYDOH,Level NYDOH
01.o,IMP-01.o-L1,Level 1 (Validated)
01.o,IMP-01.o-CMS,Level CMS
01.o,IMP-01.o-HICP,Level HICP
01.p,IMP-01.p-L1,Level 1 (Validated)
01.p,IMP-01.p-L2,Level 2 (Validated)
01.p,IMP-01.p-L3,Level 3 (Certified)
01.p,IMP-01.p-CIS,Level CIS
01.p,IMP-01.p-CMS,Level CMS
01.q,IMP-01.q-L1,Level 1 (Validated)
01.q,IMP-01.q-L2,Level 2 (Validated)
01.q,IMP-01.q-L3,Level 3 (Certified)
01.q,IMP-01.q-CIS,Level CIS
01.q,IMP-01.q-CMS,Level CMS
01.q,IMP-01.q-HIX,Level HIX
01.q,IMP-01.q-PCI,Level PCI
01.q,IMP-01.q-NYDOH,Level NYDOH
01.q,IMP-01.q-HICP,Level HICP
01.r,IMP-01.r-L1,Level 1 (Validated)
01.r,IMP-01.r-L2,Level 2 (Validated)
01.s,IMP-01.s-L1,Level 1 (Validated)
01.s,IMP-01.s-L2,Level 2 (Validated)
01.t,IMP-01.t-L1,Level 1 (Validated)
01.t,IMP-01.t-L2,Level 2 (Validated)
01.t,IMP-01.t-CIS,Level CIS
01.t,IMP-01.t-CMS,Level CMS
01.t,IMP-01.t-HIX,Level HIX
01.t,IMP-01.t-NYDOH,Level NYDOH
01.u,IMP-01.u-L1,Level 1 (Validated)
01.v,IMP-01.v-L1,Level 1 (Validated)
01.v,IMP-01.v-L2,Level 2 (Validated)
01.v,IMP-01.v-L3,Level 3 (Certified)
01.v,IMP-01.v-CMS,Level CMS
01.v,IMP-01.v-PCI,Level PCI
01.v,IMP-01.v-NYDOH,Level NYDOH
01.w,IMP-01.w-L1,Level 1 (Validated)
01.w,IMP-01.w-L2,Level 2 (Validated)
01.w,IMP-01.w-L3,Level 3 (Certified)
01.w,IMP-01.w-CMS,Level CMS
01.x,IMP-01.x-L1,Level 1 (Validated)
01.x,IMP-01.x-L2,Level 2 (Validated)
01.x,IMP-01.x-CIS,Level CIS
01.x,IMP-01.x-CMS,Level CMS
01.x,IMP-01.x-HIX,Level HIX
01.x,IMP-01.x-NYDOH,Level NYDOH
01.y,IMP-01.y-L1,Level 1 (Validated)
01.y,IMP-01.y-L2,Level 2 (Validated)
01.y,IMP-01.y-L3,Level 3 (Certified)
02.a,IMP-02.a-L1,Level 1 (Validated)
02.a,IMP-02.a-L2,Level 2 (Validated)
02.a,IMP-02.a-DGF,Level DGF
02.b,IMP-02.b-L1,Level 1 (Validated)
02.b,IMP-02.b-L2,Level 2 (Validated)
02.b,IMP-02.b-L3,Level 3 (Certified)
02.b,IMP-02.b-CMS,Level CMS
02.b,IMP-02.b-NYDOH,Level NYDOH
02.c,IMP-02.c-L1,Level 1 (Validated)
02.c,IMP-02.c-L2,Level 2 (Validated)
02.c,IMP-02.c-CMS,Level CMS
02.c,IMP-02.c-NIS2,Level NIS2
02.d,IMP-02.d-L1,Level 1 (Validated)
02.d,IMP-02.d-L2,Level 2 (Validated)
02.d,IMP-02.d-CMS,Level CMS
02.d,IMP-02.d-DGF,Level DGF
02.e,IMP-02.e-L1,Level 1 (Validated)
02.e,IMP-02.e-L2,Level 2 (Validated)
02.e,IMP-02.e-L3,Level 3 (Certified)
02.e,IMP-02.e-CIS,Level CIS
02.e,IMP-02.e-CMS,Level CMS
02.e,IMP-02.e-Federal,Level Federal
02.e,IMP-02.e-PCI,Level PCI
02.e,IMP-02.e-NYDOH,Level NYDOH
02.e,IMP-02.e-DGF,Level DGF
02.f,IMP-02.f-L1,Level 1 (Validated)
02.f,IMP-02.f-L2,Level 2 (Validated)
02.f,IMP-02.f-HIPAA,Level HIPAA
02.f,IMP-02.f-NIS2,Level NIS2
02.g,IMP-02.g-L1,Level 1 (Validated)
02.g,IMP-02.g-L2,Level 2 (Validated)
02.g,IMP-02.g-L3,Level 3 (Certified)
02.g,IMP-02.g-CMS,Level CMS
02.h,IMP-02.h-L1,Level 1 (Validated)
02.i,IMP-02.i-L1,Level 1 (Validated)
02.i,IMP-02.i-L2,Level 2 (Validated)
02.i,IMP-02.i-L3,Level 3 (Certified)
02.i,IMP-02.i-CMS,Level CMS
02.i,IMP-02.i-PHIPA,Level PHIPA
03.a,IMP-03.a-L1,Level 1 (Validated)
03.a,IMP-03.a-L2,Level 2 (Validated)
03.a,IMP-03.a-L3,Level 3 (Certified)
03.a,IMP-03.a-CMS,Level CMS
03.a,IMP-03.a-NYDOH,Level NYDOH
03.b,IMP-03.b-L1,Level 1 (Validated)
03.b,IMP-03.b-L2,Level 2 (Validated)
03.b,IMP-03.b-CMS,Level CMS
03.b,IMP-03.b-GDPR,Level GDPR
03.b,IMP-03.b-HIX,Level HIX
03.b,IMP-03.b-PCI,Level PCI
03.b,IMP-03.b-HIPAA,Level HIPAA
03.b,IMP-03.b-NYDOH,Level NYDOH
03.b,IMP-03.b-DGF,Level DGF
03.c,IMP-03.c-L1,Level 1 (Validated)
03.c,IMP-03.c-L2,Level 2 (Validated)
03.c,IMP-03.c-CMS,Level CMS
03.c,IMP-03.c-HIX,Level HIX
03.d,IMP-03.d-L1,Level 1 (Validated)
03.d,IMP-03.d-L2,Level 2 (Validated)
04.a,IMP-04.a-L1,Level 1 (Validated)
04.a,IMP-04.a-L2,Level 2 (Validated)
04.a,IMP-04.a-CMS,Level CMS
04.a,IMP-04.a-PCI,Level PCI
04.a,IMP-04.a-NYDOH,Level NYDOH
04.a,IMP-04.a-DGF,Level DGF
04.b,IMP-04.b-L1,Level 1 (Validated)
04.b,IMP-04.b-L2,Level 2 (Validated)
04.b,IMP-04.b-L3,Level 3 (Certified)
04.b,IMP-04.b-CMS,Level CMS
04.b,IMP-04.b-DGF,Level DGF
05.a,IMP-05.a-L1,Level 1 (Validated)
05.a,IMP-05.a-L2,Level 2 (Validated)
05.a,IMP-05.a-L3,Level 3 (Certified)
05.a,IMP-05.a-PCI,Level PCI
05.a,IMP-05.a-DGF,Level DGF
05.b,IMP-05.b-L1,Level 1 (Validated)
05.b,IMP-05.b-L2,Level 2 (Validated)
05.b,IMP-05.b-L3,Level 3 (Certified)
05.b,IMP-05.b-CMS,Level CMS
05.b,IMP-05.b-NYDOH,Level NYDOH
05.b,IMP-05.b-DGF,Level DGF
05.c,IMP-05.c-L1,Level 1 (Validated)
05.c,IMP-05.c-L2,Level 2 (Validated)
05.c,IMP-05.c-L3,Level 3 (Certified)
05.c,IMP-05.c-DGF,Level DGF
05.d,IMP-05.d-L1,Level 1 (Validated)
05.d,IMP-05.d-L2,Level 2 (Validated)
05.d,IMP-05.d-L3,Level 3 (Certified)
05.d,IMP-05.d-CMS,Level CMS
05.d,IMP-05.d-HIX,Level HIX
05.d,IMP-05.d-NYDOH,Level NYDOH
05.e,IMP-05.e-L1,Level 1 (Validated)
05.e,IMP-05.e-L2,Level 2 (Validated)
05.e,IMP-05.e-HIE,Level HIE
05.f,IMP-05.f-L1,Level 1 (Validated)
05.f,IMP-05.f-L2,Level 2 (Validated)
05.f,IMP-05.f-L3,Level 3 (Certified)
05.g,IMP-05.g-L1,Level 1 (Validated)
05.g,IMP-05.g-L2,Level 2 (Validated)
05.g,IMP-05.g-CMS,Level CMS
05.g,IMP-05.g-HIX,Level HIX
05.h,IMP-05.h-L1,Level 1 (Validated)
05.h,IMP-05.h-L2,Level 2 (Validated)
05.h,IMP-05.h-NYDOH,Level NYDOH
05.i,IMP-05.i-L1,Level 1 (Validated)
05.i,IMP-05.i-L2,Level 2 (Validated)
05.i,IMP-05.i-L3,Level 3 (Certified)
05.i,IMP-05.i-NYDOH,Level NYDOH
05.j,IMP-05.j-L1,Level 1 (Validated)
05.j,IMP-05.j-L2,Level 2 (Validated)
05.j,IMP-05.j-CMS,Level CMS
05.k,IMP-05.k-L1,Level 1 (Validated)
05.k,IMP-05.k-L2,Level 2 (Validated)
05.k,IMP-05.k-GDPR,Level GDPR
05.k,IMP-05.k-HIE,Level HIE
05.k,IMP-05.k-PCI,Level PCI
05.k,IMP-05.k-NIS2,Level NIS2
06.a,IMP-06.a-L1,Level 1 (Validated)
06.a,IMP-06.a-L2,Level 2 (Validated)
06.b,IMP-06.b-L1,Level 1 (Validated)
06.b,IMP-06.b-L2,Level 2 (Validated)
06.b,IMP-06.b-L3,Level 3 (Certified)
06.c,IMP-06.c-L1,Level 1 (Validated)
06.c,IMP-06.c-L2,Level 2 (Validated)
06.c,IMP-06.c-CMS,Level CMS
06.c,IMP-06.c-HIPAA,Level HIPAA
06.c,IMP-06.c-NYDOH,Level NYDOH
06.d,IMP-06.d-L1,Level 1 (Validated)
06.d,IMP-06.d-L2,Level 2 (Validated)
06.d,IMP-06.d-CIS,Level CIS
06.d,IMP-06.d-CMS,Level CMS
06.d,IMP-06.d-GDPR,Level GDPR
06.d,IMP-06.d-PCI,Level PCI
06.d,IMP-06.d-HIPAA,Level HIPAA
06.d,IMP-06.d-NYDOH,Level NYDOH
06.e,IMP-06.e-L1,Level 1 (Validated)
06.e,IMP-06.e-L2,Level 2 (Validated)
06.e,IMP-06.e-CMS,Level CMS
06.e,IMP-06.e-NYDOH,Level NYDOH
06.f,IMP-06.f-L1,Level 1 (Validated)
06.f,IMP-06.f-L2,Level 2 (Validated)
06.f,IMP-06.f-CMS,Level CMS
06.f,IMP-06.f-NYDOH,Level NYDOH
06.g,IMP-06.g-L1,Level 1 (Validated)
06.g,IMP-06.g-L2,Level 2 (Validated)
06.g,IMP-06.g-CMS,Level CMS
06.g,IMP-06.g-PCI,Level PCI
06.g,IMP-06.g-NYDOH,Level NYDOH
06.h,IMP-06.h-L1,Level 1 (Validated)
06.h,IMP-06.h-L2,Level 2 (Validated)
06.h,IMP-06.h-CIS,Level CIS
06.h,IMP-06.h-CMS,Level CMS
06.h,IMP-06.h-NYDOH,Level NYDOH
06.h,IMP-06.h-DGF,Level DGF
06.i,IMP-06.i-L1,Level 1 (Validated)
06.i,IMP-06.i-L2,Level 2 (Validated)
06.i,IMP-06.i-CMS,Level CMS
06.i,IMP-06.i-NYDOH,Level NYDOH
06.j,IMP-06.j-L1,Level 1 (Validated)
06.j,IMP-06.j-L2,Level 2 (Validated)
06.j,IMP-06.j-NYDOH,Level NYDOH
07.a,IMP-07.a-L1,Level 1 (Validated)
07.a,IMP-07.a-L2,Level 2 (Validated)
07.a,IMP-07.a-L3,Level 3 (Certified)
07.a,IMP-07.a-CIS,Level CIS
07.a,IMP-07.a-CMS,Level CMS
07.a,IMP-07.a-PCI,Level PCI
07.a,IMP-07.a-NYDOH,Level NYDOH
07.a,IMP-07.a-HICP,Level HICP
07.b,IMP-07.b-L1,Level 1 (Validated)
07.b,IMP-07.b-L2,Level 2 (Validated)
07.c,IMP-07.c-L1,Level 1 (Validated)
07.c,IMP-07.c-CMS,Level CMS
07.d,IMP-07.d-L1,Level 1 (Validated)
07.d,IMP-07.d-L2,Level 2 (Validated)
07.d,IMP-07.d-CMS,Level CMS
07.e,IMP-07.e-L1,Level 1 (Validated)
07.e,IMP-07.e-L2,Level 2 (Validated)
07.e,IMP-07.e-L3,Level 3 (Certified)
07.e,IMP-07.e-NYDOH,Level NYDOH
08.a,IMP-08.a-L1,Level 1 (Validated)
08.a,IMP-08.a-L2,Level 2 (Validated)
08.a,IMP-08.a-L3,Level 3 (Certified)
08.b,IMP-08.b-L1,Level 1 (Validated)
08.b,IMP-08.b-L2,Level 2 (Validated)
08.b,IMP-08.b-L3,Level 3 (Certified)
08.b,IMP-08.b-CMS,Level CMS
08.b,IMP-08.b-HIX,Level HIX
08.b,IMP-08.b-PCI,Level PCI
08.b,IMP-08.b-NYDOH,Level NYDOH
08.c,IMP-08.c-L1,Level 1 (Validated)
08.c,IMP-08.c-L2,Level 2 (Validated)
08.d,IMP-08.d-L1,Level 1 (Validated)
08.d,IMP-08.d-L2,Level 2 (Validated)
08.d,IMP-08.d-L3,Level 3 (Certified)
08.d,IMP-08.d-CMS,Level CMS
08.d,IMP-08.d-HIX,Level HIX
08.e,IMP-08.e-L1,Level 1 (Validated)
08.e,IMP-08.e-L2,Level 2 (Validated)
08.f,IMP-08.f-L1,Level 1 (Validated)
08.f,IMP-08.f-L2,Level 2 (Validated)
08.g,IMP-08.g-L1,Level 1 (Validated)
08.g,IMP-08.g-L2,Level 2 (Validated)
08.g,IMP-08.g-PCI,Level PCI
08.h,IMP-08.h-L1,Level 1 (Validated)
08.h,IMP-08.h-L2,Level 2 (Validated)
08.h,IMP-08.h-L3,Level 3 (Certified)
08.h,IMP-08.h-CMS,Level CMS
08.i,IMP-08.i-L1,Level 1 (Validated)
08.i,IMP-08.i-L2,Level 2 (Validated)
08.i,IMP-08.i-L3,Level 3 (Certified)
08.j,IMP-08.j-L1,Level 1 (Validated)
08.j,IMP-08.j-L2,Level 2 (Validated)
08.j,IMP-08.j-L3,Level 3 (Certified)
08.j,IMP-08.j-CMS,Level CMS
08.j,IMP-08.j-HIX,Level HIX
08.j,IMP-08.j-NYDOH,Level NYDOH
08.k,IMP-08.k-L1,Level 1 (Validated)
08.k,IMP-08.k-L2,Level 2 (Validated)
08.l,IMP-08.l-L1,Level 1 (Validated)
08.l,IMP-08.l-L2,Level 2 (Validated)
08.l,IMP-08.l-NYDOH,Level NYDOH
08.m,IMP-08.m-L1,Level 1 (Validated)
08.m,IMP-08.m-L2,Level 2 (Validated)
09.a,IMP-09.a-L1,Level 1 (Validated)
09.a,IMP-09.a-L2,Level 2 (Validated)
09.a,IMP-09.a-PCI,Level PCI
09.b,IMP-09.b-L1,Level 1 (Validated)
09.b,IMP-09.b-L2,Level 2 (Validated)
09.b,IMP-09.b-NYDOH,Level NYDOH
09.b,IMP-09.b-DGF,Level DGF
09.b,IMP-09.b-NIS2,Level NIS2
09.c,IMP-09.c-L1,Level 1 (Validated)
09.c,IMP-09.c-L2,Level 2 (Validated)
09.c,IMP-09.c-L3,Level 3 (Certified)
09.d,IMP-09.d-L1,Level 1 (Validated)
09.d,IMP-09.d-L2,Level 2 (Validated)
09.d,IMP-09.d-CMS,Level CMS
09.e,IMP-09.e-L1,Level 1 (Validated)
09.e,IMP-09.e-L2,Level 2 (Validated)
09.e,IMP-09.e-CMS,Level CMS
09.e,IMP-09.e-NYDOH,Level NYDOH
09.f,IMP-09.f-L1,Level 1 (Validated)
09.f,IMP-09.f-L2,Level 2 (Validated)
09.f,IMP-09.f-L3,Level 3 (Certified)
09.f,IMP-09.f-CMS,Level CMS
09.g,IMP-09.g-L1,Level 1 (Validated)
09.g,IMP-09.g-L2,Level 2 (Validated)
09.h,IMP-09.h-L1,Level 1 (Validated)
09.h,IMP-09.h-L2,Level 2 (Validated)
09.h,IMP-09.h-CIS,Level CIS
09.h,IMP-09.h-CMS,Level CMS
09.i,IMP-09.i-L1,Level 1 (Validated)
09.i,IMP-09.i-L2,Level 2 (Validated)
09.i,IMP-09.i-CMS,Level CMS
09.i,IMP-09.i-HIX,Level HIX
09.j,IMP-09.j-L1,Level 1 (Validated)
09.j,IMP-09.j-L2,Level 2 (Validated)
09.j,IMP-09.j-CIS,Level CIS
09.j,IMP-09.j-CMS,Level CMS
09.j,IMP-09.j-NYDOH,Level NYDOH
09.j,IMP-09.j-HICP,Level HICP
09.k,IMP-09.k-L1,Level 1 (Validated)
09.k,IMP-09.k-L2,Level 2 (Validated)
09.k,IMP-09.k-NYDOH,Level NYDOH
09.l,IMP-09.l-L1,Level 1 (Validated)
09.l,IMP-09.l-L2,Level 2 (Validated)
09.l,IMP-09.l-L3,Level 3 (Certified)
09.l,IMP-09.l-CMS,Level CMS
09.l,IMP-09.l-HIX,Level HIX
09.l,IMP-09.l-PCI,Level PCI
09.l,IMP-09.l-NYDOH,Level NYDOH
09.m,IMP-09.m-L1,Level 1 (Validated)
09.m,IMP-09.m-L2,Level 2 (Validated)
09.m,IMP-09.m-L3,Level 3 (Certified)
09.m,IMP-09.m-CIS,Level CIS
09.m,IMP-09.m-CMS,Level CMS
09.m,IMP-09.m-PCI,Level PCI
09.m,IMP-09.m-NYDOH,Level NYDOH
09.m,IMP-09.m-HICP,Level HICP
09.n,IMP-09.n-L1,Level 1 (Validated)
09.n,IMP-09.n-L2,Level 2 (Validated)
09.n,IMP-09.n-CMS,Level CMS
09.o,IMP-09.o-L1,Level 1 (Validated)
09.o,IMP-09.o-L2,Level 2 (Validated)
09.o,IMP-09.o-CMS,Level CMS
09.o,IMP-09.o-NYDOH,Level NYDOH
09.p,IMP-09.p-L1,Level 1 (Validated)
09.p,IMP-09.p-L2,Level 2 (Validated)
09.p,IMP-09.p-CMS,Level CMS
09.p,IMP-09.p-NYDOH,Level NYDOH
09.q,IMP-09.q-L1,Level 1 (Validated)
09.q,IMP-09.q-L2,Level 2 (Validated)
09.q,IMP-09.q-L3,Level 3 (Certified)
09.q,IMP-09.q-CMS,Level CMS
09.q,IMP-09.q-HIX,Level HIX
09.q,IMP-09.q-PCI,Level PCI
09.q,IMP-09.q-NYDOH,Level NYDOH
09.r,IMP-09.r-L1,Level 1 (Validated)
09.r,IMP-09.r-L2,Level 2 (Validated)
09.s,IMP-09.s-L1,Level 1 (Validated)
09.s,IMP-09.s-L2,Level 2 (Validated)
09.s,IMP-09.s-CMS,Level CMS
09.s,IMP-09.s-GDPR,Level GDPR
09.s,IMP-09.s-HIX,Level HIX
09.s,IMP-09.s-NYDOH,Level NYDOH
09.t,IMP-09.t-L1,Level 1 (Validated)
09.t,IMP-09.t-NYDOH,Level NYDOH
09.u,IMP-09.u-L1,Level 1 (Validated)
09.u,IMP-09.u-L2,Level 2 (Validated)
09.v,IMP-09.v-L1,Level 1 (Validated)
09.v,IMP-09.v-L2,Level 2 (Validated)
09.v,IMP-09.v-HICP,Level HICP
09.w,IMP-09.w-L1,Level 1 (Validated)
09.w,IMP-09.w-L2,Level 2 (Validated)
09.x,IMP-09.x-L1,Level 1 (Validated)
09.x,IMP-09.x-L2,Level 2 (Validated)
09.x,IMP-09.x-CMS,Level CMS
09.y,IMP-09.y-L1,Level 1 (Validated)
09.y,IMP-09.y-L2,Level 2 (Validated)
09.y,IMP-09.y-L3,Level 3 (Certified)
09.z,IMP-09.z-L1,Level 1 (Validated)
09.z,IMP-09.z-L2,Level 2 (Validated)
09.z,IMP-09.z-L3,Level 3 (Certified)
09.aa,IMP-09.aa-L1,Level 1 (Validated)
09.aa,IMP-09.aa-L2,Level 2 (Validated)
09.aa,IMP-09.aa-L3,Level 3 (Certified)
09.aa,IMP-09.aa-CIS,Level CIS
09.aa,IMP-09.aa-CMS,Level CMS
09.aa,IMP-09.aa-HIX,Level HIX
09.aa,IMP-09.aa-NYDOH,Level NYDOH
09.aa,IMP-09.aa-PHIPA,Level PHIPA
09.ab,IMP-09.ab-L1,Level 1 (Validated)
09.ab,IMP-09.ab-L2,Level 2 (Validated)
09.ab,IMP-09.ab-L3,Level 3 (Certified)
09.ab,IMP-09.ab-CMS,Level CMS
09.ab,IMP-09.ab-HIX,Level HIX
09.ab,IMP-09.ab-PCI,Level PCI
09.ab,IMP-09.ab-NYDOH,Level NYDOH
09.ab,IMP-09.ab-HICP,Level HICP
09.ac,IMP-09.ac-L1,Level 1 (Validated)
09.ac,IMP-09.ac-L2,Level 2 (Validated)
09.ac,IMP-09.ac-L3,Level 3 (Certified)
09.ac,IMP-09.ac-CMS,Level CMS
09.ac,IMP-09.ac-NYDOH,Level NYDOH
09.ad,IMP-09.ad-L1,Level 1 (Validated)
09.ad,IMP-09.ad-L2,Level 2 (Validated)
09.ae,IMP-09.ae-L1,Level 1 (Validated)
09.ae,IMP-09.ae-L2,Level 2 (Validated)
09.af,IMP-09.af-L1,Level 1 (Validated)
09.af,IMP-09.af-L2,Level 2 (Validated)
09.af,IMP-09.af-CMS,Level CMS
10.a,IMP-10.a-L1,Level 1 (Validated)
10.a,IMP-10.a-L2,Level 2 (Validated)
10.a,IMP-10.a-L3,Level 3 (Certified)
10.a,IMP-10.a-CMS,Level CMS
10.a,IMP-10.a-NYDOH,Level NYDOH
10.a,IMP-10.a-HICP,Level HICP
10.b,IMP-10.b-L1,Level 1 (Validated)
10.b,IMP-10.b-L2,Level 2 (Validated)
10.b,IMP-10.b-L3,Level 3 (Certified)
10.c,IMP-10.c-L1,Level 1 (Validated)
10.c,IMP-10.c-L2,Level 2 (Validated)
10.c,IMP-10.c-CMS,Level CMS
10.c,IMP-10.c-HICP,Level HICP
10.d,IMP-10.d-L1,Level 1 (Validated)
10.d,IMP-10.d-L2,Level 2 (Validated)
10.d,IMP-10.d-HICP,Level HICP
10.e,IMP-10.e-L1,Level 1 (Validated)
10.f,IMP-10.f-L1,Level 1 (Validated)
10.f,IMP-10.f-L2,Level 2 (Validated)
10.f,IMP-10.f-PCI,Level PCI
10.f,IMP-10.f-NYDOH,Level NYDOH
10.g,IMP-10.g-L1,Level 1 (Validated)
10.g,IMP-10.g-L2,Level 2 (Validated)
10.g,IMP-10.g-CMS,Level CMS
10.g,IMP-10.g-PCI,Level PCI
10.g,IMP-10.g-NIS2,Level NIS2
10.h,IMP-10.h-L1,Level 1 (Validated)
10.h,IMP-10.h-L2,Level 2 (Validated)
10.h,IMP-10.h-L3,Level 3 (Certified)
10.h,IMP-10.h-CIS,Level CIS
10.h,IMP-10.h-CMS,Level CMS
10.h,IMP-10.h-NYDOH,Level NYDOH
10.i,IMP-10.i-L1,Level 1 (Validated)
10.i,IMP-10.i-L2,Level 2 (Validated)
10.i,IMP-10.i-PCI,Level PCI
10.i,IMP-10.i-NYDOH,Level NYDOH
10.j,IMP-10.j-L1,Level 1 (Validated)
10.j,IMP-10.j-L2,Level 2 (Validated)
10.k,IMP-10.k-L1,Level 1 (Validated)
10.k,IMP-10.k-L2,Level 2 (Validated)
10.k,IMP-10.k-L3,Level 3 (Certified)
10.k,IMP-10.k-CMS,Level CMS
10.k,IMP-10.k-HIX,Level HIX
10.k,IMP-10.k-PCI,Level PCI
10.k,IMP-10.k-NYDOH,Level NYDOH
10.l,IMP-10.l-L1,Level 1 (Validated)
10.l,IMP-10.l-L2,Level 2 (Validated)
10.l,IMP-10.l-CMS,Level CMS
10.m,IMP-10.m-L1,Level 1 (Validated)
10.m,IMP-10.m-L2,Level 2 (Validated)
10.m,IMP-10.m-L3,Level 3 (Certified)
10.m,IMP-10.m-CIS,Level CIS
10.m,IMP-10.m-CMS,Level CMS
10.m,IMP-10.m-HIX,Level HIX
10.m,IMP-10.m-PCI,Level PCI
10.m,IMP-10.m-NYDOH,Level NYDOH
10.m,IMP-10.m-HICP,Level HICP
10.m,IMP-10.m-NIS2,Level NIS2
11.a,IMP-11.a-L1,Level 1 (Validated)
11.a,IMP-11.a-L2,Level 2 (Validated)
11.a,IMP-11.a-L3,Level 3 (Certified)
11.a,IMP-11.a-CMS,Level CMS
11.a,IMP-11.a-GDPR,Level GDPR
11.a,IMP-11.a-HIX,Level HIX
11.a,IMP-11.a-PCI,Level PCI
11.a,IMP-11.a-HIPAA,Level HIPAA
11.a,IMP-11.a-CCPA,Level CCPA
11.a,IMP-11.a-NYDOH,Level NYDOH
11.a,IMP-11.a-PHIPA,Level PHIPA
11.b,IMP-11.b-L1,Level 1 (Validated)
11.c,IMP-11.c-L1,Level 1 (Validated)
11.c,IMP-11.c-L2,Level 2 (Validated)
11.c,IMP-11.c-L3,Level 3 (Certified)
11.c,IMP-11.c-CIS,Level CIS
11.c,IMP-11.c-CMS,Level CMS
11.c,IMP-11.c-PCI,Level PCI
11.c,IMP-11.c-HIPAA,Level HIPAA
11.c,IMP-11.c-NYDOH,Level NYDOH
11.c,IMP-11.c-HICP,Level HICP
11.d,IMP-11.d-L1,Level 1 (Validated)
11.d,IMP-11.d-L2,Level 2 (Validated)
11.d,IMP-11.d-CMS,Level CMS
11.d,IMP-11.d-NIS2,Level NIS2
11.e,IMP-11.e-L1,Level 1 (Validated)
11.e,IMP-11.e-L2,Level 2 (Validated)
11.e,IMP-11.e-NYDOH,Level NYDOH
12.a,IMP-12.a-L1,Level 1 (Validated)
