source_id,target_id,rel_type,context_in_manual
PI-EX2-T-02,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-03,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-03,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-04,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-04,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-05,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-05,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-01,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-01,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-02,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-02,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-03,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-03,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-04,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-S-04,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-01,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-01,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-02,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-02,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-03,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-K-03,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
