paragraph_id,article_id,number,text,source_document
P_7_5,ART_7,(5),The provisions of the preceding two paragraphs shall apply mutatis mutandis to amendments to the Basic Policy.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_11_1,ART_11,(1),"A local government shall endeavor to take necessary measures in order to ensure the proper handling of the personal information it holds in consideration of the nature of the personal information, the purpose of holding the personal information concerned, and other factors.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_11_2,ART_11,(2),A local government shall endeavor to take necessary measures for local incorporated administrative agencies established by it in order to ensure the proper handling of the personal information they hold in accordance with the nature and affairs of them.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_15_1,ART_15,(1),"When handling personal information, a business operator handling personal information shall specify the purpose of utilization of personal information (hereinafter referred to as ""Purpose of Utilization"") as much as possible.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_15_2,ART_15,(2),A business operator handling personal information shall not change the Purpose of Utilization beyond the scope which is reasonably considered that the Purpose of Utilization after the change is duly related to that before the change.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_16_1,ART_16,(1),"A business operator handling personal information shall not handle personal information about a person, without obtaining the prior consent of the person, beyond the scope necessary for the achievement of the Purpose of Utilization specified pursuant to the provision of the preceding article.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_16_2,ART_16,(2),"When a business operator handling personal information has acquired personal information as a result of taking over the business of another business operator handling personal information in a merger or otherwise, the acquiring business operator shall not handle the personal information concerned, without obtaining the prior consent of the persons, beyond the scope necessary for the achievement of the Purpose of Utilization of the personal information concerned before the succession.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_16_3,ART_16,(3),The provisions of the preceding two paragraphs shall not apply to the following cases:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_18_1,ART_18,(1),"When having acquired personal information, a business operator handling personal information shall, except in cases in which the Purpose of Utilization has already been publicly announced, promptly notify the person of the Purpose of Utilization or publicly announce the Purpose of Utilization.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_18_2,ART_18,(2),"Notwithstanding the provision of the preceding paragraph, when a business operator handling personal information acquires such personal information on a person as is written in a contract or other document ( including a record made by an electronic method, a magnetic method, or any other method not recognizable to human senses. hereinafter the same shall apply in this paragraph.) as a result of concluding a contract with the person or acquires such personal information on a person as is written in a document directly from the person, the business operator shall expressly show the Purpose of Utilization in advance. However, this provision shall not apply in cases in which the acquisition of personal information is urgently required for the protection of the life, body, or property of an individual.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_18_3,ART_18,(3),"When a business operator handling personal information has changed the Purpose of Utilization, the business operator shall notify the person of the changed Purpose of Utilization or publicly announce it.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_18_4,ART_18,(4),The provisions of the preceding three paragraphs shall not apply to the following cases:,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_23_1,ART_23,(1),"A business operator handling personal information shall not, except in the following cases, provide personal data to a third party without obtaining the prior consent of the person:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_23_2,ART_23,(2),"With respect to personal data intended to be provided to a third party, where a business operator handling personal information agrees to discontinue, at the request of a person, the provision of such personal data as will lead to the identification of the person, and where the business operator, in advance, notifies the person of the matters listed in the following items or put those matters in a readily accessible condition for the person, the business operator may, notwithstanding the provision of the preceding paragraph, provide such personal data to a third party:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_23_3,ART_23,(3),"When a business operator handling personal information changes the matter listed in item 2 or 3 of the preceding paragraph, the business operator shall, in advance, notify the person of the content of the change or put it in a readily accessible condition for the person.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_23_4,ART_23,(4),"In following the cases, the individual or business operator receiving such personal data shall not be deemed a third party for the purpose of application of the provisions of the preceding three paragraphs:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_23_5,ART_23,(5),"When a business operator handling personal information changes the purpose for which the personal data is used or the name of the individual or business operator responsible for the management of the personal data as are provided in item 3 of the preceding paragraph, the business operator shall, in advance, notify the person of the content of the change or put it in a readily accessible condition for the person.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_24_1,ART_24,(1),"With respect to the retained personal data, a business operator handling personal information shall put the matters listed in the following items in an accessible condition for the person ( such condition includes cases in which a response is made without delay at the request of the person) :",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_24_2,ART_24,(2),"When a business operator handling personal information is requested by a person to notify him or her of the Purpose of Utilization of such retained personal data as may lead to the identification of the person concerned, the business operator shall meet the request without delay. However, this provision shall not apply to cases falling under either of the following items:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_24_3,ART_24,(3),"When a business operator handling personal information has decided not to notify the Purpose of Utilization of such retained personal data as is requested under the preceding paragraph, the business operator shall notify the person of that effect without delay.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_25_1,ART_25,(1),"When a business operator handling personal information is requested by a person to disclose such retained personal data as may lead to the identification of the person (such disclosure includes notifying the person that the business operator has no such retained personal data as may lead to the identification of the person concerned. The same shall apply hereinafter.) , the business operator shall disclose the retained personal data without delay by a method prescribed by a Cabinet Order. However, in falling under any of the following items, the business operator may keep all or part of the retained personal data undisclosed:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_25_2,ART_25,(2),"When a business operator handling personal information has decided not to disclose all or part of such retained personal data as is requested pursuant to the provision of the preceding paragraph, the business operator shall notify the person of that effect without delay.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_25_3,ART_25,(3),"If the provisions of any other laws and regulations require that all or part of such retained personal data as may lead to the identification of a person be disclosed to the person by a method equivalent to the method prescribed in the main part of paragraph 1, the provision of the paragraph shall not apply to such all or part of the retained personal data concerned.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_26_1,ART_26,(1),"When a business operator handling personal information is requested by a person to correct, add, or delete such retained personal data as may lead to the identification of the person on the ground that the retained personal data is contrary to the fact, the business operator shall, except in cases in which special procedures are prescribed by any other laws and regulations for such correction, addition, or deletion, make a necessary investigation without delay within the scope necessary for the achievement of the Purpose of Utilization and, on the basis of the results, correct, add, or delete the retained personal data.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_26_2,ART_26,(2),"When a business operator handling personal information has corrected, added, or deleted all or part of the retained personal data as requested or has decided not to make such correction, addition, or deletion, the business operator shall notify the person of that effect ( including the content of the correction, addition, or deletion if performed) without delay.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_27_1,ART_27,(1),"Where a business operator handling personal information is requested by a person to discontinue using or to erase such retained personal data as may lead to the identification of the person on the ground that the retained personal data is being handled in violation of Article 16 or has been acquired in violation of Article 17, and where it is found that the request has a reason, the business operator shall discontinue using or erase the retained personal data concerned without delay to the extent necessary for redressing the violation. However, this provision shall not apply to cases in which it costs large amount or otherwise difficult to discontinue using or to erase the retained personal data and in which the business operator takes necessary alternative measures to protect the rights and interests of the person.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_27_2,ART_27,(2),"Where a business operator handling personal information is requested by a person to discontinue providing to a third party such retained personal data as may lead to the identification of the person on the ground that the retained personal data is being provided to a third party in violation of paragraph 1 of Article 23, and where it is found that the request has a reason, the business operator shall discontinue providing the retained personal data to a third party without delay. However, this provision shall not apply to cases in which it costs large amount or otherwise difficult to discontinue providing the retained personal data concerned to a third party and in which the business operator takes necessary alternative measures to protect the rights and interests of the person.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_27_3,ART_27,(3),"When a business operator handling personal information has discontinued using or has erased all or part of the retained personal data as requested under paragraph 1 or has decided not to discontinue using or not to erase the retained personal data or when a business operator handling personal information has discontinued providing all or part of the retained personal data to a third party as requested under the provision of the preceding paragraph or has decided not to discontinue providing the retained personal data to a third party, the business operator shall notify the person of that effect without delay.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_29_1,ART_29,(1),"A business operator handling personal information may, as prescribed by a Cabinet Order, determine procedures for receiving requests that may be made pursuant to the provisions of paragraph 2 of Article 24, paragraph 1 of Article 25, paragraph 1 of Article 26 or paragraph 1 or paragraph 2 of Article 27 ( hereinafter referred to as ""a request for disclosure and others"" in this article) . In such a case, any person making a request for disclosure and others shall comply with the procedures.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_29_2,ART_29,(2),"A business operator handling personal information may request a person making a request for disclosure and others to show sufficient items to identify the retained personal data in question. In this case, the business operator shall provide the information contributing to the identification of the retained personal data in question or take any other appropriate measures in consideration of the person's convenience so that the person can easily and accurately make a request for disclosure and others.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_29_3,ART_29,(3),"A person may, as prescribed by a Cabinet Order, make a request for disclosure and others through a representative.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_29_4,ART_29,(4),"When a business operator determine the procedures for meeting requests for disclosure and others under the provisions of the preceding three paragraphs, the business operator shall take into consideration that the procedures will not impose excessively heavy burden on the persons making requests for disclosure and others.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_30_1,ART_30,(1),"When a business operator handling personal information is requested to notify the Purpose of Utilization under the provision of paragraph 2 of Article 24 or to make a disclosure under the provision of paragraph 1 of Article 25, the business operator may collect charges for taking the measure.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_30_2,ART_30,(2),"When a business operator handling personal information collects charges pursuant to the provision of the preceding paragraph, the business operator shall determine the amounts of charges within the scope considered reasonable in consideration of actual costs.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_31_1,ART_31,( 1),A business operator handling personal information shall endeavor to appropriately and promptly process complaints about the handling of personal information.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_31_2,ART_31,(2),A business operator handling personal information shall endeavor to establish a system necessary for achieving the purpose set forth in the preceding paragraph.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_34_1,ART_34,(1),"When a business operator handling personal information has violated any of the provisions of Article 16 to Article 18, Article 20 to Article 27, or paragraph 2 of Article 30, the competent Minister may recommend that the business operator handling personal information cease the violation and take other necessary measures to correct the violation when a competent Minister finds it necessary for protecting the rights and interests of individuals.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_34_2,ART_34,(2),"Where a business operator handling personal information having received a recommendation under the provision of the preceding paragraph does not take the recommended measures without justifiable ground, and when the competent minister finds that the serious infringement on the rights and interests of individuals is imminent, the competent minister may order the business operator handling personal information to take the recommended measures.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_34_3,ART_34,(3),"Notwithstanding the provisions of the preceding two paragraphs, where a business operator handling personal information has violated any of the provisions of Article 16, Article 17, Articles 20 to 22, or paragraph 1 of Article 23, and when the competent minister finds it necessary to take measures urgently as there is the fact of serious infringement of the rights and interests of individuals, the competent minister may order the business operator handling personal information to cease the violation and take other necessary measures to rectify the violation.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_35_1,ART_35,(1),"In collecting a report from, or giving an advice, a recommendation or an order to a business operator handling personal information pursuant to the provisions of the preceding three articles, the competent Minister shall not disturb freedom of expression, academic freedom, freedom of religion, or freedom of political activity.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_35_2,ART_35,(2),"In light of the purport of the provision of the preceding paragraph, with respect to the act of a business operator handling personal information to provide an individual or business operator mentioned in each item of paragraph 1 of Article 50 (limited to cases in which the personal information is handled for a purpose as respectively provided in each of such items) with personal information, the competent Minister shall not exercise its authority.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_36_1,ART_36,(1),"The competent ministers under the provisions of this section shall be as specified below. However, for specific handling of personal information by a business operator handling personal information, the Prime Minister may designate a specific minister or the National Public Safety Commission (hereinafter referred to as ""minister, etc "") as a competent minister when he or she considers it necessary for smooth implementation of the provisions of this section.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_36_2,ART_36,(2),"When the Prime Minister has designated a competent minister under the provision of the proviso to the preceding paragraph, he or she shall publicly notice that effect.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_36_3,ART_36,(3),Competent ministers shall maintain close liaison and cooperate with each other in implementing the provisions of this section.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_37_1,ART_37,(1),"A juridical person ( which includes an association or foundation that is not a juridical person with a specified representative or manager; the same applies in (b) of item 3 of the next article) that intends to conduct any of the businesses enumerated in the following items for the purpose of ensuring the proper handling of personal information by a business operator handling personal information, may be authorized as such by the competent minister:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_37_2,ART_37,(2),A business operator intending to receive authorization set forth in the preceding paragraph shall apply to the competent minister as prescribed by a Cabinet Order.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_37_3,ART_37,(3),"When having granted authorization under paragraph 1, the competent minister shall publicly notice that effect.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_40_1,ART_40,(1),"When a business operator authorized under paragraph 1 of Article 37 ( hereinafter referred to as ""authorized personal information protection organization"") intends to abolish the business pertaining to the authorization (hereinafter referred to as ""authorized business"") , it shall notify the competent minister of that effect in advance as prescribed by a Cabinet Order.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_40_2,ART_40,(2),"When having received a notification under the provision of the preceding paragraph, the competent minister shall publicly notice to that effect.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_41_1,ART_41,(1),Each target business operator of an authorized personal information protection organization shall be a business operator handling personal information that is a member of the authorized personal information protection organization or a business operator handling personal information that has agreed to become a target of the authorized businesses.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_41_2,ART_41,(2),Each authorized personal information protection organization shall publicly announce the names of its target entities.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_42_1,ART_42,(1),"When an authorized personal information protection organization is requested by a person, etc. to solve a complaint about the handling of personal information by a target business operator, corresponding to the request, the organization shall give the person, etc. necessary advice, investigate the circumstances pertaining to the complaint and request the target business operator to solve the complaint promptly by notifying the target business operator of the content of the complaint.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_42_2,ART_42,(2),"When an authorized personal information protection organization finds it necessary for settling complaints offered under the preceding paragraph, the organization may request the target business operator to explain in writing or orally, or request it to submit relevant materials.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_42_3,ART_42,(3),"When a target business operator has received a request under the provision of the preceding paragraph from an authorized personal information protection organization, the target business operator shall not reject the request without justifiable ground.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_43_1,ART_43,(1),"In order to ensure the proper handling of personal information by its target entities, each authorized personal information protection organization shall endeavor to draw up and publicly announce guidelines ( hereinafter referred to as ""personal information protection guidelines"") in conformity with the purport of the provisions of this Act, concerning the specification of the Purpose of Utilization, security control measures, procedures for complying with individuals' requests, and other matters.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_43_2,ART_43,(2),"When an authorized personal information protection organization has publicly announced its personal information protection guidelines pursuant to the provision of the preceding paragraph, the organization shall endeavor to provide guidance, give recommendations, and take other measures necessary in order to have its target entities observe the personal information protection guidelines.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_48_1,ART_48,(1),"If an authorized personal information protection organization falls under any of the following items, the competent minister may rescind its authorization:",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_48_2,ART_48,(2),"When having rescinded authorization pursuant to the provision of the preceding paragraph, the competent minister shall publicly notice that effect.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_49_1,ART_49,(1),"The competent ministers under the provisions of this section shall be as specified below. However, when the Prime Minister considers it necessary for smooth implementation of the provisions of this section, he or she may designate a specific minister, etc. as a competent minister for specific entities that intend to apply for authorization under paragraph 1 of Article 37.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_49_2,ART_49,(2),"When the Prime Minister has designated a competent minister pursuant to the provision of the proviso to the preceding paragraph, he or she shall publicly notice that effect.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_50_1,ART_50,(1),"With respect to entities handling personal information, being the entities enumerated in each of the items below, if all or part of the purpose of handling personal information is a purpose respectively prescribed in each of the items, the provisions of the preceding chapter shall not be applied.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_50_2,ART_50,(2),"""News report"" as mentioned in item 1 of the preceding paragraph shall mean informing many and unspecified individuals or entities of objective facts as the facts (including to state opinions or views based on such facts) .",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_50_3,ART_50,(3),"Entities handling personal information enumerated in the items of paragraph 1 shall endeavor to take by themselves the necessary and appropriate measures for controlling the security of personal data, and the necessary measures for the processing of complaints about the handling of personal information and the other necessary measures for ensuring the proper handling of personal information, and shall also endeavor to publicly announce the content of those measures concerned.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_53_1,ART_53,(1),"The Prime Minister may collect reports on the status of enforcement of this Act from the heads of relevant administrative organs ( the organs established in the Cabinet under the provisions of laws ( except the Cabinet Office) , organs under the supervision of the Cabinet, the Cabinet Office, the Imperial Household Agency, the institutions prescribed in paragraphs 1 and 2 of Article 49 of the Act for the Establishment of the Cabinet Office ( Act No. 89 of 1999), and the institutions prescribed in paragraph 2 of Article 3 of the National Government Organization Law (Act No. 120 of 1948); this applies in the next article) .",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_53_2,ART_53,(2),Each year the Prime Minister shall compile the reports set forth in the preceding paragraph and publicly announce their outline.,KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_58_1,ART_58,(1),"If any representative of a juridical person ( which includes an association or foundation which is not a juridical person with a specified representative or manager; hereinafter the same shall apply in this paragraph) , or any agent, employee or other workers of a juridical person or of an individual commits any of the violations prescribed in the preceding two articles concerning the business of the juridical person or individual, then not only shall the performer be punished but also the juridical person or individual shall be sentenced to the fine prescribed in the corresponding article.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
P_58_2,ART_58,(2),"When the provision of the preceding paragraph applies to an association or foundation which is not a juridical person, its representative or manager shall represent the association or foundation which is not a juridical person in its procedural action, and the provisions of the acts concerning criminal suits in which a juridical person is the accused or suspect shall be apply mutatis mutandis.",KB 2/Japan/Act on the Protection of Personal Information (APPI).pdf
