SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,NIST_RMF_Step_ID,NIST_RMF_Step_Name,NIST_RMF_Activity_ID,NIST_RMF_Activity_Name,RMF_Purpose
Risk Management,RSK,RSK-03,Risk Monitoring,7_monitor,Monitor Controls,M1,Continuous Monitoring,Monitor risk throughout system lifecycle
Secure Engineering Architecture,SEA,SEA-01,Secure Engineering Program,3_select,Select Controls,S1,Control Baselines,Incorporate security into design
Secure Engineering Architecture,SEA,SEA-01.1,Secure Design Principles,4_implement,Implement Controls,I1,System Development,Implement secure architecture principles
Secure Engineering Architecture,SEA,SEA-02,Secure Code Development,4_implement,Implement Controls,I2,Control Implementation,Implement secure development practices
Security Operations,OPS,OPS-01,Security Operations Program,4_implement,Implement Controls,I4,Information Awareness,Establish security operations function
Security Operations,OPS,OPS-01.1,SOC Establishment,4_implement,Implement Controls,I2,Control Implementation,Establish security operations center
Security Operations,OPS,OPS-02,Event Management,7_monitor,Monitor Controls,M1,Continuous Monitoring,Monitor and manage security events
Security Awareness Training,SAT,SAT-01,Security Awareness Program,4_implement,Implement Controls,I4,Information Awareness,Implement awareness and training program
Security Awareness Training,SAT,SAT-01.1,Awareness Training,4_implement,Implement Controls,I4,Information Awareness,Conduct security awareness training
Security Awareness Training,SAT,SAT-01.2,Phishing Training,4_implement,Implement Controls,I4,Information Awareness,Conduct phishing awareness training
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,1_prepare,Prepare,P4,System Boundaries,Define development system boundaries
Technology Development Acquisition,TDA,TDA-02,Acquisition Program,3_select,Select Controls,S2,Control Selection,Select acquisition security controls
Technology Development Acquisition,TDA,TDA-03,Secure Development Lifecycle,4_implement,Implement Controls,I1,System Development,Implement secure SDLC
Third-Party Management,TPM,TPM-01,Third-Party Management Program,1_prepare,Prepare,P2,Organizational Context,Establish third-party governance
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,2_categorize,Categorize System,C1,Categorization,Assess third-party risk and categorization
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,3_select,Select Controls,S2,Control Selection,Select third-party contract controls
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,7_monitor,Monitor Controls,M1,Continuous Monitoring,Monitor third-party control effectiveness
Third-Party Management,TPM,TPM-03,Service Provider Inventory,1_prepare,Prepare,P3,Business Processes,Maintain service provider inventory
Threat Management,THR,THR-01,Threat Management Program,2_categorize,Categorize System,C3,Impact Analysis,Assess system threat vulnerabilities
Threat Management,THR,THR-01.1,Threat Intelligence,2_categorize,Categorize System,C1,Categorization,Incorporate threat intelligence into categorization
Threat Management,THR,THR-01.2,Threat Assessment,5_assess,Assess Controls,A2,Control Assessment,Assess threats and vulnerabilities
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,7_monitor,Monitor Controls,M1,Continuous Monitoring,Monitor system vulnerabilities continuously
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,5_assess,Assess Controls,A2,Control Assessment,Conduct vulnerability assessments
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,4_implement,Implement Controls,I2,Control Implementation,Implement vulnerability remediation controls
Web Security,WEB,WEB-01,Web Security Program,3_select,Select Controls,S2,Control Selection,Select web application security controls
Web Security,WEB,WEB-01.1,Web Application Security,4_implement,Implement Controls,I2,Control Implementation,Implement web application security controls
Web Security,WEB,WEB-03,Input Validation,4_implement,Implement Controls,I2,Control Implementation,Implement input validation controls
