scf_control_code,scf_control_name,scf_domain,dpdpa_section_id,dpdpa_section_number,dpdpa_title,relationship_type,relationship_strength,mapping_quality
CRY-01,Cryptographic Controls Program,Cryptographic Protections,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
CRY-02,Encryption At Rest,Cryptographic Protections,SEC-17,7,Reasonable security practices,Intersects With,5,Good
CRY-03,Encryption In Transit,Cryptographic Protections,SEC-17,7,Reasonable security practices,Intersects With,5,Good
CRY-04,Key Management Program,Cryptographic Protections,SEC-17,7,Reasonable security practices,Intersects With,5,Good
CRY-05,Sensitive Data Encryption,Cryptographic Protections,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
AST-01,Asset Management Program,Asset Management,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
AST-02,Asset Classification,Asset Management,SEC-02,2,Definitions,Intersects With,5,Good
AST-03,Sensitive Data Inventory,Asset Management,SEC-11,11,Right to access personal data,Intersects With,5,Good
IAC-01,Identity and Access Management Program,Identification and Authentication,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
IAC-02,Authentication Mechanisms,Identification and Authentication,SEC-17,7,Reasonable security practices,Intersects With,5,Good
IAC-03,Access Control Enforcement,Identification and Authentication,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
IAC-04,Identity Provisioning and Deprovisioning,Identification and Authentication,SEC-21,21,Data Processor,Intersects With,5,Good
IAC-05,Sensitive Data Access Control,Identification and Authentication,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
END-01,Endpoint Security Program,Endpoint Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
END-02,Endpoint Hardening,Endpoint Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
END-03,Mobile Device Management,Endpoint Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
END-04,Sensitive Data Endpoint Protection,Endpoint Security,SEC-29,29,Personal data of children,Intersects With,5,Good
NET-01,Network Security Program,Network Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
NET-02,Network Segmentation,Network Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
NET-03,Firewall Configuration,Network Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
MON-01,Event Log Review and Analysis,Continuous Monitoring,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
MON-02,Centralized Collection of Security Event Logs,Continuous Monitoring,SEC-08,8,Personal data breach notification,Intersects With,5,Good
MON-03,Event Log Correlation and Analysis,Continuous Monitoring,SEC-17,7,Reasonable security practices,Intersects With,5,Good
MON-04,Sensitive Data Monitoring,Continuous Monitoring,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
MON-05,Data Breach Monitoring,Continuous Monitoring,SEC-08,8,Personal data breach notification,Subset Of,10,Excellent
VPM-01,Vulnerability Management Program,Vulnerability and Patch Management,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
VPM-02,Vulnerability Assessment,Vulnerability and Patch Management,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
VPM-03,Patch Management,Vulnerability and Patch Management,SEC-17,7,Reasonable security practices,Intersects With,5,Good
VPM-04,Security Measures Implementation,Vulnerability and Patch Management,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
IRO-01,Incident Response Program,Incident Response,SEC-08,8,Personal data breach notification,Subset Of,10,Excellent
IRO-02,Incident Detection and Analysis,Incident Response,SEC-08,8,Personal data breach notification,Subset Of,10,Excellent
IRO-03,Incident Containment and Recovery,Incident Response,SEC-08,8,Personal data breach notification,Subset Of,10,Excellent
IRO-04,Data Breach Notification,Incident Response,SEC-08,8,Personal data breach notification,Equal,10,Excellent
IRO-05,Consumer Notification Process,Incident Response,SEC-08,8,Personal data breach notification,Equal,10,Excellent
CPL-01,Compliance Monitoring Program,Compliance,SEC-20,20,Audit of Significant Data Fiduciaries,Subset Of,10,Excellent
CPL-02,Compliance Assessment,Compliance,SEC-20,20,Audit of Significant Data Fiduciaries,Intersects With,5,Good
CPL-03,Compliance Reporting,Compliance,SEC-39,39,Penalties for failure to protect personal data,Intersects With,5,Good
CPL-04,Privacy Notice Requirements,Compliance,SEC-04,4,Data Fiduciary to provide notice,Subset Of,10,Excellent
CPL-05,Disclosure Mechanisms,Compliance,SEC-11,11,Right to access personal data,Intersects With,5,Good
CFG-01,Configuration Management Program,Configuration Management,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
CFG-02,System Hardening,Configuration Management,SEC-17,7,Reasonable security practices,Intersects With,5,Good
CHG-01,Change Management Program,Change Management,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
CHG-02,Change Control,Change Management,SEC-17,7,Reasonable security practices,Intersects With,5,Good
BCD-01,Business Continuity and Disaster Recovery Program,Business Continuity and Disaster Recovery,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
BCD-02,Business Continuity Planning,Business Continuity and Disaster Recovery,SEC-17,7,Reasonable security practices,Intersects With,5,Good
HRS-01,Human Resources Security Program,Human Resources Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
HRS-02,Security Awareness Training,Human Resources Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
HRS-03,Personnel Screening,Human Resources Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
SAT-01,Security Awareness Program,Security Awareness and Training,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
SAT-02,Privacy Training,Security Awareness and Training,SEC-06,6,Processing of personal data,Intersects With,5,Good
SAT-03,Incident Response Training,Security Awareness and Training,SEC-08,8,Personal data breach notification,Intersects With,5,Good
TPM-01,Third-Party Management Program,Third-Party Management,SEC-21,21,Data Processor,Subset Of,10,Excellent
TPM-02,Third-Party Risk Assessment,Third-Party Management,SEC-24,24,Transfer of personal data,Intersects With,5,Good
TPM-03,Service Provider Agreements,Third-Party Management,SEC-22,22,Processor to be bound by contract,Subset Of,10,Excellent
TPM-04,Third-Party Monitoring,Third-Party Management,SEC-20,20,Audit of Significant Data Fiduciaries,Intersects With,5,Good
IAO-01,Information Assurance Program,Information Assurance,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
IAO-02,Security Assessment Program,Information Assurance,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
IAO-03,Penetration Testing,Information Assurance,SEC-17,7,Reasonable security practices,Intersects With,5,Good
MNT-01,Maintenance Program,Maintenance,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
MNT-02,Patch Management,Maintenance,SEC-17,7,Reasonable security practices,Intersects With,5,Good
PES-01,Physical Security Program,Physical and Environmental Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
PES-02,Access Controls,Physical and Environmental Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
PES-03,Media Protection,Physical and Environmental Security,SEC-13,13,Right to erasure of personal data,Intersects With,5,Good
RSK-01,Risk Management Program,Risk Management,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
RSK-02,Risk Assessment,Risk Management,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
RSK-03,Risk Response,Risk Management,SEC-17,7,Reasonable security practices,Intersects With,5,Good
SEA-01,Secure Engineering and Architecture,Secure Engineering and Architecture,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
SEA-02,Secure Development Practices,Secure Engineering and Architecture,SEC-17,7,Reasonable security practices,Intersects With,5,Good
THR-01,Threat Management Program,Threat Management,SEC-08,8,Personal data breach notification,Subset Of,10,Excellent
THR-02,Threat Intelligence,Threat Management,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
AAT-01,AI and Autonomous Technology Program,Artificial and Autonomous Technology,SEC-06,6,Processing of personal data,Intersects With,5,Good
AAT-02,Algorithmic Bias Prevention,Artificial and Autonomous Technology,SEC-06,6,Processing of personal data,Intersects With,5,Good
CLD-01,Cloud Security Governance,Cloud Security,SEC-25,25,International transfers,Subset Of,10,Excellent
CLD-02,Cloud Service Provider Oversight,Cloud Security,SEC-21,21,Data Processor,Intersects With,5,Good
EMB-01,Embedded Technology Program,Embedded Technology,SEC-17,7,Reasonable security practices,Intersects With,5,Good
OPS-01,Security Operations Program,Security Operations,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
OPS-02,Event Management,Security Operations,SEC-08,8,Personal data breach notification,Intersects With,5,Good
PRM-01,Project and Resource Management,Project and Resource Management,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
TDA-01,Technology Development and Acquisition,Technology Development and Acquisition,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
CAP-01,Capacity and Performance Planning,Capacity and Performance Planning,SEC-17,7,Reasonable security practices,Intersects With,5,Good
WEB-01,Web Security Program,Web Security,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
WEB-02,Web Application Security,Web Security,SEC-17,7,Reasonable security practices,Intersects With,5,Good
MDM-01,Mobile Device Management Program,Mobile Device Management,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
MDM-02,Mobile Device Access Control,Mobile Device Management,SEC-17,7,Reasonable security practices,Intersects With,5,Good
