SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,NIST_PMF_1_1_Function,NIST_PMF_1_1_Category,NIST_PMF_1_1_Subcategory
Network Security,NET,NET-02,Firewall Configuration,CT-P,CT-PO,CT-PO-P2
Network Security,NET,NET-02.2,Network Segmentation,CT-P,CT-PO,CT-PO-P4
Physical Environmental Security,PES,PES-01,Physical Security Program,CT-P,CT-PO,CT-PO-P1
Physical Environmental Security,PES,PES-01.1,Physical Access Controls,CT-P,CT-PO,CT-PO-P5
Physical Environmental Security,PES,PES-03,Media Protection,CT-P,CT-DP,CT-DP-P1
Physical Environmental Security,PES,PES-03.2,Media Disposal,CT-P,CT-DM,CT-DM-P2
Data Privacy,PRI,PRI-01,Data Privacy Program,GV-P,GV-PM,GV-PM-P1
Data Privacy,PRI,PRI-01.1,Privacy by Design,CT-P,CT-PO,CT-PO-P1
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,GV-P,GV-AT,GV-AT-P1
Data Privacy,PRI,PRI-02,Personal Data Protection,CT-P,CT-DP,CT-DP-P1
Data Privacy,PRI,PRI-02.1,Data Subject Rights,GV-P,GV-PM,GV-PM-P9
Data Privacy,PRI,PRI-03,Data Retention and Disposal,CT-P,CT-DM,CT-DM-P3
Data Privacy,PRI,PRI-03.1,Secure Disposal,CT-P,CT-DM,CT-DM-P4
Data Privacy,PRI,PRI-05,Personal Data Processing,CT-P,CT-DM,CT-DM-P5
Data Privacy,PRI,PRI-05.1,Data Collection Limitation,ID-P,ID-DE,ID-DE-P1
Data Privacy,PRI,PRI-05.2,Data Use Limitation,CT-P,CT-DM,CT-DM-P6
Data Privacy,PRI,PRI-05.3,Data Masking,CT-P,CT-DP,CT-DP-P4
Data Privacy,PRI,PRI-05.4,Data Minimization,CT-P,CT-DM,CT-DM-P8
Data Privacy,PRI,PRI-05.5,Inventory of Personal Data,ID-P,ID-IM,ID-IM-P1
Data Privacy,PRI,PRI-05.6,Personal Data Inventory Automation Support,ID-P,ID-IM,ID-IM-P3
Data Privacy,PRI,PRI-05.7,Personal Data Categories,ID-P,ID-IM,ID-IM-P6
Data Privacy,PRI,PRI-05.8,Data Disclosure Limitation,CT-P,CT-DM,CT-DM-P7
Data Privacy,PRI,PRI-06,Consent Management,CT-P,CT-PO,CT-PO-P1
Data Privacy,PRI,PRI-07,Data Sharing Agreements,GV-P,GV-PM,GV-PM-P10
Data Privacy,PRI,PRI-08,Privacy Notices,ID-P,ID-DE,ID-DE-P2
Data Privacy,PRI,PRI-09,Data Subject Access Requests,CT-P,CT-PO,CT-PO-P2
Data Privacy,PRI,PRI-10,Automated Decision-Making,CT-P,CT-PO,CT-PO-P1
Project Resource Management,PRM,PRM-01,Project Management Program,GV-P,GV-PM,GV-PM-P1
Project Resource Management,PRM,PRM-01.1,Security in SDLC,CT-P,CT-PO,CT-PO-P1
Risk Management,RSK,RSK-01,Risk Management Program,GV-P,GV-RM,GV-RM-P1
Risk Management,RSK,RSK-01.1,Risk Assessment,GV-P,GV-RM,GV-RM-P2
Risk Management,RSK,RSK-02,Risk Response,GV-P,GV-RM,GV-RM-P3
Risk Management,RSK,RSK-03,Risk Monitoring,GV-P,GV-RM,GV-RM-P4
Secure Engineering Architecture,SEA,SEA-01,Secure Engineering Program,CT-P,CT-PO,CT-PO-P1
Secure Engineering Architecture,SEA,SEA-01.1,Secure Design Principles,CT-P,CT-PO,CT-PO-P2
Secure Engineering Architecture,SEA,SEA-02,Secure Code Development,CT-P,CT-PO,CT-PO-P3
Security Operations,OPS,OPS-01,Security Operations Program,CM-P,CM-AW,CM-AW-P1
Security Operations,OPS,OPS-01.1,SOC Establishment,CM-P,CM-AW,CM-AW-P2
Security Operations,OPS,OPS-02,Event Management,CM-P,CM-AW,CM-AW-P3
Security Awareness Training,SAT,SAT-01,Security Awareness Program,GV-P,GV-AT,GV-AT-P2
Security Awareness Training,SAT,SAT-01.1,Awareness Training,GV-P,GV-AT,GV-AT-P3
Security Awareness Training,SAT,SAT-01.2,Phishing Training,GV-P,GV-AT,GV-AT-P4
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,CT-P,CT-PO,CT-PO-P1
Technology Development Acquisition,TDA,TDA-02,Acquisition Program,GV-P,GV-PM,GV-PM-P11
Technology Development Acquisition,TDA,TDA-03,Secure Development Lifecycle,CT-P,CT-PO,CT-PO-P2
Third-Party Management,TPM,TPM-01,Third-Party Management Program,GV-P,GV-PM,GV-PM-P12
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,GV-P,GV-RM,GV-RM-P5
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,GV-P,GV-PM,GV-PM-P13
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,CM-P,CM-TM,CM-TM-P1
Third-Party Management,TPM,TPM-03,Service Provider Inventory,ID-P,ID-IM,ID-IM-P7
Threat Management,THR,THR-01,Threat Management Program,GV-P,GV-RM,GV-RM-P1
Threat Management,THR,THR-01.1,Threat Intelligence,GV-P,GV-RM,GV-RM-P6
Threat Management,THR,THR-01.2,Threat Assessment,GV-P,GV-RM,GV-RM-P2
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,CT-P,CT-PO,CT-PO-P1
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,GV-P,GV-RM,GV-RM-P2
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,CT-P,CT-PO,CT-PO-P2
Web Security,WEB,WEB-01,Web Security Program,CT-P,CT-PO,CT-PO-P1
Web Security,WEB,WEB-01.1,Web Application Security,CT-P,CT-PO,CT-PO-P2
Web Security,WEB,WEB-03,Input Validation,CT-P,CT-PO,CT-PO-P3
