scf_control_id,scf_control_name,scf_domain,external_control_id,external_framework,external_framework_version,external_framework_full_name,relationship_type,strength,justification,date_established,notes
AST-01,Asset Governance ,Asset Management,2.1,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,1.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,6.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,1.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,1.1,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.1,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,6.6,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,1.1,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.1,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,2.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02,Asset Inventories ,Asset Management,6.6,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,1.5,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.2,Automated Unauthorized Component Detection,Asset Management,2.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.3,Component Duplication Avoidance ,Asset Management,1.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.3,Component Duplication Avoidance ,Asset Management,1.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.3,Component Duplication Avoidance ,Asset Management,1.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.5,Network Access Control (NAC),Asset Management,13.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.5,Network Access Control (NAC),Asset Management,13.9,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.6,Dynamic Host Configuration Protocol (DHCP) Server Logging,Asset Management,1.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.6,Dynamic Host Configuration Protocol (DHCP) Server Logging,Asset Management,1.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.6,Dynamic Host Configuration Protocol (DHCP) Server Logging,Asset Management,1.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.6,Dynamic Host Configuration Protocol (DHCP) Server Logging,Asset Management,1.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.6,Dynamic Host Configuration Protocol (DHCP) Server Logging,Asset Management,1.5,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.7,Software Licensing Restrictions,Asset Management,2.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.7,Software Licensing Restrictions,Asset Management,2.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.7,Software Licensing Restrictions,Asset Management,2.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.7,Software Licensing Restrictions,Asset Management,2.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.9,Configuration Management Database (CMDB),Asset Management,2.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.9,Configuration Management Database (CMDB),Asset Management,2.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.9,Configuration Management Database (CMDB),Asset Management,2.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-02.9,Configuration Management Database (CMDB),Asset Management,2.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-03.2,Provenance,Asset Management,16.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,3.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,12.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,3.8,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,12.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,3.8,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-04,Network Diagrams & Data Flow Diagrams (DFDs),Asset Management,12.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-09,"Secure Disposal, Destruction or Re-Use of Equipment ",Asset Management,3.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-09,"Secure Disposal, Destruction or Re-Use of Equipment ",Asset Management,3.5,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-09,"Secure Disposal, Destruction or Re-Use of Equipment ",Asset Management,3.5,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-09,"Secure Disposal, Destruction or Re-Use of Equipment ",Asset Management,3.5,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-16,Bring Your Own Device (BYOD) Usage ,Asset Management,4.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-16,Bring Your Own Device (BYOD) Usage ,Asset Management,4.11,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-16,Bring Your Own Device (BYOD) Usage ,Asset Management,4.11,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-01,Business Continuity Management System (BCMS),Business Continuity & Disaster Recovery,11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-01,Business Continuity Management System (BCMS),Business Continuity & Disaster Recovery,11.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-01,Business Continuity Management System (BCMS),Business Continuity & Disaster Recovery,11.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-01,Business Continuity Management System (BCMS),Business Continuity & Disaster Recovery,11.1,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-01,Business Continuity Management System (BCMS),Business Continuity & Disaster Recovery,11.1,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11,Data Backups,Business Continuity & Disaster Recovery,11.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11,Data Backups,Business Continuity & Disaster Recovery,11.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11,Data Backups,Business Continuity & Disaster Recovery,11.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11,Data Backups,Business Continuity & Disaster Recovery,11.2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.5,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.1,Testing for Reliability & Integrity ,Business Continuity & Disaster Recovery,11.5,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.4,Cryptographic Protection,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.4,Cryptographic Protection,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.4,Cryptographic Protection,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.4,Cryptographic Protection,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-11.5,Test Restoration Using Sampling,Business Continuity & Disaster Recovery,11.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-12,Information System Recovery & Reconstitution,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-12,Information System Recovery & Reconstitution,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-12,Information System Recovery & Reconstitution,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-12,Information System Recovery & Reconstitution,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-13,Backup & Restoration Hardware Protection ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-13,Backup & Restoration Hardware Protection ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-13,Backup & Restoration Hardware Protection ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-13,Backup & Restoration Hardware Protection ,Business Continuity & Disaster Recovery,11.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-14,Isolated Recovery Environment,Business Continuity & Disaster Recovery,11.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-14,Isolated Recovery Environment,Business Continuity & Disaster Recovery,11.4,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-14,Isolated Recovery Environment,Business Continuity & Disaster Recovery,11.4,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
BCD-14,Isolated Recovery Environment,Business Continuity & Disaster Recovery,11.4,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
CFG-01,Configuration Management Program,Configuration Management,2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
CFG-01,Configuration Management Program,Configuration Management,4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
CFG-01,Configuration Management Program,Configuration Management,4.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
