SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,HIPAA_Title,HIPAA_Rule,HIPAA_Requirement_ID,HIPAA_Requirement_Description
Compliance,CPL,CPL-03,Documentation Control,Title II,164.316,HIPAA-164.316(b)(2)(i),Maintain documentation with time limits availability and updates
Configuration Management,CFG,CFG-01,Configuration Management Program,Title II,164.312,HIPAA-164.312(a)(2),Implement access controls
Configuration Management,CFG,CFG-01.1,Configuration Standards,Title II,164.312,HIPAA-164.312(a)(2),Apply standard system configurations
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,Title II,164.312,HIPAA-164.312(b)(2)(i),Monitor system activity for unauthorized access
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,Title II,164.312,HIPAA-164.312(b)(2)(i),Implement centralized audit logging
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,Title II,164.308,HIPAA-164.308(a)(1)(ii)(D),Analyze audit logs to detect unauthorized access
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,Title II,164.312,HIPAA-164.312(a)(2)(iv),Implement encryption of protected health information
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,Title II,164.312,HIPAA-164.312(a)(2)(iv),Encrypt protected health information at rest
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,Title II,164.312,HIPAA-164.312(e)(2)(ii),Encrypt protected health information in transit
Cryptographic Protections,CRY,CRY-04,Key Management,Title II,164.312,HIPAA-164.312(a)(2)(iv),Manage encryption keys securely
Cryptographic Protections,CRY,CRY-05,Key Management Practices,Title II,164.312,HIPAA-164.312(a)(2)(iv),Implement secure key generation and rotation
Data Classification and Handling,DCH,DCH-01,Data Classification Scheme,Title II,164.308,HIPAA-164.308(a)(3)(ii),Classify protected health information
Data Classification and Handling,DCH,DCH-01.1,Data Classification Standards,Title II,164.308,HIPAA-164.308(a)(3)(ii),Align safeguards to information classification
Data Classification and Handling,DCH,DCH-01.3,Sensitive Data Inventory,Title II,164.308,HIPAA-164.308(a)(3)(ii),Identify locations of protected health information
Data Classification and Handling,DCH,DCH-02,Data Handling Procedures,Title II,164.312,HIPAA-164.312(c)(2),Implement secure disposal of protected health information
Data Classification and Handling,DCH,DCH-03,Media Re-use Procedures,Title II,164.310,HIPAA-164.310(d)(2)(ii),Implement procedures for removal of ePHI from electronic media before re-use
Data Classification and Handling,DCH,DCH-06,Media Storage,Title II,164.312,HIPAA-164.312(c)(1),Securely store and dispose of physical media
Endpoint Security,END,END-01,Endpoint Security Program,Title II,164.312,HIPAA-164.312(a)(2)(i),Secure endpoints accessing protected health information
Endpoint Security,END,END-02,Endpoint Hardening,Title II,164.312,HIPAA-164.312(a)(2)(i),Apply hardening to endpoints
Endpoint Security,END,END-02.1,Malware Protection,Title II,164.308,HIPAA-164.308(a)(5)(ii)(B),Implement procedures for guarding against detecting and reporting malicious software
Human Resources Security,HRS,HRS-01,Human Resources Security Program,Title II,164.308,HIPAA-164.308(a)(3),Train personnel on information security
Human Resources Security,HRS,HRS-02,Workforce Clearance Procedures,Title II,164.308,HIPAA-164.308(a)(3)(ii)(B),Implement procedures to determine workforce member access appropriateness
Human Resources Security,HRS,HRS-03,Security Awareness Training,Title II,164.308,HIPAA-164.308(a)(5),Provide security awareness training to personnel
Human Resources Security,HRS,HRS-04,Workforce Sanction Policy,Title II,164.308,HIPAA-164.308(a)(1)(ii)(C),Apply appropriate sanctions against workforce members
Human Resources Security,HRS,HRS-05,Termination Process Management,Title II,164.308,HIPAA-164.308(a)(3)(ii)(C),Implement procedures for terminating access to ePHI
Identification and Authentication,IAC,IAC-01,Identity and Access Management Program,Title II,164.312,HIPAA-164.312(a)(1),Implement authentication controls
Identification and Authentication,IAC,IAC-02,Authentication Mechanisms,Title II,164.312,HIPAA-164.312(a)(2)(i),Assign unique user identification and emergency access procedures
Identification and Authentication,IAC,IAC-03,Access Control Enforcement,Title II,164.312,HIPAA-164.312(a)(2),Enforce access controls for protected health information
Identification and Authentication,IAC,IAC-04,Password Management,Title II,164.308,HIPAA-164.308(a)(5)(ii)(D),Implement procedures for creating changing and safeguarding passwords
Identification and Authentication,IAC,IAC-05,Emergency Access Procedures,Title II,164.312,HIPAA-164.312(a)(2)(ii),Establish procedures for obtaining necessary ePHI during emergency
Identification and Authentication,IAC,IAC-06,Automatic Session Termination,Title II,164.312,HIPAA-164.312(a)(2)(iii),Implement electronic procedures that terminate session after inactivity
Incident Response,IRO,IRO-01,Incident Response Program,Title II,164.308,HIPAA-164.308(a)(6),Establish incident response procedures
Incident Response,IRO,IRO-01.1,Incident Response Plan,Title II,164.308,HIPAA-164.308(a)(6)(ii),Document response and reporting procedures for incidents
Incident Response,IRO,IRO-02,Incident Detection and Analysis,Title II,164.312,HIPAA-164.312(b)(2)(i),Detect security incidents
Incident Response,IRO,IRO-03,Incident Containment and Recovery,Title II,164.308,HIPAA-164.308(a)(6)(ii),Contain and recover from security incidents
Incident Response,IRO,IRO-04,Data Breach Notification,Title II,164.404,HIPAA-164.404(a),Notify individuals of security breaches of protected health information
Information Assurance,IAO,IAO-01,Information Assurance Program,Title II,164.308,HIPAA-164.308(a)(8),Coordinate security evaluation
Information Assurance,IAO,IAO-01.1,Security Assessment Program,Title II,164.308,HIPAA-164.308(a)(8)(i),Plan and execute periodic security assessments
Information Assurance,IAO,IAO-02,Control Testing,Title II,164.308,HIPAA-164.308(a)(8)(i),Test effectiveness of safeguards
Information Assurance,IAO,IAO-03,Penetration Testing,Title II,164.308,HIPAA-164.308(a)(8)(ii),Perform penetration testing
Maintenance,MNT,MNT-01,Maintenance Program,Title II,164.310,HIPAA-164.310(a)(2)(iv),Implement policies and procedures to document repairs and modifications
Maintenance,MNT,MNT-02,Patch Management,Title II,164.312,HIPAA-164.312(a)(2)(i),Apply patches to systems
Maintenance,MNT,MNT-03,Facility Maintenance,Title II,164.310,HIPAA-164.310(a),Maintain facilities containing protected health information
Mobile Device Management,MDM,MDM-01,Mobile Device Management Program,Title II,164.312,HIPAA-164.312(a)(2),Control mobile device access
Mobile Device Management,MDM,MDM-02,Mobile Device Access Control,Title II,164.312,HIPAA-164.312(a)(2),Enforce security controls on mobile devices
Network Security,NET,NET-01,Network Security Program,Title II,164.312,HIPAA-164.312(e)(1),Secure networks transmitting protected health information
Network Security,NET,NET-02,Firewall Configuration,Title II,164.312,HIPAA-164.312(e)(1),Use firewalls to limit network access
Network Security,NET,NET-02.2,Network Segmentation,Title II,164.312,HIPAA-164.312(e)(1)(i),Implement network segmentation
Physical Environmental Security,PES,PES-01,Physical Security Program,Title II,164.310,HIPAA-164.310(a)(1),Limit physical access to facilities with protected health information
Physical Environmental Security,PES,PES-01.1,Physical Access Controls,Title II,164.310,HIPAA-164.310(a)(2)(iii),Implement procedures to control and validate access to facilities
Physical Environmental Security,PES,PES-02,Contingency Facility Access,Title II,164.310,HIPAA-164.310(a)(2)(i),Establish procedures to allow facility access in support of disaster recovery
Physical Environmental Security,PES,PES-03,Media Protection,Title II,164.310,HIPAA-164.310(d)(2)(i),Protect and dispose of physical media containing protected health information
Data Privacy,PRI,PRI-01,Data Privacy Program,Title II,164.308,HIPAA-164.308(a)(1),Establish privacy management process
Data Privacy,PRI,PRI-01.1,Privacy by Design,Title II,164.308,HIPAA-164.308(a)(1),Incorporate privacy into system design
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,Title II,164.308,HIPAA-164.308(a)(1)(ii)(A),Assess privacy risks
Data Privacy,PRI,PRI-02,Personal Data Protection,Title II,164.308,HIPAA-164.308(a)(3)(ii),Protect protected health information from unauthorized access
Data Privacy,PRI,PRI-03,Data Retention and Disposal,Title II,164.312,HIPAA-164.312(c)(2),Define retention and disposal schedules
Data Privacy,PRI,PRI-05,Personal Data Processing,Title II,164.308,HIPAA-164.308(a)(3)(ii)(B),Limit access to protected health information
Third-Party Management,TPM,TPM-01,Third-Party Management Program,Title II,164.308,HIPAA-164.308(b)(1),Establish business associate management policies
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,Title II,164.308,HIPAA-164.308(b)(1)(i),Assess business associate security risks
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,Title II,164.504,HIPAA-164.504(e),Execute business associate agreements
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,Title II,164.308,HIPAA-164.308(b)(1)(ii),Monitor business associate compliance
Third-Party Management,TPM,TPM-03,Service Provider Inventory,Title II,164.308,HIPAA-164.308(b)(1),Maintain inventory of business associates
Security Awareness Training,SAT,SAT-01,Security Awareness Program,Title II,164.308,HIPAA-164.308(a)(5)(i),Implement security awareness training
Security Awareness Training,SAT,SAT-01.1,Awareness Training,Title II,164.308,HIPAA-164.308(a)(5)(ii)(A),Deliver security awareness training
Security Awareness Training,SAT,SAT-01.2,Phishing Training,Title II,164.308,HIPAA-164.308(a)(5)(ii)(A),Train staff on security threats
Security Operations,OPS,OPS-01,Security Operations Program,Title II,164.308,HIPAA-164.308(a)(1),Execute security management processes
Security Operations,OPS,OPS-02,Event Management,Title II,164.312,HIPAA-164.312(b)(2)(i),Respond to and document security events
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,Title II,164.308,HIPAA-164.308(a)(8),Manage vulnerabilities in systems
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,Title II,164.308,HIPAA-164.308(a)(8)(i),Conduct periodic vulnerability assessments
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,Title II,164.312,HIPAA-164.312(a)(2)(i),Remediate identified vulnerabilities
Vulnerability Patch Management,VPM,VPM-05,Integrity Controls,Title II,164.312,HIPAA-164.312(c)(1),Implement integrity verification controls
Workstation Security,WKS,WKS-01,Workstation Use Policy,Title II,164.310,HIPAA-164.310(b),Implement policies and procedures for workstations accessing ePHI
Workstation Security,WKS,WKS-02,Physical Workstation Security,Title II,164.310,HIPAA-164.310(c),Implement physical safeguards for workstations that access ePHI
