scf_control_code,scf_control_name,scf_domain,section_id,chapter_number,section_name,gdpr_article_id,gdpr_article_number,relationship_type,relationship_strength,mapping_quality,notes
CRY-04,Key Management Program,Cryptographic Protections,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Key protection
CRY-05,Sensitive Data Encryption,Cryptographic Protections,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Mandatory encryption
AST-01,Asset Management Program,Asset Management,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,Asset identification
AST-02,Asset Classification,Asset Management,SEC-01-GENERAL,1,General Provisions,ART-004,4,Intersects With,5,Good,Classification framework
AST-03,Sensitive Data Inventory,Asset Management,SEC-03-02,3,Right of Access,ART-015,15,Intersects With,5,Good,Data inventory
IAC-01,Identity and Access Management Program,Identification and Authentication,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Access control core
IAC-02,Authentication Mechanisms,Identification and Authentication,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Authentication methods
IAC-03,Access Control Enforcement,Identification and Authentication,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Access enforcement
IAC-04,Identity Provisioning and Deprovisioning,Identification and Authentication,SEC-04-01,4,Controller/Processor,ART-028,28,Intersects With,5,Good,Processor obligations
IAC-05,Sensitive Data Access Control,Identification and Authentication,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,Access restrictions
END-01,Endpoint Security Program,Endpoint Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Endpoint protection
END-02,Endpoint Hardening,Endpoint Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,System hardening
END-03,Mobile Device Management,Endpoint Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Device management
END-04,Sensitive Data Endpoint Protection,Endpoint Security,SEC-02-PRINCIPLES,2,Principles,ART-009,9,Intersects With,5,Good,Special data protection
NET-01,Network Security Program,Network Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Network security core
NET-02,Network Segmentation,Network Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Network controls
NET-03,Firewall Configuration,Network Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Access controls
MON-01,Event Log Review and Analysis,Continuous Monitoring,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Monitoring requirement
MON-02,Centralized Collection of Security Event Logs,Continuous Monitoring,SEC-04-02,4,Security,ART-033,33,Intersects With,5,Good,Breach notification support
MON-03,Event Log Correlation and Analysis,Continuous Monitoring,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security monitoring
MON-04,Sensitive Data Monitoring,Continuous Monitoring,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Data monitoring
MON-05,Data Breach Monitoring,Continuous Monitoring,SEC-04-02,4,Security,ART-033,33,Subset Of,10,Excellent,Breach detection
VPM-01,Vulnerability Management Program,Vulnerability and Patch Management,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Vulnerability management
VPM-02,Vulnerability Assessment,Vulnerability and Patch Management,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Risk assessment
VPM-03,Patch Management,Vulnerability and Patch Management,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,System updates
VPM-04,Security Measures Implementation,Vulnerability and Patch Management,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Security controls
IRO-01,Incident Response Program,Incident Response,SEC-04-02,4,Security,ART-033,33,Subset Of,10,Excellent,Breach response core
IRO-02,Incident Detection and Analysis,Incident Response,SEC-04-02,4,Security,ART-033,33,Subset Of,10,Excellent,Incident detection
IRO-03,Incident Containment and Recovery,Incident Response,SEC-04-02,4,Security,ART-033,33,Subset Of,10,Excellent,Breach containment
IRO-04,Data Breach Notification,Incident Response,SEC-04-02,4,Security,ART-033,33,Equal,10,Excellent,Authority notification
IRO-05,Consumer Notification Process,Incident Response,SEC-04-02,4,Security,ART-034,34,Equal,10,Excellent,Subject notification
CPL-01,Compliance Monitoring Program,Compliance,SEC-04-04,4,Data Protection Officer,ART-039,39,Subset Of,10,Excellent,DPO tasks
CPL-02,Compliance Assessment,Compliance,SEC-04-04,4,Data Protection Officer,ART-039,39,Intersects With,5,Good,Compliance oversight
CPL-03,Compliance Reporting,Compliance,SEC-08-PENALTIES,8,Penalties,ART-083,83,Intersects With,5,Good,Penalty framework
CPL-04,Privacy Notice Requirements,Compliance,SEC-03-02,3,Right of Access,ART-013,13,Subset Of,10,Excellent,Information provision
CPL-05,Disclosure Mechanisms,Compliance,SEC-03-02,3,Right of Access,ART-015,15,Intersects With,5,Good,Access implementation
CFG-01,Configuration Management Program,Configuration Management,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,System configuration
CFG-02,System Hardening,Configuration Management,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security hardening
CHG-01,Change Management Program,Change Management,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,Change control
CHG-02,Change Control,Change Management,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security impact
BCD-01,Business Continuity and Disaster Recovery Program,Business Continuity and Disaster Recovery,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Availability protection
BCD-02,Business Continuity Planning,Business Continuity and Disaster Recovery,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Continuity measures
HRS-01,Human Resources Security Program,Human Resources Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Personnel security
HRS-02,Security Awareness Training,Human Resources Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Training requirement
HRS-03,Personnel Screening,Human Resources Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Staff vetting
SAT-01,Security Awareness Program,Security Awareness and Training,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Awareness program
SAT-02,Privacy Training,Security Awareness and Training,SEC-02-PRINCIPLES,2,Principles,ART-006,6,Intersects With,5,Good,Privacy education
SAT-03,Incident Response Training,Security Awareness and Training,SEC-04-02,4,Security,ART-033,33,Intersects With,5,Good,Incident training
TPM-01,Third-Party Management Program,Third-Party Management,SEC-04-01,4,Controller/Processor,ART-028,28,Subset Of,10,Excellent,Processor management
TPM-02,Third-Party Risk Assessment,Third-Party Management,SEC-05-TRANSFERS,5,International Transfers,ART-044,44,Intersects With,5,Good,Transfer controls
TPM-03,Service Provider Agreements,Third-Party Management,SEC-04-01,4,Controller/Processor,ART-028,28,Subset Of,10,Excellent,Processor contracts
TPM-04,Third-Party Monitoring,Third-Party Management,SEC-04-04,4,Data Protection Officer,ART-039,39,Intersects With,5,Good,DPO oversight
IAO-01,Information Assurance Program,Information Assurance,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,Assurance assessment
IAO-02,Security Assessment Program,Information Assurance,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Security testing
IAO-03,Penetration Testing,Information Assurance,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security validation
MNT-01,Maintenance Program,Maintenance,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,System maintenance
MNT-02,Patch Management,Maintenance,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,System updates
PES-01,Physical Security Program,Physical and Environmental Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Physical protection
PES-02,Access Controls,Physical and Environmental Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Physical access
PES-03,Media Protection,Physical and Environmental Security,SEC-03-03,3,Right to Rectification/Erasure,ART-017,17,Intersects With,5,Good,Media handling
RSK-01,Risk Management Program,Risk Management,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,DPIA requirement
RSK-02,Risk Assessment,Risk Management,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Assessment process
RSK-03,Risk Response,Risk Management,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Risk mitigation
SEA-01,Secure Engineering and Architecture,Secure Engineering and Architecture,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Secure design
SEA-02,Secure Development Practices,Secure Engineering and Architecture,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Development security
THR-01,Threat Management Program,Threat Management,SEC-04-02,4,Security,ART-033,33,Subset Of,10,Excellent,Threat response
THR-02,Threat Intelligence,Threat Management,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Risk assessment
AAT-01,AI and Autonomous Technology Program,Artificial and Autonomous Technology,SEC-03-04,3,Right to Object,ART-022,22,Intersects With,5,Good,Automated decisions
AAT-02,Algorithmic Bias Prevention,Artificial and Autonomous Technology,SEC-03-04,3,Right to Object,ART-022,22,Intersects With,5,Good,Decision transparency
CLD-01,Cloud Security Governance,Cloud Security,SEC-05-TRANSFERS,5,International Transfers,ART-044,44,Subset Of,10,Excellent,Transfer safeguards
CLD-02,Cloud Service Provider Oversight,Cloud Security,SEC-04-01,4,Controller/Processor,ART-028,28,Intersects With,5,Good,Processor oversight
EMB-01,Embedded Technology Program,Embedded Technology,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,System security
OPS-01,Security Operations Program,Security Operations,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Operations security
OPS-02,Event Management,Security Operations,SEC-04-02,4,Security,ART-033,33,Intersects With,5,Good,Incident detection
PRM-01,Project and Resource Management,Project and Resource Management,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,Project oversight
TDA-01,Technology Development and Acquisition,Technology Development and Acquisition,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Secure acquisition
CAP-01,Capacity and Performance Planning,Capacity and Performance Planning,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,System resilience
WEB-01,Web Security Program,Web Security,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Web application security
WEB-02,Web Application Security,Web Security,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Application controls
MDM-01,Mobile Device Management Program,Mobile Device Management,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Mobile security
MDM-02,Mobile Device Access Control,Mobile Device Management,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Device controls
