SCF_Control,SCF_ID,ISO27002
Cryptographic Protections,CRY,ISO 27002 8.15 Encryption
Data Classification Handling,DCH,ISO 27002 5.12 Classification of Information
Data Classification Handling,DCH,ISO 27002 5.13 Labelling of Information
Data Classification Handling,DCH,ISO 27002 8.3 Information and Access Management
Embedded Technology,EMB,ISO 27002 8.1 User Endpoint Devices
Embedded Technology,EMB,ISO 27002 8.2 Privileged Access Rights
Embedded Technology,EMB,ISO 27002 8.29 Security Testing
Endpoint Security,END,ISO 27002 8.1 User Endpoint Devices
Endpoint Security,END,ISO 27002 8.9 Access Control
Endpoint Security,END,ISO 27002 8.10 Malware Prevention
Human Resources Security,HRS,ISO 27002 6.2 Human Resource Security
Human Resources Security,HRS,ISO 27002 6.3 Management Responsibilities
Human Resources Security,HRS,ISO 27002 6.4 Disciplinary Process
Identification Authentication,IAC,ISO 27002 5.9 Access Control
Identification Authentication,IAC,ISO 27002 8.2 Privileged Access Rights
Identification Authentication,IAC,ISO 27002 8.4 User Registration and De-registration
Incident Response,IRO,ISO 27002 5.31 Identification and Communication of Information Security Events
Incident Response,IRO,ISO 27002 8.34 Information Security Incident Management
Information Assurance,IAO,ISO 27002 5.18 Measurement
Information Assurance,IAO,ISO 27002 5.36 Information Security Compliance
Information Assurance,IAO,ISO 27002 8.36 Information Security Awareness Raising and Training
Maintenance,MNT,ISO 27002 8.1 User Endpoint Devices
Maintenance,MNT,ISO 27002 8.32 Change Management
Maintenance,MNT,ISO 27002 8.6 Management of Secret Authentication Information
Mobile Device Management,MDM,ISO 27002 8.1 User Endpoint Devices
Mobile Device Management,MDM,ISO 27002 8.2 Privileged Access Rights
Mobile Device Management,MDM,ISO 27002 8.3 Information and Access Management
Network Security,NET,ISO 27002 8.20 Network Security
Network Security,NET,ISO 27002 8.21 Security of Network Services
Network Security,NET,ISO 27002 8.22 Segregation of Networks
Physical Environmental Security,PES,ISO 27002 7.1 Physical Security Perimeters
Physical Environmental Security,PES,ISO 27002 7.2 Physical Entry
Physical Environmental Security,PES,ISO 27002 7.3 Securing Facilities and Assets
Data Privacy,PRI,ISO 27002 5.1 Policies for Information Security
Data Privacy,PRI,ISO 27002 5.3 Management of Information Security Personnel
Data Privacy,PRI,ISO 27002 5.12 Classification of Information
Data Privacy,PRI,ISO 27002 5.13 Labelling of Information
Project Resource Management,PRM,ISO 27002 5.1 Policies for Information Security
Project Resource Management,PRM,ISO 27002 5.35 Information Security in Project Management
Risk Management,RSK,ISO 27002 5.4 Organization of Information Security
Risk Management,RSK,ISO 27002 5.7 Threat, Vulnerability and Risk Management
Secure Engineering Architecture,SEA,ISO 27002 8.28 Secure Development Policy
Secure Engineering Architecture,SEA,ISO 27002 8.29 Security Testing
Secure Engineering Architecture,SEA,ISO 27002 8.30 Development and Testing Environments
Security Operations,OPS,ISO 27002 8.16 Monitoring Activities
Security Operations,OPS,ISO 27002 8.34 Information Security Incident Management
Security Awareness Training,SAT,ISO 27002 6.3 Management Responsibilities
Security Awareness Training,SAT,ISO 27002 8.36 Information Security Awareness Raising and Training
Technology Development Acquisition,TDA,ISO 27002 8.25 Supplier Relationship Process for Product and Service Security
Technology Development Acquisition,TDA,ISO 27002 8.28 Secure Development Policy
Technology Development Acquisition,TDA,ISO 27002 8.29 Security Testing
Third-Party Management,TPM,ISO 27002 5.23 Information Security for Supplier Relationships
Third-Party Management,TPM,ISO 27002 8.25 Supplier Relationship Process for Product and Service Security
Third-Party Management,TPM,ISO 27002 8.26 Supplier Security in ICT Supply Chain
Threat Management,THR,ISO 27002 5.7 Threat, Vulnerability and Risk Management
Threat Management,THR,ISO 27002 8.16 Monitoring Activities
Threat Management,THR,ISO 27002 8.35 Information Security Incident Management Response Planning
Vulnerability Patch Management,VPM,ISO 27002 8.1 User Endpoint Devices
Vulnerability Patch Management,VPM,ISO 27002 8.32 Change Management
Vulnerability Patch Management,VPM,ISO 27002 8.33 Information System Acquisition, Development and Maintenance
Web Security,WEB,ISO 27002 8.20 Network Security
Web Security,WEB,ISO 27002 8.24 Protection Against Malware and Ransomware
Web Security,WEB,ISO 27002 8.28 Secure Development Policy
