SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,HITECH_Act_Section,HITECH_Requirement_ID,HITECH_Requirement_Description
Mobile Device Management,MDM,MDM-02,Mobile Device Access Control,Title II,13402,Enforce security controls on mobile devices
Network Security,NET,NET-01,Network Security Program,Title II,13402,Secure networks transmitting protected health information
Network Security,NET,NET-02,Firewall Configuration,Title II,13402,Implement firewalls to limit network access
Network Security,NET,NET-02.2,Network Segmentation,Title II,13402,Segment networks based on security requirements
Physical Environmental Security,PES,PES-01,Physical Security Program,Title II,13402,Limit physical access to facilities containing protected health information
Physical Environmental Security,PES,PES-01.1,Physical Access Controls,Title II,13402,Implement procedures to control and validate facility access
Physical Environmental Security,PES,PES-03,Media Protection,Title II,13402,Protect and securely dispose of media with protected health information
Data Privacy,PRI,PRI-01,Data Privacy Program,Title II,13401,Establish privacy management process for protected health information
Data Privacy,PRI,PRI-01.1,Privacy by Design,Title II,13401,Incorporate privacy into system and process design
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,Title II,13402,Assess privacy risks to protected health information
Data Privacy,PRI,PRI-02,Personal Data Protection,Title II,13401,Protect protected health information from unauthorized access and disclosure
Data Privacy,PRI,PRI-03,Data Retention and Disposal,Title II,13402,Define retention periods and secure disposal for protected health information
Data Privacy,PRI,PRI-05,Personal Data Processing,Title II,13402,Ensure protected health information used only for permitted purposes
Third-Party Management,TPM,TPM-01,Third-Party Management Program,Title II,13406,Establish business associate management policies and procedures
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,Title II,13406,Assess security risks of business associates
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,Title II,13406,Execute business associate agreements ensuring safeguard implementation
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,Title II,13406,Monitor business associates for safeguard compliance
Third-Party Management,TPM,TPM-03,Service Provider Inventory,Title II,13406,Maintain inventory of business associates with protected health information
Security Awareness Training,SAT,SAT-01,Security Awareness Program,Title II,13402,Implement security awareness and training program
Security Awareness Training,SAT,SAT-01.1,Awareness Training,Title II,13402,Deliver periodic security training to workforce
Security Awareness Training,SAT,SAT-01.2,Phishing Training,Title II,13402,Train staff on security threats and social engineering
Security Operations,OPS,OPS-01,Security Operations Program,Title II,13402,Execute security operations for protected health information
Security Operations,OPS,OPS-02,Event Management,Title II,13409,Respond to and document security events and incidents
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,Title II,13402,Manage vulnerabilities in systems containing protected health information
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,Title II,13402,Conduct periodic vulnerability assessments and scans
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,Title II,13402,Remediate identified vulnerabilities promptly
Maintenance,MNT,MNT-01,Maintenance Program,Title II,13402,Maintain systems containing protected health information
Maintenance,MNT,MNT-02,Patch Management,Title II,13402,Apply security patches and updates to systems
Web Security,WEB,WEB-01,Web Security Program,Title II,13402,Secure web applications processing protected health information
Web Security,WEB,WEB-02,Web Application Security,Title II,13402,Implement web application security controls
Web Security,WEB,WEB-03,Input Validation,Title II,13402,Validate web application inputs to prevent attacks
Project Resource Management,PRM,PRM-01,Project Management Program,Title II,13402,Support security objectives with adequate resources
Project Resource Management,PRM,PRM-01.1,Security in SDLC,Title II,13402,Integrate security into development lifecycle
Threat Management,THR,THR-01,Threat Management Program,Title II,13402,Identify threats to protected health information
Threat Management,THR,THR-01.1,Threat Intelligence,Title II,13402,Incorporate threat intelligence into risk assessment
Threat Management,THR,THR-01.2,Threat Assessment,Title II,13402,Assess threats and vulnerabilities to protected health information
Breach Response,IRO,IRO-05,Breach Notification Process,Title II,13404,Notify affected individuals without unreasonable delay of breach
Breach Response,IRO,IRO-06,Media Breach Notification,Title II,13405,Notify media outlets of large breaches affecting more than 500 individuals
Breach Response,IRO,IRO-07,Federal Breach Notification,Title II,13403,Notify Department of Health and Human Services of breaches
Breach Response,IRO,IRO-08,Mitigation Measures,Title II,13404,Provide credit monitoring and mitigation for breach victims
Enforcement,GOV,GOV-05,Business Associate Audit Control,Title II,13410,Cooperate with audits and investigations by DHHS
Enforcement,GOV,GOV-06,Enforcement Actions,Title II,13410,Address corrective actions issued by enforcement authorities
Privacy Management,PRI,PRI-06,Minimum Necessary Rule,Title II,13406,Limit protected health information access to minimum necessary for permitted use
Privacy Management,PRI,PRI-07,Patient Access Rights,Title II,13404,Enable individuals to access their protected health information
Privacy Management,PRI,PRI-08,Amendment Rights,Title II,13405,Allow individuals to request and obtain amendments to protected health information
Privacy Management,PRI,PRI-09,Accounting of Disclosures,Title II,13405,Maintain and provide accounting of protected health information disclosures
Genetic Information Protection,PRI,PRI-10,Genetic Discrimination Prevention,Title II,13405,Prohibit use of genetic information for underwriting health insurance
Notification Requirements,IRO,IRO-09,Notification Without Unreasonable Delay,Title II,13404,Notify individuals of breach as quickly as possible without unreasonable delay
Notification Requirements,IRO,IRO-10,Notification Content Requirements,Title II,13404,Include specific required information in breach notification
Notification Requirements,IRO,IRO-11,Notification Methods,Title II,13404,Use methods to contact individuals including email postal mail and prominent media
Enforcement Penalties,GOV,GOV-07,Penalty Assessment,Title II,13409,Assess penalties for violations and non-compliance
Enforcement Penalties,GOV,GOV-08,Civil Monetary Penalties,Title II,13409,Impose civil penalties for violations of safeguards rule
Enforcement Penalties,GOV,GOV-09,Criminal Penalties,Title II,13410,Enforce criminal penalties for violations with criminal intent
