SCF_Control,SCF_ID,CPRA
Identification Authentication - Management,IAC-07,CPRA 1798.140
Identification Authentication - Review,IAC-08,CPRA 1798.140
Incident Response - Plan,IRO-01,CPRA 1798.150
Incident Response - Training,IRO-02,CPRA 1798.100
Incident Response - Detection,IRO-03,CPRA 1798.150
Incident Response - Response,IRO-04,CPRA 1798.150
Incident Response - Communication,IRO-05,CPRA 1798.150
Incident Response - Evidence,IRO-06,CPRA 1798.150
Information Assurance - Assessment,IAO-01,CPRA 1798.100
Information Assurance - Documentation,IAO-02,CPRA 1798.100
Information Assurance - Review,IAO-03,CPRA 1798.100
Maintenance - Schedule,MNT-01,CPRA 1798.100
Maintenance - Updates,MNT-02,CPRA 1798.100
Maintenance - Tracking,MNT-03,CPRA 1798.100
Maintenance - End-of-Life,MNT-04,CPRA 1798.100
Mobile Device Management - Policy,MDM-01,CPRA 1798.140
Mobile Device Management - Inventory,MDM-02,CPRA 1798.100
Mobile Device Management - Baseline,MDM-03,CPRA 1798.100
Mobile Device Management - Access,MDM-04,CPRA 1798.140
Mobile Device Management - Monitoring,MDM-05,CPRA 1798.150
Network Security - Architecture,NET-01,CPRA 1798.140
Network Security - Diagrams,NET-02,CPRA 1798.140
Network Security - Segmentation,NET-03,CPRA 1798.140
Network Security - Baseline,NET-04,CPRA 1798.100
Network Security - Filtering,NET-05,CPRA 1798.140
Network Security - Access,NET-06,CPRA 1798.140
Network Security - Monitoring,NET-07,CPRA 1798.150
Physical Environmental Security - Perimeter,PES-01,CPRA 1798.140
Physical Environmental Security - Entry,PES-02,CPRA 1798.140
Physical Environmental Security - Surveillance,PES-03,CPRA 1798.140
Physical Environmental Security - Environmental,PES-04,CPRA 1798.140
Physical Environmental Security - Disposal,PES-05,CPRA 1798.140
Data Privacy - Program,PRI-01,CPRA 1798.100
Data Privacy - Governance,PRI-02,CPRA 1798.100
Data Privacy - Assessment,PRI-03,CPRA 1798.100
Data Privacy - Controls,PRI-04,CPRA 1798.140
Data Privacy - Data,PRI-05,CPRA 1798.140
Project Resource Management - Program,PRM-01,CPRA 1798.100
Project Resource Management - Resources,PRM-02,CPRA 1798.100
Risk Management - Framework,RSK-01,CPRA 1798.100
Risk Management - Assessment,RSK-02,CPRA 1798.100
Risk Management - Treatment,RSK-03,CPRA 1798.100
Risk Management - Monitoring,RSK-04,CPRA 1798.150
Secure Engineering Architecture - Engineering,SEA-01,CPRA 1798.140
Secure Engineering Architecture - Architecture,SEA-02,CPRA 1798.140
Secure Engineering Architecture - Design,SEA-03,CPRA 1798.140
Secure Engineering Architecture - Review,SEA-04,CPRA 1798.100
Security Operations - Staffing,OPS-01,CPRA 1798.150
Security Operations - Procedures,OPS-02,CPRA 1798.150
Security Operations - Tools,OPS-03,CPRA 1798.150
Security Awareness Training - Program,SAT-01,CPRA 1798.100
Security Awareness Training - Training,SAT-02,CPRA 1798.100
Security Awareness Training - Refresher,SAT-03,CPRA 1798.100
Security Awareness Training - Role-Based,SAT-04,CPRA 1798.100
Technology Development Acquisition - Development,TDA-01,CPRA 1798.140
Technology Development Acquisition - Acquisition,TDA-02,CPRA 1798.140
Technology Development Acquisition - Secure SDLC,TDA-03,CPRA 1798.140
Technology Development Acquisition - Code Review,TDA-04,CPRA 1798.140
Technology Development Acquisition - Testing,TDA-05,CPRA 1798.100
Technology Development Acquisition - Documentation,TDA-06,CPRA 1798.140
Third-Party Management - Assessment,TPM-01,CPRA 1798.140
Third-Party Management - Agreements,TPM-02,CPRA 1798.140
Third-Party Management - Monitoring,TPM-03,CPRA 1798.150
Third-Party Management - Incidents,TPM-04,CPRA 1798.150
Third-Party Management - Remediation,TPM-05,CPRA 1798.140
Threat Management - Identification,THR-01,CPRA 1798.150
Threat Management - Assessment,THR-02,CPRA 1798.150
Threat Management - Trending,THR-03,CPRA 1798.150
Threat Management - Intelligence,THR-04,CPRA 1798.150
Threat Management - Awareness,THR-05,CPRA 1798.100
Vulnerability Patch Management - Identification,VPM-01,CPRA 1798.140
Vulnerability Patch Management - Assessment,VPM-02,CPRA 1798.140
Vulnerability Patch Management - Remediation,VPM-03,CPRA 1798.140
Vulnerability Patch Management - Testing,VPM-04,CPRA 1798.100
Web Security - Architecture,WEB-01,CPRA 1798.140
Web Security - Baseline,WEB-02,CPRA 1798.100
Web Security - Access,WEB-03,CPRA 1798.140
Web Security - Monitoring,WEB-04,CPRA 1798.150
Web Security - Input Validation,WEB-05,CPRA 1798.140
Web Security - Output Encoding,WEB-06,CPRA 1798.140
Web Security - Headers,WEB-07,CPRA 1798.140
Web Security - WAF,WEB-08,CPRA 1798.140
Web Security - SSL/TLS,WEB-09,CPRA 1798.140
Web Security - Logging,WEB-10,CPRA 1798.150
Web Security - Error Handling,WEB-11,CPRA 1798.140
Web Security - Security Headers,WEB-12,CPRA 1798.140
Web Security - Indicators,WEB-13,CPRA 1798.150
Web Security - Public Content,WEB-14,CPRA 1798.140
Cybersecurity Program Governance,GOV-01,CPRA 1798.100
Data Protection Policies,GOV-02,CPRA 1798.100
Privacy Program,GOV-03,CPRA 1798.100
Organizational Roles,GOV-04,CPRA 1798.100
Metrics and Monitoring,GOV-05,CPRA 1798.150
Risk Management,GOV-06,CPRA 1798.100
Training,GOV-07,CPRA 1798.100
Incident Response,GOV-08,CPRA 1798.150
Compliance,GOV-09,CPRA 1798.100
AI Governance - Program,AAT-01,CPRA 1798.150
AI Governance - Compliance,AAT-02,CPRA 1798.100
AI Governance - Development,AAT-03,CPRA 1798.140
AI Governance - Business Case,AAT-04,CPRA 1798.150
AI Governance - Risk Management,AAT-05,CPRA 1798.150
AI Governance - Stakeholders,AAT-06,CPRA 1798.100
AI Governance - Impact,AAT-07,CPRA 1798.150
AI Governance - Testing,AAT-08,CPRA 1798.100
AI Governance - IP Protection,AAT-09,CPRA 1798.140
AI Governance - Validation,AAT-10,CPRA 1798.100
AI Governance - Transparency,AAT-11,CPRA 1798.150
AI Governance - Data Quality,AAT-12,CPRA 1798.140
