SCF_Control_Code,SCF_Control_Name,SCF_Domain,CPRA_Section,CPRA_Heading,CPRA_Requirement_Description,Relationship_Type,Relationship_Strength,Mapping_Quality
DCH-04,Data Quality Management,Data Classification and Handling,1798.106,Consumers Right to Correct Inaccurate Personal Information,Ensure accuracy and completeness of personal information,Intersects With,5,Good
DCH-05,Data Disposal Procedures,Data Classification and Handling,1798.105,Consumers Right to Delete Personal Information,Implement secure deletion and destruction procedures,Subset Of,10,Excellent
CRY-01,Cryptographic Controls Program,Cryptographic Protections,1798.100,General Duties of Businesses,Implement encryption of personal information at rest and in transit,Subset Of,10,Excellent
CRY-02,Encryption At Rest,Cryptographic Protections,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Apply encryption to personal information stored in systems,Intersects With,5,Good
CRY-03,Encryption In Transit,Cryptographic Protections,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Apply encryption to personal information transmitted over networks,Intersects With,5,Good
CRY-04,Key Management Program,Cryptographic Protections,1798.100,General Duties of Businesses,Manage encryption keys securely throughout their lifecycle,Intersects With,5,Good
AST-01,Asset Management Program,Asset Management,1798.100,General Duties of Businesses,Maintain inventory of systems processing personal information,Subset Of,10,Excellent
AST-02,Asset Classification,Asset Management,1798.140,Definitions,Classify assets by sensitivity of personal information processed,Intersects With,5,Good
AST-03,Sensitive Data Inventory,Asset Management,1798.110,Right to Know What Personal Information is Being Collected,Document systems and assets storing personal information,Intersects With,5,Good
IAC-01,Identity and Access Management Program,Identification and Authentication,1798.100,General Duties of Businesses,Implement access controls limiting access to personal information,Subset Of,10,Excellent
IAC-02,Authentication Mechanisms,Identification and Authentication,1798.100,General Duties of Businesses,Enforce multi-factor authentication for access to personal information,Intersects With,5,Good
IAC-03,Access Control Enforcement,Identification and Authentication,1798.100,General Duties of Businesses,Enforce least privilege access to personal information,Subset Of,10,Excellent
IAC-04,Identity Provisioning and Deprovisioning,Identification and Authentication,1798.100,General Duties of Businesses,Manage user access lifecycles for systems with personal information,Intersects With,5,Good
END-01,Endpoint Security Program,Endpoint Security,1798.100,General Duties of Businesses,Secure endpoint devices accessing personal information,Subset Of,10,Excellent
END-02,Endpoint Hardening,Endpoint Security,1798.100,General Duties of Businesses,Apply security baselines to endpoints processing personal information,Intersects With,5,Good
END-03,Mobile Device Management,Endpoint Security,1798.100,General Duties of Businesses,Control mobile device access to personal information,Intersects With,5,Good
NET-01,Network Security Program,Network Security,1798.100,General Duties of Businesses,Implement network security controls for systems with personal information,Subset Of,10,Excellent
NET-02,Network Segmentation,Network Security,1798.100,General Duties of Businesses,Segregate networks handling personal information from other networks,Intersects With,5,Good
NET-03,Firewall Configuration,Network Security,1798.100,General Duties of Businesses,Configure firewalls to restrict access to personal information systems,Intersects With,5,Good
MON-01,Event Log Review and Analysis,Continuous Monitoring,1798.100,General Duties of Businesses,Monitor access to and use of personal information systems,Subset Of,10,Excellent
MON-02,Centralized Collection of Security Event Logs,Continuous Monitoring,1798.100,General Duties of Businesses,Implement centralized logging of personal information access,Intersects With,5,Good
MON-03,Event Log Correlation and Analysis,Continuous Monitoring,1798.100,General Duties of Businesses,Analyze logs to detect unauthorized personal information access,Intersects With,5,Good
VPM-01,Vulnerability Management Program,Vulnerability and Patch Management,1798.100,General Duties of Businesses,Identify and remediate vulnerabilities in personal information systems,Subset Of,10,Excellent
VPM-02,Vulnerability Assessment,Vulnerability and Patch Management,1798.100,General Duties of Businesses,Conduct periodic vulnerability assessments of personal information systems,Intersects With,5,Good
VPM-03,Patch Management,Vulnerability and Patch Management,1798.100,General Duties of Businesses,Apply security patches to systems processing personal information,Intersects With,5,Good
IRO-01,Incident Response Program,Incident Response,1798.150,Private Right of Action for Data Breaches,Establish incident response procedures for personal information breaches,Subset Of,10,Excellent
IRO-02,Incident Detection and Analysis,Incident Response,1798.150,Private Right of Action for Data Breaches,Detect and investigate unauthorized access to personal information,Subset Of,10,Excellent
IRO-03,Incident Containment and Recovery,Incident Response,1798.150,Private Right of Action for Data Breaches,Contain and remediate personal information breach incidents,Subset Of,10,Excellent
IRO-04,Data Breach Notification,Incident Response,1798.150,Private Right of Action for Data Breaches,Notify affected individuals of personal information breaches,Equal,10,Excellent
IRO-05,Consumer Notification Process,Incident Response,1798.150,Private Right of Action for Data Breaches,Provide timely breach notification to California residents,Equal,10,Excellent
CPL-01,Compliance Monitoring Program,Compliance,1798.155,Administrative Enforcement and Fines,Monitor and assess compliance with CCPA/CPRA requirements,Subset Of,10,Excellent
CPL-02,Compliance Assessment,Compliance,1798.155,Administrative Enforcement and Fines,Conduct periodic compliance audits of privacy program,Intersects With,5,Good
CPL-03,Compliance Reporting,Compliance,1798.130,Notice Disclosure and Reporting Requirements,Report compliance status and breaches to management and authorities,Intersects With,5,Good
CFG-01,Configuration Management Program,Configuration Management,1798.100,General Duties of Businesses,Implement secure configurations for personal information systems,Subset Of,10,Excellent
CFG-02,System Hardening,Configuration Management,1798.100,General Duties of Businesses,Apply hardening standards to personal information systems,Intersects With,5,Good
CHG-01,Change Management Program,Change Management,1798.100,General Duties of Businesses,Manage changes to personal information systems securely,Subset Of,10,Excellent
CHG-02,Change Control,Change Management,1798.100,General Duties of Businesses,Control changes affecting personal information protection,Intersects With,5,Good
BCD-01,Business Continuity and Disaster Recovery Program,Business Continuity and Disaster Recovery,1798.100,General Duties of Businesses,Maintain availability of systems protecting personal information,Subset Of,10,Excellent
BCD-02,Business Continuity Planning,Business Continuity and Disaster Recovery,1798.100,General Duties of Businesses,Develop procedures to recover from personal information system failures,Intersects With,5,Good
HRS-01,Human Resources Security Program,Human Resources Security,1798.100,General Duties of Businesses,Execute sound personnel practices for data protection,Subset Of,10,Excellent
HRS-02,Security Awareness Training,Human Resources Security,1798.100,General Duties of Businesses,Provide training on personal information protection to workforce,Subset Of,10,Excellent
HRS-03,Personnel Screening,Human Resources Security,1798.100,General Duties of Businesses,Screen personnel with access to personal information,Intersects With,5,Good
SAT-01,Security Awareness Program,Security Awareness and Training,1798.100,General Duties of Businesses,Implement security awareness training for personal information handling,Subset Of,10,Excellent
SAT-02,Privacy Training,Security Awareness and Training,1798.100,General Duties of Businesses,Provide privacy compliance training to employees,Intersects With,5,Good
SAT-03,Incident Response Training,Security Awareness and Training,1798.150,Private Right of Action for Data Breaches,Train personnel on breach response procedures,Intersects With,5,Good
TPM-01,Third-Party Management Program,Third-Party Management,1798.140,Definitions,Establish oversight of third parties processing personal information,Subset Of,10,Excellent
TPM-02,Third-Party Risk Assessment,Third-Party Management,1798.115,Right to Know Sales or Sharing and to Whom,Assess privacy risks of service providers and contractors,Intersects With,5,Good
TPM-03,Service Provider Agreements,Third-Party Management,1798.140,Definitions,Execute agreements requiring personal information protection safeguards,Subset Of,10,Excellent
TPM-04,Third-Party Monitoring,Third-Party Management,1798.100,General Duties of Businesses,Monitor third-party compliance with personal information protection,Intersects With,5,Good
IAO-01,Information Assurance Program,Information Assurance,1798.100,General Duties of Businesses,Coordinate security evaluations of personal information systems,Subset Of,10,Excellent
IAO-02,Security Assessment Program,Information Assurance,1798.100,General Duties of Businesses,Plan and execute periodic security assessments,Intersects With,5,Good
IAO-03,Penetration Testing,Information Assurance,1798.100,General Duties of Businesses,Conduct penetration testing to identify vulnerabilities,Intersects With,5,Good
MNT-01,Maintenance Program,Maintenance,1798.100,General Duties of Businesses,Maintain systems protecting personal information,Subset Of,10,Excellent
MNT-02,Patch Management,Maintenance,1798.100,General Duties of Businesses,Apply security patches to personal information systems,Intersects With,5,Good
PES-01,Physical Security Program,Physical and Environmental Security,1798.100,General Duties of Businesses,Limit physical access to facilities with personal information,Subset Of,10,Excellent
PES-02,Access Controls,Physical and Environmental Security,1798.100,General Duties of Businesses,Implement physical access controls to personal information systems,Intersects With,5,Good
PES-03,Media Protection,Physical and Environmental Security,1798.105,Consumers Right to Delete Personal Information,Protect and secure disposal of media containing personal information,Intersects With,5,Good
RSK-01,Risk Management Program,Risk Management,1798.100,General Duties of Businesses,Conduct comprehensive risk analysis for personal information,Subset Of,10,Excellent
RSK-02,Risk Assessment,Risk Management,1798.100,General Duties of Businesses,Perform periodic risk assessments of personal information systems,Intersects With,5,Good
RSK-03,Risk Response,Risk Management,1798.100,General Duties of Businesses,Implement safeguards to control identified privacy risks,Intersects With,5,Good
SEA-01,Secure Engineering and Architecture,Secure Engineering and Architecture,1798.100,General Duties of Businesses,Design systems with privacy and security by design principles,Subset Of,10,Excellent
SEA-02,Secure Development Practices,Secure Engineering and Architecture,1798.100,General Duties of Businesses,Implement secure development lifecycle for personal information systems,Intersects With,5,Good
THR-01,Threat Management Program,Threat Management,1798.100,General Duties of Businesses,Identify threats to personal information confidentiality,Subset Of,10,Excellent
THR-02,Threat Intelligence,Threat Management,1798.100,General Duties of Businesses,Incorporate threat intelligence into risk management,Intersects With,5,Good
AAT-01,AI and Autonomous Technology Program,Artificial and Autonomous Technology,1798.100,General Duties of Businesses,Ensure AI systems processing personal information comply with CPRA,Intersects With,5,Good
AAT-02,Algorithmic Bias Prevention,Artificial and Autonomous Technology,1798.125,Right to Non-Discrimination for Exercise of Privacy Rights,Prevent discriminatory bias in automated decision making with personal data,Intersects With,5,Good
CLD-01,Cloud Security Governance,Cloud Security,1798.140,Definitions,Ensure cloud providers implement CPRA-compliant safeguards,Subset Of,10,Excellent
CLD-02,Cloud Service Provider Oversight,Cloud Security,1798.140,Definitions,Oversee cloud service provider compliance with personal information requirements,Intersects With,5,Good
EMB-01,Embedded Technology Program,Embedded Technology,1798.100,General Duties of Businesses,Secure embedded systems processing personal information,Intersects With,5,Good
OPS-01,Security Operations Program,Security Operations,1798.100,General Duties of Businesses,Execute security operations protecting personal information,Subset Of,10,Excellent
OPS-02,Event Management,Security Operations,1798.150,Private Right of Action for Data Breaches,Respond to and investigate security events affecting personal information,Intersects With,5,Good
PRM-01,Project and Resource Management,Project and Resource Management,1798.100,General Duties of Businesses,Ensure personal information protection integrated into projects,Intersects With,5,Good
TDA-01,Technology Development and Acquisition,Technology Development and Acquisition,1798.100,General Duties of Businesses,Apply privacy requirements to technology development and acquisition,Subset Of,10,Excellent
CAP-01,Capacity and Performance Planning,Capacity and Performance Planning,1798.100,General Duties of Businesses,Plan capacity to maintain availability of personal information systems,Intersects With,5,Good
WEB-01,Web Security Program,Web Security,1798.100,General Duties of Businesses,Secure web applications processing personal information,Subset Of,10,Excellent
WEB-02,Web Application Security,Web Security,1798.100,General Duties of Businesses,Implement web application security controls for personal information,Intersects With,5,Good
MDM-01,Mobile Device Management Program,Mobile Device Management,1798.100,General Duties of Businesses,Control mobile device access to personal information,Subset Of,10,Excellent
MDM-02,Mobile Device Access Control,Mobile Device Management,1798.100,General Duties of Businesses,Enforce security controls on mobile devices with personal information,Intersects With,5,Good
PRI-11,Right to Know Implementation,Data Privacy,1798.110,Right to Know What Personal Information is Being Collected,Provide mechanisms for consumers to know what data is collected,Subset Of,10,Excellent
PRI-12,Right to Know Sales Implementation,Data Privacy,1798.115,Right to Know Sales or Sharing and to Whom,Disclose personal information sales and sharing practices,Subset Of,10,Excellent
PRI-13,Opt-Out Mechanism Implementation,Data Privacy,1798.135,Mechanisms for Opting Out of Sale or Sharing,Implement consumer opt-out mechanisms for data sales and sharing,Subset Of,10,Excellent
PRI-14,Opt-Out Response Procedures,Data Privacy,1798.120,Right to Opt-Out of Sale or Sharing,Process and honor consumer opt-out requests,Subset Of,10,Excellent
PRI-15,Non-Discrimination Implementation,Data Privacy,1798.125,Right to Non-Discrimination for Exercise of Privacy Rights,Ensure no discrimination for consumers exercising privacy rights,Subset Of,10,Excellent
CPL-04,Privacy Notice Requirements,Compliance,1798.130,Notice Disclosure and Reporting Requirements,Provide privacy notices disclosing data collection and use practices,Subset Of,10,Excellent
CPL-05,Disclosure Mechanisms,Compliance,1798.130,Notice Disclosure and Reporting Requirements,Establish mechanisms for consumers to request data disclosures,Intersects With,5,Good
CRY-05,Sensitive Data Encryption,Cryptographic Protections,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Apply enhanced encryption to sensitive personal information,Subset Of,10,Excellent
DCH-06,Sensitive Data Handling,Data Classification and Handling,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Implement enhanced controls for sensitive personal information,Subset Of,10,Excellent
IAC-05,Sensitive Data Access Control,Identification and Authentication,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Restrict access to sensitive personal information with additional controls,Subset Of,10,Excellent
MON-04,Sensitive Data Monitoring,Continuous Monitoring,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Monitor access to and use of sensitive personal information,Intersects With,5,Good
END-04,Sensitive Data Endpoint Protection,Endpoint Security,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Apply enhanced protections to endpoints accessing sensitive data,Intersects With,5,Good
