scf_control_code,scf_control_name,scf_domain,gdpr_article_id,gdpr_article_number,gdpr_chapter,gdpr_section,gdpr_title,relationship_type,relationship_strength,mapping_quality
IAC-01,Identity and Access Management Program,Identification and Authentication,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
IAC-02,Authentication Mechanisms,Identification and Authentication,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
IAC-03,Access Control Enforcement,Identification and Authentication,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
IAC-04,Identity Provisioning and Deprovisioning,Identification and Authentication,ART-028,28,4,SEC-04-01,Processor,Intersects With,5,Good
IAC-05,Sensitive Data Access Control,Identification and Authentication,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
END-01,Endpoint Security Program,Endpoint Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
END-02,Endpoint Hardening,Endpoint Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
END-03,Mobile Device Management,Endpoint Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
END-04,Sensitive Data Endpoint Protection,Endpoint Security,ART-009,9,2,SEC-02-PRINCIPLES,Processing of special categories of personal data,Intersects With,5,Good
NET-01,Network Security Program,Network Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
NET-02,Network Segmentation,Network Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
NET-03,Firewall Configuration,Network Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
MON-01,Event Log Review and Analysis,Continuous Monitoring,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
MON-02,Centralized Collection of Security Event Logs,Continuous Monitoring,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Intersects With,5,Good
MON-03,Event Log Correlation and Analysis,Continuous Monitoring,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
MON-04,Sensitive Data Monitoring,Continuous Monitoring,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
MON-05,Data Breach Monitoring,Continuous Monitoring,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Subset Of,10,Excellent
VPM-01,Vulnerability Management Program,Vulnerability and Patch Management,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
VPM-02,Vulnerability Assessment,Vulnerability and Patch Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
VPM-03,Patch Management,Vulnerability and Patch Management,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
VPM-04,Security Measures Implementation,Vulnerability and Patch Management,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
IRO-01,Incident Response Program,Incident Response,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Subset Of,10,Excellent
IRO-02,Incident Detection and Analysis,Incident Response,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Subset Of,10,Excellent
IRO-03,Incident Containment and Recovery,Incident Response,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Subset Of,10,Excellent
IRO-04,Data Breach Notification,Incident Response,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Equal,10,Excellent
IRO-05,Consumer Notification Process,Incident Response,ART-034,34,4,SEC-04-02,Communication of a personal data breach to the data subject,Equal,10,Excellent
CPL-01,Compliance Monitoring Program,Compliance,ART-039,39,4,SEC-04-04,Tasks of the data protection officer,Subset Of,10,Excellent
CPL-02,Compliance Assessment,Compliance,ART-039,39,4,SEC-04-04,Tasks of the data protection officer,Intersects With,5,Good
CPL-03,Compliance Reporting,Compliance,ART-083,83,8,SEC-08-PENALTIES,General conditions for imposing administrative fines,Intersects With,5,Good
CPL-04,Privacy Notice Requirements,Compliance,ART-013,13,3,SEC-03-02,Information to be provided where personal data are collected from the data subject,Subset Of,10,Excellent
CPL-05,Disclosure Mechanisms,Compliance,ART-015,15,3,SEC-03-02,Right of access by the data subject,Intersects With,5,Good
CFG-01,Configuration Management Program,Configuration Management,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
CFG-02,System Hardening,Configuration Management,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
CHG-01,Change Management Program,Change Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
CHG-02,Change Control,Change Management,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
BCD-01,Business Continuity and Disaster Recovery Program,Business Continuity and Disaster Recovery,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
BCD-02,Business Continuity Planning,Business Continuity and Disaster Recovery,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
HRS-01,Human Resources Security Program,Human Resources Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
HRS-02,Security Awareness Training,Human Resources Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
HRS-03,Personnel Screening,Human Resources Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
SAT-01,Security Awareness Program,Security Awareness and Training,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
SAT-02,Privacy Training,Security Awareness and Training,ART-006,6,2,SEC-02-PRINCIPLES,Lawfulness of processing,Intersects With,5,Good
SAT-03,Incident Response Training,Security Awareness and Training,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Intersects With,5,Good
TPM-01,Third-Party Management Program,Third-Party Management,ART-028,28,4,SEC-04-01,Processor,Subset Of,10,Excellent
TPM-02,Third-Party Risk Assessment,Third-Party Management,ART-044,44,5,SEC-05-TRANSFERS,General principle for transfers,Intersects With,5,Good
TPM-03,Service Provider Agreements,Third-Party Management,ART-028,28,4,SEC-04-01,Processor,Subset Of,10,Excellent
TPM-04,Third-Party Monitoring,Third-Party Management,ART-039,39,4,SEC-04-04,Tasks of the data protection officer,Intersects With,5,Good
IAO-01,Information Assurance Program,Information Assurance,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
IAO-02,Security Assessment Program,Information Assurance,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
IAO-03,Penetration Testing,Information Assurance,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
MNT-01,Maintenance Program,Maintenance,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
MNT-02,Patch Management,Maintenance,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
PES-01,Physical Security Program,Physical and Environmental Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
PES-02,Access Controls,Physical and Environmental Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
PES-03,Media Protection,Physical and Environmental Security,ART-017,17,3,SEC-03-03,Right to erasure,Intersects With,5,Good
RSK-01,Risk Management Program,Risk Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
RSK-02,Risk Assessment,Risk Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
RSK-03,Risk Response,Risk Management,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
SEA-01,Secure Engineering and Architecture,Secure Engineering and Architecture,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
SEA-02,Secure Development Practices,Secure Engineering and Architecture,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
THR-01,Threat Management Program,Threat Management,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Subset Of,10,Excellent
THR-02,Threat Intelligence,Threat Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
AAT-01,AI and Autonomous Technology Program,Artificial and Autonomous Technology,ART-022,22,3,SEC-03-04,Automated individual decision-making, including profiling,Intersects With,5,Good
AAT-02,Algorithmic Bias Prevention,Artificial and Autonomous Technology,ART-022,22,3,SEC-03-04,Automated individual decision-making, including profiling,Intersects With,5,Good
CLD-01,Cloud Security Governance,Cloud Security,ART-044,44,5,SEC-05-TRANSFERS,General principle for transfers,Subset Of,10,Excellent
CLD-02,Cloud Service Provider Oversight,Cloud Security,ART-028,28,4,SEC-04-01,Processor,Intersects With,5,Good
EMB-01,Embedded Technology Program,Embedded Technology,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
OPS-01,Security Operations Program,Security Operations,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
OPS-02,Event Management,Security Operations,ART-033,33,4,SEC-04-02,Notification of a personal data breach to the supervisory authority,Intersects With,5,Good
PRM-01,Project and Resource Management,Project and Resource Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
TDA-01,Technology Development and Acquisition,Technology Development and Acquisition,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
CAP-01,Capacity and Performance Planning,Capacity and Performance Planning,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
WEB-01,Web Security Program,Web Security,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
WEB-02,Web Application Security,Web Security,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
MDM-01,Mobile Device Management Program,Mobile Device Management,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
MDM-02,Mobile Device Access Control,Mobile Device Management,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
