scf_control_id,hipaa_standard_id
HRS-01,HIPAA-164.312(d)
HRS-02,HIPAA-164.308(a)(3)(ii)(B)
HRS-02,HIPAA-164.312(a)(1)
HRS-03,HIPAA-164.308(a)(3)(ii)(B)
HRS-03,HIPAA-164.310(a)(2)(i)
HRS-03,HIPAA-164.312(a)(1)
HRS-04,HIPAA-164.312(d)
HRS-05,HIPAA-164.310(b)
HRS-05.1,HIPAA-164.310(b)
HRS-05.3,HIPAA-164.310(b)
HRS-07,HIPAA-164.308(a)(1)(ii)(C)
HRS-08,HIPAA-164.308(a)(3)(ii)(C)
HRS-09,HIPAA-164.308(a)(3)(ii)(C)
IAC-01,HIPAA-164.308(a)(4)(ii)(B)
IAC-01,HIPAA-164.310(a)(2)(iii)
IAC-01,HIPAA-164.312(a)(1)
IAC-02,HIPAA-164.312(a)(2)(i)
IAC-07,HIPAA-164.308(a)(3)(ii)(C)
IAC-07.1,HIPAA-164.308(a)(3)(ii)(A)
IAC-07.2,HIPAA-164.308(a)(3)(ii)(C)
IAC-08,HIPAA-164.308(a)(3)(ii)(A)
IAC-08,HIPAA-164.308(a)(4)(ii)(C)
IAC-08,HIPAA-164.312(a)(1)
IAC-09,HIPAA-164.312(a)(2)(i)
IAC-15,HIPAA-164.312(a)(2)(ii)
IAC-15.2,HIPAA-164.312(a)(2)(ii)
IAC-15.9,HIPAA-164.312(a)(2)(ii)
IAC-17,HIPAA-164.308(a)(3)(ii)(B)
IAC-21,HIPAA-164.312(a)(1)
IAC-25,HIPAA-164.312(a)(2)(iii)
IAC-28,HIPAA-164.312(d)
IAC-28.1,HIPAA-164.308(a)(3)(ii)(A)
IAC-28.2,HIPAA-164.312(d)
IAC-28.3,HIPAA-164.312(d)
IRO-02,HIPAA-164.308(a)(6)(ii)
IRO-09,HIPAA-164.308(a)(1)(ii)(D)
IAO-01.1,HIPAA-164.308(a)(8)
IAO-02,HIPAA-164.308(a)(8)
MNT-01,HIPAA-164.310(a)(2)(iv)
MNT-01,HIPAA-164.310(d)(1)
MNT-02,HIPAA-164.310(a)(2)(iv)
MNT-04.3,HIPAA-164.310(d)(1)
NET-01,HIPAA-164.312(e)(1)
NET-01,HIPAA-164.312(e)(2)(i)
PES-01,HIPAA-164.310(a)(1)
PES-01,HIPAA-164.310(a)(2)(ii)
PES-01,HIPAA-164.310(a)(2)(iv)
PES-02,HIPAA-164.310(a)(2)(i)
PES-02,HIPAA-164.310(a)(2)(iii)
PES-02.1,HIPAA-164.310(a)(2)(i)
PES-03,HIPAA-164.310(a)(2)(ii)
PES-03,HIPAA-164.310(a)(2)(iii)
PES-03,HIPAA-164.310(c)
PES-03.4,HIPAA-164.310(b)
PES-03.4,HIPAA-164.310(c)
PES-04,HIPAA-164.310(b)
PES-04,HIPAA-164.310(c)
PES-04.1,HIPAA-164.310(c)
PES-06,HIPAA-164.310(a)(2)(iii)
RSK-04,HIPAA-164.308(a)(1)(ii)(A)
OPS-01.1,HIPAA-164.310(b)
OPS-01.1,HIPAA-164.316(b)(2)(ii)
OPS-03,HIPAA-164.310(b)
OPS-03,HIPAA-164.312(e)(2)(ii)
OPS-03,HIPAA-164.316(b)(2)(ii)
SAT-03,HIPAA-164.308(a)(5)(ii)(C)
SAT-03,HIPAA-164.308(a)(5)(ii)(D)
SAT-03.2,HIPAA-164.308(a)(5)(ii)(B)
SAT-03.6,HIPAA-164.308(a)(5)(ii)(A)
TPM-01,HIPAA-164.308(b)(1)
TPM-01,HIPAA-164.312(d)
TPM-02,HIPAA-164.308(a)(7)(ii)(E)
TPM-04,HIPAA-164.308(b)(1)
TPM-05,HIPAA-164.308(b)(1)
TPM-05.2,HIPAA-164.308(b)(1)
TPM-05.4,HIPAA-164.308(b)(1)
