SCF_Control_Code,TISAX_FDE,SCF_Control_Name,TISAX_Requirement_Name,TISAX_FDE_Full,Relationship_Type,Relationship_Strength,Mapping_Quality
HRS-03.2,ISA 1.2,Competency Requirements for Security-Related Positions,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
HRS-04,ISA 2.1,Personnel Screening,Personnel & Training,2.1.1 - Personnel & Training,Intersects With,5,Good
HRS-04.1,ISA 2.1,Roles With Special Protection Measures,Personnel & Training,2.1.1 - Personnel & Training,Intersects With,5,Good
HRS-05,ISA 2.1,Terms of Employment,Personnel & Training,2.1.2 - Personnel & Training,Subset Of,10,Excellent
HRS-06,ISA 2.1,Access Agreements,Personnel & Training,2.1.2 - Personnel & Training,Intersects With,5,Good
HRS-06.1,ISA 2.1,Confidentiality Agreements,Personnel & Training,2.1.2 - Personnel & Training,Equal,10,Excellent
HRS-02.1,ISA 2.1,Users With Elevated Privileges,Personnel & Training,2.1.1 - Personnel & Training,Intersects With,5,Good
IAC-01,ISA 4.1,Identity & Access Management (IAM),Identity & Access Management,4.1.1 - Identity & Access Management,Subset Of,10,Excellent
IAC-02,ISA 4.1,Identification & Authentication for Organizational Users,Identity & Access Management,4.1.2 - Identity & Access Management,Intersects With,5,Good
IAC-02,ISA 4.1,Identification & Authentication for Organizational Users,Identity & Access Management,4.1.3 - Identity & Access Management,Intersects With,5,Good
IAC-07,ISA 4.1,User Provisioning & De-Provisioning,Identity & Access Management,4.1.3 - Identity & Access Management,Intersects With,5,Good
IAC-08,ISA 4.2,Role-Based Access Control (RBAC),Access Control,4.2.1 - Access Control,Intersects With,5,Good
IAC-10.5,ISA 4.1,Protection of Authenticators,Identity & Access Management,4.1.3 - Identity & Access Management,Intersects With,5,Good
IAC-10.8,ISA 4.1,Default Authenticators,Identity & Access Management,4.1.3 - Identity & Access Management,Intersects With,5,Good
IAC-15.5,ISA 4.1,Restrictions on Shared Groups / Accounts,Identity & Access Management,4.1.3 - Identity & Access Management,Intersects With,5,Good
IAC-17,ISA 4.2,Periodic Review of Account Privileges,Access Control,4.2.1 - Access Control,Intersects With,5,Good
IAC-21,ISA 4.2,Least Privilege,Access Control,4.2.1 - Access Control,Intersects With,5,Good
IAC-28.1,ISA 4.2,Management Approval For New or Changed Accounts,Access Control,4.2.1 - Access Control,Intersects With,5,Good
AST-01,ISA 3.1,Asset Governance,Asset Management,3.1.3 - Asset Management,Intersects With,5,Good
AST-01.1,ISA 1.3,Asset-Service Dependencies,Asset Management,1.3.1 - Asset Management,Intersects With,5,Good
AST-01.2,ISA 1.2,Stakeholder Identification & Involvement,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
AST-01.2,ISA 1.3,Stakeholder Identification & Involvement,Asset Management,1.3.1 - Asset Management,Intersects With,5,Good
AST-02.7,ISA 1.3,Software Licensing Restrictions,Asset Management,1.3.4 - Asset Management,Intersects With,5,Good
AST-03,ISA 1.3,Asset Ownership Assignment,Asset Management,1.3.1 - Asset Management,Intersects With,5,Good
AST-04.1,ISA 1.2,Asset Scope Classification,Organization of Information Security,1.2.3 - Organization of Information Security,Intersects With,5,Good
AST-04.1,ISA 1.2,Asset Scope Classification,Organization of Information Security,1.2.4 - Organization of Information Security,Intersects With,5,Good
AST-09,ISA 3.1,Secure Disposal Destruction or Re-Use of Equipment,Asset Management,3.1.3 - Asset Management,Intersects With,5,Good
DCH-01,ISA 5.1,Data Protection,Cryptography & Key Management,5.1.2 - Cryptography & Key Management,Intersects With,5,Good
