SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,ISO27002_Clause,ISO27002_Control,ISO27002_Control_Title
Identification and Authentication,IAC,IAC-01.1,Identity Management System,7,7.3,Access control
Identification and Authentication,IAC,IAC-01.2,User Account Management,7,7.3,Access control
Identification and Authentication,IAC,IAC-02,Authentication Mechanisms,7,7.3,Access control
Identification and Authentication,IAC,IAC-02.1,Password Management,7,7.4,User access management
Identification and Authentication,IAC,IAC-02.2,Multi-Factor Authentication,7,7.4,User access management
Identification and Authentication,IAC,IAC-03,Access Control Enforcement,7,7.3,Access control
Identification and Authentication,IAC,IAC-03.1,Least Privilege,7,7.3,Access control
Identification and Authentication,IAC,IAC-03.2,Separation of Duties,5,5.3,Segregation of duties
Identification and Authentication,IAC,IAC-04,Account Monitoring,8,8.2,Monitoring and review of information security
Incident Response,IRO,IRO-01,Incident Response Program,5,5.1,Policies for information security
Incident Response,IRO,IRO-01.1,Incident Response Plan,8,8.4,Incident management
Incident Response,IRO,IRO-01.2,Incident Response Training,5,5.4,Personnel security
Incident Response,IRO,IRO-02,Incident Detection and Analysis,8,8.3,Detection of information security incidents
Incident Response,IRO,IRO-02.1,Security Monitoring,8,8.2,Monitoring and review of information security
Incident Response,IRO,IRO-03,Incident Containment and Recovery,8,8.4,Incident management
Incident Response,IRO,IRO-03.1,Incident Communication,8,8.4,Incident management
Incident Response,IRO,IRO-04,Data Breach Notification,8,8.4,Incident management
Information Assurance,IAO,IAO-01,Information Assurance Program,5,5.1,Policies for information security
Information Assurance,IAO,IAO-01.1,Security Assessment Program,6,6.6,Information security assessments
Information Assurance,IAO,IAO-01.2,Assessment Execution,6,6.6,Information security assessments
Information Assurance,IAO,IAO-02,Control Testing,6,6.6,Information security assessments
Information Assurance,IAO,IAO-02.1,Assessment Documentation,6,6.6,Information security assessments
Information Assurance,IAO,IAO-03,Penetration Testing,6,6.6,Information security assessments
Maintenance,MNT,MNT-01,Maintenance Program,5,5.1,Policies for information security
Maintenance,MNT,MNT-01.1,Vendor Patch Management,8,8.9,Configuration and change management
Maintenance,MNT,MNT-01.2,Maintenance Scheduling,8,8.9,Configuration and change management
Maintenance,MNT,MNT-02,End-of-Life Asset Management,5,5.9,Asset management
Maintenance,MNT,MNT-02.1,Unsupported Systems,7,7.7,Configuration management
Mobile Device Management,MDM,MDM-01,Mobile Device Management Program,5,5.1,Policies for information security
Mobile Device Management,MDM,MDM-01.1,Mobile Device Inventory,5,5.9,Asset management
Mobile Device Management,MDM,MDM-01.2,Mobile Device Security Controls,7,7.7,Configuration management
Mobile Device Management,MDM,MDM-02,Mobile Device Access Control,7,7.3,Access control
Mobile Device Management,MDM,MDM-02.1,Remote Access Protection,8,8.11,Segregation of networks
Mobile Device Management,MDM,MDM-03,Mobile Device Monitoring,8,8.2,Monitoring and review of information security
Network Security,NET,NET-01,Network Security Program,5,5.1,Policies for information security
Network Security,NET,NET-01.1,Network Architecture,8,8.11,Segregation of networks
Network Security,NET,NET-01.2,Network Design,8,8.11,Segregation of networks
Network Security,NET,NET-02,Firewall Configuration,8,8.11,Segregation of networks
Network Security,NET,NET-02.1,Firewall Rule Management,8,8.11,Segregation of networks
Network Security,NET,NET-02.2,Network Segmentation,8,8.11,Segregation of networks
Network Security,NET,NET-03,Intrusion Detection,8,8.2,Monitoring and review of information security
Network Security,NET,NET-03.1,Network Monitoring,8,8.2,Monitoring and review of information security
Network Security,NET,NET-04,Wireless Network Security,8,8.11,Segregation of networks
Network Security,NET,NET-05,VPN Security,8,8.11,Segregation of networks
Physical Environmental Security,PES,PES-01,Physical Security Program,5,5.1,Policies for information security
Physical Environmental Security,PES,PES-01.1,Physical Access Controls,7,7.5,Physical and environmental security
Physical Environmental Security,PES,PES-01.2,Physical Perimeter,7,7.5,Physical and environmental security
Physical Environmental Security,PES,PES-02,Environmental Controls,7,7.5,Physical and environmental security
Physical Environmental Security,PES,PES-02.1,Facility Monitoring,7,7.5,Physical and environmental security
Physical Environmental Security,PES,PES-03,Media Protection,8,8.6,Handling of information assets
Physical Environmental Security,PES,PES-03.1,Media Storage,7,7.5,Physical and environmental security
Physical Environmental Security,PES,PES-03.2,Media Disposal,8,8.6,Handling of information assets
Data Privacy,PRI,PRI-01,Data Privacy Program,5,5.1,Policies for information security
Data Privacy,PRI,PRI-01.1,Privacy by Design,5,5.1,Policies for information security
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,6,6.1,Information security risk assessment
Data Privacy,PRI,PRI-02,Personal Data Protection,5,5.1,Information classification
Data Privacy,PRI,PRI-02.1,Data Subject Rights,5,5.1,Policies for information security
Data Privacy,PRI,PRI-03,Data Retention and Disposal,8,8.6,Handling of information assets
Data Privacy,PRI,PRI-03.1,Secure Disposal,8,8.6,Handling of information assets
Project Resource Management,PRM,PRM-01,Project Management Program,5,5.1,Policies for information security
Project Resource Management,PRM,PRM-01.1,Security in SDLC,6,6.5,Secure development and deployment practices
Project Resource Management,PRM,PRM-01.2,Project Planning,5,5.1,Policies for information security
Project Resource Management,PRM,PRM-02,Resource Allocation,5,5.1,Policies for information security
Project Resource Management,PRM,PRM-02.1,Budget Management,5,5.1,Policies for information security
Risk Management,RSK,RSK-01,Risk Management Program,6,6.1,Information security risk assessment
Risk Management,RSK,RSK-01.1,Risk Assessment,6,6.1,Information security risk assessment
Risk Management,RSK,RSK-01.2,Risk Prioritization,6,6.1,Information security risk assessment
Risk Management,RSK,RSK-02,Risk Response,6,6.2,Information security risk treatment
Risk Management,RSK,RSK-02.1,Risk Mitigation,6,6.2,Information security risk treatment
Risk Management,RSK,RSK-02.2,Risk Acceptance,6,6.2,Information security risk treatment
Risk Management,RSK,RSK-03,Risk Monitoring,6,6.2,Information security risk treatment
Secure Engineering Architecture,SEA,SEA-01,Secure Engineering Program,6,6.5,Secure development and deployment practices
Secure Engineering Architecture,SEA,SEA-01.1,Secure Design Principles,6,6.5,Secure development and deployment practices
Secure Engineering Architecture,SEA,SEA-01.2,Architecture Review,6,6.5,Secure development and deployment practices
Secure Engineering Architecture,SEA,SEA-02,Secure Code Development,6,6.5,Secure development and deployment practices
Secure Engineering Architecture,SEA,SEA-02.1,Code Review,6,6.5,Secure development and deployment practices
Secure Engineering Architecture,SEA,SEA-02.2,Secure Coding Standards,6,6.5,Secure development and deployment practices
Security Operations,OPS,OPS-01,Security Operations Program,5,5.1,Policies for information security
Security Operations,OPS,OPS-01.1,SOC Establishment,8,8.2,Monitoring and review of information security
Security Operations,OPS,OPS-01.2,SOC Operations,8,8.2,Monitoring and review of information security
Security Operations,OPS,OPS-02,Event Management,8,8.2,Monitoring and review of information security
Security Operations,OPS,OPS-02.1,Alert Handling,8,8.4,Incident management
Security Operations,OPS,OPS-03,Log Management,8,8.2,Monitoring and review of information security
Security Awareness Training,SAT,SAT-01,Security Awareness Program,5,5.4,Personnel security
Security Awareness Training,SAT,SAT-01.1,Awareness Training,5,5.4,Personnel security
Security Awareness Training,SAT,SAT-01.2,Phishing Training,5,5.4,Personnel security
Security Awareness Training,SAT,SAT-02,Training Effectiveness,5,5.4,Personnel security
Security Awareness Training,SAT,SAT-02.1,Training Assessment,5,5.4,Personnel security
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,6,6.5,Secure development and deployment practices
Technology Development Acquisition,TDA,TDA-01.1,Development Framework,6,6.5,Secure development and deployment practices
Technology Development Acquisition,TDA,TDA-01.2,Security Requirements,6,6.5,Secure development and deployment practices
Technology Development Acquisition,TDA,TDA-02,Acquisition Program,5,5.6,Supplier relationships
Technology Development Acquisition,TDA,TDA-02.1,Vendor Evaluation,5,5.6,Supplier relationships
Technology Development Acquisition,TDA,TDA-03,Secure Development Lifecycle,6,6.5,Secure development and deployment practices
Third-Party Management,TPM,TPM-01,Third-Party Management Program,5,5.6,Supplier relationships
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,5,5.6,Supplier relationships
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,5,5.6,Supplier relationships
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,5,5.6,Supplier relationships
Third-Party Management,TPM,TPM-02.1,Performance Evaluation,5,5.6,Supplier relationships
Third-Party Management,TPM,TPM-03,Service Provider Inventory,5,5.6,Supplier relationships
Threat Management,THR,THR-01,Threat Management Program,6,6.1,Information security risk assessment
Threat Management,THR,THR-01.1,Threat Intelligence,6,6.1,Information security risk assessment
Threat Management,THR,THR-01.2,Threat Assessment,6,6.1,Information security risk assessment
Threat Management,THR,THR-02,Threat Response,7,7.1,Preventing unauthorised access
Threat Management,THR,THR-03,Vulnerability Scanning,6,6.2,Information security risk assessment
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,8,8.9,Configuration and change management
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,6,6.1,Information security risk assessment
Vulnerability Patch Management,VPM,VPM-01.2,Patch Management,8,8.9,Configuration and change management
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,8,8.9,Configuration and change management
Vulnerability Patch Management,VPM,VPM-02.1,Vulnerability Tracking,8,8.2,Monitoring and review of information security
Vulnerability Patch Management,VPM,VPM-03,Critical Vulnerability Response,8,8.4,Incident management
Web Security,WEB,WEB-01,Web Security Program,6,6.5,Secure development and deployment practices
Web Security,WEB,WEB-01.1,Web Application Security,6,6.5,Secure development and deployment practices
Web Security,WEB,WEB-01.2,Web Server Hardening,7,7.7,Configuration management
Web Security,WEB,WEB-02,Web Security Monitoring,8,8.2,Monitoring and review of information security
Web Security,WEB,WEB-02.1,Log Monitoring,8,8.2,Monitoring and review of information security
Web Security,WEB,WEB-03,Input Validation,6,6.5,Secure development and deployment practices
