SCF Domain,SCF Domain Code,SCF Control Code,SCF Control Name,NIST CSF v2.0 Function,NIST CSF v2.0 Category,NIST CSF v2.0 Subcategory
Continuous Monitoring,MON,MON-01.3,Event Log Correlation Analysis,DE,DE.CM,DE.CM-04
Continuous Monitoring,MON,MON-01.4,Event Log Anomaly Detection,DE,DE.CM,DE.CM-04
Continuous Monitoring,MON,MON-02,Continuous Monitoring Automation,DE,DE.CM,
Continuous Monitoring,MON,MON-02.1,Automated Event Collection,DE,DE.CM,DE.CM-01
Continuous Monitoring,MON,MON-02.2,Automated Event Analysis,DE,DE.CM,DE.CM-04
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,PR,PR.DS,PR.DS-01
Cryptographic Protections,CRY,CRY-01.1,Cryptographic Controls Approval,PR,PR.DS,PR.DS-01
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,PR,PR.DS,PR.DS-01
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,PR,PR.DS,PR.DS-01
Cryptographic Protections,CRY,CRY-04,Key Management,PR,PR.DS,PR.DS-02
Cryptographic Protections,CRY,CRY-05,Key Management Practices,PR,PR.DS,PR.DS-02
Cryptographic Protections,CRY,CRY-09,Cryptographic Key Management,PR,PR.DS,PR.DS-02
Cryptographic Protections,CRY,CRY-12,Certificate Monitoring,PR,PR.DS,
Data Classification Handling,DCH,DCH-01,Data Classification Scheme,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-01.1,Data Classification Standards,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-01.2,Data Classification Implementation,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-01.3,Sensitive Data Inventory,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-01.4,Data Handling Practices,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-02,Data Handling Procedures,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-06,Data Repository Reviews,PR,PR.DS,PR.DS-03
Data Classification Handling,DCH,DCH-06.3,Sensitive Data Scans,PR,PR.DS,PR.DS-03
Data Privacy,PRI,PRI-01,Data Privacy Program,PR,PR.DS,PR.DS-04
Data Privacy,PRI,PRI-01.1,Privacy Controls,PR,PR.DS,PR.DS-04
Data Privacy,PRI,PRI-01.4,Privacy Officer Role,PR,PR.DS,PR.DS-04
Data Privacy,PRI,PRI-05.5,Personal Data Inventory,PR,PR.DS,PR.DS-04
Asset Management,AST,AST-01,Asset Management Program,ID,ID.AM,ID.AM-01
Asset Management,AST,AST-01.1,Asset Dependency Analysis,ID,ID.AM,ID.AM-01
Asset Management,AST,AST-02,Asset Inventory,ID,ID.AM,ID.AM-02
Asset Management,AST,AST-03,Asset Tracking,ID,ID.AM,ID.AM-02
Asset Management,AST,AST-03.1,Asset Lifecycle Management,ID,ID.AM,ID.AM-02
Asset Management,AST,AST-04,Asset Scoping,ID,ID.AM,
Asset Management,AST,AST-04.1,Asset Scoping Guidance,ID,ID.AM,
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Patch Management Program,ID,ID.RA,ID.RA-01
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Assessment,ID,ID.RA,ID.RA-01
Vulnerability Patch Management,VPM,VPM-03,Patch Management,PR,PR.MA,PR.MA-02
Business Continuity Disaster Recovery,BCD,BCD-01,BCDR Program,RC,RC.RP,RC.RP-01
Business Continuity Disaster Recovery,BCD,BCD-01.1,COOP Documentation,RC,RC.RP,RC.RP-01
Business Continuity Disaster Recovery,BCD,BCD-01.2,COOP Development,RC,RC.RP,RC.RP-01
Business Continuity Disaster Recovery,BCD,BCD-01.4,RTO RPO Definition,RC,RC.RP,RC.RP-02
Business Continuity Disaster Recovery,BCD,BCD-01.5,COOP Activation Criteria,RC,RC.RP,
Business Continuity Disaster Recovery,BCD,BCD-02,Criticality Analysis,RC,RC.RP,RC.RP-01
Business Continuity Disaster Recovery,BCD,BCD-03,COOP Training,RC,RC.RP,
Business Continuity Disaster Recovery,BCD,BCD-04,COOP Testing,RC,RC.RP,RC.RP-02
Business Continuity Disaster Recovery,BCD,BCD-11,Data Backup Scheme,RC,RC.RP,RC.RP-02
Business Continuity Disaster Recovery,BCD,BCD-11.1,Backup Criteria,RC,RC.RP,RC.RP-02
Business Continuity Disaster Recovery,BCD,BCD-11.2,Backup Testing,RC,RC.RP,RC.RP-02
Incident Response,IRO,IRO-01,Incident Response Program,RS,RS.RP,RS.RP-01
Incident Response,IRO,IRO-02,Incident Response Plan,RS,RS.RP,RS.RP-01
Incident Response,IRO,IRO-03,Incident Response Training,RS,RS.RP,
Change Management,CHG,CHG-01,Change Management Program,GV,GV.SC,
Change Management,CHG,CHG-02,Change Control Board,GV,GV.SC,GV.SC-01
Change Management,CHG,CHG-02.1,Change Board Charter,GV,GV.SC,
Change Management,CHG,CHG-02.2,Change Board Minutes,GV,GV.SC,
Change Management,CHG,CHG-02.3,Security Reviews,GV,GV.SC,
Configuration Management,CFG,CFG-01,Configuration Management Program,GV,GV,
Configuration Management,CFG,CFG-02,Secure Baseline Configurations,PR,PR.PS,PR.PS-01
Configuration Management,CFG,CFG-02.1,Configuration Reviews,PR,PR.PS,PR.PS-01
Configuration Management,CFG,CFG-02.5,Configuration Baselines,PR,PR.PS,PR.PS-02
Configuration Management,CFG,CFG-03,Configuration Implementation,PR,PR.PS,PR.PS-03
Configuration Management,CFG,CFG-03.2,Configuration Enforcement,PR,PR.PS,PR.PS-03
Configuration Management,CFG,CFG-05,Secure Configuration Reviews,PR,PR.PS,
Maintenance,MNT,MNT-01,Maintenance Program,PR,PR.MA,PR.MA-01
Maintenance,MNT,MNT-02,Patch Management,PR,PR.MA,PR.MA-02
Network Security,NET,NET-01,Network Security Program,PR,PR.NE,PR.NE-01
Network Security,NET,NET-02,Network Architecture Diagram,PR,PR.NE,PR.NE-01
Network Security,NET,NET-04,Secure Network Configuration,PR,PR.NE,PR.NE-01
Network Security,NET,NET-04.1,Configuration Reviews,PR,PR.NE,PR.NE-01
Cloud Security,CLD,CLD-01,Cloud Security Program,GV,GV.SC,GV.SC-01
Cloud Security,CLD,CLD-06.1,Cloud Configurations,PR,PR,
Cloud Security,CLD,CLD-09,Cloud Service Inventory,GV,GV.SC,
Compliance,CPL,CPL-01,Compliance Program,GV,GV.PO,GV.PO-01
Compliance,CPL,CPL-01.1,Compliance Findings,GV,GV.PO,
Compliance,CPL,CPL-01.2,Compliance Requirements,GV,GV.PO,
Compliance,CPL,CPL-02,Audit Program,GV,GV.PO,
Compliance,CPL,CPL-02.1,Internal Audit,GV,GV.PO,
Compliance,CPL,CPL-03,Control Assessment,GV,GV.PO,
Human Resources Security,HRS,HRS-01,Human Resources Program,GV,GV,
Human Resources Security,HRS,HRS-02,Role Assignment,GV,GV,
Human Resources Security,HRS,HRS-02.1,Role Documentation,GV,GV,
Human Resources Security,HRS,HRS-03,Personnel Responsibilities,GV,GV,
Human Resources Security,HRS,HRS-03.1,Access Agreements,GV,GV,
Human Resources Security,HRS,HRS-04,Personnel Screening,GV,GV,
Human Resources Security,HRS,HRS-04.1,Background Checks,GV,GV,
Human Resources Security,HRS,HRS-04.2,Onboarding Process,GV,GV,
Security Awareness Training,SAT,SAT-01,Security Awareness Program,GV,GV.PO,
Security Awareness Training,SAT,SAT-02,Initial User Training,GV,GV.PO,
Security Awareness Training,SAT,SAT-02.1,Practical Exercises,GV,GV.PO,
Security Awareness Training,SAT,SAT-02.2,Training Documentation,GV,GV.PO,
Security Awareness Training,SAT,SAT-03,Recurring User Training,GV,GV.PO,
Security Awareness Training,SAT,SAT-03.1,Practical Training,GV,GV.PO,
Security Awareness Training,SAT,SAT-03.4,Recurring Training Frequency,GV,GV.PO,
Capacity Planning,CAP,CAP-01,Capacity Planning Program,GV,GV.RM,
Capacity Planning,CAP,CAP-02,Resource Prioritization,GV,GV.RM,
Capacity Planning,CAP,CAP-03,Capacity Planning,GV,GV.RM,
Capacity Planning,CAP,CAP-04,Performance Monitoring,GV,GV.RM,
Project Resource Management,PRM,PRM-01,Cybersecurity Data Privacy Portfolio Management,GV,GV.RM,
Project Resource Management,PRM,PRM-01,Cybersecurity Data Privacy Portfolio Management,GV,GV.RR,GV.RR-03
Project Resource Management,PRM,PRM-01.1,Strategic Plan Objectives,GV,GV.OC,GV.OC-04
Project Resource Management,PRM,PRM-01.1,Strategic Plan Objectives,GV,GV.OV,GV.OV-01
Project Resource Management,PRM,PRM-01.1,Strategic Plan Objectives,GV,GV.RM,
Project Resource Management,PRM,PRM-01.1,Strategic Plan Objectives,ID,ID.BE,ID.BE-02
Project Resource Management,PRM,PRM-01.2,Targeted Capability Maturity Levels,GV,GV.RM,
Project Resource Management,PRM,PRM-01.2,Targeted Capability Maturity Levels,GV,GV.RR,GV.RR-03
Project Resource Management,PRM,PRM-02,Strategic Cybersecurity Architecture,GV,GV.RM,
Project Resource Management,PRM,PRM-02,Strategic Cybersecurity Architecture,GV,GV.RR,GV.RR-03
Secure Engineering Architecture,SEA,SEA-01,Secure Architecture Program,PR,PR,
Secure Engineering Architecture,SEA,SEA-01.1,Architecture Documentation,PR,PR,
Secure Engineering Architecture,SEA,SEA-01.2,Architecture Reviews,PR,PR,
Secure Engineering Architecture,SEA,SEA-07,System Lifecycle Planning,PR,PR,
Secure Engineering Architecture,SEA,SEA-07.1,Lifecycle Management,PR,PR,
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,PR,PR,
Technology Development Acquisition,TDA,TDA-01.1,Secure Development Practices,PR,PR.PO,
Technology Development Acquisition,TDA,TDA-02,Technology Acquisition,PR,PR,
Technology Development Acquisition,TDA,TDA-02.1,Acquisition Requirements,PR,PR.PO,
Technology Development Acquisition,TDA,TDA-02.5,Secure Acquisition,PR,PR.PO,
Technology Development Acquisition,TDA,TDA-04,Third-Party Development,PR,PR,
Technology Development Acquisition,TDA,TDA-06.1,Secure Development Framework,PR,PR.PO,
Artificial Autonomous Technology,AAT,AAT-01,AAT Governance Program,GV,GV,
Artificial Autonomous Technology,AAT,AAT-01.1,AAT Compliance,GV,GV,
Artificial Autonomous Technology,AAT,AAT-01.2,AAT Development Practices,GV,GV,
Artificial Autonomous Technology,AAT,AAT-04,AAT Business Case,GV,GV,
Artificial Autonomous Technology,AAT,AAT-12.1,AAT Training Data,GV,GV,
Embedded Technology,EMB,EMB-01,Embedded Technology Controls,PR,PR.PS,
Embedded Technology,EMB,EMB-02,IoT Risk Management,ID,ID.AM,
Endpoint Security,END,END-01,Endpoint Security Program,PR,PR.PS,PR.PS-04
Endpoint Security,END,END-01A01,Endpoint Baseline Configuration,PR,PR.PS,PR.PS-01
Information Assurance,IAO,IAO-01,Information Assurance Program,GV,GV,
Information Assurance,IAO,IAO-01.1,Control Assessment,GV,GV,
Mobile Device Management,MDM,MDM-01,Mobile Device Management Program,PR,PR.PS,
Mobile Device Management,MDM,MDM-02,Mobile Device Restrictions,PR,PR.DS,
Security Operations,OPS,OPS-01,Security Operations Program,GV,GV,
Security Operations,OPS,OPS-01.1,Security Operations Staff,GV,GV,
Physical Environmental Security,PES,PES-01,Physical Security Program,PR,PR.PS,
Web Security,WEB,WEB-01,Web Security Program,PR,PR.PS,
