SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,CIS_Control_Id,CIS_Control_Name
Embedded Technology,EMB,EMB-01,Embedded Systems Security Program,4,Secure Configuration Management
Embedded Technology,EMB,EMB-01.1,Embedded Systems Risk Assessment,13,Security Assessment and Testing
Embedded Technology,EMB,EMB-01.2,Embedded Systems Security Controls,4,Secure Configuration Management
Embedded Technology,EMB,EMB-02,Firmware Hardening,4,Secure Configuration Management
Embedded Technology,EMB,EMB-02.1,Firmware Updates and Patches,2,Inventory and Control of Software Assets
Endpoint Security,END,END-01,Endpoint Security Program,1,Inventory and Control of Enterprise Assets
Endpoint Security,END,END-01.1,Endpoint Asset Inventory,1,Inventory and Control of Enterprise Assets
Endpoint Security,END,END-01.2,Endpoint Security Standards,4,Secure Configuration Management
Endpoint Security,END,END-02,Endpoint Hardening,4,Secure Configuration Management
Endpoint Security,END,END-02.1,Malware Protection,7,Email and Web Browser Protections
Endpoint Security,END,END-02.2,Host-based Firewall,12,Boundary Defense
Endpoint Security,END,END-03,Endpoint Monitoring,10,Logging and Monitoring
Human Resources Security,HRS,HRS-01,Human Resources Security Program,7,Security Awareness and Skills Training
Human Resources Security,HRS,HRS-01.1,Hiring Practices,7,Security Awareness and Skills Training
Human Resources Security,HRS,HRS-01.2,Background Checks,5,Access Control Management
Human Resources Security,HRS,HRS-02,Personnel Management,5,Access Control Management
Human Resources Security,HRS,HRS-02.1,Role-Based Responsibilities,5,Access Control Management
Human Resources Security,HRS,HRS-02.2,Termination Procedures,5,Access Control Management
Human Resources Security,HRS,HRS-03,Security Awareness Training,7,Security Awareness and Skills Training
Identification and Authentication,IAC,IAC-01,Identity and Access Management Program,5,Access Control Management
Identification and Authentication,IAC,IAC-01.1,Identity Management System,6,Identity and Access Management
Identification and Authentication,IAC,IAC-01.2,User Account Management,5,Access Control Management
Identification and Authentication,IAC,IAC-02,Authentication Mechanisms,6,Identity and Access Management
Identification and Authentication,IAC,IAC-02.1,Password Management,6,Identity and Access Management
Identification and Authentication,IAC,IAC-02.2,Multi-Factor Authentication,6,Identity and Access Management
Identification and Authentication,IAC,IAC-03,Access Control Enforcement,5,Access Control Management
Identification and Authentication,IAC,IAC-03.1,Least Privilege,5,Access Control Management
Identification and Authentication,IAC,IAC-03.2,Separation of Duties,5,Access Control Management
Identification and Authentication,IAC,IAC-04,Account Monitoring,10,Logging and Monitoring
Incident Response,IRO,IRO-01,Incident Response Program,9,Security Incident Management
Incident Response,IRO,IRO-01.1,Incident Response Plan,9,Security Incident Management
Incident Response,IRO,IRO-01.2,Incident Response Training,7,Security Awareness and Skills Training
Incident Response,IRO,IRO-02,Incident Detection and Analysis,9,Security Incident Management
Incident Response,IRO,IRO-02.1,Security Monitoring,10,Logging and Monitoring
Incident Response,IRO,IRO-03,Incident Containment and Recovery,9,Security Incident Management
Incident Response,IRO,IRO-03.1,Incident Communication,9,Security Incident Management
Incident Response,IRO,IRO-04,Data Breach Notification,9,Security Incident Management
Information Assurance,IAO,IAO-01,Information Assurance Program,13,Security Assessment and Testing
Information Assurance,IAO,IAO-01.1,Security Assessment Program,13,Security Assessment and Testing
Information Assurance,IAO,IAO-01.2,Assessment Execution,13,Security Assessment and Testing
Information Assurance,IAO,IAO-02,Control Testing,13,Security Assessment and Testing
Information Assurance,IAO,IAO-02.1,Assessment Documentation,13,Security Assessment and Testing
Information Assurance,IAO,IAO-03,Penetration Testing,13,Security Assessment and Testing
Maintenance,MNT,MNT-01,Maintenance Program,2,Inventory and Control of Software Assets
Maintenance,MNT,MNT-01.1,Vendor Patch Management,2,Inventory and Control of Software Assets
Maintenance,MNT,MNT-01.2,Maintenance Scheduling,4,Secure Configuration Management
Maintenance,MNT,MNT-02,End-of-Life Asset Management,1,Inventory and Control of Enterprise Assets
Maintenance,MNT,MNT-02.1,Unsupported Systems,4,Secure Configuration Management
Mobile Device Management,MDM,MDM-01,Mobile Device Management Program,1,Inventory and Control of Enterprise Assets
Mobile Device Management,MDM,MDM-01.1,Mobile Device Inventory,1,Inventory and Control of Enterprise Assets
Mobile Device Management,MDM,MDM-01.2,Mobile Device Security Controls,4,Secure Configuration Management
Mobile Device Management,MDM,MDM-02,Mobile Device Access Control,5,Access Control Management
Mobile Device Management,MDM,MDM-02.1,Remote Access Protection,12,Boundary Defense
Mobile Device Management,MDM,MDM-03,Mobile Device Monitoring,10,Logging and Monitoring
Network Security,NET,NET-01,Network Security Program,12,Boundary Defense
Network Security,NET,NET-01.1,Network Architecture,12,Boundary Defense
Network Security,NET,NET-01.2,Network Design,12,Boundary Defense
Network Security,NET,NET-02,Firewall Configuration,12,Boundary Defense
Network Security,NET,NET-02.1,Firewall Rule Management,12,Boundary Defense
Network Security,NET,NET-02.2,Network Segmentation,12,Boundary Defense
Network Security,NET,NET-03,Intrusion Detection,10,Logging and Monitoring
Network Security,NET,NET-03.1,Network Monitoring,10,Logging and Monitoring
Network Security,NET,NET-04,Wireless Network Security,12,Boundary Defense
Network Security,NET,NET-05,VPN Security,12,Boundary Defense
Physical Environmental Security,PES,PES-01,Physical Security Program,5,Access Control Management
Physical Environmental Security,PES,PES-01.1,Physical Access Controls,5,Access Control Management
Physical Environmental Security,PES,PES-01.2,Physical Perimeter,5,Access Control Management
Physical Environmental Security,PES,PES-02,Environmental Controls,5,Access Control Management
Physical Environmental Security,PES,PES-02.1,Facility Monitoring,10,Logging and Monitoring
Physical Environmental Security,PES,PES-03,Media Protection,3,Data Protection
Physical Environmental Security,PES,PES-03.1,Media Storage,3,Data Protection
Physical Environmental Security,PES,PES-03.2,Media Disposal,3,Data Protection
Data Privacy,PRI,PRI-01,Data Privacy Program,3,Data Protection
Data Privacy,PRI,PRI-01.1,Privacy by Design,3,Data Protection
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,13,Security Assessment and Testing
Data Privacy,PRI,PRI-02,Personal Data Protection,3,Data Protection
Data Privacy,PRI,PRI-02.1,Data Subject Rights,3,Data Protection
Data Privacy,PRI,PRI-03,Data Retention and Disposal,3,Data Protection
Data Privacy,PRI,PRI-03.1,Secure Disposal,3,Data Protection
Project Resource Management,PRM,PRM-01,Project Management Program,14,Security Awareness and Skills Training
Project Resource Management,PRM,PRM-01.1,Security in SDLC,15,Development and Deployment Security
Project Resource Management,PRM,PRM-01.2,Project Planning,14,Security Awareness and Skills Training
Project Resource Management,PRM,PRM-02,Resource Allocation,14,Security Awareness and Skills Training
Project Resource Management,PRM,PRM-02.1,Budget Management,14,Security Awareness and Skills Training
Risk Management,RSK,RSK-01,Risk Management Program,13,Security Assessment and Testing
Risk Management,RSK,RSK-01.1,Risk Assessment,13,Security Assessment and Testing
Risk Management,RSK,RSK-01.2,Risk Prioritization,13,Security Assessment and Testing
Risk Management,RSK,RSK-02,Risk Response,13,Security Assessment and Testing
Risk Management,RSK,RSK-02.1,Risk Mitigation,13,Security Assessment and Testing
Risk Management,RSK,RSK-02.2,Risk Acceptance,13,Security Assessment and Testing
Risk Management,RSK,RSK-03,Risk Monitoring,13,Security Assessment and Testing
Secure Engineering Architecture,SEA,SEA-01,Secure Engineering Program,15,Development and Deployment Security
Secure Engineering Architecture,SEA,SEA-01.1,Secure Design Principles,15,Development and Deployment Security
Secure Engineering Architecture,SEA,SEA-01.2,Architecture Review,15,Development and Deployment Security
Secure Engineering Architecture,SEA,SEA-02,Secure Code Development,15,Development and Deployment Security
Secure Engineering Architecture,SEA,SEA-02.1,Code Review,15,Development and Deployment Security
Secure Engineering Architecture,SEA,SEA-02.2,Secure Coding Standards,15,Development and Deployment Security
Security Operations,OPS,OPS-01,Security Operations Program,10,Logging and Monitoring
Security Operations,OPS,OPS-01.1,SOC Establishment,10,Logging and Monitoring
Security Operations,OPS,OPS-01.2,SOC Operations,10,Logging and Monitoring
Security Operations,OPS,OPS-02,Event Management,10,Logging and Monitoring
Security Operations,OPS,OPS-02.1,Alert Handling,9,Security Incident Management
Security Operations,OPS,OPS-03,Log Management,10,Logging and Monitoring
Security Awareness Training,SAT,SAT-01,Security Awareness Program,7,Security Awareness and Skills Training
Security Awareness Training,SAT,SAT-01.1,Awareness Training,7,Security Awareness and Skills Training
Security Awareness Training,SAT,SAT-01.2,Phishing Training,7,Security Awareness and Skills Training
Security Awareness Training,SAT,SAT-02,Training Effectiveness,7,Security Awareness and Skills Training
Security Awareness Training,SAT,SAT-02.1,Training Assessment,7,Security Awareness and Skills Training
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,15,Development and Deployment Security
Technology Development Acquisition,TDA,TDA-01.1,Development Framework,15,Development and Deployment Security
Technology Development Acquisition,TDA,TDA-01.2,Security Requirements,15,Development and Deployment Security
Technology Development Acquisition,TDA,TDA-02,Acquisition Program,8,Service Provider Management
Technology Development Acquisition,TDA,TDA-02.1,Vendor Evaluation,8,Service Provider Management
Technology Development Acquisition,TDA,TDA-03,Secure Development Lifecycle,15,Development and Deployment Security
Third-Party Management,TPM,TPM-01,Third-Party Management Program,8,Service Provider Management
Third-Party Management,TPM,TPM-01.1,Third-Party Risk Assessment,8,Service Provider Management
Third-Party Management,TPM,TPM-01.2,Third-Party Agreements,8,Service Provider Management
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,8,Service Provider Management
Third-Party Management,TPM,TPM-02.1,Performance Evaluation,8,Service Provider Management
Third-Party Management,TPM,TPM-03,Service Provider Inventory,8,Service Provider Management
Threat Management,THR,THR-01,Threat Management Program,13,Security Assessment and Testing
Threat Management,THR,THR-01.1,Threat Intelligence,13,Security Assessment and Testing
Threat Management,THR,THR-01.2,Threat Assessment,13,Security Assessment and Testing
Threat Management,THR,THR-02,Threat Response,9,Security Incident Management
Threat Management,THR,THR-03,Vulnerability Scanning,13,Security Assessment and Testing
Vulnerability Patch Management,VPM,VPM-01,Vulnerability Management Program,2,Inventory and Control of Software Assets
Vulnerability Patch Management,VPM,VPM-01.1,Vulnerability Assessment,13,Security Assessment and Testing
Vulnerability Patch Management,VPM,VPM-01.2,Patch Management,2,Inventory and Control of Software Assets
Vulnerability Patch Management,VPM,VPM-02,Vulnerability Remediation,2,Inventory and Control of Software Assets
Vulnerability Patch Management,VPM,VPM-02.1,Vulnerability Tracking,13,Security Assessment and Testing
Vulnerability Patch Management,VPM,VPM-03,Critical Vulnerability Response,9,Security Incident Management
Web Security,WEB,WEB-01,Web Security Program,15,Development and Deployment Security
Web Security,WEB,WEB-01.1,Web Application Security,15,Development and Deployment Security
Web Security,WEB,WEB-01.2,Web Server Hardening,4,Secure Configuration Management
Web Security,WEB,WEB-02,Web Security Monitoring,10,Logging and Monitoring
Web Security,WEB,WEB-02.1,Log Monitoring,10,Logging and Monitoring
Web Security,WEB,WEB-03,Input Validation,15,Development and Deployment Security
