actprovision_id,citation,provision_kind,instrument,note,source_document
prov_APP_1_2,APP 1.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_3,APP 1.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_4,APP 1.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_5,APP 1.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_6,APP 1.6,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_7,APP 1.7,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_8,APP 1.8,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_9,APP 1.9,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_2,APP 2,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_2_1,APP 2.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_2_2,APP 2.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3,APP 3,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_1,APP 3.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_2,APP 3.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_3,APP 3.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_4,APP 3.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_5,APP 3.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_3_6,APP 3.6,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_4,APP 4,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_4_1,APP 4.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_4_2,APP 4.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_4_3,APP 4.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_4_4,APP 4.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_5,APP 5,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_5_1,APP 5.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_5_2,APP 5.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6,APP 6,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_1,APP 6.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_2,APP 6.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_3,APP 6.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_4,APP 6.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_5,APP 6.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_6,APP 6.6,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_6_7,APP 6.7,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7,APP 7,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_1,APP 7.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_2,APP 7.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_3,APP 7.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_4,APP 7.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_5,APP 7.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_6,APP 7.6,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_7,APP 7.7,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_7_8,APP 7.8,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_8,APP 8,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_8_1,APP 8.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_8_2,APP 8.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_9,APP 9,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_9_1,APP 9.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_9_2,APP 9.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_I,Part I,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_II,Part II,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_IIIA,Part IIIA,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_IIIB,Part IIIB,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_IIIC,Part IIIC,Part,Privacy Act 1988 (Cth),Notifiable data breaches. Cited in source guidance; statutory text not present in the supplied sources.,Notifiable Data Breaches (NDB) scheme factsheet (AMSRO) — KB 2/Australia/Notifiable Data Breaches scheme 2018 Guideline.pdf
prov_Part_IV,Part IV,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_IVD,Part IVD,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Part_V,Part V,Part,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_Privacy_Act_1988,Privacy Act 1988,Act,Privacy Act 1988 (Cth),The Act itself. Its statutory text is not present in any of the supplied source files.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_10_4,s 10(4),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_12,s 12,section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13B_1,s 13B(1),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13B_1A,s 13B(1A),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13B_1_a,s 13B(1)(a),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13B_1_b,s 13B(1)(b),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13_1,s 13(1),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13_1_b,s 13(1)(b),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_13_3,s 13(3),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_15,s 15,section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_15_1,s 15(1),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_15_3,s 15(3),section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_s_16A,s 16A,section,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
