Subcategory_Code,Category_Code,Function_Code,Subcategory_Description
GV.RM-P5,GV.RM-P,GV-P,"Lines of communication across the organization are established for privacy risks, including risks from data processing ecosystem parties."
GV.RM-P6,GV.RM-P,GV-P,"A standardized method for calculating, documenting, categorizing, and prioritizing privacy risks is established and communicated."
GV.RM-P7,GV.RM-P,GV-P,"Strategic opportunities (i.e., positive risks) are characterized and included in organizational privacy risk discussions."
GV.OV-P1,GV.OV-P,GV-P,"Privacy risk management strategy outcomes are reviewed to inform and adjust strategy and direction."
GV.OV-P2,GV.OV-P,GV-P,"The privacy risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks."
GV.OV-P3,GV.OV-P,GV-P,"Organizational privacy risk management performance is measured and reviewed to confirm and adjust strategic direction."
GV.RR-P1,GV.RR-P,GV-P,"Organizational leadership is responsible and accountable for privacy risk and fosters a culture that is risk-aware, ethical, and continually improving."
GV.RR-P2,GV.RR-P,GV-P,"Roles and responsibilities for the workforce are established with respect to privacy."
GV.RR-P3,GV.RR-P,GV-P,"Privacy roles and responsibilities are coordinated and aligned with external stakeholders (e.g., service providers, customers, partners)."
GV.RR-P4,GV.RR-P,GV-P,"Adequate resources are allocated commensurate with privacy risk strategy, roles and responsibilities, and policies."
GV.DE-P1,GV.DE-P,GV-P,"Data processing ecosystem risk management strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders."
GV.DE-P2,GV.DE-P,GV-P,"Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program."
GV.DE-P3,GV.DE-P,GV-P,"Interoperability frameworks or similar multi-party approaches are used to manage data processing ecosystem privacy risks."
GV.DE-P4,GV.DE-P,GV-P,"Data processing ecosystem parties are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual, interoperability framework, or other obligations."
GV.DE-P5,GV.DE-P,GV-P,"Data processing ecosystem risk management is integrated into privacy and enterprise risk management, risk assessment, and improvement processes."
GV.AT-P1,GV.AT-P,GV-P,"Personnel are provided with awareness and training so that they possess the knowledge and skills to perform privacy-related tasks."
GV.AT-P2,GV.AT-P,GV-P,"Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform privacy-related tasks."
GV.MT-P1,GV.MT-P,GV-P,"Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization’s business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change."
GV.MT-P2,GV.MT-P,GV-P,"Privacy values, policies, and training are reviewed and any updates are communicated."
GV.MT-P3,GV.MT-P,GV-P,"Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place."
GV.MT-P4,GV.MT-P,GV-P,"Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place."
GV.MT-P5,GV.MT-P,GV-P,"Policies, processes, and procedures are established and in place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g., internal discovery, privacy researchers, professional events)."
GV.MT-P6,GV.MT-P,GV-P,"Policies, processes, and procedures incorporate lessons learned from problematic data actions."
GV.MT-P7,GV.MT-P,GV-P,"Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place."
CT.PO-P1,CT.PO-P,CT-P,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place."
CT.PO-P2,CT.PO-P,CT-P,"Policies, processes, and procedures for enabling data review, transfer, sharing or disclosure, alteration, and deletion are established and in place (e.g., to maintain data quality, manage data retention)."
CT.PO-P3,CT.PO-P,CT-P,"Policies, processes, and procedures for enabling individuals’ data processing preferences and requests are established and in place."
CT.PO-P4,CT.PO-P,CT-P,"A data life cycle to manage data is aligned and implemented with the system development life cycle to manage systems."
CT.DM-P1,CT.DM-P,CT-P,"Data elements can be accessed for review."
CT.DM-P2,CT.DM-P,CT-P,"Data elements can be accessed for transmission or disclosure."
CT.DM-P3,CT.DM-P,CT-P,"Data elements can be accessed for alteration."
CT.DM-P4,CT.DM-P,CT-P,"Data elements can be accessed for deletion."
CT.DM-P5,CT.DM-P,CT-P,"Data are destroyed according to policy."
CT.DM-P6,CT.DM-P,CT-P,"Data are transmitted using standardized formats."
CT.DM-P7,CT.DM-P,CT-P,"Mechanisms for transmitting processing permissions are established and in place."
CT.DM-P8,CT.DM-P,CT-P,"Mechanisms for transmitting data elements in accordance with processing permissions are established and in place."
CT.DM-P9,CT.DM-P,CT-P,"Log records are determined, documented, implemented, and reviewed in accordance with policy and incorporating the principle of data minimization."
CT.DM-P10,CT.DM-P,CT-P,"Technical measures implemented to manage data processing are tested and assessed."
CT.DM-P11,CT.DM-P,CT-P,"Stakeholder privacy preferences are included in algorithmic design objectives and outputs are evaluated against these preferences."
CT.DP-P1,CT.DP-P,CT-P,"Data are processed to limit observability, linkability, and singling out (e.g., data actions take place on local devices, privacy-preserving cryptography)."
CT.DP-P2,CT.DP-P,CT-P,"Data are processed to limit the identification of individuals (e.g., de-identification privacy techniques, tokenization)."
CT.DP-P3,CT.DP-P,CT-P,"Data are processed to limit the formulation of inferences about individuals’ behavior or activities (e.g., data processing is decentralized, distributed architectures)."
CT.DP-P4,CT.DP-P,CT-P,"System or device configurations permit selective collection or disclosure of data elements."
CT.DP-P5,CT.DP-P,CT-P,"Attribute values are substituted with derived attribute values (e.g., providing an ""age older than"" statement rather than the actual age)."
CM.PO-P1,CM.PO-P,CM-P,"Transparency policies, processes, and procedures for communicating data processing purposes, practices, and associated privacy risks are established and in place."
CM.PO-P2,CM.PO-P,CM-P,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established."
CM.AW-P1,CM.AW-P,CM-P,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place."
CM.AW-P2,CM.AW-P,CM-P,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place."
CM.AW-P3,CM.AW-P,CM-P,"System/product/service design enables data processing visibility."
CM.AW-P4,CM.AW-P,CM-P,"Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure."
CM.AW-P5,CM.AW-P,CM-P,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem."
CM.AW-P6,CM.AW-P,CM-P,"Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure."
CM.AW-P7,CM.AW-P,CM-P,"Impacted individuals and organizations are notified about a privacy breach or event."
CM.AW-P8,CM.AW-P,CM-P,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions."
PR.PO-P5,PR.PO-P,PR-P,"Improvements to data protection policies, processes, and procedures are identified (e.g., from evaluations, security tests and exercises, execution of policies, processes, and procedures), communicated, and implemented."
PR.PO-P7,PR.PO-P,PR-P,"Incident response and recovery plans are established, communicated, maintained, and improved."
PR.AA-P1,PR.AA-P,PR-P,"Identities and credentials for authorized individuals, services, and hardware are managed by the organization."
PR.AA-P2,PR.AA-P,PR-P,"Identities are proofed and bound to credentials based on the context of interactions."
PR.AA-P3,PR.AA-P,PR-P,"Individuals, services, and hardware are authenticated commensurate with risk."
PR.AA-P4,PR.AA-P,PR-P,"Identity assertions are protected, conveyed, and verified."
PR.AA-P5,PR.AA-P,PR-P,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties."
PR.AA-P6,PR.AA-P,PR-P,"Physical access to data and devices is managed, monitored, and enforced commensurate with risk."
PR.DS-P1,PR.DS-P,PR-P,"The confidentiality, integrity, and availability of data-at-rest are protected."
PR.DS-P2,PR.DS-P,PR-P,"The confidentiality, integrity, and availability of data-in-transit are protected."
PR.DS-P3,PR.DS-P,PR-P,"Systems/products/services and associated data are managed throughout their life cycle."
PR.DS-P8,PR.DS-P,PR-P,"The authenticity and integrity of hardware and software are assessed prior to acquisition and use."
PR.DS-P9,PR.DS-P,PR-P,"The confidentiality, integrity, and availability of data-in-use are protected."
PR.DS-P10,PR.DS-P,PR-P,"Backups of data are created, protected, maintained, and tested."
PR.PS-P1,PR.PS-P,PR-P,"Configuration management practices are established and applied."
PR.PS-P2,PR.PS-P,PR-P,"Software is maintained, replaced, and removed commensurate with risk."
PR.PS-P3,PR.PS-P,PR-P,"Hardware is maintained, replaced, and removed commensurate with risk."
PR.PS-P4,PR.PS-P,PR-P,"Installation and execution of unauthorized software are prevented."
PR.IR-P1,PR.IR-P,PR-P,"Networks and environments are protected from unauthorized logical access and usage."
PR.IR-P2,PR.IR-P,PR-P,"The organization’s technology assets, including associated data, are protected from environmental threats."
PR.IR-P3,PR.IR-P,PR-P,"Mechanisms are implemented to achieve resilience requirements in normal and adverse situations."
PR.IR-P4,PR.IR-P,PR-P,"Adequate resource capacity to ensure availability is maintained."
