formfield_id,form_id,field_number,label,source_document
FORM-SCH-I-F30,FORM-SCH-I,30,"Whether bank draft/pay order for licence fee enclosed * : Y / N If yes,",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F31,FORM-SCH-I,31,Location of facility in India for generation,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F32,FORM-SCH-I,32,Public Key @,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F33,FORM-SCH-I,33,Whether undertaking for Bank Guarantee/Performance Bond attached * : Y / N,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F34,FORM-SCH-I,34,Whether Certification Practice Statement is enclosed * : Y/N,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F35,FORM-SCH-I,35,Whether certified copies of business registration document are enclosed : Y / N,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F36,FORM-SCH-I,36,Any other information,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F1,FORM-SCH-IV,1,Full Name * [Name of the Karta in case of Hindu Undivided Family],KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F2,FORM-SCH-IV,2,"Have you ever been known by any other name? If Yes,",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F3,FORM-SCH-IV,3,Address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F4,FORM-SCH-IV,4,Address for Communication * Tick √ as applicable A or B,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F5,FORM-SCH-IV,5,Father’s Name *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F6,FORM-SCH-IV,6,Sex * (For Individual Applicant only) Tick √ as applicable : Male / Female,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F7,FORM-SCH-IV,7,Date of Birth (dd/mm/yyyy) * --/--/----,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F8,FORM-SCH-IV,8,Nationality *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F9,FORM-SCH-IV,9,"In case of foreign national, visa details",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F10,FORM-SCH-IV,10,Credit Card Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F11,FORM-SCH-IV,11,E-mail Address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F12,FORM-SCH-IV,12,Web URL address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F13,FORM-SCH-IV,13,Passport Details #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F14,FORM-SCH-IV,14,Voter’s Identity Card No. #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F15,FORM-SCH-IV,15,Income Tax PAN no. #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F16,FORM-SCH-IV,16,ISP Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F17,FORM-SCH-IV,17,"Personal Web page URL, if any",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F18,FORM-SCH-IV,18,Registration Number *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F19,FORM-SCH-IV,19,Date of Incorporation/Agreement/Partnership * --/--/----,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F20,FORM-SCH-IV,20,"Particulars of Business, if any: *",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F21,FORM-SCH-IV,21,Income Tax PAN No.*,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F22,FORM-SCH-IV,22,Turnover in the last financial year Rs.,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F23,FORM-SCH-IV,23,"Names, Addresses etc. of Partners/Members/Directors (For Information about more persons,",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F24,FORM-SCH-IV,24,Particulars of Organisation/Agency : *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F25,FORM-SCH-IV,25,Bank Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F26,FORM-SCH-IV,26,Type of Digital Signature Certificate required *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-IV-F27,FORM-SCH-IV,27,Any other detail,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F1,FORM-1,1,Particulars of the applicant:—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F2,FORM-1,2,Particulars of the respondent :,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F3,FORM-1,3,Particulars of the Order against which application is made :,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F4,FORM-1,4,Jurisdiction of the Tribunal:,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F5,FORM-1,5,Limitation.—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F6,FORM-1,6,Fact of the case:—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F7,FORM-1,7,Relief(s) sought :—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F8,FORM-1,8,"Interim order, if prayed for :",KB 2/India/Information Technology Act 2000.pdf
FORM-1-F9,FORM-1,9,Details of the remedies exhausted :—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F10,FORM-1,10,"Matter not pending with any other court, etc.—",KB 2/India/Information Technology Act 2000.pdf
FORM-1-F11,FORM-1,11,Details of Index :—,KB 2/India/Information Technology Act 2000.pdf
FORM-1-F12,FORM-1,12,List of enclosures :—,KB 2/India/Information Technology Act 2000.pdf
FORM-2-F1,FORM-2,1,Name of legal practitioner on whose behalf the clerk is to be registered.,KB 2/India/Information Technology Act 2000.pdf
FORM-2-F2,FORM-2,2,Particulars of the clerk to be registered.,KB 2/India/Information Technology Act 2000.pdf
FORM-2-F3,FORM-2,3,Whether the legal practitioner has a clerk already registered in his employ and,KB 2/India/Information Technology Act 2000.pdf
FORM-2-F4,FORM-2,4,Whether the clerk sought to be registered is already registered as a clerk of,KB 2/India/Information Technology Act 2000.pdf
