subarticle_id,subarticle_number,article_id,article_number,reference,text,source_document
A8-1,1,A8,8,Article 8(1),"Section 65 of the NDP Act provides, a ""data controller or data processor of major importance"" means a data controller or data processor that is domiciled, resident in, or operating in Nigeria and processes or intends to process personal data of more than such number of data subjects who are within Nigeria, as the Commission may prescribe, or such other class of data controller or data processor that is processing personal data of particular value or significance to the economy, society or security of Nigeria as the Commission may designate.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A8-2,2,A8,8,Article 8(2),"In line with Section 2 of the NDP Act ""domiciled, resident in, or operating in Nigeria"" means:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A8-3,3,A8,8,Article 8(3),"In assessing what is of value or significance to the economy, society or security of Nigeria, the Commission shall take into consideration all relevant factors – including but not limited to the following:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A8-4,4,A8,8,Article 8(4),"In order to ensure proportionality of obligations in relation to various levels of major data processing, the Commission classifies data controllers and data processors into 3 (three) levels or categories of data processing, namely:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A8-5,5,A8,8,Article 8(5),"For direction on the factors taken into account by the Commission in determining what is of value or significance to the economy, society or security of Nigeria; and registration and fees by a data controller or a data processor of major importance, the Guidance Notice with reference number NDPC/HQ/GN/VOL.02/24 issued by the Commission and reproduced in this NDP Act-GAID as Schedule 4, shall be relied upon until such a time that the Commission amends or replaces the said Guidance Notice.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-1,1,A9,9,Article 9(1),A data controller or a data processor of major importance as designated by the Commission shall register with the Commission in accordance with the Guidance Notice with reference number NDPC/HQ/GN/VOL.02/24 issued by the Commission and reproduced in this NDP Act-GAID as Schedule 4.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-2,2,A9,9,Article 9(2),A data controller or a data processor in the category of Major Data Processing – Ultra High Level or Major Data Processing – Extra High Level shall register once and shall only be required to file CAR annually.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-3,3,A9,9,Article 9(3),A data controller or a data processor in the category of Major Data Processing – Ordinary High Level shall renew its registration with the Commission on an annual basis and it shall not be required to file annual CAR.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-4,4,A9,9,Article 9(4),"A data controller or data processor of major importance shall notify the Commission of any significant change to the information submitted in its most recent registration submission within sixty (60) days after such change by providing any information required by the Commission through any electronic submission system provided by the Commission, or in the absence of which by email to an address provided by the Commission for such purpose.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-5,5,A9,9,Article 9(5),"If a data controller or data processor no longer qualifies as a data controller or data processor of major importance, they may request removal from the register by providing the information required by the Commission through any electronic submission system provided by the Commission, or in the absence of which by email to an address that the Commission shall publish on its website.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-6,6,A9,9,Article 9(6),"Notwithstanding its removal from the register, a former data controller or data processor of major importance shall remain responsible for payment of any outstanding annual fees from the then-current and any prior annual registration periods.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A9-7,7,A9,9,Article 9(7),The Commission shall publish on its website the register of data controllers and data processors of major importance that have duly registered with it and shall update the register at least once annually.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-1,1,A10,10,Article 10(1),A data controller or a data processor shall carry out periodic compliance audit of its data processing activities with a view to mitigating the risk of data breaches through appropriate technical and organisational measures.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-2,2,A10,10,Article 10(2),"In order to carry out an audit, a data controller or a data processor shall adopt a risk-based approach as may be associated with people, processes and technologies involved in its data processing value chain.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-3,3,A10,10,Article 10(3),A data controller or a data processor shall develop or adopt privacy audit controls in line with global best practices. Each model of audit may comprise of a series of techniques ranging from simple to complex and technical to organisational.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-4,4,A10,10,Article 10(4),A data controller or data processor shall identify each point of risk and determine the techniques and frequency of audit to be carried out on each point of risk subject to any directive by the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-5,5,A10,10,Article 10(5),"Where personal data may be accessed from an online device of a data controller or data processor, such personal data is vulnerable to data security breaches. The audit of such online device shall be as frequently as possible.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-6,6,A10,10,Article 10(6),A data controller or data processor of major importance shall file NDP Act Compliance Audit Returns (CAR) on an annual basis.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-7,7,A10,10,Article 10(7),"In the case of a data controller or a data processor of major importance that was established before the 12th day of June 2023, it shall file its CAR not later than the 31st of March each year.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-8,8,A10,10,Article 10(8),"In the case of a data controller or data processor of major importance established after the 12th day of June 2023, it shall file CAR not later than eighteen (18) months after its establishment and shall subsequently file its CAR annually.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-9,9,A10,10,Article 10(9),"Where a data controller or data processor fails to file its CAR as and when due, it shall pay, in addition to the stipulated filing fee, an administrative penalty, which shall be 50% of the stipulated CAR filing fee.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-10,10,A10,10,Article 10(10),CAR filing fees are as follows:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-11,11,A10,10,Article 10(11),"Where a CAR has been filed, the Commission may where necessary, direct that additional information be provided by a data controller or a data processor of major importance or by any person connected to the data processing under audit.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-12,12,A10,10,Article 10(12),The annual filing of CAR as prescribed in Sub-Article 8 of this Article shall be carried out through an automated platform or portal provided by the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A10-13,13,A10,10,Article 10(13),"Except as otherwise approved by the Commission, a data controller or a data processor within the categories of a) Major Data Processing – Ultra High Level (MDP-UHL) b) Major Data Processing – Extra High Level (MDP-EHL) shall file CAR through a Data Protection Compliance Organisation (DPCO) licensed by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A11-1,1,A11,11,Article 11(1),"Section 32 of the NDP Act mandates the designation of a DPO, accordingly, the DPO may be a staff member of the data controller, or fulfil the tasks on the basis of a service contract.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A11-2,2,A11,11,Article 11(2),The data controller or the data processor shall publish the contact details of the DPO and communicate the same to the Commission in the prescribed form.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-1,1,A12,12,Article 12(1),A data controller or a data processor shall actively engage its DPO in all issues which relate to the processing of personal data.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-2,2,A12,12,Article 12(2),"The data controller or data processor shall give appropriate support to the DPO in performing the data protection responsibilities as prescribed by the NDP Act or by the Commission. Accordingly, the data controller or data processor shall put in place the necessary organisational measures, namely:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-3,3,A12,12,Article 12(3),"The data controller or data processor shall ensure that the DPO does not carry out his or her task under duress, coercion, covert or overt influence.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-4,4,A12,12,Article 12(4),He or she shall not be dismissed or penalised by the data controller or the data processor for performing his or her tasks.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-5,5,A12,12,Article 12(5),The DPO shall directly report to the management level of the controller or the processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-6,6,A12,12,Article 12(6),Data subjects may contact the DPO with regard to all issues relating to the processing of their personal data and to the exercise of their rights under the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-7,7,A12,12,Article 12(7),"The DPO shall be bound by secrecy or confidentiality concerning the performance of his or her tasks, in accordance with relevant legislation.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A12-8,8,A12,12,Article 12(8),The DPO may fulfil other tasks and duties. The data controller or data processor shall ensure that any such tasks and duties do not result in a conflict of interest.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-1,1,A13,13,Article 13(1),A data controller or a data processor shall ensure that a semi-annual data protection report is compiled by its DPO and submitted to its management.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-2,2,A13,13,Article 13(2),The report shall be submitted to an officer of the data controller or data processor who is authorised to receive a Record of Processing Activities (ROPA).,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-3,3,A13,13,Article 13(3),The report shall be acknowledged by the receiving officer and shall form part of the ROPA by the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-4,4,A13,13,Article 13(4),The report shall be verified by a DPCO during the NDP Act compliance audit.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A13-5,5,A13,13,Article 13(5),"The report to be submitted by the DPO shall among others, contain the compliance status of the data controller or data processor under the NDP Act – particularly taking into account:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-1,1,A14,14,Article 14(1),The Commission shall create a database of Certified DPOs who are designated by data controllers and data processors in furtherance of Section 32 of the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-2,2,A14,14,Article 14(2),"The Commission shall carry out Annual Credential Assessment (ACA) of DPOs in order to ensure that each DPO maintains the level of professionalism required to carry out his or her responsibilities towards safeguarding the rights and interests of data subjects as required under the NDP Act, relevant case laws and any regulatory instrument issued by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-3,3,A14,14,Article 14(3),"Pending the development of a Code of Conduct for DPOs, a DPO shall be guided by the provisions of the NDP Act, this NDP Act-GAID, the Code of Conduct for Data Protection Compliance Organisations (DPCOs) and any other relevant instrument issued by the Commission; thus, directives, codes or guidance relating to professionalism and ethics under these instruments shall apply to a DPO, with necessary modification, as if they were specifically directed at him or her.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-4,4,A14,14,Article 14(4),The Certification of a DPO shall be verified by the Commission as part of the Compliance Audit Returns prescribed by the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-5,5,A14,14,Article 14(5),verification scores or decline verification where the evidence wholly lacks credibility.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A14-6,6,A14,14,Article 14(6),"The fee for a DPO's credential assessment shall be N2,000 (Two thousand naira) annually.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-1,1,A15,15,Article 15(1),The entire principles of data protection are obligatory in any form of data processing. The principles under section 24 of the NDP Act are:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A15-2,2,A15,15,Article 15(2),The scope of the foregoing principles is more particularly described in Schedule 1 of this NDP Act-GAID.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-1,1,A16,16,Article 16(1),"In line with Section 25 of the NDP Act, it is important for a data controller to carefully assess the lawful basis of data processing before embarking on same.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-2,2,A16,16,Article 16(2),"Subject to the provisions of the NDP Act and any regulatory instruments issued by the Commission, a data controller may rely on any one of the following lawful basis of data processing in order to process personal data. They are:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A16-3,3,A16,16,Article 16(3),"As the party who determines the purpose of data processing, the data controller is ultimately responsible for determining the lawful basis of data processing.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
