articlesubitem_id,subitem_label,articleitem_id,article_number,reference,text,source_document
A2-b-32,32,A2-b,2,Article 2(b)(32),"Maritime,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b-33,33,A2-b,2,Article 2(b)(33),"Taxation,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b-34,34,A2-b,2,Article 2(b)(34),"Trade and commerce, and in particular trade and commerce between Nigeria and other countries including import of commodities into and export of commodities from Nigeria, trade and commerce between the States,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b-35,35,A2-b,2,Article 2(b)(35),"Weights and measures,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b-36,36,A2-b,2,Article 2(b)(36),"Wireless, broadcasting and television other than broadcasting and television provided by the Government of a State, allocation of wave-lengths for wireless, broadcasting and television transmission, and","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b-37,37,A2-b,2,Article 2(b)(37),The establishment and regulation of authorities for the Federation or any part thereof to promote and enforce the observance of the Fundamental Objectives and Directive Principles of State Policy under the 1999 Constitution of the Federal Republic of Nigeria.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-d-i,i,A17-3-d,17,Article 17(3)(d)(i),"Uphold equality before the law,","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3-d-ii,ii,A17-3-d,17,Article 17(3)(d)(ii),Submit to the neutrality and impartiality of courts of competent jurisdiction;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-i,i,A32-2-e,32,Article 32(2)(e)(i),The types of personal data to be processed (types to be supplied by the data controller);,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-ii,ii,A32-2-e,32,Article 32(2)(e)(ii),The lawful purpose for processing the personal data (lawful purpose to be supplied by the data controller);,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-iii,iii,A32-2-e,32,Article 32(2)(e)(iii),The personal data to be processed without prejudice to data subjects' right to privacy;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-iv,iv,A32-2-e,32,Article 32(2)(e)(iv),No personal data will be processed unless such personal data is crucial to the lawful purposes being pursued through the use of the software;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-v,v,A32-2-e,32,Article 32(2)(e)(v),Technical and organisational measures are implemented as part of privacy by design and by default (types of technical measures such as encryption should be specifically indicated);,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-vi,vi,A32-2-e,32,Article 32(2)(e)(vi),A DPIA has been conducted and the result indicates that the use of the software is unlikely to compromise data privacy and protection;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-vii,vii,A32-2-e,32,Article 32(2)(e)(vii),Prompt technical support on data privacy and protection is accessible via the software (link shall be supplied by the data controller);,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-viii,viii,A32-2-e,32,Article 32(2)(e)(viii),"Self-service measures which may disable, uninstall or restrict the software is available (link shall be supplied by the data controller);","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2-e-ix,ix,A32-2-e,32,Article 32(2)(e)(ix),"Grievances redress, right to complain to a data protection authority - (link should be provided by the developer comprising a list of countries and their data protection authorities respectively).","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
