exhibit_id,kind,label,caption,source_line,source_document
Figure_5_1,Figure,Figure 5-1,An example change-based testing report from Parasoft DTP showing areas of the code that are and are not tested.,2243,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_1,Figure,Figure 6-1,The V-model Veriﬁes Architecture Integration development process Design Testing showing the relationship between each phase Veriﬁes,2345,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_2,Figure,Figure 6-2,A continuous testing cycle,2417,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_3,Figure,Figure 6-3,An example of a DO-178C reporting dashboard that Parasoft DTP correlates the unique identifiers from the management system with: captures the project's testing status and » Static analysis findings,2501,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_4,Figure,Figure 6-4,"» Results from unit, integration, and functional tests Codebeamer Results are displayed within Parasoft DTP's traceability reports and sent back to the traceability matrix, which lists system requirements management system. They provide full bidirectional traceability and",2510,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_5,Figure,Figure 6-5,Requirements traceability matrix template from Parasoft DTP integrated with Siemens Polarion.,2538,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_6_6,Figure,Figure 6-6,they've interpreted the data correctly. Aggregated code coverage from various Understanding the potential risks in the application requires advanced analytics testing methods processes that merge and correlate the data. This provides greater visibility into the,2599,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_8_1,Figure,Figure 8-1,Unreachable return 0; Statement,2952,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_8_2,Figure,Figure 8-2,Invoking The figure below shows an analysis report providing the user with a solution. The Coverage Advisor by Preconditions field expresses: right-clicking on the line of code. » The range and input values for mainSensorSignal and coSensorSignal,3037,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_8_3,Figure,Figure 8-3,Two test case solutions provided by Coverage Advisor.,3057,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_8_4,Figure,Figure 8-4,Parasoft ASMTool for Assembly/Object Code Coverage,3074,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_9_1,Figure,Figure 9-1,"The classic V-model diagram shows how traceability Each phase drives the subsequent phase. In turn, the work items in these phases goes forward and must satisfy the requirements from the previous phase. System design is driven from",3152,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_9_2,Figure,Figure 9-2,The Design Testing other important Veriﬁes part of requirements traceability is Module Unit,3185,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_9_3,Figure,Figure 9-3,Requirements traceability matrix example in Intland Codebeamer,3234,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_9_4,Figure,Figure 9-4,"Parasoft Parasoft DTP correlates the unique identifiers from the management system with provides bidirectional the following: traceability from work items to test cases and test results, displaying",3276,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_9_5,Figure,Figure 9-5,"Jama Requirements matrix, and integration with Parasoft DTP",3308,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_10_1,Figure,Figure 10-1,outlined in DO-330 is complex and time consuming. Parasoft's Qualification Kits for Parasoft CIC++test and C/C++test CT C/C++test includes a convenient tool wizard that brings automation into the picture,3410,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_10_2,Figure,Figure 10-2,"Parasoft Qualification Kits allow users to select the options required for their project. Upon selection, only tests and documentation are used and provided from this point forward.",3493,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_10_3,Figure,Figure 10-3,Leveraging centralized data collection and automating the qualification process greatly reduces manual tracking of the compliance progress.,3531,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_10_4,Figure,Figure 10-4,Known defects are managed directly in Parasoft C/C++test.,3571,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_11_1,Figure,Figure 11-1,"Parasoft C/C++test IDE unified code coverage and Team Web-Based Reporting unit testing view For team collaboration, Parasoft C/C++test and C/C++test CT publishes analysis results to DTP, a centralized server. Developers can access test results from automated runs",3669,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_11_2,Figure,Figure 11-2,Centralized web based dashboard for test impact analysis and more,3707,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
Figure_11_3,Figure,Figure 11-3,Individual code coverage metrics available within the reporting dashboard,3772,KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
