guideline_id,control_id,guideline_type,guideline_text
GUIDE_5_22,5.22,Implementation,"Organizations should implement monitoring, review and change management of supplier services by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_23,5.23,Implementation,"Organizations should implement information security for use of cloud services by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_24,5.24,Implementation,"Organizations should implement information security incident management planning and preparation by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_25,5.25,Implementation,"Organizations should implement assessment and decision on information security events by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_26,5.26,Implementation,"Organizations should implement response to information security incidents by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_27,5.27,Implementation,"Organizations should implement learning from information security incidents by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_28,5.28,Implementation,"Organizations should implement collection of evidence by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_29,5.29,Implementation,"Organizations should implement information security during disruption by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_30,5.30,Implementation,"Organizations should implement ICT readiness for business continuity by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_31,5.31,Implementation,"Organizations should implement legal, statutory, regulatory and contractual requirements by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_32,5.32,Implementation,"Organizations should implement intellectual property rights by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_33,5.33,Implementation,"Organizations should implement protection of records by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_34,5.34,Implementation,"Organizations should implement privacy and protection of PII by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_35,5.35,Implementation,"Organizations should implement independent review of information security by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_36,5.36,Implementation,"Organizations should implement compliance with policies, rules and standards for information security by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_37,5.37,Implementation,"Organizations should implement documented operating procedures by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_8_1,8.1,Implementation,"Organizations should implement user endpoint devices by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_8_2,8.2,Implementation,"Organizations should implement privileged access rights by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_8_3,8.3,Implementation,"Organizations should implement information access restriction by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_8_4,8.4,Implementation,"Organizations should implement access to source code by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_8_5,8.5,Implementation,"Organizations should implement secure authentication by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
