Function_Code,Function_Description,Function,Category_Code,Category_Description,Category,Subcategory_Description,Subcategory,Implementation_Example
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",GV.RM-06,"Establish criteria for using a quantitative approach to cybersecurity risk analysis, and specify probability and exposure formulas"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",GV.RM-07,"Define and communicate guidance and methods for identifying opportunities and including them in risk discussions (e.g., strengths, weaknesses, opportunities, and threats [SWOT] analysis)"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RR,"Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","Roles, Responsibilities, and Authorities","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",GV.RR-01,"Leaders (e.g., directors) agree on their roles and responsibilities in developing, implementing, and assessing the organization's cybersecurity strategy"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RR,"Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","Roles, Responsibilities, and Authorities","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",GV.RR-02,Document risk management roles and responsibilities in policy
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RR,"Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","Roles, Responsibilities, and Authorities","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",GV.RR-03,Conduct periodic management reviews to ensure that those given cybersecurity risk management responsibilities have the necessary authority
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RR,"Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","Roles, Responsibilities, and Authorities",Cybersecurity is included in human resources practices,GV.RR-04,"Integrate cybersecurity risk management considerations into human resources processes (e.g., personnel screening, onboarding, change notification, offboarding)"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.PO,"Organizational cybersecurity policy is established, communicated, and enforced",Policy,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",GV.PO-01,"Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.PO,"Organizational cybersecurity policy is established, communicated, and enforced",Policy,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",GV.PO-02,Update policy based on periodic reviews of cybersecurity risk management results to ensure that policy and supporting processes and procedures adequately maintain risk at an acceptable level
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OV,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,GV.OV-01,Measure how well the risk management strategy and risk results have helped leaders make decisions and achieve organizational objectives
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OV,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",Oversight,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,GV.OV-02,Review audit findings to confirm whether the existing cybersecurity strategy has ensured compliance with internal and external requirements
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OV,"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",Oversight,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,GV.OV-03,Review key performance indicators (KPIs) to ensure that organization-wide policies and procedures achieve objectives
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",GV.SC-01,Establish a strategy that expresses the objectives of the cybersecurity supply chain risk management program
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",GV.SC-02,"Identify one or more specific roles or positions that will be responsible and accountable for planning, resourcing, and executing cybersecurity supply chain risk management activities"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",GV.SC-03,Identify areas of alignment and overlap with cybersecurity and enterprise risk management
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,Suppliers are known and prioritized by criticality,GV.SC-04,"Develop criteria for supplier criticality based on, for example, the sensitivity of data processed or possessed by suppliers, the degree of access to the organization's systems, and the importance of the products or services to the organization's mission"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",GV.SC-05,"Establish security requirements for suppliers, products, and services commensurate with their criticality level and potential impact if compromised"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,GV.SC-06,"Perform thorough due diligence on prospective suppliers that is consistent with procurement planning and commensurate with the level of risk, criticality, and complexity of each supplier relationship"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",GV.SC-07,Adjust assessment formats and frequencies based on the third party's reputation and the criticality of the products or services they provide
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",GV.SC-08,Define and use rules and protocols for reporting incident response and recovery activities and the status between the organization and its suppliers
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",GV.SC-09,Policies and procedures require provenance records for all acquired technology products and services
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.SC,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Cybersecurity Supply Chain Risk Management,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,GV.SC-10,Establish processes for terminating critical relationships under both normal and adverse circumstances
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,Inventories of hardware managed by the organization are maintained,ID.AM-01,"Maintain inventories for all types of hardware, including IT, IoT, OT, and mobile devices"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,"Inventories of software, services, and systems managed by the organization are maintained",ID.AM-02,"Maintain inventories for all types of software and services, including commercial-off-the-shelf, open-source, custom applications, API services, and cloud-based applications and services"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,Representations of the organization's authorized network communication and internal and external network data flows are maintained,ID.AM-03,Maintain baselines of communication and data flows within the organization's wired and wireless networks
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,Inventories of services provided by suppliers are maintained,ID.AM-04,"Inventory all external services used by the organization, including third-party infrastructure-as-a-service (IaaS), platform-as-a-service (PaaS), and software-as-a-service (SaaS) offerings; APIs; and other externally hosted application services"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",ID.AM-05,Define criteria for prioritizing each class of assets
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,Inventories of data and corresponding metadata for designated data types are maintained,ID.AM-07,"Maintain a list of the designated data types of interest (e.g., personally identifiable information, protected health information, financial account numbers, organization intellectual property, operational technology data)"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.AM,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Asset Management,"Systems, hardware, software, services, and data are managed throughout their life cycles",ID.AM-08,"Integrate cybersecurity considerations throughout the life cycles of systems, hardware, software, and services"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,"Vulnerabilities in assets are identified, validated, and recorded",ID.RA-01,Use vulnerability management technologies to identify unpatched and misconfigured software
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,Cyber threat intelligence is received from information sharing forums and sources,ID.RA-02,Configure cybersecurity tools and technologies with detection or response capabilities to securely ingest cyber threat intelligence feeds
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,Internal and external threats to the organization are identified and recorded,ID.RA-03,Use cyber threat intelligence to maintain awareness of the types of threat actors likely to target the organization and the TTPs they are likely to use
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,ID.RA-04,Business leaders and cybersecurity risk management practitioners work together to estimate the likelihood and impact of risk scenarios and record them in risk registers
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",ID.RA-05,Develop threat models to better understand risks to the data and identify appropriate risk responses
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,"Risk responses are chosen, prioritized, planned, tracked, and communicated",ID.RA-06,"Apply the vulnerability management plan's criteria for deciding whether to accept, transfer, mitigate, or avoid risk"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",ID.RA-07,"Implement and follow procedures for the formal documentation, review, testing, and approval of proposed changes and requested exceptions"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established",ID.RA-08,Conduct vulnerability information sharing between the organization and its suppliers following the rules and protocols defined in contracts
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,ID.RA-09,Assess the authenticity and cybersecurity of critical technology products and services prior to acquisition and use
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.RA,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Risk Assessment,Critical suppliers are assessed prior to acquisition,ID.RA-10,"Conduct supplier risk assessments against business and applicable cybersecurity requirements, including the supply chain"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.IM,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",Improvement,Improvements are identified from evaluations,ID.IM-01,Perform self-assessments of critical services that take current threats and TTPs into consideration
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.IM,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",Improvement,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",ID.IM-02,"Identify improvements for future incident response activities based on findings from incident response assessments (e.g., tabletop exercises and simulations, tests, internal reviews, independent audits)"
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.IM,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",Improvement,"Improvements are identified from execution of operational processes, procedures, and activities",ID.IM-03,Conduct collaborative lessons learned sessions with suppliers
ID,The organization's current cybersecurity risks are understood,IDENTIFY,ID.IM,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",Improvement,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",ID.IM-04,"Establish contingency plans (e.g., incident response, business continuity, disaster recovery) for responding to and recovering from adverse events that can interfere with operations, expose confidential information, or otherwise endanger the organization's mission and viability"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control","Identities and credentials for authorized users, services, and hardware are managed by the organization",PR.AA-01,"Initiate requests for new access or additional access for employees, contractors, and others, and track, review, and fulfill the requests, with permission from system or data owners when needed"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control",Identities are proofed and bound to credentials based on the context of interactions,PR.AA-02,"Verify a person's claimed identity at enrollment time using government-issued identity credentials (e.g., passport, visa, driver's license)"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control","Users, services, and hardware are authenticated",PR.AA-03,Require multifactor authentication
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control","Identity assertions are protected, conveyed, and verified",PR.AA-04,Protect identity assertions that are used to convey authentication and user information through single sign-on systems
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",PR.AA-05,"Review logical and physical access privileges periodically and whenever someone changes roles or leaves the organization, and promptly rescind privileges that are no longer needed"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AA,"Access to physical and logical assets is limited to authorized users, services, and hardware and  managed commensurate with the assessed risk of unauthorized access","Identity Management, Authentication, and Access Control","Physical access to assets is managed, monitored, and enforced commensurate with risk",PR.AA-06,"Use security guards, security cameras, locked entrances, alarm systems, and other physical controls to monitor facilities and restrict access"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AT,The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,Awareness and Training,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,PR.AT-01,"Provide basic cybersecurity awareness and training to employees, contractors, partners, suppliers, and all other users of the organization's non-public resources"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.AT,The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,Awareness and Training,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,PR.AT-02,"Identify the specialized roles within the organization that require additional cybersecurity training, such as physical and cybersecurity personnel, finance personnel, senior leadership, and anyone with access to business-critical data"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.DS,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",Data Security,"The confidentiality, integrity, and availability of data-at-rest are protected",PR.DS-01,"Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of stored data in files, databases, virtual machine disk images, container images, and other resources"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.DS,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",Data Security,"The confidentiality, integrity, and availability of data-in-transit are protected",PR.DS-02,"Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of network communications"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.DS,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",Data Security,"The confidentiality, integrity, and availability of data-in-use are protected",PR.DS-10,"Remove data that must remain confidential (e.g., from processors and memory) as soon as it is no longer needed"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.DS,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",Data Security,"Backups of data are created, protected, maintained, and tested",PR.DS-11,"Continuously back up critical data in near-real-time, and back up other data frequently at agreed-upon schedules"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,Configuration management practices are established and applied,PR.PS-01,"Establish, test, deploy, and maintain hardened baselines that enforce the organization's cybersecurity policies and provide only essential capabilities (i.e., principle of least functionality)"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,"Software is maintained, replaced, and removed commensurate with risk",PR.PS-02,Perform routine and emergency patching within the timeframes specified in the vulnerability management plan
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,"Hardware is maintained, replaced, and removed commensurate with risk",PR.PS-03,Replace hardware when it lacks needed security capabilities or when it cannot support software with needed security capabilities
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,Log records are generated and made available for continuous monitoring,PR.PS-04,"Configure all operating systems, applications, and services (including cloud-based services) to generate log records"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,Installation and execution of unauthorized software are prevented,PR.PS-05,"When risk warrants it, restrict software execution to permitted products only or deny the execution of prohibited and unauthorized software"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.PS,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",Platform Security,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",PR.PS-06,Protect all components of organization-developed software from tampering and unauthorized access
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.IR,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",Technology Infrastructure Resilience,Networks and environments are protected from unauthorized logical access and usage,PR.IR-01,"Logically segment organization networks and cloud-based platforms according to trust boundaries and platform types (e.g., IT, IoT, OT, mobile, guests), and permit required communications only between segments"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.IR,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",Technology Infrastructure Resilience,The organization's technology assets are protected from environmental threats,PR.IR-02,"Protect organizational equipment from known environmental threats, such as flooding, fire, wind, and excessive heat and humidity"
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.IR,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",Technology Infrastructure Resilience,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,PR.IR-03,Avoid single points of failure in systems and infrastructure
PR,Safeguards to manage the organization's cybersecurity risks are used,PROTECT,PR.IR,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",Technology Infrastructure Resilience,Adequate resource capacity to ensure availability is maintained,PR.IR-04,"Monitor usage of storage, power, compute, network bandwidth, and other resources"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.CM,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Continuous Monitoring,Networks and network services are monitored to find potentially adverse events,DE.CM-01,"Monitor DNS, BGP, and other network services for adverse events"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.CM,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Continuous Monitoring,The physical environment is monitored to find potentially adverse events,DE.CM-02,"Monitor logs from physical access control systems (e.g., badge readers) to find unusual access patterns (e.g., deviations from the norm) and failed access attempts"
