name,description,query,id,parentId,isFolder
Function relations - Name,,"// replace <function_name>
MATCH path = (f:Function {function_name: ""<function_name>""})-[*]->()
WHERE f.framework_id =""NIST_AI_RMF_2023""
RETURN path
",39,31,false
Function - ID,,"// replace<function_id>
MATCH path = (f:Function {function_id:""<function_id>""})-[*]->()
WHERE f.framework_id =""NIST_AI_RMF_2023""
RETURN path
",40,31,false
NIST CSF,,,41,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""NIST_CSF_2.0""})-[*]-() RETURN path",42,41,false
Get all Subcategory,,"MATCH (sc:Subcategory) 
WHERE sc.description IS NOT NULL AND  sc.framework_id = 
""NIST_CSF_2.0""
RETURN sc.subcategory_id,sc.description",43,41,false
Get all Category Relations,,"MATCH (cs:Category) 
WHERE  cs.function_id IS NOT NULL AND cs.name IS NOT NULL AND cs.category_id IS NOT NULL  AND cs.framework_id = ""NIST_CSF_2.0""
RETURN cs.category_id,cs.function_id,cs.name",44,41,false
Category Relations - Name,,"// replace <control_category_name>
MATCH path = (cc:Category {name: ""<name>""})-[*]->()
WHERE cc.framework_id =""NIST_CSF_2.0""
RETURN path
",45,41,false
Category Relations - ID,,"// replace ,<category_id>
MATCH path = (cc:Category {category_id:""<control_category_id>""})-[*]->()
WHERE cc.framework_id =""NIST_CSF_2.0""
RETURN path
",46,41,false
Category Relations - F_id,,"// replace<function_id>
MATCH path = (cc:Category {function_id:""<function_id>""})-[*]->()
WHERE cc.framework_id =""NIST_CSF_2.0""
RETURN path
",47,41,false
Get all Function Relations,,"MATCH (F:Function)
WHERE F.function_id IS NOT NULL AND F.function_name IS NOT NULL AND F.framework_id= ""NIST_CSF_2.0""
RETURN F.function_id,F.function_name",48,41,false
Function Relations - Name,,"// replace <function_name>
MATCH path = (f:Function {function_id:""<function_id>""})-[*]->()
WHERE f.framework_id =""NIST_CSF_2.0""
RETURN path
",49,41,false
Function  Relation- F_id,,"// replace <function_id>
MATCH path = (f:Function {function_id:""<function_id>""})-[*]->()
WHERE f.framework_id =""NIST_CSF_2.0""
RETURN path
",50,41,false
NIST Privacy 1.0,,,51,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""NIST_PRIVACY_2020""})-[*]-() RETURN path",52,51,false
Get all Subcategory,,"MATCH (sc:Subcategory) 
WHERE sc.subcategory_id IS NOT NULL AND sc.framework_id = 
""NIST_PRIVACY_2020""
RETURN sc.subcategory_id,sc.name",53,51,false
Get all Category Relations,,"MATCH (cp:Category) 
WHERE  cp.function_id IS NOT NULL AND cp.name IS NOT NULL AND cp.category_id IS NOT NULL AND cp.framework_id = 
""NIST_PRIVACY_2020""
RETURN cp.function_id,cp.category_id,cp.name",54,51,false
Category Relations - Name,,"// replace <name>
MATCH path = (cc:Category {name: ""<name>""})-[*]->()
WHERE cc.framework_id =""NIST_PRIVACY_2020""
RETURN path
",55,51,false
Category Relations - F_id,,"// replace <function_id>
MATCH path = (cc:Category {function_id:""<function_id>""})-[*]->()
WHERE cc.framework_id =""NIST_PRIVACY_2020""
RETURN path
",56,51,false
Category Relations - C_id,,"// replace<category_id>
MATCH path = (cc:Category {category_id:""<category_id>""})-[*]->()
WHERE cc.framework_id =""NIST_PRIVACY_2020""
RETURN path
",57,51,false
Get all Function Relations,,"MATCH (F:Function)
WHERE F.function_id IS NOT NULL AND F.function_name IS NOT NULL AND F.framework_id= ""NIST_PRIVACY_2020""
RETURN F.function_id,F.name",58,51,false
Function Relations - Name,,"// replace <function_name>
MATCH path = (f:Function {function_name: ""<function_name>""})-[*]->()
WHERE f.framework_id =
""NIST_PRIVACY_2020""
RETURN path
",59,51,false
Function  Relations- F_id,,"// replace <function_id>
MATCH path = (f:Function {function_id:""<function_id>""})-[*]->()
WHERE f.framework_id =""NIST_PRIVACY_2020""
RETURN path
",60,51,false
NIST Privacy 1.1,,,61,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""NIST_PRIVACY_11_2025""})-[*]-() RETURN path",62,61,false
Get all Subcategory,,"MATCH (sc:Subcategory) 
WHERE sc.subcategory_name IS NOT NULL AND sc.subcategory_id IS NOT NULL AND  sc.framework_id = 
""NIST_PRIVACY_11_2025""
RETURN sc.subcategory_id, sc.subcategory_name",63,61,false
Get all category relations,,"MATCH (cv:Category) 
WHERE  cv.function_id IS NOT NULL AND cv.name IS NOT NULL AND cv.category_id IS NOT NULL AND  cv.framework_id=""NIST_PRIVACY_11_2025""
RETURN cv.category_id,cv.function_id,cv.name",64,61,false
Category Relations - Name,,"// replace <name>
MATCH path = (cc:Category {name: ""<name>""})-[*]->()
WHERE cc.framework_id =
""NIST_PRIVACY_11_2025""
RETURN path
",65,61,false
Category Relations - C_id,,"// replace<category_id>,
MATCH path = (cc:Category {category_id:""<category_id>""})-[*]->()
WHERE cc.framework_id =""NIST_PRIVACY_11_2025""
RETURN path
",66,61,false
Category Relation - F_id,,"// replace <function_id>
MATCH path = (cc:Category {function_id:""<function_id>""})-[*]->()
WHERE cc.framework_id =
""NIST_PRIVACY_11_2025""
RETURN path
",67,61,false
Get all Function Relations,,"MATCH (f:Function)
WHERE f.function_id IS NOT NULL AND f.function_name IS NOT NULL AND f.framework_id= ""NIST_PRIVACY_11_2025""
RETURN f.function_id,f.name",68,61,false
Function Relations - Name,,"// replace <function_name>
MATCH path = (f:Function {function_name: ""<function_name>""})-[*]->()
WHERE f.framework_id =""NIST_PRIVACY_11_2025""
RETURN path
",69,61,false
Function Relations - ID,,"// replace<function_id>
MATCH path = (f:Function {function_id:""<function_id>""})-[*]->()
WHERE f.framework_id =""NIST_PRIVACY_11_2025""
RETURN path
",70,61,false
NIST RMF,,,71,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""NIST_RMF_2018""})-[*]-() RETURN path",72,71,false
Get all Controls,,"MATCH (co:Control) 
WHERE co.name IS NOT NULL AND co.control_id IS NOT NULL AND  co.framework_id = 
""NIST_RMF_2018""
RETURN co.control_id,co.name",73,71,false
Get all Control Family Relations,,"MATCH (cf:ControlFamily) 
WHERE  cf.control_category IS NOT NULL AND cf.family_id IS NOT NULL AND cf.family_name IS NOT NULL AND  cf.framework_id=""NIST_RMF_2018""
RETURN cf.family_id,cf.family_name,cf.control_category",74,71,false
Control Family  - Name,,"// replace<family_name>
MATCH path = (f:ControlFamily {family_name: ""<family_name>""})-[*]->()
WHERE f.framework_id= ""NIST_RMF_2018""
RETURN path
",75,71,false
Control Family - Control_Category,,"// replace <Control_category>
MATCH path = (cc:ControlFamily {control_category: ""<control_category>""})-[*]->()
WHERE cc.framework_id= ""NIST_RMF_2018""
RETURN path
",76,71,false
Control Family - Fa_id,,"// replace<family_id>
MATCH path = (f:ControlFamily {family_id: ""<family_id>""})-[*]->()
WHERE f.framework_id= ""NIST_RMF_2018""
RETURN path
",77,71,false
Get all Step Relations,,"MATCH (st:Step) 
WHERE  st.step_name IS NOT NULL AND st.step_id IS NOT NULL AND  st.framework_id=""NIST_RMF_2018""
RETURN st.step_id,st.step_name",78,71,false
Step -Name,,"// replace<step_name>
MATCH path = (s:Step {step_name: ""<step_name>""})-[*]->()
WHERE s.framework_id= ""NIST_RMF_2018""
RETURN path
",79,71,false
Step- ID,,"// replace<step_id>
MATCH path = (s:Step {step_id: ""<step_id>""})-[*]->()
WHERE s.framework_id= ""NIST_RMF_2018""
RETURN path
",80,71,false
Get all Role Relations,,"MATCH (R:Role) 
WHERE  R.role_id IS NOT NULL AND R.role_title IS NOT NULL AND R.role_type IS NOT NULL AND R.framework_id=""NIST_RMF_2018""
RETURN R.role_type,R.role_id",81,71,false
Role - ID,,"// replace<role_id>
MATCH path = (r:Role {role_id: ""<role_id>""})-[*]->()
WHERE r.framework_id= ""NIST_RMF_2018""
RETURN path
",82,71,false
Role - Title,,"// replace<role_title>
MATCH path = (r:Role {role_title: ""<role_title>""})-[*]->()
WHERE r.framework_id= ""NIST_RMF_2018""
RETURN path
",83,71,false
Role - Type,,"// replace<role_type>
MATCH path = (r:Role {role_type: ""<role_type>""})-[*]->()
WHERE r.framework_id= ""NIST_RMF_2018""
RETURN path
",84,71,false
HIPPA,,,85,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""HIPAA""})-[*]->() RETURN path",86,85,false
Get all standards,,"MATCH (s:Standard)
WHERE s.framework_id = ""HIPAA"" AND s.standard_id IS NOT NULL
RETURN DISTINCT s.standard_id AS id, s.type AS type",87,85,false
Standard - ID,,"MATCH (s:Standard) 
WHERE s.framework_id = ""HIPAA""
RETURN s.standard_id",88,85,false
Standard - Type,,"MATCH (s:Standard) 
WHERE s.framework_id = ""HIPAA""
RETURN s.type",89,85,false
Get all Mappings,,"MATCH (m:Mapping)
WHERE m.framework_id = ""HIPAA"" AND m.mapping_id IS NOT NULL
RETURN DISTINCT m.mapping_id AS id, m.type AS type",90,85,false
Mapping - ID,,"MATCH (m:Mapping) 
WHERE m.framework_id = ""HIPAA""
RETURN m.mapping_id",91,85,false
Mapping - Type,,"MATCH (m:Mapping) 
WHERE m.framework_id = ""HIPAA""
RETURN m.type",92,85,false
HITRUST,,,93,,true
Full Graph,,"MATCH path = (:Standard {standard_id: ""HITRUST""})-[*]->() RETURN path",94,93,false
Get all standards,,"MATCH (s:Standard)
WHERE s.standard_id = ""HITRUST"" AND s.type IS NOT NULL
RETURN DISTINCT s.standard_name AS name, s.type AS type , s.version AS version",95,93,false
Standard - Name,,"MATCH (s:Standard) 
WHERE s.standard_id = ""HITRUST""
RETURN s.standard_name",96,93,false
Standard - type,,"MATCH (s:Standard) 
WHERE s.standard_id = ""HITRUST""
RETURN s.type",97,93,false
Standard - version,,"MATCH (s:Standard) 
WHERE s.standard_id = ""HITRUST""
RETURN s.version",98,93,false
Get all categories,,"MATCH (c:Category)
WHERE c.standard_id = ""HITRUST""  AND c.name IS NOT NULL
RETURN DISTINCT c.name AS Category_name, c.category_id AS Category_id",99,93,false
Category - Name,,"MATCH (c:Category) 
WHERE c.standard_id = ""HITRUST""
RETURN c.name",100,93,false
Category - ID,,"MATCH (c:Category) 
WHERE c.standard_id = ""HITRUST""
RETURN c.category_id",101,93,false
Get all Controls,,"MATCH (ctrl:Control)
WHERE ctrl.standard_id = ""HITRUST""  AND ctrl.name IS NOT NULL
RETURN DISTINCT ctrl.name AS Control_name, ctrl.control_id AS Control_id",102,93,false
Control - Name,,"MATCH (ctrl:Control) 
WHERE ctrl.standard_id = ""HITRUST"" 
RETURN ctrl.name",103,93,false
Control - ID,,"MATCH (ctrl:Control) 
WHERE ctrl.standard_id = ""HITRUST"" 
RETURN ctrl.control_id",104,93,false
Get all ControlObjectives,,"MATCH (co:ControlObjective)
WHERE co.standard_id = ""HITRUST""  AND co.control_id IS NOT NULL
RETURN DISTINCT co.control_id AS ControlObjective_id, co.description AS Control_description",105,93,false
ControlObjectives  - ID,,"MATCH (co:ControlObjective) 
WHERE co.standard_id = ""HITRUST""
RETURN co.control_id AS ControlObjective_id",106,93,false
ControlObjective - Description,,"MATCH (co:ControlObjective) 
WHERE co.standard_id = ""HITRUST""
RETURN co.description AS ControlObjective_description",107,93,false
Get all ControlSpecification,,"MATCH (cs:ControlSpecification)
WHERE cs.standard_id = ""HITRUST""  AND cs.control_id IS NOT NULL
RETURN DISTINCT cs.control_id AS ControlObjective_id, cs.description AS Control_description",108,93,false
ControlSpecification - ID,,"MATCH (cs:ControlSpecification) 
WHERE cs.standard_id = ""HITRUST""
RETURN cs.control_id AS ControlSpecification_id",109,93,false
" ControlSpecification - Description",,"MATCH (cs:ControlSpecification) 
WHERE cs.standard_id = ""HITRUST""
RETURN cs.description AS ControlSpecification_description",110,93,false
