control_id,control_name,source_framework,source_framework_version,source_framework_full_name,control_text
16,CIS Control 16,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16 from CIS Critical Security Controls v8.1
16.1,CIS Control 16.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.1 from CIS Critical Security Controls v8.1
16.10,CIS Control 16.10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.10 from CIS Critical Security Controls v8.1
16.11,CIS Control 16.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.11 from CIS Critical Security Controls v8.1
16.12,CIS Control 16.12,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.12 from CIS Critical Security Controls v8.1
16.13,CIS Control 16.13,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.13 from CIS Critical Security Controls v8.1
16.14,CIS Control 16.14,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.14 from CIS Critical Security Controls v8.1
16.2,CIS Control 16.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.2 from CIS Critical Security Controls v8.1
16.3,CIS Control 16.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.3 from CIS Critical Security Controls v8.1
16.4,CIS Control 16.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.4 from CIS Critical Security Controls v8.1
16.5,CIS Control 16.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.5 from CIS Critical Security Controls v8.1
16.6,CIS Control 16.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.6 from CIS Critical Security Controls v8.1
16.7,CIS Control 16.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.7 from CIS Critical Security Controls v8.1
16.8,CIS Control 16.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.8 from CIS Critical Security Controls v8.1
16.9,CIS Control 16.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 16.9 from CIS Critical Security Controls v8.1
17,CIS Control 17,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17 from CIS Critical Security Controls v8.1
17.1,CIS Control 17.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.1 from CIS Critical Security Controls v8.1
17.2,CIS Control 17.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.2 from CIS Critical Security Controls v8.1
17.3,CIS Control 17.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.3 from CIS Critical Security Controls v8.1
17.4,CIS Control 17.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.4 from CIS Critical Security Controls v8.1
17.5,CIS Control 17.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.5 from CIS Critical Security Controls v8.1
17.6,CIS Control 17.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.6 from CIS Critical Security Controls v8.1
17.7,CIS Control 17.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.7 from CIS Critical Security Controls v8.1
17.8,CIS Control 17.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.8 from CIS Critical Security Controls v8.1
17.9,CIS Control 17.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 17.9 from CIS Critical Security Controls v8.1
18,CIS Control 18,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18 from CIS Critical Security Controls v8.1
18.1,CIS Control 18.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18.1 from CIS Critical Security Controls v8.1
18.2,CIS Control 18.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18.2 from CIS Critical Security Controls v8.1
18.3,CIS Control 18.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18.3 from CIS Critical Security Controls v8.1
18.4,CIS Control 18.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18.4 from CIS Critical Security Controls v8.1
18.5,CIS Control 18.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 18.5 from CIS Critical Security Controls v8.1
2,CIS Control 2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2 from CIS Critical Security Controls v8.1
2.1,CIS Control 2.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.1 from CIS Critical Security Controls v8.1
2.2,CIS Control 2.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.2 from CIS Critical Security Controls v8.1
2.3,CIS Control 2.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.3 from CIS Critical Security Controls v8.1
2.4,CIS Control 2.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.4 from CIS Critical Security Controls v8.1
2.5,CIS Control 2.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.5 from CIS Critical Security Controls v8.1
2.6,CIS Control 2.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.6 from CIS Critical Security Controls v8.1
2.7,CIS Control 2.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2.7 from CIS Critical Security Controls v8.1
3,CIS Control 3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3 from CIS Critical Security Controls v8.1
3.1,CIS Control 3.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.1 from CIS Critical Security Controls v8.1
3.10,CIS Control 3.10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.10 from CIS Critical Security Controls v8.1
3.11,CIS Control 3.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.11 from CIS Critical Security Controls v8.1
3.12,CIS Control 3.12,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.12 from CIS Critical Security Controls v8.1
3.13,CIS Control 3.13,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.13 from CIS Critical Security Controls v8.1
3.14,CIS Control 3.14,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.14 from CIS Critical Security Controls v8.1
3.2,CIS Control 3.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.2 from CIS Critical Security Controls v8.1
3.3,CIS Control 3.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.3 from CIS Critical Security Controls v8.1
3.4,CIS Control 3.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.4 from CIS Critical Security Controls v8.1
3.5,CIS Control 3.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.5 from CIS Critical Security Controls v8.1
3.6,CIS Control 3.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.6 from CIS Critical Security Controls v8.1
3.7,CIS Control 3.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.7 from CIS Critical Security Controls v8.1
3.8,CIS Control 3.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.8 from CIS Critical Security Controls v8.1
3.9,CIS Control 3.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3.9 from CIS Critical Security Controls v8.1
4,CIS Control 4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4 from CIS Critical Security Controls v8.1
4.1,CIS Control 4.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.1 from CIS Critical Security Controls v8.1
4.10,CIS Control 4.10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.10 from CIS Critical Security Controls v8.1
4.11,CIS Control 4.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.11 from CIS Critical Security Controls v8.1
4.12,CIS Control 4.12,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.12 from CIS Critical Security Controls v8.1
4.2,CIS Control 4.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.2 from CIS Critical Security Controls v8.1
4.3,CIS Control 4.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.3 from CIS Critical Security Controls v8.1
4.4,CIS Control 4.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.4 from CIS Critical Security Controls v8.1
4.5,CIS Control 4.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.5 from CIS Critical Security Controls v8.1
4.6,CIS Control 4.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.6 from CIS Critical Security Controls v8.1
4.7,CIS Control 4.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.7 from CIS Critical Security Controls v8.1
4.8,CIS Control 4.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.8 from CIS Critical Security Controls v8.1
4.9,CIS Control 4.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 4.9 from CIS Critical Security Controls v8.1
5,CIS Control 5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5 from CIS Critical Security Controls v8.1
5.1,CIS Control 5.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.1 from CIS Critical Security Controls v8.1
5.2,CIS Control 5.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.2 from CIS Critical Security Controls v8.1
5.3,CIS Control 5.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.3 from CIS Critical Security Controls v8.1
5.4,CIS Control 5.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.4 from CIS Critical Security Controls v8.1
5.5,CIS Control 5.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.5 from CIS Critical Security Controls v8.1
5.6,CIS Control 5.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 5.6 from CIS Critical Security Controls v8.1
6,CIS Control 6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6 from CIS Critical Security Controls v8.1
6.1,CIS Control 6.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.1 from CIS Critical Security Controls v8.1
6.2,CIS Control 6.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.2 from CIS Critical Security Controls v8.1
6.3,CIS Control 6.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.3 from CIS Critical Security Controls v8.1
6.4,CIS Control 6.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.4 from CIS Critical Security Controls v8.1
6.5,CIS Control 6.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.5 from CIS Critical Security Controls v8.1
6.6,CIS Control 6.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.6 from CIS Critical Security Controls v8.1
6.7,CIS Control 6.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.7 from CIS Critical Security Controls v8.1
6.8,CIS Control 6.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 6.8 from CIS Critical Security Controls v8.1
7,CIS Control 7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7 from CIS Critical Security Controls v8.1
7.1,CIS Control 7.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.1 from CIS Critical Security Controls v8.1
7.2,CIS Control 7.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.2 from CIS Critical Security Controls v8.1
7.3,CIS Control 7.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.3 from CIS Critical Security Controls v8.1
7.4,CIS Control 7.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.4 from CIS Critical Security Controls v8.1
7.5,CIS Control 7.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.5 from CIS Critical Security Controls v8.1
7.6,CIS Control 7.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.6 from CIS Critical Security Controls v8.1
7.7,CIS Control 7.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 7.7 from CIS Critical Security Controls v8.1
8,CIS Control 8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8 from CIS Critical Security Controls v8.1
8.1,CIS Control 8.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.1 from CIS Critical Security Controls v8.1
8.10,CIS Control 8.10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.10 from CIS Critical Security Controls v8.1
8.11,CIS Control 8.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.11 from CIS Critical Security Controls v8.1
8.12,CIS Control 8.12,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.12 from CIS Critical Security Controls v8.1
8.2,CIS Control 8.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.2 from CIS Critical Security Controls v8.1
8.3,CIS Control 8.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.3 from CIS Critical Security Controls v8.1
8.4,CIS Control 8.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.4 from CIS Critical Security Controls v8.1
8.5,CIS Control 8.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.5 from CIS Critical Security Controls v8.1
8.6,CIS Control 8.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.6 from CIS Critical Security Controls v8.1
8.7,CIS Control 8.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.7 from CIS Critical Security Controls v8.1
8.8,CIS Control 8.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.8 from CIS Critical Security Controls v8.1
8.9,CIS Control 8.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 8.9 from CIS Critical Security Controls v8.1
9,CIS Control 9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9 from CIS Critical Security Controls v8.1
9.1,CIS Control 9.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.1 from CIS Critical Security Controls v8.1
9.2,CIS Control 9.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.2 from CIS Critical Security Controls v8.1
9.3,CIS Control 9.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.3 from CIS Critical Security Controls v8.1
9.4,CIS Control 9.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.4 from CIS Critical Security Controls v8.1
9.5,CIS Control 9.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.5 from CIS Critical Security Controls v8.1
9.6,CIS Control 9.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.6 from CIS Critical Security Controls v8.1
9.7,CIS Control 9.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 9.7 from CIS Critical Security Controls v8.1
1.1,CIS Control 1.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 1.1 from CIS Critical Security Controls v8.1 Implementation Group 1
1.2,CIS Control 1.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 1.2 from CIS Critical Security Controls v8.1 Implementation Group 1
10.1,CIS Control 10.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 10.1 from CIS Critical Security Controls v8.1 Implementation Group 1
10.2,CIS Control 10.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 10.2 from CIS Critical Security Controls v8.1 Implementation Group 1
10.3,CIS Control 10.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 10.3 from CIS Critical Security Controls v8.1 Implementation Group 1
11.1,CIS Control 11.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 11.1 from CIS Critical Security Controls v8.1 Implementation Group 1
11.2,CIS Control 11.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 11.2 from CIS Critical Security Controls v8.1 Implementation Group 1
11.3,CIS Control 11.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 11.3 from CIS Critical Security Controls v8.1 Implementation Group 1
11.4,CIS Control 11.4,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 11.4 from CIS Critical Security Controls v8.1 Implementation Group 1
12.1,CIS Control 12.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 12.1 from CIS Critical Security Controls v8.1 Implementation Group 1
14.1,CIS Control 14.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.1 from CIS Critical Security Controls v8.1 Implementation Group 1
14.2,CIS Control 14.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.2 from CIS Critical Security Controls v8.1 Implementation Group 1
14.3,CIS Control 14.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.3 from CIS Critical Security Controls v8.1 Implementation Group 1
14.4,CIS Control 14.4,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.4 from CIS Critical Security Controls v8.1 Implementation Group 1
14.5,CIS Control 14.5,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.5 from CIS Critical Security Controls v8.1 Implementation Group 1
14.6,CIS Control 14.6,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.6 from CIS Critical Security Controls v8.1 Implementation Group 1
14.7,CIS Control 14.7,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.7 from CIS Critical Security Controls v8.1 Implementation Group 1
14.8,CIS Control 14.8,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 14.8 from CIS Critical Security Controls v8.1 Implementation Group 1
15.1,CIS Control 15.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 15.1 from CIS Critical Security Controls v8.1 Implementation Group 1
17.1,CIS Control 17.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 17.1 from CIS Critical Security Controls v8.1 Implementation Group 1
17.2,CIS Control 17.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 17.2 from CIS Critical Security Controls v8.1 Implementation Group 1
17.3,CIS Control 17.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 17.3 from CIS Critical Security Controls v8.1 Implementation Group 1
2.1,CIS Control 2.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 2.1 from CIS Critical Security Controls v8.1 Implementation Group 1
2.2,CIS Control 2.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 2.2 from CIS Critical Security Controls v8.1 Implementation Group 1
2.3,CIS Control 2.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 2.3 from CIS Critical Security Controls v8.1 Implementation Group 1
3.1,CIS Control 3.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.1 from CIS Critical Security Controls v8.1 Implementation Group 1
3.2,CIS Control 3.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.2 from CIS Critical Security Controls v8.1 Implementation Group 1
3.3,CIS Control 3.3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.3 from CIS Critical Security Controls v8.1 Implementation Group 1
3.4,CIS Control 3.4,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.4 from CIS Critical Security Controls v8.1 Implementation Group 1
3.5,CIS Control 3.5,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.5 from CIS Critical Security Controls v8.1 Implementation Group 1
3.6,CIS Control 3.6,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3.6 from CIS Critical Security Controls v8.1 Implementation Group 1
