requirement_part_id,requirement_id,standard_id,part_number,part_description,applicable_systems,measure,source_document
CIP-004-R6.1,CIP-004-R6,CIP-004,R6.1,"Prior to provisioning, authorize (unless already authorized according to Part 4.1.) based on need, as determined by the Responsible Entity, except for CIP Exceptional Circumstances: 6.1.1. Provisioned electronic access to electronic BCSI; and 6.1.2. Provisioned physical access to physical BCSI.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to, individual records or lists that include who is authorized, the date of the authorization, and the justification of business need for the provisioned access.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R6.2,CIP-004-R6,CIP-004,R6.2,"Verify at least once every 15 calendar months that all individuals with provisioned access to BCSI: 6.2.1. have an authorization record; and 6.2.2. still need the provisioned access to perform their current work functions, as determined by the Responsible Entity.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to, the documentation of the review that includes all of the following: • List of authorized individuals; • List of individuals who have been provisioned access; • Verification that provisioned access is appropriate based on need; and • Documented reconciliation actions, if any.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R6.3,CIP-004-R6,CIP-004,R6.3,"For termination actions, remove the individual’s ability to use provisioned access to BCSI (unless already revoked according to Part 5.1) by the end of the next calendar day following the effective date of the termination action.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of dated evidence may include, but are not limited to, access revocation records associated with the terminations and dated within the next calendar day of the termination action.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R1.1,CIP-005-R1,CIP-005,R1.1,All applicable Cyber Assets connected to a network via a routable protocol shall reside within a defined ESP.,High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems and their associated: PCA,"An example of evidence may include, but is not limited to, a list of all ESPs with all uniquely identifiable applicable Cyber Assets connected via a routable protocol within each ESP.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R1.2,CIP-005-R1,CIP-005,R1.2,All External Routable Connectivity must be through an identified Electronic Access Point (EAP).,High Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"An example of evidence may include, but is not limited to, network diagrams showing all external routable communication paths and the identified EAPs.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R1.3,CIP-005-R1,CIP-005,R1.3,"Require inbound and outbound access permissions, including the reason for granting access, and deny all other access by default.",Electronic Access Points for High Impact BES Cyber Systems; Electronic Access Points for Medium Impact BES Cyber Systems,"An example of evidence may include, but is not limited to, a list of rules (firewall, access control lists, etc.) that demonstrate that only permitted access is allowed and that each access rule has a documented reason.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R1.4,CIP-005-R1,CIP-005,R1.4,"Where technically feasible, perform authentication when establishing Dial-up Connectivity with applicable Cyber Assets.",High Impact BES Cyber Systems with Dial-up Connectivity and their associated: PCA; Medium Impact BES Cyber Systems with Dial-up Connectivity and their associated: PCA,"An example of evidence may include, but is not limited to, a documented process that describes how the Responsible Entity is providing authenticated access through each dial-up connection.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R1.5,CIP-005-R1,CIP-005,R1.5,Have one or more methods for detecting known or suspected malicious communications for both inbound and outbound communications.,Electronic Access Points for High Impact BES Cyber Systems; Electronic Access Points for Medium Impact BES Cyber Systems at Control Centers,"An example of evidence may include, but is not limited to, documentation that malicious communications detection methods (e.g. intrusion detection system, application layer firewall, etc.) are implemented.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R2.1,CIP-005-R2,CIP-005,R2.1,"For all Interactive Remote Access, utilize an Intermediate System such that the Cyber Asset initiating Interactive Remote Access does not directly access an applicable Cyber Asset.",High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"Examples of evidence may include, but are not limited to, network diagrams or architecture documents.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R2.2,CIP-005-R2,CIP-005,R2.2,"For all Interactive Remote Access sessions, utilize encryption that terminates at an Intermediate System.",High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"An example of evidence may include, but is not limited to, architecture documents detailing where encryption initiates and terminates.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R2.3,CIP-005-R2,CIP-005,R2.3,Require multi-factor authentication for all Interactive Remote Access sessions.,High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"An example of evidence may include, but is not limited to, architecture documents detailing the authentication factors used. Examples of authenticators may include, but are not limited to, • Something the individual knows such as passwords or PINs. This does not include User ID; • Something the individual has such as tokens, digital certificates, or smart cards; or • Something the individual is such as fingerprints, iris scans, or other biometric characteristics.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R2.4,CIP-005-R2,CIP-005,R2.4,Have one or more methods for determining active vendor remote access sessions (including Interactive Remote Access and system-to-system remote access).,High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"Examples of evidence may include, but are not limited to, documentation of the methods used to determine active vendor remote access (including Interactive Remote Access and system-to-system remote access), such as: • Methods for accessing logged or monitoring information to determine active vendor remote access sessions; • Methods for monitoring activity (e.g. connection tables or rule hit counters in a firewall, or user activity monitoring) or open ports (e.g. netstat or related commands to display currently active ports) to determine active system to system remote access sessions; or • Methods that control vendor initiation of remote access such as vendors calling and requesting a second factor in order to initiate remote access.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R2.5,CIP-005-R2,CIP-005,R2.5,Have one or more method(s) to disable active vendor remote access (including Interactive Remote Access and system-to-system remote access).,High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: PCA,"Examples of evidence may include, but are not limited to, documentation of the methods(s) used to disable active vendor remote access (including Interactive Remote Access and system-to-system remote access), such as: • Methods to disable vendor remote access at the applicable Electronic Access Point for system-to-system remote access; or • Methods to disable vendor Interactive Remote Access at the applicable Intermediate System.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R3.1,CIP-005-R3,CIP-005,R3.1,Have one or more method(s) to determine authenticated vendor-initiated remote connections.,EACMS and PACS associated with High Impact BES Cyber Systems; EACMS and PACS associated with Medium Impact BES Cyber Systems with External Routable Connectivity,"Examples of evidence may include, but are not limited to, documentation of the methods used to determine authenticated vendor-initiated remote connections, such as: • Methods for accessing logged or monitoring information to determine authenticated vendor-initiated remote connections.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005-R3.2,CIP-005-R3,CIP-005,R3.2,Have one or more method(s) to terminate authenticated vendor-initiated remote connections and control the ability to reconnect.,EACMS and PACS associated with High Impact BES Cyber Systems; EACMS and PACS associated with Medium Impact BES Cyber Systems with External Routable Connectivity,"Examples of evidence may include, but are not limited to, documentation of the methods(s) used to terminate authenticated vendor-initiated remote connections to applicable systems. Examples include terminating an active vendor-initiated shell/process/session or dropping an active vendor-initiated connection in a firewall. Methods to control the ability to reconnect, if necessary, could be: disabling an Active Directory account; disabling a security token; restricting IP addresses from vendor sources in a firewall; or physically disconnecting a network cable to prevent a reconnection.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.1,CIP-006-R1,CIP-006,R1.1,Define operational or procedural controls to restrict physical access.,"Medium Impact BES Cyber Systems without External Routable Connectivity; Physical Access Control Systems (PACS) associated with: High Impact BES Cyber Systems, or Medium Impact BES Cyber Systems with External Routable Connectivity","An example of evidence may include, but is not limited to, documentation that operational or procedural controls exist.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.2,CIP-006-R1,CIP-006,R1.2,Utilize at least one physical access control to allow unescorted physical access into each applicable Physical Security Perimeter to only those individuals who have authorized unescorted physical access.,Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in the physical security plan that describes each Physical Security Perimeter and how unescorted physical access is controlled by one or more different methods and proof that unescorted physical access is restricted to only authorized individuals, such as a list of authorized individuals accompanied by access logs.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.3,CIP-006-R1,CIP-006,R1.3,"Where technically feasible, utilize two or more different physical access controls (this does not require two completely independent physical access control systems) to collectively allow unescorted physical access into Physical Security Perimeters to only those individuals who have authorized unescorted physical access.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in the physical security plan that describes the Physical Security Perimeters and how unescorted physical access is controlled by two or more different methods and proof that unescorted physical access is restricted to only authorized individuals, such as a list of authorized individuals accompanied by access logs.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.4,CIP-006-R1,CIP-006,R1.4,Monitor for unauthorized access through a physical access point into a Physical Security Perimeter.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, documentation of controls that monitor for unauthorized access through a physical access point into a Physical Security Perimeter.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.5,CIP-006-R1,CIP-006,R1.5,Issue an alarm or alert in response to detected unauthorized access through a physical access point into a Physical Security Perimeter to the personnel identified in the BES Cyber Security Incident response plan within 15 minutes of detection.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in the physical security plan that describes the issuance of an alarm or alert in response to unauthorized access through a physical access control into a Physical Security Perimeter and additional evidence that the alarm or alert was issued and communicated as identified in the BES Cyber Security Incident Response Plan, such as manual or electronic alarm or alert logs, cell phone or pager logs, or other evidence that documents that the alarm or alert was generated and communicated.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.6,CIP-006-R1,CIP-006,R1.6,Monitor each Physical Access Control System for unauthorized physical access to a Physical Access Control System.,"Physical Access Control Systems (PACS) associated with: High Impact BES Cyber Systems, or Medium Impact BES Cyber Systems with External Routable Connectivity","An example of evidence may include, but is not limited to, documentation of controls that monitor for unauthorized physical access to a PACS.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.7,CIP-006-R1,CIP-006,R1.7,Issue an alarm or alert in response to detected unauthorized physical access to a Physical Access Control System to the personnel identified in the BES Cyber Security Incident response plan within 15 minutes of the detection.,"Physical Access Control Systems (PACS) associated with: High Impact BES Cyber Systems, or Medium Impact BES Cyber Systems with External Routable Connectivity","An example of evidence may include, but is not limited to, language in the physical security plan that describes the issuance of an alarm or alert in response to unauthorized physical access to Physical Access Control Systems and additional evidence that the alarm or alerts was issued and communicated as identified in the BES Cyber Security Incident Response Plan, such as alarm or alert logs, cell phone or pager logs, or other evidence that the alarm or alert was generated and communicated.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.8,CIP-006-R1,CIP-006,R1.8,"Log (through automated means or by personnel who control entry) entry of each individual with authorized unescorted physical access into each Physical Security Perimeter, with information to identify the individual and date and time of entry.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in the physical security plan that describes logging and recording of physical entry into each Physical Security Perimeter and additional evidence to demonstrate that this logging has been implemented, such as logs of physical access into Physical Security Perimeters that show the individual and the date and time of entry into Physical Security Perimeter.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.9,CIP-006-R1,CIP-006,R1.9,Retain physical access logs of entry of individuals with authorized unescorted physical access into each Physical Security Perimeter for at least ninety calendar days.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, dated documentation such as logs of physical access into Physical Security Perimeters that show the date and time of entry into Physical Security Perimeter.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R1.10,CIP-006-R1,CIP-006,R1.10,"Restrict physical access to cabling and other nonprogrammable communication components used for connection between applicable Cyber Assets within the same Electronic Security Perimeter in those instances when such cabling and components are located outside of a Physical Security Perimeter. Where physical access restrictions to such cabling and components are not implemented, the Responsible Entity shall document and implement one or more of the following: encryption of data that transits such cabling and components; or monitoring the status of the communication link composed of such cabling and components and issuing an alarm or alert in response to detected communication failures to the personnel identified in the BES Cyber Security Incident response plan within 15 minutes of detection; or an equally effective logical protection.",High Impact BES Cyber Systems and their associated: PCA; Medium Impact BES Cyber Systems at Control Centers and their associated: PCA,"An example of evidence may include, but is not limited to, records of the Responsible Entity’s implementation of the physical access restrictions (e.g., cabling and components secured through conduit or secured cable trays) encryption, monitoring, or equally effective logical protections.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R2.1,CIP-006-R2,CIP-006,R2.1,"Require continuous escorted access of visitors (individuals who are provided access but are not authorized for unescorted physical access) within each Physical Security Perimeter, except during CIP Exceptional Circumstances.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in a visitor control program that requires continuous escorted access of visitors within Physical Security Perimeters and additional evidence to demonstrate that the process was implemented, such as visitor logs.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R2.2,CIP-006-R2,CIP-006,R2.2,"Require manual or automated logging of visitor entry into and exit from the Physical Security Perimeter that includes date and time of the initial entry and last exit, the visitor’s name, and the name of an individual point of contact responsible for the visitor, except during CIP Exceptional Circumstances.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, language in a visitor control program that requires continuous escorted access of visitors within Physical Security Perimeters and additional evidence to demonstrate that the process was implemented, such as dated visitor logs that include the required information.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006-R2.3,CIP-006-R2,CIP-006,R2.3,Retain visitor logs for at least ninety calendar days.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PCA,"An example of evidence may include, but is not limited to, documentation showing logs have been retained for at least ninety calendar days.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
