appendix_paragraph_id,appendix_id,appendix_section_id,paragraph_number,text,footnote_refs,source_document
APPA_P11,APP_A,APPA_S_C,11,"Wireline Carriers and Service Providers. The SBA has developed a definition of small entities for telephone communications companies other than radiotelephone (wireless) companies. The Census Bureau reports there were 2,321 such telephone companies in operation for at least one year at the end of 1992. According to the SBA's definition, a small business telephone company other than a radiotelephone company is one employing fewer than 1,500 persons. All but 26 of the 2,321 non-radiotelephone companies listed by the Census Bureau were reported to have fewer than 1,000 employees. Thus, even if all 26 of those companies had more than 1,500 employees, there would still be 2,295 non-radiotelephone companies that might qualify as small entities or small incumbent LECs. Although it seems certain that some of these carriers are not independently owned and operated, we are unable at this time to estimate with greater precision the number of wireline carriers and service providers that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that fewer than 2,295 small entity telephone communications companies other than radiotelephone companies are small entities or small ILECs that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P12,APP_A,APPA_S_C,12,"Local Exchange Carriers. Neither the Commission nor the SBA has developed a definition of small providers of local exchange services. The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of LECs nationwide of which we are aware appears to be the data that we collect annually in connection with the Telecommunications Relay Service (TRS). According to our most recent data, there are 1,335 incumbent LECs, 349 competitive LECs, and 87 resellers. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of LECs that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 1,335 small entity incumbent LECs, 349 competitive LECs, and 87 resellers that may be affected by the proposals in the Second Further Notice.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P13,APP_A,APPA_S_C,13,"Interexchange Carriers. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to providers of interexchange services (IXCs). The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of IXCs nationwide of which we are aware appears to be the data that we collect annually in connection with TRS. According to our most recent data, 204 companies reported that they were engaged in the provision of interexchange services. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of IXCs that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 204 small entity IXCs that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P14,APP_A,APPA_S_C,14,"Competitive Access Providers. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to providers of competitive access services (CAPs). The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of CAPs nationwide of which we are aware appears to be the data that we collect annually in connection with the TRS. According to our most recent data, 349 companies reported that they were engaged in the provision of either competitive access services or competitive local exchange service. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of CAPs that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 349 small entity CAPs that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P15,APP_A,APPA_S_C,15,"Operator Service Providers. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to providers of operator services. The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of operator service providers nationwide of which we are aware appears to be the data that we collect annually in connection with the TRS. According to our most recent data, 21 companies reported that they were engaged in the provision of operator services. Although it seems certain that some of these companies are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of operator service providers that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 21 small entity operator service providers that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P16,APP_A,APPA_S_C,16,"Pay Telephone Operators. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to pay telephone operators. The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of pay telephone operators nationwide of which we are aware appears to be the data that we collect annually in connection with the TRS. According to our most recent data, 758 companies reported that they were engaged in the provision of pay telephone services. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of pay telephone operators that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 758 small entity pay telephone operators that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P17,APP_A,APPA_S_C,17,"Wireless Carriers. The SBA has developed a definition of small entities for radiotelephone (wireless) companies. The Census Bureau reports that there were 1,176 such companies in operation for at least one year at the end of 1992. According to the SBA's definition, a small business radiotelephone company is one employing no more than 1,500 persons. The Census Bureau also reported that 1,164 of those radiotelephone companies had fewer than 1,000 employees. Thus, even if all of the remaining 12 companies had more than 1,500 employees, there would still be 1,164 radiotelephone companies that might qualify as small entities if they are independently owned are operated. Although it seems certain that some of these carriers are not independently owned and operated, we are unable at this time to estimate with greater precision the number of radiotelephone carriers and service providers that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 1,164 small entity radiotelephone companies that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P18,APP_A,APPA_S_C,18,"Cellular Service and Mobile Service Carriers. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to providers of cellular services. The closest applicable definition under the SBA's rules is for telephone communications companies other than radiotelephone (wireless) companies. The most reliable source of information regarding the number of cellular service carriers nationwide of which we are aware appears to be the data that we collect annually in connection with the TRS. According to our most recent data, 806 companies reported that they were engaged in the provision of cellular services. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of cellular service and mobile service carriers that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 804 small entity cellular service carriers that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P19,APP_A,APPA_S_C,19,"Broadband PCS Licensees. The broadband PCS spectrum is divided into six frequency blocks designated A through F, and the Commission has held auctions for each block. The Commission defined ""small entity"" for Blocks C and F as an entity that has average gross revenues of less than $40 million in the three previous calendar years. For Block F, an additional classification for ""very small business"" was added, and is defined as an entity that, together with its affiliates, has average gross revenues of not more than $15 million for the preceding three calendar years. These regulations defining ""small entity"" in the context of broadband PCS auctions have been approved by SBA. No small businesses within the SBA-approved definition bid successfully for licenses in Blocks A and B. There were 90 winning bidders that qualified as small entities in the Block C auctions. A total of 93 small and very small business bidders won approximately 40% of the 1,479 licenses for Blocks D, E, and F. Based on this information, we estimate that the number of small broadband PCS licenses will include the 90 winning C Block bidders and the 93 qualifying bidders in the D, E, and F blocks, for a total of 183 small PCS providers as defined by SBA and the Commissioner's auction rules.",28;29;30,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P20,APP_A,APPA_S_C,20,"SMR Licensees. Pursuant to 47 C.F.R. § 90.814(b)(1), the Commission has defined ""small entity"" in auctions for geographic area 800 MHz and 900 MHz SMR licenses as a firm that had average annual gross revenues of less than $15 million in the three previous calendar years. The definition of a ""small entity"" in the context of 800 and 900 MHz SMR has been approved by the SBA. The proposed rules may apply to SMR providers in the 800 MHz and 900 MHz bands that either hold geographic area licenses or have obtained extended implementation authorizations. We do not know how many firms provide 800 MHz or 900 MHz geographic area SMR service pursuant to extended implementation authorizations, nor how many of these providers have annual revenues of less than $15 million. Consequently, we estimate, for purposes of this IRFA, that all of the extended implementation authorizations may be held by small entities, some of which may be affected by the rules proposed in the Notice.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P21,APP_A,APPA_S_C,21,"The Commission recently held auctions for geographic area licenses in the 900 MHz SMR band. There were 60 winning bidders who qualified as small entities in the 900 MHz auction. Based on this information, we estimate that the number of geographic area SMR licensees that may be affected by the decisions and rules proposed in the Notice includes these 60 small entities. No auctions have been held for 800 MHz geographic area SMR licenses. Therefore, no small entities currently hold these licenses. A total of 525 licenses will be awarded for the upper 200 channels in the 800 MHz geographic area SMR auction. The Commission, however, has not yet determined how many licenses will be awarded for the lower 230 channels in the 800 MHz geographic area SMR auction. There is no basis, moreover, on which to estimate how many small entities will win these licenses. Given that nearly all radiotelephone companies have fewer than 1,000 employees and that no reliable estimate of the number of prospective 800 MHz licensees can be made, we estimate, for purposes of this IRFA, that all of the licenses may be awarded to small entities, some of which may be affected by the decisions and rules proposed in the Notice.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P22,APP_A,APPA_S_C,22,"Narrowband PCS. The Commission has auctioned nationwide and regional licenses for narrowband PCS. There are 11 nationwide and 30 regional licensees for narrowband PCS. The Commission does not have sufficient information to determine whether any of these licensees are small businesses within the SBA-approved definition for radiotelephone companies. At present, there have been no auctions held for the major trading area (MTA) and basic trading area (BTA) narrowband PCS licenses. The Commission anticipates a total of 561 MTA licenses and 2,958 BTA licenses will be awarded by auction. Such auctions have not yet been scheduled, however. Given that nearly all radiotelephone companies have no more than 1,500 employees and that no reliable estimate of the number of prospective MTA and BTA narrowband licensees can be made, we assume, for purposes of this IRFA, that all of the licenses will be awarded to small entities, as that term is defined by the SBA.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P23,APP_A,APPA_S_C,23,"Toll Resellers. Neither the Commission nor the SBA has developed a definition of small entities specifically applicable to resellers. The closest applicable definition under the SBA's rules is for all telephone communications companies. The most reliable source of information regarding the number of toll resellers nationwide of which we are aware appears to be the data that we collect annually in connection with the TRS. According to our most recent data, 454 companies reported that they were engaged in the resale of telephone toll services. Although it seems certain that some of these carriers are not independently owned and operated, or have more than 1,500 employees, we are unable at this time to estimate with greater precision the number of toll resellers that would qualify as small business concerns under the SBA's definition. Consequently, we estimate that there are fewer than 454 small entity resellers that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P24,APP_A,APPA_S_D,24,"Because we have not made any tentative conclusions or suggested proposed rules, we are unable at this time to describe any projected reporting, recordkeeping, or other compliance requirements.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P25,APP_A,APPA_S_E,25,"The RFA requires an agency to describe any significant alternatives that it has considered in reaching its proposed approach, which may include the following four alternatives (among others): (1) the establishment of differing compliance or reporting requirements or timetables that take into account the resources available to small entities; (2) the clarification, consolidation, or simplification of compliance or reporting requirements under the rule for small entities; (3) the use of performance, rather than design, standards; and (4) an exemption from coverage of the rule, or any part thereof, for small entities.",32,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P26,APP_A,APPA_S_E,26,"As noted above, we do not propose a specific method for how carriers should obtain customer consent to use CPNI for marketing purposes, rather we seek comment on ways in which carriers can obtain their customers’ consent and the extent to which an opt-in or opt-out approach would satisfy both Section 222 and the Tenth Circuit’s concerns that any restrictions on speech be no more than necessary to serve the asserted state interests. Section 222 applies to all telecommunications carriers, and therefore, any rules that we adopt regarding customer consent will be applicable to all carriers. Accordingly, we cannot exempt small entities from complying with any consent rules that we adopt.",33,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P27,APP_A,APPA_S_E,27,"We have, however, taken the limited resources of small entities into account in promulgating certain existing CPNI rules, and intend to do so again in addressing the customer consent requirements. Specifically, we recognize that an opt-in approach would require small entities to have a process in place to obtain express approval from their customers to use CPNI. While such a process could place a burden on small entities in terms of developing, tracking and maintaining customer consent, it would confer a countervailing benefit by permitting them to gain approval to use a customer’s CPNI for a broad range of service offerings with a single request through written, oral or electronic means that remains in effect unless or until the customer revokes it. Therefore, we ask parties to comment on whether the burden outweighs the benefit under an opt-in scheme.",34;35,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P28,APP_A,APPA_S_E,28,"We also note that the Commission, in response to concerns from all carriers about the cost of compliance, has already streamlined the “flagging” and “audit trail” requirements that are required to protect against unauthorized access to a customer’s CPNI. Small entities may continue to take advantage of these streamlined rules even if the Commission adopts an opt-in requirement.",36,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P29,APP_A,APPA_S_E,29,"Under an opt-out approach, a small entity need not obtain express approval, but would only be required to notify its customers of their CPNI rights and then process any requests for privacy after such notification. This could be less administratively onerous than obtaining opt-in approval. However, we seek comment indicating small entities’ perception of the probable impact of this burden.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P30,APP_A,APPA_S_E,30,"We ask small entities to particularly keep in mind these types of requirements when they comment in the Second Further Notice on any potential harms that may arise from adopting either form of consent, and overall, we ask for comment in response to this IRFA on what competitive or economic impact either an opt-in or opt-out approach would have on small entities and on whether there is any alternative form of consent that we should consider to minimize the economic impact on them.",37,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P31,APP_A,APPA_S_F,31,None.,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
