paragraph_id,part_id,section_id,paragraph_number,text,footnote_refs,source_document
P020,PART_IV,PART_IV_A,20,"We ask parties to address the relative costs and convenience of CPNI use under both opt-in and opt-out approaches. Finally, we seek comment on the court’s statement that opt-out is a “substantially less restrictive alternative.” We seek comment more broadly on what methods of approval would serve the governmental interests at issue, and afford informed consent, while also satisfying the constitutional requirement that any restrictions on speech be narrowly tailored.",46,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P021,PART_IV,PART_IV_A,21,"We seek comment on whether adoption of an opt-out mechanism is consistent with the rationale for the total service approach set forth in the CPNI Order. In other words, under the total service approach, the customer’s implied approval is limited to the parameters of the customer’s existing service, while the customer must grant the carrier affirmative approval in order for the carrier to use the customer’s CPNI to market other services to the customer. If we adopt an opt-out approach such that a carrier need not obtain the customer’s affirmative approval to market services not already subscribed to by the customer, is it necessary or appropriate for us to adopt an alternative to the total service approach? In particular, would there be an impact on the competitive goals of the Act if adoption of an opt-out mechanism increased the likelihood of customer approval for the use of CPNI to market services not already subscribed to by the customer? Alternatively, would adoption of an opt-out mechanism achieve the appropriate balance among the interests of privacy, competition, equity, and efficiency? Moreover, in the CPNI Reconsideration Order, the Commission determined that carriers may use CPNI derived from its provision of a telecommunications service to market CPE necessary to, or used in, the provision of that telecommunications service in accordance with Section 222(c)(1). In a separate proceeding, the Commission modified and clarified its bundling rules promulgated under Computer II to allow carriers to bundle CPE and enhanced services with telecommunications services. We seek comment on whether the issues raised in that proceeding should affect our interpretation of Section 222(c)(1) and the total service approach.",47;48;49;50,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P022,PART_IV,PART_IV_A,22,"Finally, we note that in the Wireless Communications and Public Safety Act of 1999 (911 Act), Congress amended Section 222 of the Communications Act by adding provisions regarding CPNI. The amendments were enacted as incentives for greater deployment of wireless E911 services. Congress found that the ultimate key to improving the value of the wireless phone as a life-saving safety device was ensuring that the proper emergency personnel receive the information necessary to perform their duties. The new CPNI provisions are intended to encourage that objective by providing separate provisions to protect certain wireless location information, and by expressly authorizing carriers to release this information to specified third parties for specified emergency purposes. Specifically, Congress added “location” to the definition of CPNI, and amended Section 222(f) to read that “[f]or the purposes of [Section 222](c)(1), without the express prior authorization of the customer, a customer shall not be considered to have approved the use or disclosure of or access to” certain types of location information except in specified emergency circumstances. We seek comment on what affect, if any, the provisions of Section 222(f) have on our interpretation of the provisions of Section 222(c)(1) and the customer approval requirements that are under consideration here.",51;52;53;54;55,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P023,PART_IV,PART_IV_B,23,"We seek comment on whether modifications should be made to the current notification requirements in our rules so that they are most effective in ensuring that customers are clearly informed of their rights. For example, one approach would be to adopt an opt-in method of approval under which a request for oral consent from the customer would provide sufficient notification. We seek comment on this approach, and on whether the carrier should submit written materials to the customer prior to seeking oral consent, or whether the carrier may secure consent simultaneously with verbal notification of a customer’s rights. If oral notification is adequate, how can we ensure that the actual subscriber is the person with whom the carrier communicates about consent? In other words, how would the carrier ensure and document that any oral communication is made directly with its subscriber, rather than some other party who might answer the phone? Another approach would be to adopt an opt-out method of approval under which a carrier would be required to provide written notification to the customer of his or her CPNI rights, and then afford the customer at least 30 days from receipt of the written notice to opt-out before it may use the CPNI in the manner requested under the notification. Alternatively, if we adopt an opt-out approach without any written notification requirements, it may be prudent to find that approval shall not be deemed to occur until 30 days after the date of the oral communication with the customer. We seek comment on both of these methods. We also seek comment on how carriers should manage later requests for privacy from the customer. For example, if a customer chooses to opt-out after the date on which approval has already been inferred, or, in the case of an opt-in mechanism, after the customer revokes an express consent previously granted, what would be a reasonable time period within which the carrier and its affiliates should be required to implement that opt-out request or revocation? In sum, we seek comment on all of these approval and notification approaches as well as any other options for ensuring that customers receive adequate notification of their rights under Section 222 of the Act.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P024,PART_IV,PART_IV_C,24,"On October 8, 1999, AT&T filed a petition for review of the CPNI Order with the U.S. Circuit Court of Appeals for the District of Columbia, challenging the Commission’s CPNI decisions as they relate to the interplay between Section 222 and Section 272 of the Communications Act. 56 On July 25, 2000, the D.C. Circuit granted the Commission’s motion for remand of the AT&T appeal. As we explain below, the consent mechanism that we eventually adopt in response to the Tenth Circuit’s Order could impact our previous findings regarding the interplay between these two sections, and we therefore find it necessary to raise the relevant issues here.",57,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P025,PART_IV,PART_IV_C,25,"As stated above, we conclude that the Tenth Circuit only vacated the portion of the CPNI Order and rules requiring opt-in customer approval. Therefore, our finding in the CPNI Order, which we affirmed in the CPNI Reconsideration Order, that the term ""information"" in Section 272(c)(1) does not include CPNI remains intact. Specifically, Section 272(c)(1) states that a Bell Operating Company (BOC), in its dealing with its Section 272 separate affiliate, “may not discriminate between the company or affiliate and any other entity in the provision or procurement of goods, services, facilities, and information, or in the establishment of standards...” We found that in the context of the entire 1996 Act, it is not readily apparent that the meaning of ""information"" in Section 272 necessarily includes CPNI, and that the most reasonable interpretation of the interplay between Sections 222 and 272 is that Section 272 “does not impose any additional CPNI requirements on BOCs’ sharing of CPNI with their Section 272 affiliates when they share information with their Section 272 affiliates according to the requirements of Section 222.” We found this to be reasonable because if we deemed “information” to include CPNI under Section 272(c)(1), then the BOCs would be unable to share CPNI with their affiliates to the extent contemplated by Section 222, but would instead be subject to the more affirmative nondiscrimination requirements in Section 272. Adhering to these requirements would mean that BOCs could share CPNI among their 272 affiliates only pursuant to express approval, and CPNI sharing under Section 222(c)(1)(A) (based on implied approval under the total service approach) would be precluded.",58;59;60;61,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P026,PART_IV,PART_IV_C,26,"More specifically, under the terms of Section 272, we found that the nondiscrimination requirements contained in that section would, in the context of an opt-in approach, “pose a potentially insurmountable burden because a BOC soliciting approval to share CPNI with its affiliate would have to solicit approval for countless other carriers as well, known or unknown” Although this was only one of several reasons supporting our interpretation of the interplay between Sections 222 and 272, we would likely have to revisit this conclusion if we adopt an opt-out approach as a final rule. For example, under an opt-in approach, the CPNI requirements operate to make a carrier’s anti-competitive use of CPNI more difficult by prohibiting carriers from using CPNI unless and until they have obtained affirmative customer approval. The only approval that is inferred is the approval gained through the total service approach, in which case the customer is already receiving service from both the BOC and its affiliate. Under an opt-out approach, however, a BOC may be free to share its local customer’s CPNI with its long distance affiliate regardless of whether the local customer has chosen the affiliate as his or her long distance service provider. We are concerned about the possible competitive and customer privacy ramifications of such an interpretation, and we seek comment on whether we should revisit our interpretation of the interplay between Sections 222 and 272 if we adopt an opt-out approach. In particular, would we have to alter our fundamental conclusion that BOCs may share CPNI with their 272 affiliates pursuant to Section 222 without regard to the nondiscrimination requirements in Section 272? If we retain this conclusion, would customers then receive sufficient protection if we adopt procedures to ensure effective notice and opportunity for customers to approve or disapprove the BOCs’ sharing of CPNI with its Section 272 affiliates? Would customers be fully informed of their rights if we required BOCs to explain in an opt-out notification that it may share CPNI with its Section 272 affiliates even if the customer does not currently subscribe to service from those affiliates? We seek comment on these and any other relevant issues.",62;63,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P027,PART_V,PART_V_1,27,"This matter shall be treated as a ""permit-but-disclose"" proceeding in accordance with the Commission's ex parte rules. Persons making oral ex parte presentations are reminded that memoranda summarizing the presentations must contain summaries of the substance of the presentations and not merely a listing of the subjects discussed. More than a one or two sentence description of the views and arguments presented is generally required. Other rules pertaining to oral and written presentations are set forth in Section 1.1206(b) as well.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P028,PART_V,PART_V_2,28,"Appendix A sets forth the Commission's Initial Regulatory Flexibility Analysis (IFRA) regarding the policies and rules proposed in the Second Notice of Proposed Rulemaking in CC Docket No. 98-147. Written public comments are requested on this IRFA. Comments must be identified as responses to the IRFA and must be filed by the deadlines for comments on the Second Notice. The Commission will send a copy of the Second Notice, including this IRFA, to the Chief Counsel for Advocacy of the Small Business Administration. In addition, the Second Notice and IRFA (or summaries thereof) will be published in the Federal Register.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P029,PART_V,PART_V_3,29,"The rule changes proposed in the Second Further Notice of Proposed Rulemaking may cause modifications to the collections of information approved by OMB in connection with the Local Competition Second Report and Order. As part of our continuing effort to reduce paperwork burdens, we invite the general public and OMB to comment on the information collections contained in this Notice, as required by the Paperwork Reduction Act of 1995. Public and agency comments are due at the same time as other comments on this Notice; OMB comments are due 60 days from the date of publication of notice of this Notice in the Federal Register. Comments should address: (a) whether the proposed information collections are necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; (b) the accuracy of the Commission's burden estimates; (c) ways to enhance the quality, utility, and clarity of the information collected; and (d) ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P030,PART_V,PART_V_4,30,"Pursuant to applicable procedures set forth in Sections 1.415 and 1.419 of the Commission's rules, interested parties may file comments on or before 30 days after publication in the Federal Register, and reply comments on or before 45 days after publication in the Federal Register. All filings should refer to CC Docket No. 96-115. Comments may be filed using the Commission's Electronic Comment Filing System (ECFS) or by filing paper copies. Comments filed through the ECFS can be sent as an electronic file via the Internet to <http://www.fcc.gov/e-file/ecfs.html>. Generally, only one copy of an electronic submission must be filed. In completing the transmittal screen, commenters should include their full name, Postal Service mailing address, and the applicable docket number, which in this instance is CC Docket No. 96-115. Parties may also submit an electronic comment by Internet e-mail. To get filing instructions for e-mail comments, commenters should send an e-mail to ecfs@fcc.gov, and should include the following words in the body of the message, ""get form <your e-mail address."" A sample form and directions will be sent in reply.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P031,PART_V,PART_V_4,31,"Parties who choose to file by paper must file an original and four copies of each filing. All filings must be sent to the Commission's Secretary, Magalie Roman Salas, Office of the Secretary, Federal Communications Commission, Room TW-B204, 445 12th St. S.W., Washington, D.C. 20554.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P032,PART_V,PART_V_4,32,"Parties who choose to file by paper should also submit their comments on diskette. These diskettes should be submitted to Janice Myles, Common Carrier Bureau, Policy & Program Planning Division, 445 12th Street, S.W., Washington, D.C. 20554. Such a submission should be on a 3.5 inch diskette formatted in an IBM compatible format using WordPerfect 5.1 for Windows or compatible software. The diskette should be accompanied by a cover letter and should be submitted in ""read only"" mode. The diskette should be clearly labeled with the commenter's name, proceeding (including the docket number, in this case, CC Docket No. 99-273), type of pleading (comment or reply comment), date of submission, and the name of the electronic file on the diskette. The label should also include the following phrase ""Disk Copy - Not an Original."" Each diskette should contain only one party's pleadings, preferably in a single electronic file. In addition, commenters must send diskette copies to the Commission's copy contractor, Qualex International, Portals II, 445 12th Street, SW, Room CY-B402, Washington, DC 20554.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P033,PART_V,PART_V_4,33,"Regardless of whether parties choose to file electronically or by paper, parties should also file one copy of any documents filed in this docket with the Commission's copy contractor, Qualex International, Portals II, 445 12th Street, SW, Room CY-B402, Washington, DC 20554.Comments and reply comments will be available for public inspection during regular business hours in the FCC Reference Center, Room CY-A257, 445 12th Street, S.W., Washington, D.C. 20554.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P034,PART_V,PART_V_4,34,"Comments and reply comments must include a short and concise summary of the substantive arguments raised in the pleading. Comments and reply comments must also comply with Section 1.49 and all other applicable sections of the Commission's rules. We also direct all interested parties to include the name of the filing party and the date of the filing on each page of their comments and reply comments. All parties are encouraged to utilize a table of contents, regardless of the length of their submission. We also strongly encourage that parties track the organization set forth in this Notice in order to facilitate our internal review process.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P035,PART_V,PART_V_4,35,"Written comments by the public on the proposed and/or modified information collections are due on or before 30 days after publication in the Federal Register, and reply comments on or before 45 days after publication in the Federal Register. Written comments must be submitted by the OMB on the proposed and/or modified information collections on or before 60 days after date of publication of notice of this Notice of Proposed Rulemaking in the Federal Register. In addition to filing comments with the Secretary, a copy of any comments on the information collections contained herein should be submitted to Judy Boley, Federal Communications Commission, 1-C804, 445 12th Street, S.W., Washington, D.C. 20554 or via the Internet to jboley@fcc.gov and to Virginia Huth, OMB Desk Officer, 10236 NEOB, 725 17th Street, N.W., Washington, D.C. 20503, or via the Internet to vhuth@omb.eop.gov.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
