safeguard_id,title,asset_type,security_function,implementation_groups,description
3.11,Encrypt Sensitive Data at Rest,Data,Protect,IG2;IG3,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data."
3.12,Segment Data Processing and Storage Based on Sensitivity,Data,Protect,IG2;IG3,"Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data."
3.13,Deploy a Data Loss Prevention Solution,Data,Protect,IG3,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise’s  data inventory."
3.14,Log Sensitive Data Access,Data,Detect,IG3,"Log sensitive data access, including modification and disposal."
4.1,Establish and Maintain a Secure Configuration Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a documented secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4.2,Establish and Maintain a Secure Configuration Process for Network,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a documented secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4.3,Configure Automatic Session Locking on Enterprise Assets,Devices,Protect,IG1;IG2;IG3,"Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed 2 minutes."
4.4,Implement and Manage a Firewall on Servers,Devices,Protect,IG1;IG2;IG3,"Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent."
4.5,Implement and Manage a Firewall on End-User Devices,Devices,Protect,IG1;IG2;IG3,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed."
4.6,Securely Manage Enterprise Assets and Software,Devices,Protect,IG1;IG2;IG3,"Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled Infrastructure-as-Code (IaC) and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential."
4.7,Manage Default Accounts on Enterprise Assets and Software,Users,Protect,IG1;IG2;IG3,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable."
4.8,Uninstall or Disable Unnecessary Services on Enterprise Assets,Devices,Protect,IG2;IG3,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function."
4.9,Configure Trusted DNS Servers on Enterprise Assets,Devices,Protect,IG2;IG3,"Configure trusted DNS servers on network infrastructure. Example implementations include configuring network devices to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers."
4.10,Enforce Automatic Device Lockout on Portable End-User Devices,Devices,Protect,IG2;IG3,"Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts."
4.11,Enforce Remote Wipe Capability on Portable End-User Devices,Data,Protect,IG2;IG3,"Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise."
4.12,Separate Enterprise Workspaces on Mobile End-User Devices,Data,Protect,IG3,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data."
5.1,Establish and Maintain an Inventory of Accounts,Users,Identify,IG1;IG2;IG3,"Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must at a minimum include user, administrator, and service accounts. The inventory, at a minimum, should contain the person’s name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5.2,Use Unique Passwords,Users,Protect,IG1;IG2;IG3,"Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using Multi-Factor Authentication (MFA) and a 14-character password for accounts not using MFA."
5.3,Disable Dormant Accounts,Users,Protect,IG1;IG2;IG3,"Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported."
5.4,Restrict Administrator Privileges to Dedicated Administrator Accounts,Users,Protect,IG1;IG2;IG3,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account."
5.5,Establish and Maintain an Inventory of Service Accounts,Users,Identify,IG2;IG3,"Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5.6,Centralize Account Management,Users,Govern,IG2;IG3,"Centralize account management through a directory or identity service."
6.1,Establish an Access Granting Process,Documentation,Govern,IG1;IG2;IG3,"Establish and follow a documented process, preferably automated, for granting access to enterprise assets upon new hire or role change of a user."
6.2,Establish an Access Revoking Process,Documentation,Govern,IG1;IG2;IG3,"Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails."
6.3,Require MFA for Externally-Exposed Applications,Users,Protect,IG1;IG2;IG3,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this Safeguard."
6.4,Require MFA for Remote Network Access,Users,Protect,IG1;IG2;IG3,"Require MFA for remote network access."
6.5,Require MFA for Administrative Access,Users,Protect,IG1;IG2;IG3,"Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a service provider."
6.6,Establish and Maintain an Inventory of Authentication and,Software,Identify,IG2;IG3,"Establish and maintain an inventory of the enterprise’s authentication and authorization systems, including those hosted on-site or at a remote service provider. Review and update the inventory, at a minimum, annually, or more frequently."
6.7,Centralize Access Control,Users,Protect,IG2;IG3,"Centralize access control for all enterprise assets through a directory service or SSO provider, where supported."
6.8,Define and Maintain Role-Based Access Control,Users,Govern,IG3,"Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties. Perform access control reviews of enterprise assets to validate that all privileges are authorized, on a recurring schedule at a minimum annually, or more frequently."
7.1,Establish and Maintain a Vulnerability Management Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a documented vulnerability management process for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
7.2,Establish and Maintain a Remediation Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a risk-based remediation strategy documented in a remediation process, with monthly, or more frequent, reviews."
7.3,Perform Automated Operating System Patch Management,Software,Protect,IG1;IG2;IG3,"Perform operating system updates on enterprise assets through automated patch management on a monthly, or more frequent, basis."
7.4,Perform Automated Application Patch Management,Software,Protect,IG1;IG2;IG3,"Perform application updates on enterprise assets through automated patch management on a monthly, or more frequent, basis."
7.5,Perform Automated Vulnerability Scans of Internal Enterprise Assets,Software,Identify,IG2;IG3,"Perform automated vulnerability scans of internal enterprise assets on a quarterly, or more frequent, basis. Conduct both authenticated and unauthenticated scans."
7.6,Perform Automated Vulnerability Scans of Externally-Exposed,Software,Identify,IG2;IG3,"Perform automated vulnerability scans of externally-exposed enterprise assets. Perform scans on a monthly, or more frequent, basis."
7.7,Remediate Detected Vulnerabilities,Software,Respond,IG2;IG3,"Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process."
8.1,Establish and Maintain an Audit Log Management Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a documented audit log management process that defines the enterprise’s logging requirements. At a minimum, address the collection, review, and retention of audit logs for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
8.2,Collect Audit Logs,Data,Detect,IG1;IG2;IG3,"Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets."
8.3,Ensure Adequate Audit Log Storage,Data,Protect,IG1;IG2;IG3,"Ensure that logging destinations maintain adequate storage to comply with the enterprise’s audit log management process."
8.4,Standardize Time Synchronization,Network,Protect,IG2;IG3,"Standardize time synchronization. Configure at least two synchronized time sources across enterprise assets, where supported."
8.5,Collect Detailed Audit Logs,Data,Detect,IG2;IG3,"Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation."
8.6,Collect DNS Query Audit Logs,Data,Detect,IG2;IG3,"Collect DNS query audit logs on enterprise assets, where appropriate and supported."
8.7,Collect URL Request Audit Logs,Data,Detect,IG2;IG3,"Collect URL request audit logs on enterprise assets, where appropriate and supported."
8.8,Collect Command-Line Audit Logs,Data,Detect,IG2;IG3,"Collect command-line audit logs. Example implementations include collecting audit logs from PowerShell®, BASH™, and remote administrative terminals."
8.9,Centralize Audit Logs,Data,Detect,IG2;IG3,"Centralize, to the extent possible, audit log collection and retention across enterprise assets in accordance with the documented audit log management process. Example implementations primarily include leveraging a SIEM tool to centralize multiple log sources."
8.10,Retain Audit Logs,Data,Protect,IG2;IG3,"Retain audit logs across enterprise assets for a minimum of 90 days."
8.11,Conduct Audit Log Reviews,Data,Detect,IG2;IG3,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis."
8.12,Collect Service Provider Logs,Data,Detect,IG3,"Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events."
9.1,Ensure Use of Only Fully Supported Browsers and Email Clients,Software,Protect,IG1;IG2;IG3,"Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor."
9.2,Use DNS Filtering Services,Devices,Protect,IG1;IG2;IG3,"Use DNS filtering services on all end-user devices, including remote and on-premises assets, to block access to known malicious domains."
9.3,Maintain and Enforce Network-Based URL Filters,Network,Protect,IG2;IG3,"Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites. Example implementations include category- based filtering, reputation-based filtering, or through the use of block lists. Enforce filters for all enterprise assets."
9.4,Restrict Unnecessary or Unauthorized Browser and Email,Software,Protect,IG2;IG3,"Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications."
9.5,Implement DMARC,Network,Protect,IG2;IG3,"To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail (DKIM) standards."
9.6,Block Unnecessary File Types,Network,Protect,IG2;IG3,"Block unnecessary file types attempting to enter the enterprise’s email gateway."
9.7,Deploy and Maintain Email Server Anti-Malware Protections,Network,Protect,IG3,"Deploy and maintain email server anti-malware protections, such as attachment scanning and/ or sandboxing."
10.1,Deploy and Maintain Anti-Malware Software,Devices,Detect,IG1;IG2;IG3,"Deploy and maintain anti-malware software on all enterprise assets."
10.2,Configure Automatic Anti-Malware Signature Updates,Devices,Protect,IG1;IG2;IG3,"Configure automatic updates for anti-malware signature files on all enterprise assets."
10.3,Disable Autorun and Autoplay for Removable Media,Devices,Protect,IG1;IG2;IG3,"Disable autorun and autoplay auto-execute functionality for removable media."
10.4,Configure Automatic Anti-Malware Scanning of Removable Media,Devices,Detect,IG2;IG3,"Configure anti-malware software to automatically scan removable media."
10.5,Enable Anti-Exploitation Features,Devices,Protect,IG2;IG3,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™."
10.6,Centrally Manage Anti-Malware Software,Devices,Protect,IG2;IG3,"Centrally manage anti-malware software."
10.7,Use Behavior-Based Anti-Malware Software,Devices,Detect,IG2;IG3,"Use behavior-based anti-malware software."
11.1,Establish and Maintain a Data Recovery Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a documented data recovery process that includes detailed backup procedures. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
11.2,Perform Automated Backups,Data,Recover,IG1;IG2;IG3,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data."
11.3,Protect Recovery Data,Data,Protect,IG1;IG2;IG3,"Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements."
11.4,Establish and Maintain an Isolated Instance of Recovery Data,Data,Protect,IG1;IG2;IG3,"Establish and maintain an isolated instance of recovery data. Example implementations include version control, offline backup, or offsite backup."
11.5,Test Data Recovery,Data,Recover,IG2;IG3,"Test data recovery at least annually, or more frequently."
12.1,Ensure Network Infrastructure is Up-to-Date,Network,Protect,IG1;IG2;IG3,"Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify support."
12.2,Establish and Maintain a Secure Network Architecture,Documentation,Govern,IG2;IG3,"Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
12.3,Securely Manage Network Infrastructure,Network,Protect,IG2;IG3,"Securely manage network infrastructure. Example implementations include version-controlled IaC and accessing administrative interfaces over secure network protocols, such as SSH and HTTPS. Do not use insecure management protocols, such as Telnet and HTTP, unless operationally essential."
12.4,Establish and Maintain Architecture Diagrams,Documentation,Identify,IG2;IG3,"Establish and maintain architecture diagrams and other network documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
12.5,Centralize Network Authentication,Network,Protect,IG2;IG3,"Centralize network authentication, Authorization, and Accounting (AAA)."
12.6,Use of Secure Network Management and Communication Protocols,Network,Protect,IG2;IG3,"Use secure network management and communication protocols. Example implementations include 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater, and VPN/SASE."
12.7,Ensure Remote Devices Utilize a VPN and are Connecting to,Network,Protect,IG2;IG3,"Ensure remote devices utilize a VPN, SASE, or similar remote access technology and are connecting to an enterprise’s AAA infrastructure."
12.8,Establish and Maintain Dedicated Computing Resources,Devices,Protect,IG3,"Establish and maintain dedicated computing resources for all administrative work. Conduct administrative activities on dedicated administrative workstations, where supported, or as a segregated/isolated environment from the user's primary workspace."
13.1,Centralize Security Event Alerting,Data,Detect,IG1;IG2;IG3,"Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined alerts."
13.2,Deploy a Host-Based Intrusion Detection Solution,Devices,Detect,IG2;IG3,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported."
13.3,Deploy a Network Intrusion Detection Solution,Network,Detect,IG2;IG3,"Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud-native service."
13.4,Perform Traffic Filtering Between Network Segments,Network,Protect,IG2;IG3,"Perform traffic filtering between network segments, where appropriate."
13.5,Manage Access Control for Remote Assets,Network,Protect,IG2;IG3,"Manage access control for remote assets. Example implementations include a SASE, or similar remote access technology, to centralize, manage, and control network access."
13.6,Collect Network Traffic Flow Logs,Data,Detect,IG2;IG3,"Collect network traffic flow logs, where appropriate."
13.7,Deploy a Host-Based Intrusion Prevention Solution,Devices,Protect,IG3,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent."
13.8,Deploy a Network Intrusion Prevention Solution,Network,Protect,IG3,"Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent cloud-native service."
13.9,Deploy Port-Level Access Control,Network,Protect,IG3,"Deploy port-level access control. Port-level access control requires 802.1x, or equivalent network access control protocols, such as certificates, to mitigate the risk of an unauthorized device connecting to the network."
13.10,Perform Application Layer Filtering,Network,Protect,IG3,"Perform application layer filtering. Example implementations include a filtering proxy, protocol anomaly detection, or an application firewall."
14.1,Establish and Maintain a Security Awareness Program,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise’s workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard."
14.2,Train Workforce Members to Recognize Social Engineering Attacks,Users,Protect,IG1;IG2;IG3,"Train workforce members to recognize social engineering attacks, such as phishing, pre-texting, and tailgating."
14.3,Train Workforce Members on Authentication Best Practices,Users,Protect,IG1;IG2;IG3,"Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management."
14.4,Train Workforce Members on Data Handling Best Practices,Users,Protect,IG1;IG2;IG3,"Train workforce members on data handling best practices. Example topics include data classification, storage, transmission, and disposal."
14.5,Train Workforce Members on Causes of Unintentional Data,Users,Protect,IG1;IG2;IG3,"Train workforce members on causes of unintentional data exposure. Example topics include mis-delivery of data and losing a portable end-user device."
14.6,Train Workforce Members on Recognizing and Reporting Security,Users,Respond,IG1;IG2;IG3,"Train workforce members on recognizing and reporting security incidents. Example topics include the “See Something, Say Something” mindset and how to report an incident."
14.7,Train Workforce Members on How to Identify and Report,Users,Detect,IG1;IG2;IG3,"Train workforce members on how to identify and report if their enterprise assets are missing updates."
14.8,Train Workforce Members on the Dangers of Connecting to,Users,Protect,IG2;IG3,"Train workforce members on the dangers of connecting to and transmitting enterprise data over insecure networks."
14.9,Conduct Role-Specific Security Awareness and Skills Training,Users,Protect,IG3,"Conduct role-specific security awareness and skills training. Example topics include secure system administration, secure coding, and verification of security controls."
15.1,Establish and Maintain an Inventory of Service Providers,Documentation,Identify,IG1;IG2;IG3,"Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard."
15.2,Establish and Maintain a Service Provider Management Policy,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard."
15.3,Classify Service Providers,Documentation,Govern,IG2;IG3,"Classify service providers. Classification consideration may include: data sensitivity, data volume, availability requirements, applicable regulations, and inherent risk. Review and update classification annually, or when significant enterprise changes occur that could impact this Safeguard."
15.4,Ensure Service Provider Contracts Include Security Requirements,Documentation,Govern,IG2;IG3,"Ensure service provider contracts include security requirements. Example requirements include: minimum security controls, incident notification, data encryption, and data disposal. Review service provider contracts annually to ensure contracts are not missing security requirements."
15.5,Assess Service Providers,Documentation,Govern,IG2;IG3,"Assess service providers. Assessment consideration may include: SOC 2 reports, ISO certifications, and independent audits. Assess service providers prior to engagement and annually thereafter."
15.6,Monitor Service Providers,Documentation,Detect,IG2;IG3,"Monitor service providers. Monitoring consideration may include: service level agreements (SLAs), third-party risk management (TPRM) tools, and news alerts. Review monitoring results quarterly."
15.7,Securely Decommission Service Providers,Documentation,Protect,IG2;IG3,"Securely decommission service providers. Example requirements include: user and service account deactivation, data disposal, and termination of network connections."
16.1,Establish and Maintain a Secure Application Development Process,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a secure application development process. In the process, address secure coding practices, security testing, and developer training. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
16.2,Establish and Maintain a Process to Accept and Address,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain a process to accept and address software vulnerabilities, including reporting, prioritization, and remediation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
16.3,Perform Root Cause Analysis on Security Vulnerabilities,Software,Respond,IG2;IG3,"Perform root cause analysis on security vulnerabilities. Review root cause analysis results annually, or when significant enterprise changes occur that could impact this Safeguard."
16.4,Establish and Manage an Inventory of Third-Party Software,Software,Identify,IG2;IG3,"Establish and manage an inventory of third-party software components. The inventory is to list all known third-party software components, including versioning. Review and update the inventory monthly, or more frequently."
16.5,Use Up-to-Date and Trusted Third-Party Software Components,Software,Protect,IG2;IG3,"Use up-to-date and trusted third-party software components. Example components include: libraries, frameworks, and APIs. When possible, choose components that are actively maintained and have a known security track record."
16.6,Establish and Maintain a Severity Rating System for Application,Documentation,Govern,IG2;IG3,"Establish and maintain a severity rating system for application vulnerabilities. The rating system should be based on the risk to the enterprise and the likelihood of exploitation. Review and update the rating system annually, or when significant enterprise changes occur that could impact this Safeguard."
16.7,Use Standard Hardening Configuration Templates for Application,Software,Protect,IG2;IG3,"Use standard hardening configuration templates for application infrastructure. Example templates include: Center for Internet Security (CIS) Benchmarks and Defense Information Systems Agency (DISA) Security Technical Implementation Guides (STIGs)."
16.8,Separate Production and Non-Production Systems,Software,Protect,IG2;IG3,"Separate production and non-production systems. Example implementations include: separate networks, separate accounts, and separate storage."
16.9,Train Developers in Application Security Concepts and Secure,Users,Protect,IG2;IG3,"Train developers in application security concepts and secure coding. Example topics include: OWASP Top 10, SANS Top 25, and secure coding standards. Conduct training annually, or more frequently."
16.10,Apply Secure Design Principles in Application Architectures,Software,Protect,IG3,"Apply secure design principles in application architectures. Example principles include: least privilege, defense in depth, and fail secure."
16.11,Leverage Vetted Modules or Services for Application Security,Software,Protect,IG3,"Leverage vetted modules or services for application security components. Example components include: identity management, encryption, and logging."
16.12,Implement Code-Level Security Checks,Software,Detect,IG3,"Implement code-level security checks. Example checks include: static application security testing (SAST), dynamic application security testing (DAST), and interactive application security testing (IAST)."
16.13,Conduct Application Penetration Testing,Software,Detect,IG3,"Conduct application penetration testing. Conduct testing annually, or more frequently."
16.14,Conduct Threat Modeling,Software,Identify,IG3,"Conduct threat modeling. Conduct threat modeling annually, or when significant enterprise changes occur that could impact this Safeguard."
17.1,Establish and Maintain an Incident Response Process,Documentation,Respond,IG1;IG2;IG3,"Establish and maintain an incident response process. In the process, address roles and responsibilities, compliance requirements, and a communications plan. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
17.2,Establish and Maintain Contact Information for Reporting,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain contact information for reporting security incidents. The contact information should be easily accessible to all workforce members. Review and update contact information annually, or when significant enterprise changes occur that could impact this Safeguard."
17.3,Establish and Maintain an Enterprise Process for Reporting,Documentation,Govern,IG1;IG2;IG3,"Establish and maintain an enterprise process for reporting incidents. The process should include whom to report to and the method of reporting. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
