id,title,safeguard_type,standard_type,text,req_type,parent_id,section,source_doc,source_section,created_date
HIPAA-164.312(c)(2),Mechanism to Authenticate ePHI,Technical,Implementation Specification,Implement electronic mechanisms to corroborate that ePHI has not been altered or destroyed in an unauthorized manner,A,HIPAA-164.312(c)(1),164.312(c)(2),NIST SP 800-66r2,164.312(c)(2),2025-10-26T04:02:45.703863
HIPAA-164.312(d),Person or Entity Authentication,Technical,Standard,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed,R,,164.312(d),NIST SP 800-66r2,164.312(d),2025-10-26T04:02:45.703863
HIPAA-164.312(e)(1),Transmission Security,Technical,Standard,Implement technical security measures to guard against unauthorized access to ePHI transmitted over electronic networks,R,,164.312(e)(1),NIST SP 800-66r2,164.312(e)(1),2025-10-26T04:02:45.703863
HIPAA-164.312(e)(2)(i),Integrity Controls,Technical,Implementation Specification,Implement security measures to ensure electronically transmitted ePHI is not improperly modified without detection,A,HIPAA-164.312(e)(1),164.312(e)(2)(i),NIST SP 800-66r2,164.312(e)(2)(i),2025-10-26T04:02:45.703863
HIPAA-164.312(e)(2)(ii),Encryption,Technical,Implementation Specification,Implement a mechanism to encrypt ePHI whenever deemed appropriate,A,HIPAA-164.312(e)(1),164.312(e)(2)(ii),NIST SP 800-66r2,164.312(e)(2)(ii),2025-10-26T04:02:45.703863
HIPAA-164.314(a),Business Associate Contracts or Other Arrangements,Organizational,Standard,Covered entities must have written contracts with business associates that ensure appropriate safeguards for ePHI,R,,164.314(a),NIST SP 800-66r2,164.314(a),2025-10-26T04:02:45.703863
HIPAA-164.314(b),Requirements for Group Health Plans,Organizational,Standard,Group health plans must ensure plan documents incorporate provisions to establish permitted and required uses and disclosures of ePHI by plan sponsor,R,,164.314(b),NIST SP 800-66r2,164.314(b),2025-10-26T04:02:45.703863
HIPAA-164.316(a),Policies and Procedures,Documentation,Standard,"Implement reasonable and appropriate policies and procedures to comply with standards, implementation specifications, or other requirements",R,,164.316(a),NIST SP 800-66r2,164.316(a),2025-10-26T04:02:45.703863
HIPAA-164.316(b)(1),Documentation,Documentation,Standard,"Maintain written policies and procedures, maintain documentation of actions, activities, or assessments required by this subpart in written or electronic form",R,,164.316(b)(1),NIST SP 800-66r2,164.316(b)(1),2025-10-26T04:02:45.703863
HIPAA-164.316(b)(2)(i),Time Limit,Documentation,Implementation Specification,"Retain documentation for 6 years from date of creation or last effective date, whichever is later",R,HIPAA-164.316(b)(1),164.316(b)(2)(i),NIST SP 800-66r2,164.316(b)(2)(i),2025-10-26T04:02:45.703863
HIPAA-164.316(b)(2)(ii),Availability,Documentation,Implementation Specification,Make documentation available to those responsible for implementing procedures to which documentation pertains,R,HIPAA-164.316(b)(1),164.316(b)(2)(ii),NIST SP 800-66r2,164.316(b)(2)(ii),2025-10-26T04:02:45.703863
HIPAA-164.316(b)(2)(iii),Updates,Documentation,Implementation Specification,Review documentation periodically and update as needed in response to environmental or operational changes,R,HIPAA-164.316(b)(1),164.316(b)(2)(iii),NIST SP 800-66r2,164.316(b)(2)(iii),2025-10-26T04:02:45.703863
