rule_id,rule_name,cfr_reference,description,applicable_entities,rule_type
PD07,Decedents,45 CFR 164.512(g),"Disclosures to funeral directors and to coroners or medical examiners to identify a deceased person, determine cause of death, and other authorized functions",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD08,CadavericOrganEyeOrTissueDonation,45 CFR 164.512(h),"Use/disclosure to facilitate donation and transplantation of cadaveric organs, eyes, and tissue",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD09,Research,45 CFR 164.512(i),"Use/disclosure for research with IRB/Privacy Board waiver, preparatory-to-research or decedent representations, or via a limited data set with a data use agreement",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD10,SeriousThreatToHealthOrSafety,45 CFR 164.512(j),"Disclosures believed necessary to prevent or lessen a serious and imminent threat to a person or the public, made to someone able to prevent/lessen the threat",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD11,EssentialGovernmentFunctions,45 CFR 164.512(k),"Disclosures for essential government functions: military mission, national security/intelligence, protective services, correctional institutions, and government benefit program eligibility/enrollment",CoveredEntity;BusinessAssociate,PermittedDisclosure
PD12,WorkersCompensation,45 CFR 164.512(l),"Disclosures as authorized by and to comply with workers' compensation and similar work-related injury/illness benefit laws",CoveredEntity;BusinessAssociate,PermittedDisclosure
AUTH01,Authorization,45 CFR 164.508,"Written, plain-language authorization required for uses/disclosures not otherwise permitted or required (e.g. to a life insurer, employer, or for marketing); includes right to revoke",CoveredEntity;BusinessAssociate,PrivacyProvision
MKT01,Marketing,45 CFR 164.508,"Marketing communications require individual authorization, with defined exceptions (face-to-face communications, nominal promotional gifts, and certain health-related communications); remuneration must be disclosed",CoveredEntity;BusinessAssociate,PrivacyProvision
MINNEC01,MinimumNecessary,45 CFR 164.502(b);164.514(d),"Covered entity must limit use, disclosure, and requests of PHI to the minimum necessary; not required for treatment disclosures, disclosures to the individual, authorized disclosures, to HHS, or as required by law",CoveredEntity;BusinessAssociate,PrivacyProvision
IR01,RightOfAccess,45 CFR 164.524,"Individual right to review and obtain a copy of their PHI in a designated record set, subject to specified exceptions and cost-based fees",CoveredEntity,IndividualRight
IR02,RightToAmendment,45 CFR 164.526,"Individual right to have a covered entity amend inaccurate or incomplete PHI in a designated record set",CoveredEntity,IndividualRight
IR03,AccountingOfDisclosures,45 CFR 164.528,"Individual right to an accounting of certain disclosures of their PHI for up to the six years preceding the request",CoveredEntity;BusinessAssociate,IndividualRight
IR04,RestrictionRequest,45 CFR 164.522(a),"Individual right to request restrictions on use/disclosure of PHI; covered entity is not obligated to agree but must honor agreed restrictions except in a medical emergency",CoveredEntity,IndividualRight
IR05,ConfidentialCommunications,45 CFR 164.522(b),"Individual right to request receipt of communications by alternative means or at alternative locations",CoveredEntity,IndividualRight
IR06,NoticeOfPrivacyPractices,45 CFR 164.520,"Individual right to, and covered entity duty to provide, a notice of privacy practices describing uses/disclosures, individual rights, entity duties, and complaint contact",CoveredEntity,IndividualRight
STATE01,StateLawPreemption,45 CFR 160.201-205,"Contrary State laws are preempted by the Privacy Rule unless the State law is more stringent/provides greater privacy protection or qualifies for a specified exception determined by HHS",CoveredEntity;BusinessAssociate,PrivacyProvision
