hipaa_id,hipaa_title,hipaa_standard_id,cfr_citation,nist_function,nist_category,nist_subcategory_id,nist_subcategory_name,mapping_type,confidence,alignment_level,mapping_rationale,source_doc,source_section,source_page,relationship_id,created_date,created_by
HIPAA-164.308(a)(1)(ii)(D),Information System Activity Review,RS-IAR-001,45 CFR 164.308(a)(1)(ii)(D),Detect,Adverse Events,DE.AE-02,Adverse events are analyzed to understand the impact and cause,direct,High,High,Review of system activity logs enables analysis of potentially adverse events,NIST SP 800-66r2,5.1.1,33,REL-HIPAA-RS-IAR-001-NIST-DE.AE-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(D),Information System Activity Review,RS-IAR-001,45 CFR 164.308(a)(1)(ii)(D),Protect,Security Operations,PR.PS-04,Logging and event detection are configured and managed,partial,High,High,Requires log records to be generated for continuous monitoring,NIST SP 800-66r2,5.3.2,69,REL-HIPAA-RS-IAR-001-NIST-PR.PS-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(2),Assigned Security Responsibility,RS-ASR-001,45 CFR 164.308(a)(2),Govern,Roles Responsibilities Authorities,GV.RR-02,Roles responsibilities and authorities are established and communicated,direct,High,High,Both require establishment of roles responsibilities and authorities for cybersecurity,NIST SP 800-66r2,5.1.2,35,REL-HIPAA-RS-ASR-001-NIST-GV.RR-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(2),Assigned Security Responsibility,RS-ASR-001,45 CFR 164.308(a)(2),Govern,Roles Responsibilities Authorities,GV.RR-01,Organizational leadership accountability for cybersecurity is demonstrated,partial,High,High,Security official represents organizational leadership accountability for security risk,NIST SP 800-66r2,5.1.2,35,REL-HIPAA-RS-ASR-001-NIST-GV.RR-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3),Workforce Security,RS-WS-001,45 CFR 164.308(a)(3),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Both require access permissions to be defined managed and enforced following least privilege,NIST SP 800-66r2,5.1.3,36,REL-HIPAA-RS-WS-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3),Workforce Security,RS-WS-001,45 CFR 164.308(a)(3),Govern,Roles Responsibilities Authorities,GV.RR-04,HR practices include cybersecurity requirements,partial,High,High,Workforce security is part of HR practices for cybersecurity,NIST SP 800-66r2,5.1.3,36,REL-HIPAA-RS-WS-001-NIST-GV.RR-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3)(ii)(A),Authorization and Supervision,RS-WS-AS-001,45 CFR 164.308(a)(3)(ii)(A),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Authorization procedures ensure appropriate access control,NIST SP 800-66r2,5.1.3,37,REL-HIPAA-RS-WS-AS-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3)(ii)(A),Authorization and Supervision,RS-WS-AS-001,45 CFR 164.308(a)(3)(ii)(A),Govern,Roles Responsibilities Authorities,GV.RR-02,Roles responsibilities and authorities are established and communicated,partial,Medium,Medium,Supervision is part of establishing roles and responsibilities,NIST SP 800-66r2,5.1.3,37,REL-HIPAA-RS-WS-AS-001-NIST-GV.RR-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3)(ii)(B),Workforce Clearance,RS-WS-WC-001,45 CFR 164.308(a)(3)(ii)(B),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Clearance procedures ensure workforce access appropriateness,NIST SP 800-66r2,5.1.3,37,REL-HIPAA-RS-WS-WC-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3)(ii)(C),Termination Procedures,RS-WS-TP-001,45 CFR 164.308(a)(3)(ii)(C),Protect,Access Management,PR.AA-01,Identities and credentials are proofed bound and managed,direct,High,High,Both require management of user identities and credentials throughout lifecycle including termination,NIST SP 800-66r2,5.1.3,37,REL-HIPAA-RS-WS-TP-001-NIST-PR.AA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(3)(ii)(C),Termination Procedures,RS-WS-TP-001,45 CFR 164.308(a)(3)(ii)(C),Govern,Roles Responsibilities Authorities,GV.RR-04,HR practices include cybersecurity requirements,partial,High,High,Termination is part of HR cybersecurity practices,NIST SP 800-66r2,5.1.3,37,REL-HIPAA-RS-WS-TP-001-NIST-GV.RR-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(4),Information Access Management,RS-IAM-001,45 CFR 164.308(a)(4),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Both require policies for authorizing access based on principles of least privilege,NIST SP 800-66r2,5.1.4,38,REL-HIPAA-RS-IAM-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(4),Information Access Management,RS-IAM-001,45 CFR 164.308(a)(4),Govern,Policy Organization,GV.PO-01,Policies are established and enforced,partial,High,High,Access management policy is part of cybersecurity policy,NIST SP 800-66r2,5.1.4,38,REL-HIPAA-RS-IAM-001-NIST-GV.PO-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(4)(ii)(B),Access Authorization,RS-IAM-AA-001,45 CFR 164.308(a)(4)(ii)(B),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Both require procedures for granting and enforcing access authorizations,NIST SP 800-66r2,5.1.4,39,REL-HIPAA-RS-IAM-AA-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(4)(ii)(C),Access Review,RS-IAM-AR-001,45 CFR 164.308(a)(4)(ii)(C),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Both require procedures to establish document review and modify user access rights,NIST SP 800-66r2,5.1.4,40,REL-HIPAA-RS-IAM-AR-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(4)(ii)(C),Access Review,RS-IAM-AR-001,45 CFR 164.308(a)(4)(ii)(C),Protect,Access Management,PR.AA-01,Identities and credentials are proofed bound and managed,partial,High,High,Access management includes identity and credential management,NIST SP 800-66r2,5.1.4,40,REL-HIPAA-RS-IAM-AR-001-NIST-PR.AA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5),Security Awareness and Training,RS-SAT-001,45 CFR 164.308(a)(5),Protect,Awareness Training,PR.AT-01,Personnel are informed and trained on awareness of cybersecurity risks,direct,High,High,Both require personnel awareness and training on cybersecurity risks,NIST SP 800-66r2,5.1.5,41,REL-HIPAA-RS-SAT-001-NIST-PR.AT-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5),Security Awareness and Training,RS-SAT-001,45 CFR 164.308(a)(5),Protect,Awareness Training,PR.AT-02,Individuals are trained on roles and responsibilities for cybersecurity,direct,High,High,Training program should address specialized roles with security responsibilities,NIST SP 800-66r2,5.1.5,41,REL-HIPAA-RS-SAT-001-NIST-PR.AT-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(A),Security Reminders,RS-SAT-SR-001,45 CFR 164.308(a)(5)(ii)(A),Protect,Awareness Training,PR.AT-03,Awareness and training program content is reviewed and updated,direct,High,High,Both require periodic updates and appropriate sanctions for non-compliance,NIST SP 800-66r2,5.1.5,42,REL-HIPAA-RS-SAT-SR-001-NIST-PR.AT-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(B),Malware Protection,RS-SAT-MP-001,45 CFR 164.308(a)(5)(ii)(B),Protect,Security Operations,PR.PS-05,Malware protections are managed,direct,High,High,Both require prevention of unauthorized software installation and execution,NIST SP 800-66r2,5.1.5,42,REL-HIPAA-RS-SAT-MP-001-NIST-PR.PS-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(B),Malware Protection,RS-SAT-MP-001,45 CFR 164.308(a)(5)(ii)(B),Detect,Continuous Monitoring,DE.CM-09,Computing hardware and software are monitored,partial,High,High,Malware detection requires monitoring computing hardware and software,NIST SP 800-66r2,5.1.5,42,REL-HIPAA-RS-SAT-MP-001-NIST-DE.CM-09,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(C),Login Monitoring,RS-SAT-LM-001,45 CFR 164.308(a)(5)(ii)(C),Detect,Continuous Monitoring,DE.CM-03,Personnel activity including login attempts are monitored,direct,High,High,Both require monitoring personnel activity including login attempts,NIST SP 800-66r2,5.1.5,42,REL-HIPAA-RS-SAT-LM-001-NIST-DE.CM-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(D),Password Management,RS-SAT-PM-001,45 CFR 164.308(a)(5)(ii)(D),Protect,Access Management,PR.AA-01,Identities and credentials are proofed bound and managed,direct,High,High,Password management is part of identity and credential management,NIST SP 800-66r2,5.1.5,43,REL-HIPAA-RS-SAT-PM-001-NIST-PR.AA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(5)(ii)(D),Password Management,RS-SAT-PM-001,45 CFR 164.308(a)(5)(ii)(D),Protect,Access Management,PR.AA-03,Authentication processes are managed,partial,High,High,Passwords are authentication mechanisms,NIST SP 800-66r2,5.1.5,43,REL-HIPAA-RS-SAT-PM-001-NIST-PR.AA-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6),Security Incident Procedures,RS-SIP-001,45 CFR 164.308(a)(6),Respond,Incident Management,RS.MA-01,Incident response is executed,direct,High,High,Both require incident response plan execution when incidents are declared,NIST SP 800-66r2,5.1.6,44,REL-HIPAA-RS-SIP-001-NIST-RS.MA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6),Security Incident Procedures,RS-SIP-001,45 CFR 164.308(a)(6),Identify,Improvement,ID.IM-04,Incident response plans are established communicated and maintained,partial,High,High,Incident response plans must be established communicated and maintained,NIST SP 800-66r2,5.1.6,44,REL-HIPAA-RS-SIP-001-NIST-ID.IM-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6)(ii),Incident Reporting and Mitigating Harmful Effects,RS-SIP-IRMHE-001,45 CFR 164.308(a)(6)(ii),Respond,Incident Management,RS.MA-02,Incident triage and validation are performed,direct,High,High,Both require incident report triage and validation,NIST SP 800-66r2,5.1.6,45,REL-HIPAA-RS-SIP-IRMHE-001-NIST-RS.MA-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6)(ii),Incident Reporting and Mitigating Harmful Effects,RS-SIP-IRMHE-001,45 CFR 164.308(a)(6)(ii),Respond,Analysis,RS.AN-03,Investigation is conducted and findings are documented,direct,High,High,Both require analysis to establish what took place and root cause,NIST SP 800-66r2,5.1.6,45,REL-HIPAA-RS-SIP-IRMHE-001-NIST-RS.AN-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6)(ii),Incident Reporting and Mitigating Harmful Effects,RS-SIP-IRMHE-001,45 CFR 164.308(a)(6)(ii),Respond,Mitigation,RS.MI-01,Incident containment is performed,direct,High,High,Mitigation of harmful effects requires incident containment,NIST SP 800-66r2,5.1.6,45,REL-HIPAA-RS-SIP-IRMHE-001-NIST-RS.MI-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6)(ii),Incident Reporting and Mitigating Harmful Effects,RS-SIP-IRMHE-001,45 CFR 164.308(a)(6)(ii),Respond,Coordination,RS.CO-02,Stakeholder notification about incidents is performed,direct,High,High,Both require notification of stakeholders about incidents,NIST SP 800-66r2,5.1.6,46,REL-HIPAA-RS-SIP-IRMHE-001-NIST-RS.CO-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(6)(ii),Incident Reporting and Mitigating Harmful Effects,RS-SIP-IRMHE-001,45 CFR 164.308(a)(6)(ii),Respond,Analysis,RS.AN-06,Incident investigation actions are documented,partial,High,High,Documentation of incidents requires recording investigation actions,NIST SP 800-66r2,5.1.6,46,REL-HIPAA-RS-SIP-IRMHE-001-NIST-RS.AN-06,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7),Contingency Planning,RS-CP-001,45 CFR 164.308(a)(7),Protect,Infrastructure,PR.IR-03,Recovery and resilience mechanisms are in place,direct,High,High,Both require mechanisms to achieve resilience in adverse situations,NIST SP 800-66r2,5.1.7,47,REL-HIPAA-RS-CP-001-NIST-PR.IR-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7),Contingency Planning,RS-CP-001,45 CFR 164.308(a)(7),Recover,Recovery Planning,RC.RP-01,Recovery plan is executed during recovery operations,direct,High,High,Contingency plan execution supports recovery from incidents,NIST SP 800-66r2,5.1.7,47,REL-HIPAA-RS-CP-001-NIST-RC.RP-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(A),Data Backup,RS-CP-DB-001,45 CFR 164.308(a)(7)(ii)(A),Protect,Data Security,PR.DS-11,Backups of data are created protected maintained and tested,direct,High,High,Both require backups of data to be created protected maintained and tested,NIST SP 800-66r2,5.1.7,48,REL-HIPAA-RS-CP-DB-001-NIST-PR.DS-11,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(A),Data Backup,RS-CP-DB-001,45 CFR 164.308(a)(7)(ii)(A),Recover,Recovery Planning,RC.RP-03,Backup integrity is verified before restoration,partial,High,High,Backup integrity must be verified before restoration,NIST SP 800-66r2,5.1.7,48,REL-HIPAA-RS-CP-DB-001-NIST-RC.RP-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(B),Disaster Recovery and Restoration,RS-CP-DRR-001,45 CFR 164.308(a)(7)(ii)(B),Recover,Recovery Planning,RC.RP-01,Recovery plan is executed during recovery operations,direct,High,High,Both require recovery plan execution to restore operations,NIST SP 800-66r2,5.1.7,49,REL-HIPAA-RS-CP-DRR-001-NIST-RC.RP-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(B),Disaster Recovery and Restoration,RS-CP-DRR-001,45 CFR 164.308(a)(7)(ii)(B),Recover,Recovery Planning,RC.RP-05,Systems are restored and verified,direct,High,High,Both require restoration and verification of systems and services,NIST SP 800-66r2,5.1.7,49,REL-HIPAA-RS-CP-DRR-001-NIST-RC.RP-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(C),Emergency Mode Operations,RS-CP-EMO-001,45 CFR 164.308(a)(7)(ii)(C),Protect,Infrastructure,PR.IR-03,Recovery and resilience mechanisms are in place,direct,High,High,Emergency operations require resilience mechanisms,NIST SP 800-66r2,5.1.7,49,REL-HIPAA-RS-CP-EMO-001-NIST-PR.IR-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(C),Emergency Mode Operations,RS-CP-EMO-001,45 CFR 164.308(a)(7)(ii)(C),Recover,Recovery Planning,RC.RP-04,Post-incident operations are managed,partial,High,High,Critical functions and risk management inform post-incident operations,NIST SP 800-66r2,5.1.7,49,REL-HIPAA-RS-CP-EMO-001-NIST-RC.RP-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(7)(ii)(D),Testing and Revision,RS-CP-TR-001,45 CFR 164.308(a)(7)(ii)(D),Identify,Improvement,ID.IM-02,Improvements from security testing are implemented,direct,High,High,Both require improvements from security tests and exercises,NIST SP 800-66r2,5.1.7,50,REL-HIPAA-RS-CP-TR-001-NIST-ID.IM-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(8),Evaluation,RS-EV-001,45 CFR 164.308(a)(8),Govern,Organizational Context,GV.OV-03,Risk management program is reviewed and revised,direct,High,High,Both require evaluation and review of cybersecurity risk management performance,NIST SP 800-66r2,5.1.8,51,REL-HIPAA-RS-EV-001-NIST-GV.OV-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(8),Evaluation,RS-EV-001,45 CFR 164.308(a)(8),Identify,Improvement,ID.IM-01,Organizational learning and improvement are implemented,partial,High,High,Evaluation identifies improvements from assessments,NIST SP 800-66r2,5.1.8,51,REL-HIPAA-RS-EV-001-NIST-ID.IM-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(b)(1),Business Associate Contracts and Agreements,RS-BACAA-001,45 CFR 164.308(b)(1),Govern,Supply Chain,GV.SC-02,Cybersecurity roles and responsibilities with suppliers are established,direct,High,High,Both require cybersecurity roles and responsibilities with suppliers and partners,NIST SP 800-66r2,5.1.9,54,REL-HIPAA-RS-BACAA-001-NIST-GV.SC-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(b)(1),Business Associate Contracts and Agreements,RS-BACAA-001,45 CFR 164.308(b)(1),Govern,Supply Chain,GV.SC-05,Cybersecurity requirements are integrated into supplier contracts,direct,High,High,Both require cybersecurity requirements integrated into contracts with third parties,NIST SP 800-66r2,5.1.9,54,REL-HIPAA-RS-BACAA-001-NIST-GV.SC-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(a)(1),Facility Access Controls,RS-FAC-001,45 CFR 164.310(a)(1),Protect,Physical Security,PR.AA-06,Physical access to assets is managed monitored and enforced,direct,High,High,Both require physical access to assets managed monitored and enforced,NIST SP 800-66r2,5.2.1,56,REL-HIPAA-RS-FAC-001-NIST-PR.AA-06,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(a)(1),Facility Access Controls,RS-FAC-001,45 CFR 164.310(a)(1),Protect,Infrastructure,PR.IR-02,Environmental controls protect infrastructure,partial,Medium,Medium,Facility protections help protect technology infrastructure from environmental threats,NIST SP 800-66r2,5.2.1,56,REL-HIPAA-RS-FAC-001-NIST-PR.IR-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(a)(2),Visitor Access Logs,RS-VAL-001,45 CFR 164.310(a)(2),Protect,Physical Security,PR.AA-06,Physical access to assets is managed monitored and enforced,direct,High,High,Visitor logs are part of facility access controls,NIST SP 800-66r2,5.2.1,57,REL-HIPAA-RS-VAL-001-NIST-PR.AA-06,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(b),Workstation Use,RS-WU-001,45 CFR 164.310(b),Protect,Security Operations,PR.PS-01,Workstation configuration is managed,direct,High,High,Both require configuration management practices for workstations,NIST SP 800-66r2,5.2.2,59,REL-HIPAA-RS-WU-001-NIST-PR.PS-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(b),Workstation Use,RS-WU-001,45 CFR 164.310(b),Govern,Policy Organization,GV.PO-01,Policies are established and enforced,partial,Medium,Medium,Workstation use policies are part of cybersecurity policy,NIST SP 800-66r2,5.2.2,59,REL-HIPAA-RS-WU-001-NIST-GV.PO-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(c),Workstation Physical Safeguards,RS-WPS-001,45 CFR 164.310(c),Protect,Physical Security,PR.AA-06,Physical access to assets is managed monitored and enforced,direct,High,High,Physical safeguards restrict workstation access to authorized users,NIST SP 800-66r2,5.2.3,61,REL-HIPAA-RS-WPS-001-NIST-PR.AA-06,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(d)(2)(i),Device and Media Controls,RS-DMC-001,45 CFR 164.310(d)(2)(i),Identify,Asset Management,ID.AM-08,Assets including systems hardware and software are managed throughout lifecycle,direct,High,High,Both require systems hardware software and data managed throughout life cycles,NIST SP 800-66r2,5.2.4,63,REL-HIPAA-RS-DMC-001-NIST-ID.AM-08,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(d)(2)(i),Device and Media Controls,RS-DMC-001,45 CFR 164.310(d)(2)(i),Protect,Data Security,PR.DS-01,Data at rest is protected,partial,High,High,Proper disposal protects confidentiality of data-at-rest,NIST SP 800-66r2,5.2.4,63,REL-HIPAA-RS-DMC-001-NIST-PR.DS-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.310(d)(2)(ii),Media Reuse and Sanitization,RS-MRS-001,45 CFR 164.310(d)(2)(ii),Identify,Asset Management,ID.AM-08,Assets including systems hardware and software are managed throughout lifecycle,direct,High,High,Media sanitization is part of lifecycle management,NIST SP 800-66r2,5.2.4,64,REL-HIPAA-RS-MRS-001-NIST-ID.AM-08,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(1),Access Control,RS-AC-001,45 CFR 164.312(a)(1),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Both require technical access controls enforce least privilege,NIST SP 800-66r2,5.3.1,65,REL-HIPAA-RS-AC-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(1),Access Control,RS-AC-001,45 CFR 164.312(a)(1),Protect,Access Management,PR.AA-01,Identities and credentials are proofed bound and managed,partial,High,High,Access control requires identity and credential management,NIST SP 800-66r2,5.3.1,65,REL-HIPAA-RS-AC-001-NIST-PR.AA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(2)(i),Unique User Identification,RS-UID-001,45 CFR 164.312(a)(2)(i),Protect,Access Management,PR.AA-01,Identities and credentials are proofed bound and managed,direct,High,High,Both require unique identification for users and services,NIST SP 800-66r2,5.3.1,66,REL-HIPAA-RS-UID-001-NIST-PR.AA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(2)(i),Unique User Identification,RS-UID-001,45 CFR 164.312(a)(2)(i),Protect,Access Management,PR.AA-03,Authentication processes are managed,partial,High,High,Unique identification supports authentication,NIST SP 800-66r2,5.3.1,66,REL-HIPAA-RS-UID-001-NIST-PR.AA-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(2)(ii),Emergency Access Procedures,RS-EAP-001,45 CFR 164.312(a)(2)(ii),Protect,Access Management,PR.AA-05,Access permissions are defined managed and enforced,direct,High,High,Emergency access procedures part of access control policy,NIST SP 800-66r2,5.3.1,67,REL-HIPAA-RS-EAP-001-NIST-PR.AA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(a)(2)(iv),Encryption and Decryption,RS-ED-001,45 CFR 164.312(a)(2)(iv),Protect,Data Security,PR.DS-01,Data at rest is protected,direct,High,High,Both address encryption protect confidentiality of data-at-rest,NIST SP 800-66r2,5.3.1,68,REL-HIPAA-RS-ED-001-NIST-PR.DS-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(b),Audit Controls,RS-AUD-001,45 CFR 164.312(b),Protect,Security Operations,PR.PS-04,Logging and event detection are configured and managed,direct,High,High,Both require log records generated for continuous monitoring,NIST SP 800-66r2,5.3.2,69,REL-HIPAA-RS-AUD-001-NIST-PR.PS-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(b),Audit Controls,RS-AUD-001,45 CFR 164.312(b),Detect,Continuous Monitoring,DE.CM-01,Systems and networks are monitored,direct,High,High,Audit controls enable monitoring networks systems adverse events,NIST SP 800-66r2,5.3.2,69,REL-HIPAA-RS-AUD-001-NIST-DE.CM-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(b),Audit Controls,RS-AUD-001,45 CFR 164.312(b),Detect,Continuous Monitoring,DE.CM-03,Personnel activity including login attempts are monitored,direct,High,High,Audit logs monitor personnel activity technology usage,NIST SP 800-66r2,5.3.2,69,REL-HIPAA-RS-AUD-001-NIST-DE.CM-03,2026-01-10,HIPAA_Framework_Mapper
