citation,hipaa_title,full_citation,industry_standard_regulation_id
45 CFR 164.310(a)(1),Facility Access Controls,45 CFR § 164.310(a)(1),HIPAA 1996
45 CFR 164.310(a)(2),Visitor Access Logs,45 CFR § 164.310(a)(2),HIPAA 1996
45 CFR 164.310(b),Workstation Use,45 CFR § 164.310(b),HIPAA 1996
45 CFR 164.310(c),Workstation Physical Safeguards,45 CFR § 164.310(c),HIPAA 1996
45 CFR 164.310(d)(2)(i),Disposal of Media,45 CFR § 164.310(d)(2)(i),HIPAA 1996
45 CFR 164.310(d)(2)(ii),Media Re-use,45 CFR § 164.310(d)(2)(ii),HIPAA 1996
45 CFR 164.312(a)(1),Access Control,45 CFR § 164.312(a)(1),HIPAA 1996
45 CFR 164.312(a)(2)(i),Unique User Identification,45 CFR § 164.312(a)(2)(i),HIPAA 1996
45 CFR 164.312(a)(2)(ii),Emergency Access Procedures,45 CFR § 164.312(a)(2)(ii),HIPAA 1996
45 CFR 164.312(a)(2)(iv),Encryption and Decryption,45 CFR § 164.312(a)(2)(iv),HIPAA 1996
45 CFR 164.312(b),Audit Controls,45 CFR § 164.312(b),HIPAA 1996
45 CFR 164.312(c)(1),Integrity,45 CFR § 164.312(c)(1),HIPAA 1996
45 CFR 164.312(c)(2),Mechanism to Authenticate PHI,45 CFR § 164.312(c)(2),HIPAA 1996
45 CFR 164.312(d),Person or Entity Authentication,45 CFR § 164.312(d),HIPAA 1996
45 CFR 164.312(e)(1),Transmission Security,45 CFR § 164.312(e)(1),HIPAA 1996
45 CFR 164.312(e)(2)(i),Integrity Controls (Transit),45 CFR § 164.312(e)(2)(i),HIPAA 1996
45 CFR 164.312(e)(2)(ii),Encryption (Transit),45 CFR § 164.312(e)(2)(ii),HIPAA 1996
45 CFR 164.316(a),Policies and Procedures,45 CFR § 164.316(a),HIPAA 1996
45 CFR 164.316(b)(1),Documentation,45 CFR § 164.316(b)(1),HIPAA 1996
45 CFR 164.404(b),Individual Notification,45 CFR § 164.404(b),HIPAA 1996
45 CFR 164.406(b),Media Notification,45 CFR § 164.406(b),HIPAA 1996
45 CFR 164.410(b),HHS Notification,45 CFR § 164.410(b),HIPAA 1996
45 CFR 164.504(e),Privacy BA Contracts,45 CFR § 164.504(e),HIPAA 1996
45 CFR 164.520,Notice of Privacy Practices,45 CFR § 164.520,HIPAA 1996
45 CFR 164.524,Right to Access PHI,45 CFR § 164.524,HIPAA 1996
45 CFR 164.526,Right to Amend PHI,45 CFR § 164.526,HIPAA 1996
45 CFR 164.528,Right to Accounting of Disclosures,45 CFR § 164.528,HIPAA 1996
45 CFR 164.530,Administrative Requirements,45 CFR § 164.530,HIPAA 1996
