member_state,competent_authority_name,authority_type,website,csirt_name,csirt_website,single_point_of_contact,transposition_status,law_name,entry_into_force_date,estimated_entities,registration_deadline,registration_portal
Ireland,National Cyber Security Centre Ireland,National CSIRT,https://www.ncsc.gov.ie,CSIRT-IE,https://www.ncsc.gov.ie,NCSC Ireland,DRAFT,General scheme published,Expected end 2025,Undisclosed,TBD,TBD
Croatia,National CSIRT Croatia,National CSIRT,https://www.cert.hr,CERT.hr,https://www.cert.hr,National CSIRT,TRANSPOSED,Published in Official Journal,2024-02-01,Undisclosed,2024-01-01,TBD
Greece,National Cybersecurity Authority,National Authority,https://www.ncsa.gr,GR-CSIRT,https://csirt.gr,NCSA,TRANSPOSED,NIS2 Implementation law,2024-11-01,Undisclosed,TBD,TBD
Hungary,National Cyber Security Centre Hungary,National CSIRT,https://nki.gov.hu,HU-CERT,https://cert.hu,NKI,TRANSPOSED,Multiple government decrees,2024-10-01,Undisclosed,From 2024-06-01,TBD
Lithuania,National Cyber Security Centre,National CSIRT,https://www.nksc.lt,CERT-LT,https://www.cert.lt,NKSC,TRANSPOSED,Law on Cyber Security,2024-10-18,Undisclosed,TBD,TBD
Latvia,Information Technology Security Incident Response Institution,National CSIRT,https://www.cert.lv,CERT.LV,https://www.cert.lv,CERT.LV,TRANSPOSED,NIS2 transposition law,2024-09-01,Undisclosed,TBD,TBD
Romania,Romanian National Cyber Security Directorate,National Cybersecurity Directorate,https://www.dnsc.ro,CERT-RO,https://www.cert.ro,DNSC,TRANSPOSED,Emergency ordinance,2025-07-01,12000,TBD,TBD
Slovakia,National Security Authority,National Authority,https://www.nbu.gov.sk,SK-CERT,https://www.sk-cert.sk,NBU,TRANSPOSED,NIS2 transposition law,2025-01-01,Undisclosed,TBD,TBD
Slovenia,SI-CERT,National CSIRT,https://www.cert.si,SI-CERT,https://www.cert.si,SI-CERT,TRANSPOSED,Published in Official Journal,2025-06-01,Undisclosed,TBD,TBD
Estonia,Information System Authority,National Authority,https://www.ria.ee,CERT-EE,https://www.ria.ee,RIA,DRAFT,Planned,Expected 2025-07-01,Undisclosed,TBD,TBD
Cyprus,Commissioner for Electronic Communications,Regulatory Authority,https://www.ocecpr.org.cy,CY-CSIRT,https://csirt.cy,OCECPR,TRANSPOSED,Implementation law,2025-04-01,Undisclosed,TBD,TBD
Malta,Malta Digital Innovation Authority,Digital Innovation Authority,https://mdia.gov.mt,MT-CSIRT,https://cybersecurity.mt,MDIA,TRANSPOSED,Published in Official Journal,TBD,Undisclosed,TBD,TBD
Luxembourg,Luxembourg House of Cybersecurity,Cybersecurity Hub,https://lhc.lu,CIRCL,https://www.circl.lu,CIRCL,DRAFT,Draft law,Under development,Undisclosed,TBD,TBD
Portugal,National Cybersecurity Centre,National CSIRT,https://www.cncs.gov.pt,CERT.PT,https://www.cert.pt,CNCS,DRAFT,Draft approved,Disrupted,Undisclosed,TBD,TBD
Czech Republic,National Cyber and Information Security Agency,National Agency,https://www.nukib.cz,CSIRT.CZ,https://csirt.cz,NUKIB,DRAFT,Signed by president,Pending,Undisclosed,TBD,TBD
Bulgaria,State Agency for National Security,State Security Agency,https://www.sans.government.bg,CERT Bulgaria,https://govcert.bg,SANS,DRAFT,Draft law,First reading Feb 2025,Undisclosed,TBD,TBD
